Heating demand [kWh],Electricity consumption [kWh],Overheating [h],Gas consumption [kWh],Operational cost [€],Electricity OPP [kW],CO2 emissions [kgCO2],Renovation cost [€],TCO over 30 years [€],Payback period [year],CO2 reduction per euro [kgCO2/€],CO2 excess [h],building_position,building_orientation,floor_type,glazing,window_frame,WWR,airtightness,vent_type,shaded_surfaces,heating_system,radiator_area,N_pv,floor_insulation_0,floor_insulation_2,roof_insulation_0,roof_insulation_1,roof_insulation_2,wall_insulation_0,wall_insulation_1,wall_insulation_2
15711.323814723617,1093.316168862259,499.50763184155085,19760.660588775325,3071.9839075933346,0.3489802499396905,41772.78168391151,1036.8959999999997,125661.38248024695,5.591820242256862,-2.479387324474861,412.82419587750286,middle,S,Wood,DoubleGlz,Wood,0.36,2.0,A,[],VR,4,0,Rockwool,0.0,Rockwool,External,0.0,Rockwool,Cavity,1.7
15861.911919267732,1099.6112279601373,495.9818344202856,20003.907639237674,3096.006790027413,0.36647330846198206,42283.2441000337,921.3119999999998,126520.36067756909,5.969161335427323,-2.236380972008229,413.92867464553774,middle,S,Wood,DoubleGlz,Wood,0.36,2.0,A,[],VR,4,0,Rockwool,0.0,Rockwool,External,0.0,Rockwool,Cavity,1.4
15042.27165231032,1064.8367029059932,549.9207749667517,18952.343607761934,3009.4876879405456,0.3710706657255968,40072.54601780346,1584.3059999999996,123673.44089134905,6.168565779087313,-2.6958821394427055,793.8682332274417,middle,S,Wood,DoubleGlz,Wood,0.36,1.0,A,[],VR,4,0,Rockwool,0.0,Rockwool,External,0.0,Rockwool,Cavity,1.7
15169.053092771177,1070.8222343010486,545.066831462392,19220.220304625094,3038.5660364200844,0.3892880802868492,40634.199363682776,1468.7219999999998,124737.50963562242,6.7693626919662595,-2.5256304958897955,796.4271252499897,middle,S,Wood,DoubleGlz,Wood,0.36,1.0,A,[],VR,4,0,Rockwool,0.0,Rockwool,External,0.0,Rockwool,Cavity,1.4
14830.19549934883,1054.7438075283098,573.2636573923977,18600.47541245076,2989.817963932954,0.39393241676193974,39333.62224629714,2080.1659999999997,123371.33796986526,7.477243778795892,-2.4084742793248703,1042.3570348717628,middle,S,Wood,DoubleGlz,Wood,0.36,0.7,A,[],VR,4,0,Rockwool,0.0,Rockwool,External,0.0,Rockwool,Cavity,1.7
15861.643733935292,5283.886107428986,496.11903742236444,18.346371523589916,1703.2723792364145,2.252461998494055,2801.7246188120453,11625.222,80723.71078883728,7.932504329686745,-3.573430491929959,414.27253934219266,middle,S,Wood,DoubleGlz,Wood,0.36,2.0,A,[],HP 3kW Intergas + HR107 Parallel,4,0,Rockwool,0.0,Rockwool,External,0.0,Rockwool,Cavity,1.4
15711.05562939118,5199.009671053346,499.64483484362967,15.46872896835227,1703.2251384491944,2.254449176277894,2751.3343578599147,11740.806,80837.37832083963,8.009890871727416,-3.5425432514679445,413.4949558927115,middle,S,Wood,DoubleGlz,Wood,0.36,2.0,A,[],HP 3kW Intergas + HR107 Parallel,4,0,Rockwool,0.0,Rockwool,External,0.0,Rockwool,Cavity,1.7
15862.13566913014,4738.3560824924625,495.24359528755036,20.195629369947316,1553.6205442929008,2.1050780691375737,2520.268118379898,12897.222,75924.62329565015,8.119244850858662,-3.242820787398777,414.27253934219266,middle,S,Wood,DoubleGlz,Wood,0.36,2.0,A,[],HP 3kW Intergas + HR107 Parallel,6,0,Rockwool,0.0,Rockwool,External,0.0,Rockwool,Cavity,1.4
17462.369643772257,4933.926848280183,484.88252251047794,21.67219846103253,1667.1582790676944,2.1208324504297233,2625.6302754417884,11975.91,79609.31911276928,8.119272287738472,-3.48349454893709,473.2729299283016,middle,S,Wood,DoubleGlz,Wood,0.36,2.0,A,[],HP 3kW Intergas + HR107 Parallel,6,0,Rockwool,0.0,Rockwool,External,0.0,Rockwool,External,0.0
17465.103931823483,4786.842917724293,484.88252251047794,21.253220728699592,1524.6759086461595,1.9569921509820667,2547.831811189144,13059.91,74913.08302416842,8.155164977986733,-3.200314240373336,473.78865701480623,middle,S,Wood,DoubleGlz,Wood,0.36,2.0,A,[],HP 3kW Intergas + HR107 Parallel,8,0,Rockwool,0.0,Rockwool,External,0.0,Rockwool,External,0.0
