Heating demand [kWh],Electricity consumption [kWh],Overheating [h],Gas consumption [kWh],Operational cost [€],Electricity OPP [kW],CO2 emissions [kgCO2],Renovation cost [€],TCO over 30 years [€],Payback period [year],CO2 reduction per euro [kgCO2/€],CO2 excess [h],building_position,building_orientation,floor_type,glazing,window_frame,WWR,airtightness,vent_type,shaded_surfaces,heating_system,radiator_area,N_pv,floor_insulation_0,floor_insulation_2,roof_insulation_0,roof_insulation_1,roof_insulation_2,wall_insulation_0,wall_insulation_1,wall_insulation_2
17461.877708577413,5650.357506032971,486.2369627744304,22.912955784028597,1859.0950270987569,2.2604039178017366,3002.9104884649437,10703.91,86123.82430927575,8.217232327487237,-3.8622089135487556,473.2729299283016,middle,S,Wood,DoubleGlz,Wood,0.36,2.0,A,[],HP 3kW Intergas + HR107 Parallel,4,0,Rockwool,0.0,Rockwool,External,0.0,Rockwool,External,0.0
16751.891531390258,5568.4299746286915,519.4032694531218,64.87522548402572,1839.3099129522545,2.331677675300961,3047.5537218649993,11251.32,85868.59023149716,8.472330541392985,-3.67033322048429,841.0775577415715,middle,S,Wood,DoubleGlz,Wood,0.36,1.0,A,[],HP 3kW Intergas + HR107 Parallel,4,0,Rockwool,0.0,Rockwool,External,0.0,Rockwool,External,0.0
15861.643733935292,5283.886107428986,496.11903742236444,18.346371523589916,1703.2723792364145,2.252461998494055,2801.7246188120453,11625.222,80723.71078883728,7.932504329686745,-3.573430491929959,414.27253934219266,middle,S,Wood,DoubleGlz,Wood,0.36,2.0,A,[],HP 3kW Intergas + HR107 Parallel,4,0,Rockwool,0.0,Rockwool,External,0.0,Rockwool,Cavity,1.4
15711.05562939118,5199.009671053346,499.64483484362967,15.46872896835227,1703.2251384491944,2.254449176277894,2751.3343578599147,11740.806,80837.37832083963,8.009890871727416,-3.5425432514679445,413.4949558927115,middle,S,Wood,DoubleGlz,Wood,0.36,2.0,A,[],HP 3kW Intergas + HR107 Parallel,4,0,Rockwool,0.0,Rockwool,External,0.0,Rockwool,Cavity,1.7
16526.030393321904,5510.625131524042,540.9755767795641,73.8784639407819,1817.6788568332433,2.381178176398052,3036.093541103605,11747.18,85486.91983356967,8.70885193743578,-3.5163804338584645,1098.0858121442554,middle,S,Wood,DoubleGlz,Wood,0.36,0.7,A,[],HP 3kW Intergas + HR107 Parallel,4,0,Rockwool,0.0,Rockwool,External,0.0,Rockwool,External,0.0
17462.369643772257,4933.926848280183,484.88252251047794,21.67219846103253,1667.1582790676944,2.1208324504297233,2625.6302754417884,11975.91,79609.31911276928,8.119272287738472,-3.48349454893709,473.2729299283016,middle,S,Wood,DoubleGlz,Wood,0.36,2.0,A,[],HP 3kW Intergas + HR107 Parallel,6,0,Rockwool,0.0,Rockwool,External,0.0,Rockwool,External,0.0
17461.479440748957,7287.056596102497,486.67988688236056,8.276670817483266,2395.8611146273893,9.593064517793449,3828.387458416058,11711.69,108907.1734627853,14.723426801827289,-3.4593863092939743,472.308707488021,middle,S,Wood,DoubleGlz,Wood,0.36,2.0,A,[],HP 5kW,4,0,Rockwool,0.0,Rockwool,External,0.0,Rockwool,External,0.0
15168.78490743874,5194.517891275147,545.2564824543646,31.058320156422404,1694.0206341563476,2.293681725855778,2781.489454663043,12172.632,80895.79526164311,8.20762591621611,-3.4143937065903884,798.367970888699,middle,S,Wood,DoubleGlz,Wood,0.36,1.0,A,[],HP 3kW Intergas + HR107 Parallel,4,0,Rockwool,0.0,Rockwool,External,0.0,Rockwool,Cavity,1.4
15042.00346697788,5124.319361411554,550.1104259587244,26.941370329632917,1687.8684308428178,2.2956689036396174,2736.1917831555274,12288.216,80761.79619033354,8.251827207104048,-3.3859639017883545,796.280555393615,middle,S,Wood,DoubleGlz,Wood,0.36,1.0,A,[],HP 3kW Intergas + HR107 Parallel,4,0,Rockwool,0.0,Rockwool,External,0.0,Rockwool,Cavity,1.7
16751.493263561806,7050.001433256685,521.7078573354862,52.60406876234886,2350.0816957708457,9.292754233561793,3796.830232962744,12259.1,107597.40037264647,14.339667569880401,-3.3074872887934252,841.3075983751008,middle,S,Wood,DoubleGlz,Wood,0.36,1.0,A,[],HP 5kW,4,0,Rockwool,0.0,Rockwool,External,0.0,Rockwool,External,0.0
