Electricity consumption [kWh],CO2 excess [h],Heating demand [kWh],Overheating [h],Gas consumption [kWh],Operational cost [€],Electricity OPP [kW],CO2 emissions [kgCO2],Renovation cost [€],TCO over 30 years [€],Payback period [year],CO2 reduction per euro [kgCO2/€],building_position,building_orientation,floor_type,glazing,window_frame,WWR,airtightness,vent_type,shaded_surfaces,heating_system,radiator_area,N_pv,floor_insulation_0,floor_insulation_2,roof_insulation_0,roof_insulation_1,roof_insulation_2,wall_insulation_0,wall_insulation_1,wall_insulation_2
4933.926848280183,473.2729299283016,17462.369643772257,484.88252251047794,21.67219846103253,1667.1582790676944,2.1208324504297233,1681.501140733631,11975.91,79609.31911276928,8.119272287738472,-0.2420677918693508,middle,S,Wood,DoubleGlz,Wood,0.36,2.0,A,[],HP 3kW Intergas + HR107 Parallel,6,0,Rockwool,0.0,Rockwool,External,0.0,Rockwool,External,0.0
4738.3560824924625,414.27253934219266,15862.13566913014,495.24359528755036,20.195629369947316,1553.6205442929008,2.1050780691375737,1614.736868222138,12897.222,75924.62329565015,8.119244850858662,-0.22995233965523912,middle,S,Wood,DoubleGlz,Wood,0.36,2.0,A,[],HP 3kW Intergas + HR107 Parallel,6,0,Rockwool,0.0,Rockwool,External,0.0,Rockwool,Cavity,1.4
4978.34216478605,841.0775577415715,16754.629656119512,516.9864171513957,59.66300285272509,1658.5860478939594,2.1851082518667932,1703.5546655493058,12523.32,79808.9701595482,8.42042445722695,-0.2297257098638767,middle,S,Wood,DoubleGlz,Wood,0.36,1.0,A,[],HP 3kW Intergas + HR107 Parallel,6,0,Rockwool,0.0,Rockwool,External,0.0,Rockwool,External,0.0
4687.515323803714,413.4949558927115,15711.547564586026,498.7693927088156,17.24354672751818,1554.9685463723463,2.1062331373797107,1596.9107791443987,13012.806,76094.8931507778,8.198521506704886,-0.22927971597389413,middle,S,Wood,DoubleGlz,Wood,0.36,2.0,A,[],HP 3kW Intergas + HR107 Parallel,6,0,Rockwool,0.0,Rockwool,External,0.0,Rockwool,Cavity,1.7
4918.079898876736,1098.0858121442554,16523.92023145552,538.4418330149452,61.859775921110206,1653.2757351258065,2.2363926996118293,1683.4675046116533,13019.18,80089.40097056556,8.720432127220272,-0.22251906379639752,middle,S,Wood,DoubleGlz,Wood,0.36,0.7,A,[],HP 3kW Intergas + HR107 Parallel,6,0,Rockwool,0.0,Rockwool,External,0.0,Rockwool,External,0.0
4729.007825619007,798.367970888699,15171.523032167992,543.3192016370382,33.93449050448624,1549.7750027309555,2.1402874966426095,1614.0726724727836,13444.632,76316.02706097839,8.398639377985662,-0.22063903117732678,middle,S,Wood,DoubleGlz,Wood,0.36,1.0,A,[],HP 3kW Intergas + HR107 Parallel,6,0,Rockwool,0.0,Rockwool,External,0.0,Rockwool,Cavity,1.4
4692.8449734423075,796.280555393615,15044.741591707136,548.173145141398,29.511119833674385,1545.018042284091,2.1414425648847466,1600.967825899947,13560.216,76238.63031279414,8.44695900176759,-0.2197247762500816,middle,S,Wood,DoubleGlz,Wood,0.36,1.0,A,[],HP 3kW Intergas + HR107 Parallel,6,0,Rockwool,0.0,Rockwool,External,0.0,Rockwool,Cavity,1.7
5650.357506032971,473.2729299283016,17461.877708577413,486.2369627744304,22.912955784028597,1859.0950270987569,2.2604039178017366,1925.3146229596875,10703.91,86123.82430927575,8.217232327487237,-0.21780224442077725,middle,S,Wood,DoubleGlz,Wood,0.36,2.0,A,[],HP 3kW Intergas + HR107 Parallel,4,0,Rockwool,0.0,Rockwool,External,0.0,Rockwool,External,0.0
4666.719146823794,1046.4181329622763,14945.47968908431,561.8573464518817,41.043383480084955,1537.8105686847875,2.160722626887841,1594.1954490969456,13940.492,76326.51295294843,8.637652894960024,-0.214216815935459,middle,S,Wood,DoubleGlz,Wood,0.36,0.7,A,[],HP 3kW Intergas + HR107 Parallel,6,0,Rockwool,0.0,Rockwool,External,0.0,Rockwool,Cavity,1.4
4627.346742681237,1043.1515859530082,14827.817152150006,571.3991361041512,29.931803418787894,1530.8434095450655,2.161877695129978,1578.7754125372587,14056.076000000001,76159.45268913318,8.67002200813264,-0.2135523346656568,middle,S,Wood,DoubleGlz,Wood,0.36,0.7,A,[],HP 3kW Intergas + HR107 Parallel,6,0,Rockwool,0.0,Rockwool,External,0.0,Rockwool,Cavity,1.7
