Heating demand [kWh],Electricity consumption [kWh],Overheating [h],Gas consumption [kWh],Operational cost [€],Electricity OPP [kW],CO2 emissions [kgCO2],Renovation cost [€],TCO over 30 years [€],Payback period [year],CO2 reduction per euro [kgCO2/€],CO2 excess [h],building_position,building_orientation,floor_type,glazing,window_frame,WWR,airtightness,vent_type,shaded_surfaces,heating_system,radiator_area,N_pv,floor_insulation_0,floor_insulation_2,roof_insulation_0,roof_insulation_1,roof_insulation_2,wall_insulation_0,wall_insulation_1,wall_insulation_2
11798.43005063614,522.5563435677574,542.1473311354343,15452.227260042722,2140.623756865736,0.3478608181826497,32491.190804875012,10655.716047599588,97496.7101645924,9.61834672870653,-1.1123099557427258,414.42361593888216,middle,S,Wood,DoubleGlz,Wood,0.36,2.0,A,[],VR,4,11,Rockwool,0.0,PIR/PUR,Internal,3.7,Rockwool,Cavity,1.7
12222.16321587071,521.5761830057403,530.9653562394423,16032.908114863325,2162.761858299038,0.3421740505141348,33701.39776320203,10595.820509735735,98334.91487912677,9.738859475922034,-1.0043820754735335,417.7675713882036,middle,S,Wood,DoubleGlz,Wood,0.36,2.0,A,[],VR,4,11,Rockwool,0.0,Icynene,Internal,2.1,Rockwool,Cavity,1.7
11924.56461023455,531.4299123883379,537.3910310502872,15688.051582166769,2164.6111115406484,0.3645990367713554,32987.52539299682,10540.132047599587,98354.24706896668,9.725731746082959,-1.0774176680897738,415.9916801466784,middle,S,Wood,DoubleGlz,Wood,0.36,2.0,A,[],VR,4,11,Rockwool,0.0,PIR/PUR,Internal,3.7,Rockwool,Cavity,1.4
11701.450120533917,508.51224850763504,592.4275318868914,15275.925928846877,2107.505789770813,0.3439378000492833,32116.257467615233,11143.230509735735,96640.69231450757,9.734133004256183,-1.0972933196442458,800.1152493852786,middle,S,Wood,DoubleGlz,Wood,0.36,1.0,A,[],VR,4,11,Rockwool,0.0,Icynene,Internal,2.1,Rockwool,Cavity,1.7
11302.269994823522,513.7265196605218,601.4349663676568,14760.270425213448,2067.217092350574,0.33996923328907014,31043.84280635249,11203.126047599588,95066.15278435413,9.472393275287207,-1.1871514176030593,782.1343143071277,middle,S,Wood,DoubleGlz,Wood,0.36,1.0,A,[],VR,4,11,Rockwool,0.0,PIR/PUR,Internal,3.7,Rockwool,Cavity,1.7
12403.152983032278,530.4497518263211,527.3642567041286,16275.000957284296,2188.240458614339,0.3589122691028405,34210.80221614292,10480.236509735736,99252.9487547547,9.86633878682346,-0.966852968450531,419.2328256796103,middle,S,Wood,DoubleGlz,Wood,0.36,2.0,A,[],VR,4,11,Rockwool,0.0,Icynene,Internal,2.1,Rockwool,Cavity,1.4
15711.05562939118,4168.558140172495,499.64483484362967,14.34932138516043,1209.0981844128526,2.0645181888948794,2210.0742423982742,16447.0724,65497.86331208506,8.360340683745434,-2.5617674157214645,413.4949558927115,middle,S,Wood,DoubleGlz,Wood,0.36,2.0,A,[],HP 3kW Intergas + HR107 Parallel,4,11,Rockwool,0.0,Rockwool,External,0.0,Rockwool,Cavity,1.7
11027.345827289588,512.4401240042171,611.0237244360021,14558.264982292876,2046.827838639835,0.34935811071630996,30621.988672934855,11698.986047599588,94734.85992488259,9.731303240748504,-1.172893194405074,998.7021474992454,middle,S,Wood,DoubleGlz,Wood,0.36,0.7,A,[],VR,4,11,Rockwool,0.0,PIR/PUR,Internal,3.7,Rockwool,Cavity,1.7
15861.643733935292,4238.045598034405,496.11903742236444,17.309155593557612,1210.164439054832,2.0629678800059543,2252.587437184561,16331.4884,65425.535214853764,8.31318292539384,-2.5772948501140966,414.27253934219266,middle,S,Wood,DoubleGlz,Wood,0.36,2.0,A,[],HP 3kW Intergas + HR107 Parallel,4,11,Rockwool,0.0,Rockwool,External,0.0,Rockwool,Cavity,1.4
11871.608794662368,517.0762896253926,587.5366017869652,15518.166392913814,2137.0386625445144,0.361758570098203,32625.807828699384,11027.646509735736,97723.20023634723,9.895469620728877,-1.0625877480625912,803.6345657828973,middle,S,Wood,DoubleGlz,Wood,0.36,1.0,A,[],VR,4,11,Rockwool,0.0,Icynene,Internal,2.1,Rockwool,Cavity,1.4
