3.5kW min;3.5kW max;5kW min;5kW max;7kW min;7kW max;10kW min;10kW max;12kW min;12kW max;3kW Intergas max;3kW Intergas min
0.9;2.7;0.9;4.3;1.8;5.8;3.6;7.3;3.6;9.6;0.0;0.0
0.8;2.5;0.8;3.9;1.4;5.3;3.6;6.8;3.6;9.5;0.0;0.0
1.0;2.1;1.0;3.7;1.2;5.1;3.0;6.4;3.0;7.1;0.0;0.0
0.0;2.1;0.0;4.5;0.0;5.1;0.0;6.4;0.0;7.1;0.0;0.0
1.7;3.3;1.6;4.9;2.1;6.6;4.3;8.0;4.3;10.4;0.0;0.0
1.4;3.1;1.4;4.5;1.8;6.1;4.2;7.4;4.2;10.1;0.0;0.0
1.2;2.9;1.2;4.5;1.6;5.9;3.7;7.1;3.7;7.8;0.0;0.0
0.0;2.9;0.0;4.5;0.0;5.9;0.0;7.1;0.0;7.1;0.0;0.0
1.7;3.7;1.9;5.4;2.7;7.2;4.1;8.7;4.8;11.2;3.3;0.9
1.6;3.4;1.7;4.9;2.1;6.7;4.0;8.2;4.7;11.0;3.1;1.0
1.2;3.2;1.5;4.8;1.8;5.9;3.8;7.7;4.2;9.0;3.0;1.2
2.0;2.1;2.0;4.2;1.6;4.6;3.9;7.3;3.9;6.5;2.9;1.8
1.5;4.2;1.7;6.2;2.5;8.0;3.7;9.7;4.3;12.7;3.8;1.0
1.3;4.0;1.6;5.6;2.1;7.8;3.6;9.6;4.2;12.5;3.5;1.1
0.9;3.7;1.1;5.5;1.8;6.9;3.2;8.8;4.0;10.9;3.4;1.3
1.3;3.3;1.3;5.4;1.4;5.4;2.4;8.4;2.4;9.7;3.2;1.9
1.7;5.0;1.7;7.1;2.4;9.4;3.9;11.7;3.9;14.7;4.5;1.2
1.5;4.7;1.5;6.6;2.0;9.0;3.6;11.2;3.6;13.7;4.2;1.4
1.2;4.3;1.2;6.3;1.5;8.0;3.4;10.0;3.4;12.1;4.1;1.6
1.0;4.0;1.3;6.1;1.1;6.3;2.2;9.8;2.2;10.9;3.8;2.1
1.8;5.1;1.8;7.2;2.6;9.9;4.4;12.5;4.4;15.6;4.8;1.3
1.6;4.9;1.6;6.9;2.2;9.5;4.1;12.0;4.1;14.5;4.5;1.5
1.4;4.5;1.4;6.6;1.6;8.5;3.9;10.7;3.9;12.8;4.4;1.7
0.8;4.4;0.8;6.5;1.4;6.7;2.5;10.0;2.5;11.1;4.0;2.2
2.0;5.2;2.0;7.3;2.8;10.4;4.9;13.3;4.9;16.4;5.0;1.4
1.7;5.2;1.7;7.3;2.4;9.9;4.6;12.8;4.6;15.3;4.9;1.6
1.6;4.8;1.6;6.9;1.7;9.0;4.3;11.4;4.3;13.6;4.7;1.8
0.9;4.7;0.9;6.8;1.7;7.1;2.8;10.2;2.8;11.3;4.3;2.2
2.1;5.9;2.1;8.0;3.2;12.3;5.8;15.0;5.8;17.9;5.0;1.7
1.8;5.8;1.8;7.9;2.9;11.6;5.2;14.4;5.2;16.8;5.0;1.8
1.8;5.6;1.8;7.6;2.2;9.1;4.6;12.4;4.6;14.7;5.0;2.1
1.2;5.0;1.2;7.2;2.0;8.2;4.1;12.2;4.1;12.7;5.0;2.2
2.4;6.8;2.4;8.0;3.4;11.7;6.3;15.2;6.3;17.7;5.0;1.8
2.2;6.4;2.2;7.9;3.1;11.2;5.6;14.7;5.6;16.8;5.0;2.0
1.9;5.9;1.9;7.6;2.4;9.6;5.2;13.2;5.2;15.0;5.0;2.3
1.6;5.6;1.6;7.2;2.2;8.1;4.4;12.5;4.4;13.0;5.0;2.4
2.5;7.0;2.5;8.0;3.5;10.6;6.5;15.3;6.5;17.4;5.0;1.9
2.3;6.7;2.3;7.9;3.2;10.2;5.9;14.8;5.9;16.7;5.0;2.1
2.0;6.0;2.0;7.6;2.6;9.8;5.7;13.8;5.7;15.2;5.0;2.4
1.9;5.8;1.9;7.2;2.3;8.4;4.6;12.6;4.6;12.1;5.0;2.5
2.6;7.2;2.6;8.0;3.6;9.8;6.6;15.4;6.6;16.0;5.0;2.0
2.5;6.8;2.5;7.9;3.5;9.8;6.0;14.9;6.0;15.5;5.0;2.3
2.1;6.4;2.1;7.6;2.8;9.7;5.8;13.9;5.8;14.7;5.0;2.6
1.9;6.0;1.9;7.2;2.5;7.9;5.2;12.8;5.2;12.8;5.0;2.7
2.8;7.2;2.8;8.0;3.7;8.9;6.7;14.9;6.7;14.9;5.0;2.3
2.6;6.8;2.6;7.9;3.7;8.8;6.1;14.2;6.1;14.2;5.0;2.6
2.1;6.4;2.1;7.6;3.0;8.6;6.0;13.5;6.0;13.5;5.0;3.0
1.9;6.0;1.9;7.2;2.9;8.3;5.7;11.7;5.7;11.7;5.0;3.0
