# Graph Manager ON/OFF Benchmark Results - Combined
"# All Tests: 1000 entities, 10000 entities, 100000 entities"
# Total configurations per test: 2058
# Each combination tested with Graph OFF and Graph ON

=== DETAILED RESULTS - 1000 Entities ===
# Successful: 2058 / 2058

Rank,Configuration,Node Mode,Edge Mode,Graph Manager,Total Time (ms),Peak Memory (MB),Operations/sec,Insert Time (ms),Insert Memory (MB),Read Time (ms),Read Memory (MB),Update Time (ms),Update Memory (MB),Relationships Time (ms),Relationships Memory (MB)
1,SPARSE_MATRIX+EDGE_PROPERTY_STORE+GraphOFF,SPARSE_MATRIX,EDGE_PROPERTY_STORE,OFF,0.79,339.5,63211109,0.74,339.5,0.01,339.5,0.01,339.5,0.04,339.5
2,ART+HYPEREDGE_SET+GraphOFF,ART,HYPEREDGE_SET,OFF,0.79,443.6,63131352,0.74,443.6,0.01,443.6,0.01,443.6,0.04,443.6
3,ADJACENCY_LIST+DYNAMIC_ADJ_LIST+GraphOFF,ADJACENCY_LIST,DYNAMIC_ADJ_LIST,OFF,0.80,342.5,62173601,0.75,342.5,0.01,342.5,0.01,342.5,0.04,342.5
4,SPARSE_MATRIX+FLOW_NETWORK+GraphOFF,SPARSE_MATRIX,FLOW_NETWORK,OFF,0.81,340.5,61697918,0.75,340.5,0.01,340.5,0.01,340.5,0.04,340.5
5,ADJACENCY_LIST+EDGE_LIST+GraphOFF,ADJACENCY_LIST,EDGE_LIST,OFF,0.81,347.1,61629465,0.75,347.1,0.01,347.1,0.01,347.1,0.04,347.1
6,SPARSE_MATRIX+INCIDENCE_MATRIX+GraphOFF,SPARSE_MATRIX,INCIDENCE_MATRIX,OFF,0.81,341.2,61599094,0.76,341.2,0.01,341.2,0.01,341.2,0.04,341.2
7,SPARSE_MATRIX+OCTREE+GraphOFF,SPARSE_MATRIX,OCTREE,OFF,0.81,340.2,61485409,0.75,340.2,0.01,340.2,0.01,340.2,0.04,340.2
8,CUCKOO_HASH+BIDIR_WRAPPER+GraphOFF,CUCKOO_HASH,BIDIR_WRAPPER,OFF,0.81,316.6,61379825,0.76,316.6,0.01,316.6,0.01,316.6,0.04,316.6
9,PATRICIA+OCTREE+GraphOFF,PATRICIA,OCTREE,OFF,0.81,290.6,61349699,0.76,290.6,0.01,290.6,0.01,290.6,0.04,290.6
10,ART+CSR+GraphOFF,ART,CSR,OFF,0.82,442.5,61319604,0.75,442.5,0.01,442.5,0.01,442.5,0.04,442.5
11,BITMAP+R_TREE+GraphOFF,BITMAP,R_TREE,OFF,0.82,323.1,61282017,0.76,323.1,0.01,323.1,0.01,323.1,0.04,323.1
12,ADJACENCY_LIST+ADJ_MATRIX+GraphOFF,ADJACENCY_LIST,ADJ_MATRIX,OFF,0.82,342.8,61274498,0.76,342.8,0.01,342.8,0.01,342.8,0.04,342.8
13,SPARSE_MATRIX+EDGE_LIST+GraphOFF,SPARSE_MATRIX,EDGE_LIST,OFF,0.82,341.5,61244476,0.76,341.5,0.01,341.5,0.01,341.5,0.04,341.5
14,BITMAP+CSR+GraphOFF,BITMAP,CSR,OFF,0.82,321.3,61214518,0.76,321.3,0.01,321.3,0.01,321.3,0.04,321.3
15,STACK+ADJ_MATRIX+GraphOFF,STACK,ADJ_MATRIX,OFF,0.82,254.6,61124751,0.76,254.6,0.01,254.6,0.01,254.6,0.04,254.6
16,HEAP+ADJ_MATRIX+GraphOFF,HEAP,ADJ_MATRIX,OFF,0.82,293.2,61102281,0.76,293.2,0.01,293.2,0.01,293.2,0.04,293.2
17,STACK+ADJ_LIST+GraphOFF,STACK,ADJ_LIST,OFF,0.82,254.1,61050030,0.76,254.1,0.01,254.1,0.01,254.1,0.04,254.1
18,ART+ADJ_LIST+GraphOFF,ART,ADJ_LIST,OFF,0.82,441.5,61042603,0.76,441.5,0.01,441.5,0.01,441.5,0.04,441.5
19,ORDERED_MAP_BALANCED+R_TREE+GraphOFF,ORDERED_MAP_BALANCED,R_TREE,OFF,0.82,245.4,61020297,0.76,245.4,0.01,245.4,0.01,245.4,0.04,245.4
20,ARRAY_LIST+INCIDENCE_MATRIX+GraphOFF,ARRAY_LIST,INCIDENCE_MATRIX,OFF,0.82,252.5,60960779,0.76,252.5,0.01,252.5,0.01,252.5,0.04,252.5
21,ADJACENCY_LIST+COO+GraphOFF,ADJACENCY_LIST,COO,OFF,0.82,343.8,60879071,0.76,343.8,0.01,343.8,0.01,343.8,0.04,343.8
22,BW_TREE+ADJ_MATRIX+GraphOFF,BW_TREE,ADJ_MATRIX,OFF,0.82,447.4,60849469,0.77,447.4,0.01,447.4,0.01,447.4,0.04,447.4
23,SPARSE_MATRIX+NEURAL_GRAPH+GraphOFF,SPARSE_MATRIX,NEURAL_GRAPH,OFF,0.82,340.7,60760734,0.76,340.7,0.02,340.7,0.01,340.7,0.04,340.7
