RPM,power
1062.0633,1.0112
1170.1972,1.0620
1277.7098,1.1651
1401.4349,1.2996
1515.8592,1.4535
1633.4406,1.6062
1746.9119,1.7507
1864.8506,1.8751
1982.7893,2.0042
2100.7280,2.0625
2218.6667,2.0740
2336.6054,2.0204
2454.5442,2.0099
2572.4829,2.0033
2690.4216,2.0642
2808.3603,2.1419
2926.2990,2.2216
3044.2377,2.3026
3162.1764,2.3695
3280.1151,2.4391
3398.0538,2.5057
3515.9926,2.5724
3633.9313,2.6396
3751.8700,2.7330
3869.8087,2.8421
3987.7474,2.9480
4105.6861,3.0629
4223.6248,3.1513
4341.5635,3.2341
4459.5022,3.3138
4577.4409,3.3895
4695.3797,3.4727
4813.3184,3.5298
4931.2571,3.5901
5049.1958,3.6462
5167.1345,3.7037
5285.0732,3.7573
5403.0119,3.8383
5520.9506,3.9147
5638.8893,3.9911
5756.8280,4.0708
5874.7668,4.1286
5992.7055,4.1936
6110.6442,4.2537
6228.5829,4.3119
6346.5216,4.3654
6464.4603,4.3929
6582.3990,4.4157
6700.3377,4.4399
6818.2764,4.4642
6936.2151,4.4766
7054.1539,4.4863
7172.0926,4.4987
7290.0313,4.5098
7397.2483,4.5222
