"id","lunghezza","larghezza","pesovivo","pesosecco","codice"
215,93,40,7969,3270,0
216,105,50,11856,4076,0
217,75,47,7321,2317,0
218,112,53,14943,5373,0
219,104,47,8321,3247,0
220,95,40,8130,3103,0
221,80,47,10130,4506,0
222,100,45,8566,2597,1
223,90,43,8014,3357,0
224,81,40,5908,1630,0
225,91,41,8515,4379,0
226,96,53,11426,4006,0
227,96,57,10332,3584,0
228,83,43,6745,2389,0
229,84,38,6122,2168,1
230,106,54,14890,6540,0
231,71,36,5422,2212,0
232,83,40,7466,3014,0
233,92,38,7421,2570,0
234,96,44,13308,5725,0
235,86,30,5824,2588,1
236,114,55,16791,6683,0
237,74,37,5349,2188,0
238,90,44,7082,2788,1
239,91,44,9346,3277,0
240,99,43,9550,4105,0
241,100,49,9504,4032,1
242,90,45,7904,2486,0
243,110,54,13289,4669,0
244,112,51,10234,3052,0
245,116,57,11826,3615,0
246,111,51,11326,3516,1
247,118,49,11927,3579,1
248,103,45,8405,2587,0
249,114,44,10348,3149,1
250,95,48,12636,4963,0
251,81,54,8614,2903,0
252,95,48,12569,3991,0
253,98,47,8407,2440,0
254,80,34,6732,2399,0
255,105,48,8321,3302,0
256,93,55,9966,2604,0
257,81,53,8789,2687,0
258,113,39,7825,3782,1
259,91,44,7492,2265,0
260,107,54,12703,4183,0
261,106,53,11106,3473,0
262,102,51,9877,3097,0
263,92,39,8663,3548,1
264,92,42,7221,2998,1
265,102,56,9910,3844,0
266,87,52,11395,4497,0
267,96,47,7825,2187,0
268,95,50,9900,2512,0
269,103,55,12677,4893,0
270,104,55,7464,2192,0
271,108,62,13862,4360,0
272,94,49,8152,2551,0
273,98,51,10544,3178,0
274,81,54,9267,4870,0
275,107,51,12824,5032,0
276,95,48,7841,2451,0
277,83,48,7514,3816,0
278,91,46,8510,3809,0
279,102,44,7546,2258,1
280,96,53,11085,3980,0
281,97,42,9283,4127,1
282,114,53,10792,3238,0
283,96,51,9422,2932,0
284,121,52,14263,6043,1
285,97,58,12316,4510,0
286,85,41,5746,1726,0
287,94,55,10048,4301,0
288,116,59,14457,4666,0
289,93,45,10404,4355,0
290,92,55,10661,3362,0
291,102,55,13216,4906,0
292,109,49,10194,4846,0
293,91,43,8086,3609,0
294,80,32,6781,2807,0
295,107,47,9128,3577,0
296,88,40,6728,2177,0
297,102,54,10967,3278,0
298,97,46,8600,2832,0
299,104,54,18527,7857,0
300,107,53,12441,5277,0
301,114,52,14461,5393,0
302,84,39,5339,2837,0
303,119,62,16715,6314,0
304,100,54,11848,4238,0
305,90,50,8686,2793,0
306,92,33,6373,2491,1
307,76,52,8369,2884,0
308,84,41,7545,2679,0
309,83,37,5504,2778,0
310,109,57,15676,6544,0
311,119,51,13191,4732,0
312,111,50,11987,4302,0
313,119,51,13557,4905,1
314,89,43,6884,3021,0
315,100,43,8938,3998,1
316,98,55,10501,4841,0
317,92,39,6766,2598,1
318,84,32,6012,2799,0
319,109,50,12524,4792,0
320,85,46,7305,2750,0
321,90,43,8696,3907,0
322,104,60,11988,4476,0
323,69,47,6164,2329,0
324,104,63,13943,6050,0
325,99,53,13928,4753,0
326,92,33,6618,2450,1
327,87,48,8610,3053,0
328,94,44,7544,3020,1
329,84,44,9813,3402,0
330,80,36,4167,1898,1
331,79,39,5548,2494,1
332,91,42,7822,2715,0
333,82,42,6390,2537,0
