"id","lunghezza","larghezza","pesovivo","pesosecco","codice"
1,97,45,11856,5046,1
2,87,46,12572,5357,0
3,77,37,6475,2412,0
4,83,42,7798,2966,0
5,83,44,10250,3970,0
6,99,46,11894,3769,0
7,92,45,10079,3885,0
8,94,48,13166,5885,0
9,99,37,8269,3293,1
10,85,43,7235,2492,0
11,93,44,9705,3816,0
12,93,49,11607,3835,0
13,98,48,10158,3931,0
14,79,44,9501,3095,0
15,97,44,11429,4482,1
16,93,48,11234,4839,0
17,94,46,12312,4861,0
18,109,44,13299,5712,1
19,86,38,7905,2961,0
20,86,42,9119,2981,0
21,109,55,15808,5319,0
22,97,48,12789,5307,0
23,104,40,11595,5308,1
24,83,47,11392,4585,0
25,93,48,13061,5685,0
26,94,39,10315,4415,1
27,80,35,7156,3291,0
28,74,37,7592,2893,0
29,81,49,11629,5051,0
30,86,46,11534,4591,0
31,83,44,10571,4916,0
32,100,46,12410,5102,0
33,86,45,12734,5658,0
34,98,46,11325,4640,0
35,100,50,8664,2443,0
36,108,45,11887,5208,1
37,105,50,13243,5780,0
38,104,51,14085,3714,0
39,99,47,12804,5105,0
40,109,54,14458,6239,0
41,82,41,8774,3366,0
42,72,39,7267,3130,0
43,92,39,8459,2955,0
44,88,40,7320,2736,0
45,90,42,8512,3515,1
46,90,41,8102,3230,1
47,95,45,11482,4398,0
48,93,46,11566,4832,0
49,81,51,12062,4752,0
50,89,42,9907,3828,0
51,88,29,6017,1957,1
52,97,45,12476,4809,0
53,83,44,10296,4269,0
54,90,38,8482,3635,0
55,94,44,11153,4466,0
56,90,41,8424,3291,0
57,96,45,11324,4460,0
58,86,43,10428,3994,0
59,94,34,8177,3474,1
60,94,49,11030,4716,0
61,105,45,8894,3112,0
62,99,44,7901,2801,0
63,100,50,11569,4629,0
64,107,54,9902,3461,0
65,110,56,11231,4020,0
66,117,46,13047,5645,1
67,108,45,10589,4272,1
68,92,46,11775,5208,0
69,94,40,7616,2845,1
70,97,48,9145,3735,0
71,73,38,4412,1467,0
72,93,30,5932,3237,1
73,94,31,7129,4012,1
74,101,48,11536,5889,0
75,112,53,13993,7112,0
76,118,55,14643,7341,0
77,107,38,8745,3657,1
78,119,45,11223,5506,1
79,99,50,11340,4688,0
80,98,43,9886,4298,0
81,102,39,8438,4696,1
82,102,43,8217,3549,1
83,114,50,12356,5914,1
84,102,47,10203,4867,0
85,99,45,9556,4801,0
86,104,51,10829,4084,0
87,88,42,5942,2048,0
88,86,44,9563,4031,0
89,96,49,7910,2274,0
90,107,47,9064,3552,0
91,101,41,9623,4804,0
92,95,47,9373,3931,0
93,95,40,7556,2889,1
94,77,38,5060,1857,0
95,106,50,11311,5546,0
96,104,48,11954,5030,0
97,93,41,6492,2371,0
98,106,48,8879,3308,0
99,88,45,7786,2816,0
100,99,51,10166,3845,0
101,105,50,9004,3300,0
102,111,52,11006,4290,0
103,78,38,5762,2102,0
104,102,31,6348,2797,1
105,100,40,8087,3606,1
106,111,41,9063,4136,1
107,81,30,5595,2482,1
108,103,41,9150,3562,1
109,79,27,4963,2136,1
110,109,42,10429,4154,1
111,111,51,12369,4303,0
112,101,44,9968,3527,1
113,98,32,6999,2770,1
114,79,40,5936,2163,0
115,67,33,4260,1506,0
116,92,44,8540,3311,0
117,82,31,5959,2404,0
118,79,31,5022,1784,0
119,79,36,5944,2551,0
120,82,42,5775,2092,0
121,85,39,8930,3943,0
122,81,39,8232,3537,1
123,106,50,10175,3965,0
124,106,51,9508,3553,0
125,116,50,11271,3479,0
126,103,47,10925,4650,0
127,96,45,8209,3075,0
128,92,41,7758,3146,0
129,120,45,10632,4904,1
130,113,43,9298,4316,1
131,94,42,8104,3149,0
132,97,39,8459,3655,1
133,115,44,11405,5273,1
134,115,48,12526,5371,0
135,116,43,10050,4532,1
136,106,38,7968,3547,1
137,111,40,9039,4483,1
138,100,38,7932,3906,1
139,124,45,15574,6192,1
140,98,60,16879,6674,0
141,97,41,9430,4170,1
142,130,55,16352,6666,1
143,90,48,8462,2938,0
144,113,50,13040,5480,0
145,120,52,14391,6097,0
146,95,45,10834,3434,0
147,80,45,9558,3895,0
148,83,50,11160,4340,0
149,93,45,10028,3956,0
150,103,39,9216,3561,0
151,109,47,12479,5189,1
152,102,45,11231,4415,0
153,97,40,7648,2757,1
154,120,45,11006,3730,1
155,105,39,7845,3294,1
156,73,29,4553,2043,0
157,81,31,4975,2260,1
158,92,57,14965,5818,0
159,121,41,10822,4631,1
160,103,38,7603,3374,1
161,108,42,9283,3734,1
162,108,54,12774,5560,0
163,114,49,10135,3480,1
164,99,36,6354,2845,1
165,111,40,9388,4402,1
166,100,46,9963,4259,0
167,139,60,18031,8222,1
168,74,36,4679,1739,0
169,74,39,5295,1948,0
170,76,40,5289,1913,0
171,102,44,7743,3468,0
172,102,39,9823,4281,1
173,118,48,10662,4868,1
174,112,49,11702,5384,0
175,135,51,13809,5345,1
176,120,44,9964,4872,1
177,98,48,10302,4621,0
178,99,43,9369,4723,0
179,96,45,8549,3749,0
180,102,55,14217,5770,0
181,80,44,7763,3291,0
182,121,49,11186,5471,1
183,128,54,15328,6618,0
184,142,59,15454,5977,0
185,131,52,13563,6116,1
186,94,49,10664,4361,0
187,84,46,8421,3715,0
188,124,50,16853,6757,1
189,122,52,14152,4946,1
190,99,56,8646,3698,0
191,95,36,8230,3497,1
192,106,49,10590,4608,0
193,114,53,12232,5340,0
194,117,50,12309,5290,0
195,116,55,14202,5727,0
196,66,40,6087,2476,0
197,80,42,7827,3289,0
198,89,50,9510,3969,0
199,96,43,8468,3552,1
200,102,46,9909,4146,0
201,116,60,16310,6618,0
202,86,44,12366,4836,0
203,90,41,10484,3874,0
204,99,53,17558,6734,0
205,101,49,13073,5728,0
206,97,48,10456,4357,0
207,82,50,9630,3223,0
208,98,46,10848,3505,0
209,122,62,16885,6812,0
210,94,40,11977,4695,0
211,114,61,18476,7293,0
212,88,43,9279,3868,0
213,99,48,11604,4656,0
214,114,61,15576,6151,0
