"giudizio","genere","nazione","anno","durata","visibilita"
"ottimo","DRA","AUS",75,115,"GEN"
"mediocre","COM","AUS",92,94,"GEN"
"mediocre","COM","AUS",83,92,"TUT"
"buono","DRA","BFASO",90,78,"ADU"
"mediocre","DRA","CAN",80,83,"GEN"
"mediocre","HOR","CAN",80,108,"GEN"
"mediocre","AVV","CAN",90,93,"TUT"
"scadente","CMC","CAN",81,94,"ADU"
"ottimo","DRA","CIN",93,110,"GEN"
"mediocre","GIA","FRA",88,100,"GEN"
"buono","POL","FRA",75,110,"GEN"
"mediocre","THR","FRA",66,94,"ADU"
"mediocre","STO","FRA",61,105,"GEN"
"buono","COM","FRA",92,96,"GEN"
"mediocre","STO","FRA",90,101,"GEN"
"buono","COM","FRA",89,105,"TUT"
"buono","COM","FRA",92,92,"TUT"
"mediocre","DRA","FRA",90,132,"GEN"
"scadente","DRA","FRA",91,110,"GEN"
"mediocre","COM","FRA",73,105,"ADU"
"buono","AVV","FRA",71,100,"GEN"
"buono","GIA","FRA",65,90,"GEN"
"ottimo","POL","FRA",54,94,"GEN"
"mediocre","DRA","FRA",57,95,"GEN"
"mediocre","SEN","FRA",52,90,"GEN"
"buono","DRA","GB",84,90,"ADU"
"mediocre","THR","GB",77,106,"GEN"
"mediocre","GIA","GB",59,85,"GEN"
"ottimo","AVV","GB",62,212,"ADU"
"mediocre","SPI","GB",71,100,"GEN"
"buono","DRA","GB",63,129,"GEN"
"buono","SEN","GB",45,85,"GEN"
"mediocre","SPI","GB",73,121,"GEN"
"mediocre","DRA","GB",48,113,"ADU"
"mediocre","AVV","GB",83,130,"GEN"
"mediocre","FAN","GB",86,101,"ADU"
"mediocre","COM","GB",62,95,"TUT"
"buono","COM","GB",86,97,"TUT"
"mediocre","COM","GB",88,99,"GEN"
"buono","DRA","GB",88,112,"ADU"
"mediocre","DRA","GB",74,95,"GEN"
"scadente","AZI","GB",73,120,"GEN"
"mediocre","AVV","GB",75,100,"TUT"
"ottimo","THR","GB",37,80,"GEN"
"mediocre","AZI","GB",81,127,"GEN"
"mediocre","COM","GB",66,108,"GEN"
"buono","DRA","GB",87,97,"GEN"
"mediocre","BEL","GB",77,158,"GEN"
"mediocre","POL","GB",71,100,"GEN"
"mediocre","AVV","GB",63,83,"GEN"
"mediocre","COM","GB",69,90,"GEN"
"mediocre","DRA","GB",68,121,"ADU"
"mediocre","COM","GB",92,89,"GEN"
"ottimo","COM","GB",46,104,"ADU"
"mediocre","THR","GB",92,128,"GEN"
"mediocre","DRA","GB",60,93,"ADU"
"mediocre","DRA","GB",67,148,"GEN"
"mediocre","DRA","GB",88,105,"GEN"
"buono","AVV","GB",78,135,"GEN"
"mediocre","COM","GB",49,92,"GEN"
"buono","GIA","GB",72,115,"ADU"
"buono","DRA","GB",88,112,"ADU"
"scadente","FAN","GER",83,96,"ADU"
"mediocre","DRA","GER",61,110,"GEN"
"mediocre","COM","GER",89,85,"ADU"
"ottimo","DRA","GER",31,99,"GEN"
"mediocre","COM","ITA",84,105,"TUT"
"mediocre","COM","ITA",58,95,"GEN"
