"durata","anno"
143,1966
150,1967
241,1994
337,1991
246,1994
122,1995
322,1996
258,1994
258,1994
307,1992
168,1995
181,1980
178,1980
283,1996
347,1992
218,1994
389,1976
122,1994
224,1980
149,1994
140,1994
416,1981
300,1995
324,1995
269,1993
266,1994
181,1995
303,1973
258,1977
294,1985
123,1994
144,1994
210,1994
241,1993
294,1994
322,1976
316,1993
191,1980
383,1995
259,1980
206,1994
506,1994
228,1993
182,1969
208,1989
297,1996
244,1972
269,1979
304,1994
274,1995
265,1996
260,1981
96,1980
354,1996
331,1994
238,1992
300,1995
269,1995
150,1994
237,1995
221,1976
282,1994
227,1966
275,1996
447,1981
496,1991
264,1996
230,1973
242,1995
199,1995
348,1967
272,1990
271,1995
145,1966
119,1994
124,1994
183,1996
351,1996
154,1994
153,1994
211,1995
270,1993
193,1994
176,1980
219,1995
157,1974
316,1973
170,1994
224,1995
191,1994
192,1994
317,1991
161,1974
274,1995
329,1996
134,1994
270,1979
355,1995
186,1980
159,1994
281,1995
375,1976
270,1995
403,1993
171,1994
97,1975
148,1966
328,1996
256,1996
255,1995
319,1995
536,1993
468,1993
267,1976
164,1993
381,1970
228,1979
135,1994
227,1994
159,1994
153,1994
625,1993
387,1991
234,1986
220,1994
471,1975
147,1980
227,1973
221,1996
309,1993
269,1993
281,1993
292,1972
351,1979
262,1993
187,1996
268,1994
320,1976
124,1994
234,1995
546,1994
134,1965
233,1981
167,1966
317,1996
254,1983
262,1986
151,1994
285,1996
134,1966
283,1991
208,1994
238,1984
122,1994
493,1995
299,1996
345,1995
358,1994
190,1994
166,1994
144,1960
131,1994
294,1980
187,1966
119,1994
168,1995
379,1994
334,1996
342,1979
340,1996
213,1978
267,1995
184,1995
280,1987
195,1968
496,1991
214,1995
285,1994
300,1994
386,1995
391,1991
236,1972
149,1973
151,1994
305,1995
247,1981
322,1991
316,1993
328,1988
243,1995
230,1973
677,1994
297,1996
271,1996
356,1996
182,1994
250,1980
237,1979
194,1968
134,1994
279,1994
300,1992
678,1967
617,1996
143,1994
138,1994
160,1967
446,1971
209,1994
342,1977
233,1994
371,1993
194,1994
344,1971
156,1966
241,1982
259,1991
306,1996
134,1994
160,1995
120,1994
70,1994
282,1991
282,1991
282,1991
190,1996
334,1974
177,1991
244,1980
364,1979
364,1994
316,1996
239,1978
300,1994
274,1996
236,1994
201,1980
496,1991
210,1995
164,1972
174,1966
305,1973
195,1995
140,1966
270,1995
269,1980
299,1996
496,1991
213,1994
264,1994
179,1974
180,1995
231,1993
209,1972
262,1994
222,1993
144,1978
339,1995
304,1991
253,1995
348,1971
319,1994
233,1993
344,1993
267,1995
236,1991
660,1993
336,1984
315,1994
317,1978
289,1996
227,1992
230,1991
425,1995
496,1991
220,1995
155,1994
336,1996
314,1995
285,1992
291,1993
272,1976
238,1994
220,1994
222,1993
206,1994
292,1993
265,1995
365,1996
131,1994
172,1994
213,1995
342,1979
181,1994
496,1991
155,1994
226,1994
234,1994
186,1967
312,1992
357,1994
248,1995
667,1973
255,1994
305,1994
304,1995
211,1994
243,1970
252,1993
257,1994
170,1975
228,1996
297,1979
157,1994
313,1994
273,1975
239,1994
184,1979
230,1994
186,1994
229,1995
124,1974
277,1994
340,1994
362,1984
168,1994
301,1996
258,1995
214,1994
193,1973
165,1964
105,1994
171,1994
181,1991
191,1994
325,1985
154,1991
155,1985
226,1993
172,1994
197,1994
131,1994
118,1994
307,1975
243,1995
159,1993
168,1974
250,1988
307,1993
317,1988
257,1988
243,1993
331,1993
228,1993
296,1991
323,1993
136,1994
30,1971
187,1994
768,1974
425,1994
511,1994
219,1995
195,1967
264,1994
237,1968
150,1994
158,1991
225,1994
496,1991
135,1994
396,1996
229,1991
152,1994
310,1995
200,1995
206,1976
269,1979
348,1994
216,1993
157,1977
130,1994
157,1988
174,1994
156,1994
251,1993
180,1993
207,1994
131,1994
248,1980
267,1975
323,1994
253,1993
226,1983
269,1994
205,1994
254,1994
207,1995
128,1986
511,1972
264,1993
277,1994
176,1977
221,1994
146,1969
150,1961
335,1972
213,1968
150,1966
166,1995
262,1994
370,1994
260,1994
328,1996
280,1994
154,1994
268,1996
218,1994
273,1994
217,1975
326,1996
254,1972
1022,1994
235,1995
374,1978
196,1995
146,1991
247,1992
244,1993
229,1993
333,1996
324,1995
465,1991
388,1977
175,1967
114,1995
349,1982
50,1995
50,1995
155,1994
216,1988
254,1995
272,1996
137,1966
230,1993
213,1995
315,1995
190,1991
474,1982
205,1967
133,1994
204,1995
144,1994
224,1993
195,1993
230,1988
131,1994
301,1994
310,1993
242,1994
228,1979
342,1994
188,1991
315,1993
145,1994
144,1994
129,1994
320,1996
145,1995
314,1996
122,1994
235,1979
185,1973
160,1994
157,1994
375,1996
293,1980
228,1995
139,1991
308,1967
145,1974
269,1981
371,1994
260,1995
156,1993
183,1988
218,1983
252,1994
225,1994
430,1991
329,1992
226,1993
119,1994
123,1994
212,1966
255,1992
219,1994
269,1993
263,1990
140,1960
198,1973
492,1972
288,1993
228,1977
125,1976
177,1993
226,1976
213,1970
335,1994
218,1979
241,1996
285,1978
184,1996
257,1982
261,1979
166,1980
182,1993
129,1974
277,1975
397,1995
327,1994
205,1989
210,1995
370,1995
183,1995
141,1994
141,1994
284,1991
332,1993
234,1985
183,1996
359,1967
291,1981
144,1994
165,1994
303,1996
204,1974
285,1978
225,1994
360,1973
303,1995
261,1996
235,1992
259,1993
199,1979
129,1977
247,1988
206,1994
238,1996
207,1996
266,1994
314,1994
121,1994
163,1994
215,1991
180,1994
311,1993
210,1994
528,1994
162,1994
376,1982
207,1984
208,1994
279,1995
244,1979
161,1994
327,1993
144,1994
262,1973
337,1979
330,1995
151,1971
310,1994
240,1988
233,1994
226,1983
355,1971
316,1971
194,1994
320,1995
316,1995
139,1994
156,1994
140,1980
263,1981
449,1996
183,1995
255,1994
209,1995
94,1994
328,1994
390,1994
279,1985
322,1994
366,1972
265,1986
358,1981
310,1995
305,1983
374,1995
245,1974
301,1995
243,1996
246,1994
173,1994
347,1971
177,1979
317,1982
137,1994
250,1994
186,1993
240,1973
320,1994
340,1995
189,1967
200,1994
456,1993
388,1993
351,1976
239,1994
205,1994
169,1994
310,1994
139,1994
157,1994
233,1994
262,1991
237,1995
166,1980
169,1980
264,1976
214,1995
214,1994
120,1995
252,1995
308,1982
332,1991
50,1995
255,1993
212,1958
164,1967
132,1994
174,1969
596,1991
251,1979
335,1992
215,1994
316,1996
164,1994
294,1996
277,1981
245,1994
496,1991
325,1996
159,1967
168,1967
220,1968
223,1973
180,1995
300,1973
171,1994
243,1995
162,1996
305,1995
215,1980
270,1995
500,1994
60,1995
180,1995
246,1979
158,1966
136,1994
136,1994
112,1966
215,1973
287,1991
305,1991
421,1993
231,1992
314,1979
780,1984
601,1994
279,1996
163,1993
279,1995
215,1994
273,1988
221,1986
255,1993
155,1994
153,1994
130,1994
254,1995
274,1995
257,1991
260,1975
264,1983
306,1980
162,1994
166,1991
351,1991
287,1996
161,1994
217,1994
420,1973
149,1994
152,1974
290,1993
300,1994
156,1994
179,1994
171,1967
219,1994
199,1993
243,1993
279,1993
333,1993
188,1972
256,1992
167,1965
305,1996
469,1991
347,1993
356,1993
222,1993
220,1995
424,1994
195,1980
357,1977
261,1979
220,1991
359,1994
244,1993
149,1994
278,1995
289,1996
300,1973
80,1995
583,1993
440,1988
405,1982
454,1984
271,1993
238,1967
203,1994
185,1994
275,1994
183,1994
144,1967
185,1980
239,1995
189,1995
167,1966
275,1980
273,1980
218,1994
255,1976
80,1995
288,1993
297,1967
160,1964
490,1975
328,1972
271,1995
140,1966
180,1966
352,1993
288,1994
258,1993
247,1971
140,1994
119,1994
350,1995
152,1996
265,1993
165,1993
104,1995
146,1994
147,1991
164,1995
193,1972
217,1975
241,1993
298,1986
186,1995
133,1994
258,1994
131,1994
128,1994
324,1994
109,1994
221,1982
220,1979
196,1994
277,1972
363,1982
594,1974
381,1973
304,1994
161,1996
606,1993
496,1984
498,1994
673,1993
206,1996
425,1991
300,1993
286,1986
363,1996
234,1993
247,1988
178,1994
237,1994
392,1972
293,1992
295,1986
215,1974
317,1993
286,1991
330,1985
321,1993
313,1994
358,1994
255,1993
159,1994
231,1992
146,1994
189,1995
170,1967
366,1995
80,1995
267,1995
336,1995
185,1971
168,1994
182,1965
168,1980
195,1995
260,1996
199,1978
279,1993
239,1982
233,1994
194,1993
252,1971
346,1996
330,1971
303,1980
279,1993
496,1991
274,1976
164,1994
358,1976
210,1988
218,1979
151,1993
299,1995
813,1975
741,1975
174,1994
657,1995
187,1982
288,1994
354,1984
207,1984
275,1994
222,1994
231,1995
282,1979
249,1978
295,1970
307,1994
429,1995
761,1996
456,1996
204,1995
281,1995
158,1994
285,1988
227,1992
293,1971
253,1994
140,1966
192,1996
337,1993
321,1993
361,1984
285,1994
456,1994
284,1993
349,1988
131,1994
177,1994
201,1994
329,1993
168,1995
196,1996
229,1996
168,1967
270,1994
182,1980
165,1995
154,1991
398,1991
177,1978
198,1979
167,1974
155,1994
154,1994
342,1996
170,1995
285,1994
548,1975
178,1995
179,1994
170,1991
301,1983
141,1994
236,1994
265,1996
207,1994
348,1995
258,1994
210,1993
205,1995
200,1995
253,1993
196,1995
322,1995
308,1976
232,1983
334,1978
638,1993
658,1984
215,1993
273,1988
116,1994
167,1996
255,1996
482,1992
239,1995
365,1993
136,1994
226,1994
269,1994
215,1994
480,1974
194,1994
140,1991
372,1994
332,1988
323,1996
216,1994
274,1993
289,1974
197,1996
112,1994
159,1994
855,1982
823,1984
169,1994
182,1966
80,1995
135,1994
182,1994
161,1995
302,1995
172,1988
320,1996
438,1994
463,1994
257,1991
325,1993
141,1994
404,1994
270,1991
291,1993
180,1986
263,1995
153,1994
248,1995
257,1983
228,1976
304,1995
110,1994
314,1995
314,1995
351,1995
322,1995
160,1976
275,1994
428,1994
460,1994
345,1995
208,1994
204,1980
280,1994
350,1994
175,1983
246,1995
188,1996
366,1995
300,1995
185,1974
146,1994
167,1974
170,1974
370,1996
270,1994
208,1996
187,1995
245,1996
273,1994
223,1993
204,1995
193,1995
413,1993
153,1995
150,1991
431,1994
134,1991
300,1994
176,1995
291,1995
135,1994
198,1993
259,1996
288,1995
217,1994
266,1991
298,1982
239,1995
247,1996
193,1994
265,1993
360,1995
241,1993
337,1992
184,1994
353,1967
193,1978
151,1996
172,1994
256,1995
320,1996
148,1994
237,1994
226,1986
207,1994
665,1994
863,1984
308,1982
233,1994
126,1994
145,1994
357,1996
291,1984
240,1994
190,1977
250,1970
183,1995
263,1973
233,1995
202,1994
182,1968
380,1996
162,1966
270,1994
109,1994
240,1970
140,1965
220,1991
345,1996
213,1994
157,1991
179,1994
331,1995
350,1974
382,1993
156,1994
310,1994
233,1993
185,1967
314,1996
141,1994
304,1994
266,1991
296,1974
183,1995
396,1994
276,1996
356,1972
174,1994
245,1995
373,1996
230,1989
262,1993
280,1983
280,1983
181,1995
194,1993
304,1994
243,1995
242,1980
234,1980
127,1994
213,1996
286,1972
295,1995
121,1994
388,1993
306,1993
251,1994
268,1972
139,1988
384,1994
144,1994
259,1983
322,1978
454,1993
421,1993
278,1994
408,1994
133,1974
153,1995
446,1975
230,1994
288,1996
384,1993
261,1994
306,1991
279,1986
171,1972
170,1991
174,1994
409,1996
301,1991
293,1995
334,1996
218,1980
357,1994
223,1979
114,1994
324,1993
309,1974
165,1994
402,1994
147,1994
535,1994
203,1981
143,1994
158,1994
223,1994
290,1994
313,1994
287,1991
282,1978
317,1995
340,1975
290,1996
124,1994
343,1993
124,1995
304,1979
195,1976
109,1994
195,1967
239,1994
408,1993
359,1991
228,1976
164,1974
184,1994
439,1992
496,1991
261,1972
265,1994
232,1995
327,1995
335,1993
343,1993
218,1996
114,1994
341,1995
268,1994
394,1993
180,1994
302,1994
394,1993
158,1991
152,1994
196,1986
