file	num_segments	speech_seconds	num_words	video_seconds
Kino1-2A.1.mpg	49	0	101	1516
Kino100.1.mpg	4	276	6	705
Kino101.1.mpg	32	0	67	803
Kino102.1.mpg	12	1	79	654
Kino103.1.mpg	1	0	2	756
Kino104.1.mpg	35	50	542	575
Kino105.1.mpg	3	0	4	854
Kino106.1.mpg	2	67	4	876
Kino107.1.mpg	5	2	7	662
Kino108.1.mpg	14	76	20	680
Kino109.1.mpg	1	9	3	469
Kino10A.1.mpg	4	96	35	662
Kino10B.1.mpg	3	14	22	675
Kino10C.1.mpg	4	0	14	550
Kino110.1 Tecknad reklamfilm 1926.mpg	10	98	49	624
Kino112.1.mpg	18	10	315	539
Kino114.1.mpg	1	21	2	798
Kino115.1.mpg	9	109	47	559
Kino116.1.mpg	6	1	10	820
Kino117.1.mpg	26	35	123	955
Kino118.1.mpg	20	73	37	936
Kino119.1.mpg	26	48	46	765
Kino11A.1.mpg	12	78	17	487
Kino11B.1.mpg	2	0	3	764
Kino11C.1.mpg	2	0	2	697
Kino12.1.mpg	5	1	60	544
Kino120.1.mpg	7	12	14	786
Kino121.1.mpg	11	12	66	780
Kino122.1.mpg	8	0	11	669
Kino124.1.mpg	11	1	20	679
Kino125.1.mpg	4	0	5	607
Kino126.1.mpg	9	5	13	609
Kino127.1.mpg	5	177	8	657
Kino128.1.mpg	34	29	373	807
Kino129B.1.mpg	1	0	1	986
Kino131A-B.1.mpg	32	441	183	1546
Kino131A.1.mpg	19	215	119	861
Kino132.1.mpg	15	11	235	758
Kino133.1.mpg	1	4	1	430
Kino134.1.mpg	12	0	85	823
Kino136.1.mpg	2	16	5	430
Kino139.1.mpg	42	66	427	855
Kino13C.1.mpg	2	0	4	578
Kino140.1.mpg	8	2	25	926
Kino141.1.mpg	1	2	6	327
Kino142A.1.mpg	1	13	5	791
Kino142B.1.mpg	1	24	5	676
Kino143A.1.mpg	10	10	133	612
Kino143B.1.mpg	17	11	214	836
Kino143C.1.mpg	20	66	328	846
Kino143D.1.mpg	3	0	6	271
Kino143E.1.mpg	1	0	1	703
Kino143F.1.mpg	5	0	39	626
Kino144A-E.1.mpg	138	44	2446	5245
