RPM,power
1013.2412,0.9888
1108.9707,1.0971
1333.0542,1.3478
1521.7562,1.5576
1661.1383,1.7036
1770.4996,1.8221
1875.5723,1.9342
2143.6148,2.1461
2387.5335,2.2485
2518.8744,2.2671
2610.0088,2.3030
2774.0508,2.4716
2934.3403,2.6240
3033.5160,2.7159
3162.1764,2.7820
3344.4453,3.0105
3490.2605,3.1499
3598.7028,3.2563
3687.5398,3.3371
3852.9603,3.5498
4032.1659,3.8085
4207.5423,4.0163
4330.8418,4.1185
4405.8937,4.1904
4604.2452,4.3796
4746.8438,4.5051
4891.4336,4.6441
4993.4429,4.7365
5187.3866,4.9057
5271.6711,4.9484
5527.0773,5.1881
5606.7242,5.2538
5805.0757,5.4074
5909.0762,5.4751
5992.7055,5.5268
6262.5349,5.6837
6372.5600,5.7342
6482.3298,5.7903
6571.6773,5.8286
6855.8024,5.9643
7029.1366,5.9963
7148.8622,6.0418
7279.3096,6.0921
7410.6504,6.1232
7587.5585,6.1304
7654.5691,6.1304
7944.0550,6.1208
8091.4784,6.2166
8228.1801,6.3101
8460.8410,6.4739
