RPM,power
956.1865,0.8677
1059.1914,0.9497
1177.9470,1.0073
1291.6520,1.1208
1466.9564,1.2345
1570.0038,1.2830
1789.7987,1.5285
1923.0541,1.6580
2047.0059,1.7722
2143.6148,1.7611
2261.5535,1.7284
2379.4923,1.6990
2497.4310,1.6663
2615.3697,1.6555
2733.3084,1.6984
2851.2471,1.7421
2969.1858,1.7865
3087.1245,1.8342
3205.0632,1.8533
3323.0019,1.8610
3440.9406,1.8708
3558.8794,1.8780
3676.8181,1.8930
3794.7568,1.9629
3912.6955,2.0328
4030.6342,2.1033
4148.5729,2.1782
4266.5116,2.2292
4384.4503,2.2849
4502.3890,2.3411
4620.3277,2.3953
4738.2665,2.4440
4856.2052,2.4809
4974.1439,2.5155
5092.0826,2.5495
5210.0213,2.5870
5327.9600,2.6354
5445.8987,2.7102
5563.8374,2.7820
5681.7761,2.8513
5799.7148,2.9160
5917.6536,2.9493
6035.5923,2.9741
6153.5310,3.0002
6271.4697,3.0318
6389.4084,3.0456
6507.3471,3.0590
6625.2858,3.0642
6743.2245,3.0766
6861.1632,3.0908
6979.1020,3.1002
7097.0407,3.1139
7214.9794,3.1282
7332.9181,3.1413
7418.6917,3.1485

