RPM,power
1044.6405,1.0108
1140.3700,1.1109
1307.3222,1.3019
1836.9742,1.8537
1947.9438,2.0006
2057.8412,2.1425
2229.3884,2.1695
2520.4060,2.2103
2647.5348,2.2775
2765.4735,2.3646
2879.1235,2.4458
3001.3509,2.5312
3119.2896,2.6114
3237.2283,2.7180
3355.1670,2.8075
3473.1057,2.9055
3589.9723,3.0116
3708.9832,3.1079
3826.9219,3.2661
3944.8606,3.4124
4062.7993,3.5600
4180.7380,3.6974
4295.4602,3.7941
4427.3371,3.8860
4545.2758,3.9748
4663.2145,4.0666
4780.0811,4.1338
4899.0920,4.2185
5017.0307,4.3021
5139.7346,4.3820
5252.9081,4.4598
5370.8468,4.5555
5488.7855,4.6476
5606.7242,4.7430
5724.6629,4.8466
5842.6017,4.9184
5960.5404,5.0030
6078.4791,5.0807
6191.6526,5.1524
6325.0782,5.2423
6443.0169,5.2806
6563.1000,5.3292
6678.8943,5.3746
6796.8330,5.4195
6882.6066,5.4327
7043.4322,5.4530
7134.5666,5.4430
7391.8874,5.4474
7911.8899,5.4473
8025.5400,5.4344
8148.9587,5.4127
8265.7061,5.3975
8383.6448,5.3727
8480.1401,5.3495

