RPM,power
1012.4754,0.8695
1117.9054,1.0264
1239.4181,1.1821
1336.8068,1.2983
1545.3439,1.5478
1623.6123,1.6539
2261.5535,2.2417
2400.9357,2.3150
2547.4656,2.4036
2647.5348,2.4635
2765.4735,2.5316
2922.0103,2.6182
3067.4681,2.6990
3172.8981,2.7820
3287.2629,2.9257
3412.7962,3.0668
3531.4795,3.1996
3639.2921,3.3102
3784.0351,3.5349
4033.3146,3.9048
4142.1399,4.0567
4202.1814,4.1652
4346.9244,4.2934
4456.2857,4.4045
4545.2758,4.4993
4758.3696,4.7077
4892.6589,4.8859
4987.5460,5.0059
5149.9798,5.2049
5262.5576,5.3417
5393.6304,5.4119
5512.9093,5.4730
5634.6007,5.5355
5788.9931,5.6179
5934.5019,5.7404
6003.4272,5.7999
6184.5048,5.9660
6308.4000,6.0815
6421.5735,6.1442
6577.0382,6.2334
6696.3171,6.2993
6836.6565,6.3573
7046.1126,6.4717
7170.7524,6.5328
7303.8163,6.6005
7397.2483,6.6118
7627.7649,6.6621
7933.3333,6.7029
8061.9937,6.7627
8207.8089,6.8605
8297.8712,6.9208
8463.2917,7.0459
