# Exhaustive Strategy Benchmark Results - Combined
"# All Tests: 10000 entities, 100000 entities"
# Total combinations per test: 1078

=== DETAILED RESULTS - 10000 Entities ===
# Successful: 1078 / 1078

Rank,Configuration,Node Mode,Edge Mode,Total Time (ms),Peak Memory (MB),Operations/sec,Insert Time (ms),Insert Memory (MB),Read Time (ms),Read Memory (MB),Update Time (ms),Update Memory (MB),Relationships Time (ms),Relationships Memory (MB)
1,SET_HASH+ADJ_MATRIX,SET_HASH,ADJ_MATRIX,9.52,524.0,5251880,7.82,524.0,0.03,524.0,0.03,524.0,1.64,524.0
2,SET_HASH+BLOCK_ADJ_MATRIX,SET_HASH,BLOCK_ADJ_MATRIX,9.52,525.0,5251880,7.80,525.0,0.03,525.0,0.03,525.0,1.65,525.0
3,HEAP+INCIDENCE_MATRIX,HEAP,INCIDENCE_MATRIX,9.61,516.9,5203888,7.77,516.9,0.03,516.9,0.03,516.9,1.78,516.9
4,ORDERED_MAP+R_TREE,ORDERED_MAP,R_TREE,9.64,269.9,5189144,7.92,269.9,0.04,269.9,0.03,269.9,1.65,269.9
5,STACK+None,STACK,None,9.64,344.7,5186991,7.81,344.7,0.03,344.7,0.03,344.7,1.77,344.7
6,PATRICIA+EDGE_LIST,PATRICIA,EDGE_LIST,9.64,495.7,5185431,7.95,495.7,0.03,495.7,0.03,495.7,1.63,495.7
7,PATRICIA+WEIGHTED_GRAPH,PATRICIA,WEIGHTED_GRAPH,9.67,493.8,5172182,7.93,493.8,0.03,493.8,0.03,493.8,1.67,493.8
8,HEAP+TEMPORAL_EDGESET,HEAP,TEMPORAL_EDGESET,9.67,507.7,5169401,7.91,507.7,0.03,507.7,0.03,507.7,1.70,507.7
9,PATRICIA+COMPRESSED_GRAPH,PATRICIA,COMPRESSED_GRAPH,9.69,496.8,5161876,7.97,496.8,0.03,496.8,0.03,496.8,1.65,496.8
10,HEAP+EDGE_LIST,HEAP,EDGE_LIST,9.70,517.8,5153205,7.96,517.8,0.04,517.8,0.03,517.8,1.67,517.8
11,BITMAP+EDGE_LIST,BITMAP,EDGE_LIST,9.71,627.5,5147316,7.90,627.5,0.03,627.5,0.03,627.5,1.75,627.5
12,RADIX_TRIE+CSC,RADIX_TRIE,CSC,9.72,461.0,5142128,7.93,461.0,0.05,461.0,0.03,461.0,1.71,461.0
13,BITMAP+FLOW_NETWORK,BITMAP,FLOW_NETWORK,9.73,623.3,5138482,8.00,623.3,0.04,623.3,0.03,623.3,1.66,623.3
14,BITMAP+INCIDENCE_MATRIX,BITMAP,INCIDENCE_MATRIX,9.75,626.4,5130520,7.95,626.4,0.03,626.4,0.03,626.4,1.73,626.4
15,SET_HASH+None,SET_HASH,None,9.75,519.7,5129573,8.04,519.7,0.03,519.7,0.03,519.7,1.64,519.7
16,BITSET_DYNAMIC+DYNAMIC_ADJ_LIST,BITSET_DYNAMIC,DYNAMIC_ADJ_LIST,9.75,632.3,5125944,7.92,632.3,0.03,632.3,0.03,632.3,1.77,632.3
17,PATRICIA+INCIDENCE_MATRIX,PATRICIA,INCIDENCE_MATRIX,9.75,494.8,5125682,7.98,494.8,0.03,494.8,0.03,494.8,1.72,494.8
18,ORDERED_MAP_BALANCED+QUADTREE,ORDERED_MAP_BALANCED,QUADTREE,9.76,292.9,5121219,8.04,292.9,0.04,292.9,0.03,292.9,1.66,292.9
19,ARRAY_LIST+HYPEREDGE_SET,ARRAY_LIST,HYPEREDGE_SET,9.77,311.7,5120223,7.97,311.7,0.04,311.7,0.03,311.7,1.72,311.7
20,BITSET_DYNAMIC+ADJ_MATRIX,BITSET_DYNAMIC,ADJ_MATRIX,9.77,633.3,5116607,7.90,633.3,0.04,633.3,0.03,633.3,1.80,633.3
21,QUEUE+ADJ_MATRIX,QUEUE,ADJ_MATRIX,9.78,370.5,5110593,8.02,370.5,0.04,370.5,0.03,370.5,1.70,370.5
22,BITMAP+WEIGHTED_GRAPH,BITMAP,WEIGHTED_GRAPH,9.80,625.4,5104489,8.01,625.4,0.04,625.4,0.03,625.4,1.72,625.4
23,TREE_GRAPH_HYBRID+BLOCK_ADJ_MATRIX,TREE_GRAPH_HYBRID,BLOCK_ADJ_MATRIX,9.80,223.1,5103395,8.03,223.1,0.04,223.1,0.03,223.1,1.70,223.1
24,DEQUE+BIDIR_WRAPPER,DEQUE,BIDIR_WRAPPER,9.80,419.2,5101520,7.91,419.2,0.03,419.2,0.03,419.2,1.83,419.2
25,TREE_GRAPH_HYBRID+FLOW_NETWORK,TREE_GRAPH_HYBRID,FLOW_NETWORK,9.80,234.3,5101416,7.99,234.3,0.04,234.3,0.03,234.3,1.75,234.3
26,BITSET_DYNAMIC+ADJ_LIST,BITSET_DYNAMIC,ADJ_LIST,9.80,631.4,5100167,7.97,631.4,0.03,631.4,0.03,631.4,1.77,631.4
27,QUEUE+HYPEREDGE_SET,QUEUE,HYPEREDGE_SET,9.80,377.2,5099751,8.04,377.2,0.04,377.2,0.03,377.2,1.70,377.2
28,SET_HASH+WEIGHTED_GRAPH,SET_HASH,WEIGHTED_GRAPH,9.81,537.8,5098919,7.97,537.8,0.03,537.8,0.03,537.8,1.77,537.8
29,RADIX_TRIE+OCTREE,RADIX_TRIE,OCTREE,9.81,468.9,5098555,8.00,468.9,0.04,468.9,0.03,468.9,1.75,468.9
30,HEAP+BIDIR_WRAPPER,HEAP,BIDIR_WRAPPER,9.81,506.8,5095385,7.99,506.8,0.04,506.8,0.03,506.8,1.76,506.8
31,STACK+TREE_GRAPH_BASIC,STACK,TREE_GRAPH_BASIC,9.82,345.7,5093673,8.04,345.7,0.04,345.7,0.03,345.7,1.71,345.7
32,PATRICIA+NEURAL_GRAPH,PATRICIA,NEURAL_GRAPH,9.83,492.9,5088799,8.03,492.9,0.03,492.9,0.03,492.9,1.73,492.9
33,RADIX_TRIE+FLOW_NETWORK,RADIX_TRIE,FLOW_NETWORK,9.83,469.8,5087712,8.07,469.8,0.04,469.8,0.03,469.8,1.69,469.8
34,TRIE+TREE_GRAPH_BASIC,TRIE,TREE_GRAPH_BASIC,9.83,433.2,5085176,7.94,433.2,0.04,433.2,0.03,433.2,1.83,433.2
35,TRIE+CSC,TRIE,CSC,9.83,439.2,5084194,8.11,439.2,0.04,439.2,0.03,439.2,1.65,439.2
36,PATRICIA+FLOW_NETWORK,PATRICIA,FLOW_NETWORK,9.84,491.9,5083574,8.03,491.9,0.03,491.9,0.03,491.9,1.74,491.9
37,ORDERED_MAP+NEURAL_GRAPH,ORDERED_MAP,NEURAL_GRAPH,9.84,273.8,5082179,7.93,273.8,0.04,273.8,0.03,273.8,1.85,273.8
38,ORDERED_MAP+OCTREE,ORDERED_MAP,OCTREE,9.84,271.9,5079752,8.07,271.9,0.03,271.9,0.03,271.9,1.72,271.9
39,RADIX_TRIE+COMPRESSED_GRAPH,RADIX_TRIE,COMPRESSED_GRAPH,9.84,475.1,5079443,7.99,475.1,0.03,475.1,0.03,475.1,1.78,475.1
40,HEAP+CSR,HEAP,CSR,9.85,503.8,5077327,8.08,503.8,0.03,503.8,0.03,503.8,1.71,503.8
41,SET_HASH+BIDIR_WRAPPER,SET_HASH,BIDIR_WRAPPER,9.85,528.8,5076503,7.96,528.8,0.04,528.8,0.03,528.8,1.82,528.8
42,UNION_FIND+INCIDENCE_MATRIX,UNION_FIND,INCIDENCE_MATRIX,9.85,845.6,5074133,8.03,845.6,0.03,845.6,0.03,845.6,1.76,845.6
43,RADIX_TRIE+QUADTREE,RADIX_TRIE,QUADTREE,9.86,467.9,5072897,8.13,467.9,0.03,467.9,0.03,467.9,1.67,467.9
44,SKIP_LIST+R_TREE,SKIP_LIST,R_TREE,9.86,993.1,5070428,8.05,993.1,0.03,993.1,0.03,993.1,1.75,993.1
45,TREE_GRAPH_HYBRID+COO,TREE_GRAPH_HYBRID,COO,9.86,226.2,5069246,8.06,226.2,0.04,226.2,0.06,226.2,1.71,226.2
46,TREE_GRAPH_HYBRID+CSC,TREE_GRAPH_HYBRID,CSC,9.86,225.2,5068475,8.09,225.2,0.03,225.2,0.03,225.2,1.71,225.2
47,ORDERED_MAP+ADJ_MATRIX,ORDERED_MAP,ADJ_MATRIX,9.87,260.9,5067859,8.09,260.9,0.04,260.9,0.03,260.9,1.71,260.9
48,LINKED_LIST+EDGE_PROPERTY_STORE,LINKED_LIST,EDGE_PROPERTY_STORE,9.87,334.7,5067653,8.07,334.7,0.04,334.7,0.03,334.7,1.73,334.7
49,RADIX_TRIE+R_TREE,RADIX_TRIE,R_TREE,9.87,467.0,5067242,8.01,467.0,0.03,467.0,0.03,467.0,1.80,467.0
50,ORDERED_MAP+HYPEREDGE_SET,ORDERED_MAP,HYPEREDGE_SET,9.87,268.0,5067242,8.09,268.0,0.04,268.0,0.03,268.0,1.71,268.0

=== SUMMARY - 10000 Entities ===

Metric,Value
Total Combinations Tested,1078
Successful,1078
Failed,0
Fastest Time (ms),9.52
Slowest Time (ms),286.93
Average Time (ms),14.73
Lowest Memory (MB),217.9
Highest Memory (MB),1285.8
Average Memory (MB),749.7
Winner (Fastest),SET_HASH+ADJ_MATRIX
Memory Champion,TREE_GRAPH_HYBRID+None

=== DETAILED RESULTS - 100000 Entities ===
# Successful: 1078 / 1078

Rank,Configuration,Node Mode,Edge Mode,Total Time (ms),Peak Memory (MB),Operations/sec,Insert Time (ms),Insert Memory (MB),Read Time (ms),Read Memory (MB),Update Time (ms),Update Memory (MB),Relationships Time (ms),Relationships Memory (MB)
1,STACK+NEURAL_GRAPH,STACK,NEURAL_GRAPH,274.65,1716.7,182047,86.21,1716.7,0.52,1716.7,0.26,1716.7,187.66,1716.7
2,CUCKOO_HASH+FLOW_NETWORK,CUCKOO_HASH,FLOW_NETWORK,276.14,4098.0,181068,85.10,4098.0,0.46,4098.0,0.26,4098.0,190.32,4098.0
3,QUEUE+None,QUEUE,None,278.11,1766.1,179787,84.38,1766.1,0.48,1766.1,0.26,1766.1,192.99,1766.1
4,BITMAP+None,BITMAP,None,279.54,4157.7,178864,82.53,4157.6,0.51,4157.6,0.27,4157.7,196.23,4156.8
