Year,Central prices,Higher prices,Lower prices,Energy supplier's margin,Delivery costs (eur/year)
2025,0.11,0.13,0.08,0.02,60
2026,0.11,0.12,0.08,0.02,60
2027,0.1,0.12,0.07,0.02,60
2028,0.1,0.12,0.07,0.02,60
2029,0.09,0.11,0.06,0.02,60
2030,0.09,0.1,0.05,0.02,60
2031,0.08,0.1,0.05,0.02,60
2032,0.08,0.1,0.05,0.02,60
2033,0.08,0.1,0.05,0.02,60
2034,0.09,0.1,0.05,0.02,60
2035,0.09,0.11,0.06,0.02,60
2036,0.09,0.11,0.06,0.02,60
2037,0.1,0.12,0.06,0.02,60
2038,0.1,0.12,0.06,0.02,60
2039,0.1,0.12,0.06,0.02,60
2040,0.1,0.12,0.06,0.02,60
