,Stress (MPa),Build orientation,Defect depth (um),Defect size (um),Distance to surface (um),Nf (cycle)
Stress (MPa),7611.742424242424,-921.4285714285713,-864.5562770562769,958.0303030303027,6616.893939393939,-10096266341.99134
Build orientation,-921.4285714285713,1350.0,-105.00000000000001,2.142857142857116,-1815.0000000000002,-643874999.9999999
Defect depth (um),-864.5562770562769,-105.00000000000001,658.0887445887446,-102.7272727272727,556.7597402597402,2269126493.5064926
Defect size (um),958.0303030303027,2.142857142857116,-102.7272727272727,668.2597402597402,1939.9480519480521,-1614002965.3679652
Distance to surface (um),6616.893939393939,-1815.0000000000002,556.7597402597402,1939.9480519480521,115047.01515151518,-12372747121.21212
Nf (cycle),-10096266341.99134,-643874999.9999999,2269126493.5064926,-1614002965.3679652,-12372747121.21212,2.6509013677922076e+16
