https://doi.org/10.1371/journal.pone.0254482
Wavelength (nm)	Absolute spectral value (W/m2/nm)
380	0.00E+00
381	0.00E+00
382	7.28E-04
383	0.00E+00
384	0.00E+00
385	0.00E+00
386	0.00E+00
387	0.00E+00
388	0.00E+00
389	0.00E+00
390	0.00E+00
391	0.00E+00
392	0.00E+00
393	0.00E+00
394	0.00E+00
395	0.00E+00
396	0.00E+00
397	5.69E-04
398	7.48E-04
399	0.00E+00
400	0.00E+00
401	7.90E-04
402	7.06E-04
403	0.00E+00
404	9.51E-05
405	6.81E-04
406	1.14E-03
407	1.54E-03
408	1.60E-03
409	1.61E-03
410	2.77E-03
411	3.90E-03
412	4.17E-03
413	4.60E-03
414	6.03E-03
415	7.55E-03
416	9.42E-03
417	1.11E-02
418	1.24E-02
419	1.49E-02
420	1.90E-02
421	2.33E-02
422	2.77E-02
423	3.31E-02
424	3.91E-02
425	4.61E-02
426	5.35E-02
427	6.31E-02
428	7.30E-02
429	8.60E-02
430	9.96E-02
431	1.17E-01
432	1.35E-01
433	1.55E-01
434	1.77E-01
435	2.02E-01
436	2.31E-01
437	2.64E-01
438	3.00E-01
439	3.38E-01
440	3.86E-01
441	4.35E-01
442	4.90E-01
443	5.44E-01
444	6.07E-01
445	6.69E-01
446	7.28E-01
447	7.82E-01
448	8.29E-01
449	8.71E-01
450	9.07E-01
451	9.29E-01
452	9.40E-01
453	9.35E-01
454	9.24E-01
455	8.96E-01
456	8.65E-01
457	8.17E-01
458	7.68E-01
459	7.16E-01
460	6.63E-01
461	6.10E-01
462	5.59E-01
463	5.11E-01
464	4.68E-01
465	4.29E-01
466	3.94E-01
467	3.60E-01
468	3.31E-01
469	3.03E-01
470	2.76E-01
471	2.52E-01
472	2.31E-01
473	2.10E-01
474	1.89E-01
475	1.71E-01
476	1.55E-01
477	1.41E-01
478	1.27E-01
479	1.16E-01
480	1.05E-01
481	9.58E-02
482	8.74E-02
483	7.94E-02
484	7.30E-02
485	6.82E-02
486	6.38E-02
487	5.96E-02
488	5.58E-02
489	5.20E-02
490	4.90E-02
491	4.61E-02
492	4.39E-02
493	4.20E-02
494	4.04E-02
495	3.94E-02
496	3.88E-02
497	3.87E-02
498	3.87E-02
499	3.87E-02
500	3.90E-02
501	4.05E-02
502	4.16E-02
503	4.22E-02
504	4.31E-02
505	4.42E-02
506	4.61E-02
507	4.81E-02
508	4.98E-02
509	5.15E-02
510	5.32E-02
511	5.50E-02
512	5.70E-02
513	5.84E-02
514	5.94E-02
515	6.11E-02
516	6.29E-02
517	6.49E-02
518	6.70E-02
519	6.90E-02
520	7.10E-02
521	7.30E-02
522	7.43E-02
523	7.54E-02
524	7.61E-02
525	7.69E-02
526	7.85E-02
527	8.00E-02
528	8.14E-02
529	8.29E-02
530	8.44E-02
531	8.56E-02
532	8.66E-02
533	8.71E-02
534	8.79E-02
535	8.93E-02
536	9.04E-02
537	9.11E-02
538	9.20E-02
539	9.29E-02
540	9.45E-02
541	9.59E-02
542	9.62E-02
543	9.70E-02
544	9.85E-02
545	9.98E-02
546	1.01E-01
547	1.02E-01
548	1.03E-01
549	1.04E-01
550	1.06E-01
551	1.07E-01
552	1.09E-01
553	1.11E-01
554	1.11E-01
555	1.12E-01
556	1.14E-01
557	1.15E-01
558	1.16E-01
559	1.17E-01
560	1.18E-01
561	1.20E-01
562	1.22E-01
563	1.24E-01
564	1.25E-01
565	1.27E-01
566	1.28E-01
567	1.30E-01
568	1.31E-01
569	1.33E-01
570	1.35E-01
571	1.37E-01
572	1.38E-01
573	1.39E-01
574	1.41E-01
575	1.42E-01
576	1.43E-01
577	1.44E-01
578	1.46E-01
579	1.47E-01
580	1.49E-01
581	1.50E-01
582	1.51E-01
583	1.52E-01
584	1.53E-01
585	1.54E-01
586	1.54E-01
587	1.56E-01
588	1.57E-01
589	1.58E-01
590	1.58E-01
591	1.58E-01
592	1.60E-01
593	1.61E-01
594	1.60E-01
595	1.60E-01
596	1.60E-01
597	1.60E-01
598	1.60E-01
599	1.61E-01
600	1.60E-01
601	1.60E-01
602	1.60E-01
603	1.59E-01
604	1.59E-01
605	1.58E-01
606	1.59E-01
607	1.59E-01
608	1.58E-01
609	1.58E-01
610	1.58E-01
611	1.57E-01
612	1.57E-01
613	1.57E-01
614	1.57E-01
615	1.57E-01
616	1.56E-01
617	1.56E-01
618	1.57E-01
619	1.58E-01
620	1.59E-01
621	1.60E-01
622	1.60E-01
623	1.61E-01
624	1.63E-01
625	1.66E-01
626	1.68E-01
627	1.71E-01
628	1.75E-01
629	1.79E-01
630	1.85E-01
631	1.91E-01
632	1.98E-01
633	2.06E-01
634	2.15E-01
635	2.25E-01
636	2.36E-01
637	2.47E-01
638	2.62E-01
639	2.78E-01
640	2.96E-01
641	3.15E-01
642	3.35E-01
643	3.59E-01
644	3.83E-01
645	4.09E-01
