id,atomic_number,short_name,molar_mass,atom_radius,electric_number,ionisation_level,energy_levels
2,1,H,1.0008,53,2.2,13.598,1
1,2,He,4.0002,31,0,24.587,2
3,3,Li,6.94,167,0.98,5.391,2 1
4,4,Be,9.0121,112,1.57,9.323,2 2
5,5,B,10.81,87,2.04,8.298,2 2 1
6,6,C,12.011,67,2.55,11.261,2 2 2
7,7,N,14.007,56,3.04,14.534,2 2 3
8,8,O,15.999,48,3.44,13.618,2 2 4
9,9,F,18.998,42,3.98,17.422,2 2 5
10,10,Ne,20.1797,38,0,21.565,2 2 6
11,11,Na,22.9897,190,0.93,5.139,2 2 6 1
12,12,Mg,24.305,145,1.31,7.646,2 2 6 2
13,13,Al,26.9815,118,1.61,5.985,2 2 6 2 1
14,14,Si,28.085,111,1.9,8.151,2 2 6 2 2
15,15,P,30.973,98,2.19,10.487,2 2 6 2 3
16,16,S,32.06,88,2.98,10.36,2 2 6 2 4
17,17,Cl,35.45,79,3.16,12.968,2 2 6 2 5
18,18,Ar,39.948,71,0,15.76,2 2 6 2 6
19,19,K,39.0983,243,0.82,4.341,2 2 6 2 6 0 1
20,20,Ca,40.078,194,1,6.113,2 2 6 2 6 0 2
21,21,Sc,44.9559,184,1.36,6.562,2 2 6 2 6 1 2
22,22,Ti,47.867,176,1.54,6.828,2 2 6 2 6 2 2
23,23,V,50.9415,171,1.63,6.746,2 2 6 2 6 3 2
24,24,Cr,51.9961,166,1.66,6.767,2 2 6 2 6 5 1
25,25,Mn,54.938,161,1.55,7.434,2 2 6 2 6 5 2
26,26,Fe,55.845,156,1.83,7.903,2 2 6 2 6 6 2
27,27,Co,58.9331,152,1.88,7.881,2 2 6 2 6 7 2
28,28,Ni,58.6934,149,1.91,7.64,2 2 6 2 6 8 2
29,29,Cu,64.546,145,1.9,7.727,2 2 6 2 6 10 1
30,30,Zn,65.38,142,1.65,9.394,2 2 6 2 6 10 2
31,31,Ga,69.723,136,1.81,5.999,2 2 6 2 6 10 2 1
32,32,Ge,72.63,125,2.01,7.9,2 2 6 2 6 10 2 2
33,33,As,74.9216,114,2.18,9.815,2 2 6 2 6 10 2 3
34,34,Se,78.971,103,2.55,9.753,2 2 6 2 6 10 2 4
35,35,Br,79.904,94,2.96,11.814,2 2 6 2 6 10 2 5
36,36,Kr,83.796,88,3,14,2 2 6 2 6 10 2 6
37,37,Rb,85.4678,265,0.82,4.177,2 2 6 2 6 10 2 6 0 1
38,38,Sr,87.62,219,0.95,5.695,2 2 6 2 6 10 2 6 0 2
39,39,Y,88.905,212,1.22,6.22,2 2 6 2 6 10 2 6 1 2
40,40,Zr,91.224,206,1.33,6.634,2 2 6 2 6 10 2 6 2 2
41,41,Nb,92.906,198,1.6,6.759,2 2 6 2 6 10 2 6 4 1
42,42,Mo,95.95,190,2.16,7.092,2 2 6 2 6 10 2 6 5 1
43,43,Tc,98,183,1.9,7.28,2 2 6 2 6 10 2 6 5 2
44,44,Ru,101.07,178,2.2,7.361,2 2 6 2 6 10 2 6 7 1
45,45,Rh,102.9055,173,2.28,7.459,2 2 6 2 6 10 2 6 8 1
46,46,Pd,106.42,169,2.2,8.337,2 2 6 2 6 10 2 6 10 0
47,47,Ag,107.8682,165,1.93,7.576,2 2 6 2 6 10 2 6 10 1
48,48,Cd,112.414,161,1.69,8.994,2 2 6 2 6 10 2 6 10 2
