	num_segments	speech_seconds	num_words	video_seconds
count	2544.00	2544.00	2544.00	2544.00
mean	75.18	288.97	874.74	656.96
std	54.55	189.29	561.77	312.48
min	1.00	0.00	1.00	48.00
25%	43.00	177.00	522.00	531.00
50%	70.00	279.50	854.50	621.00
75%	97.00	374.00	1158.25	729.00
max	825.00	2424.00	6537.00	5982.00
