file	num_segments	speech_seconds	num_words	video_seconds
Kino110.1 Tecknad reklamfilm 1926.mpg	24	39	123	624
Kino111A-I.1.mpg	825	1459	5844	4734
Kino114.1.mpg	154	560	1671	798
Kino121.1.mpg	29	57	216	780
Kino130.1.mpg	117	508	1417	610
Kino131A-B.1.mpg	312	489	1960	1546
Kino131A.1.mpg	220	276	1386	861
Kino132.1.mpg	71	316	832	758
Kino133.1.mpg	97	261	875	430
Kino13A.1.mpg	46	221	474	702
Kino13B.1.mpg	41	222	438	484
Kino13C.1.mpg	41	160	386	578
Kino13D.1.mpg	36	163	364	583
Kino13E.1.mpg	22	122	284	266
Kino14.1.mpg	90	249	907	575
Kino140.1.mpg	18	95	280	926
Kino141.1.mpg	58	143	524	327
Kino143D.1.mpg	13	30	46	271
Kino146A-B.1.mpg	233	1007	3111	1470
Kino155A.1.mpg	54	219	635	620
Kino165.1.mpg	75	288	938	1014
Kino166A.1.mpg	136	490	1409	620
Kino166B.1.mpg	100	402	1090	493
Kino167.1.mpg	124	463	1493	706
Kino176.1.mpg	126	134	664	724
Kino177A.1.mpg	71	284	716	635
Kino177B.1.mpg	80	339	876	592
Kino178A.1.mpg	72	153	516	649
Kino178B.1.mpg	58	170	462	469
Kino179A.1.mpg	49	195	530	574
Kino179B.1.mpg	28	157	406	594
Kino179C.1.mpg	21	90	212	224
Kino18.1.mpg	17	89	180	323
Kino180.1.mpg	38	180	472	306
Kino182B.1.mpg	64	142	560	624
Kino182C.1.mpg	73	460	1269	609
Kino183.1.mpg	55	172	595	304
Kino185.1.mpg	5	4	36	544
Kino19.1.mpg	26	156	370	382
Kino190A.1.mpg	43	188	533	593
Kino190B.1.mpg	24	123	284	181
Kino190C.1.mpg	120	202	797	520
Kino191.1.mpg	167	354	1254	637
Kino192.1.mpg	177	300	1037	529
Kino193.1.mpg	170	390	1156	652
Kino194A.1.mpg	147	257	1190	648
Kino194B.1.mpg	114	200	884	626
Kino194C.1.mpg	154	271	1086	587
Kino194D.1.mpg	70	230	727	607
Kino195.1.mpg	182	395	1414	639
Kino196.1.mpg	112	323	1026	469
Kino197A.1.mpg	247	498	1640	691
Kino197B.1.mpg	280	449	1923	833
Kino197C.1.mpg	175	359	1612	640
Kino197D.1.mpg	197	343	1567	700
Kino198.1.mpg	145	410	1221	749
Kino199.1.mpg	123	505	1310	767
Kino200.1.mpg	139	412	1261	731
Kino201.1.mpg	106	323	1005	694
Kino202.1.mpg	75	236	550	730
Kino211.1.mpg	40	174	661	530
Kino212.1.mpg	58	226	675	805
Kino213A.1.mpg	131	766	1714	932
Kino213B.1.mpg	102	790	1906	903
Kino214.1.mpg	57	313	812	760
