GT_ID;GT_Name;GT_LAT;GT_LON;GT_DEPTH;GT_LAYER_NAME;GT_LAYERTYPE;GT_LAYER_COLOR;GT_LAYER_DESC;GT_LAYER_FROM;GT_LAYER_TO;GT_LAYER_SPEED
1;S7-2;51.633613;3.320277;13;1;1;RGB(255,255,0);BH;0;2;1600
2;S7-3;51.578059;3.208332;27.3;1;1;RGB(14,255,14);ELW;0;1;1600
3;S7-4;51.540557;3.069722;30.6;1;1;RGB(255,255,0);BH;0;0.02;1600
4;S7-6;51.60278;3.278334;28.4;1;1;RGB(255,255,0);BH;0;2;1600
5;S7-7;51.525282;3.103889;15.3;1;1;RGB(255,0,0);BTK;0;0.1;1600
6;S7-8;51.52;3.213056;15.6;1;1;RGB(14,255,14);ELW;0;0.25;1600
7;S7-9;51.600003;3.288888;30.1;1;1;RGB(255,255,0);BH;0;7.8;1600
8;S7-10;51.656948;3.236112;20.6;1;1;RGB(255,255,0);BH;0;9;1600
9;S7-11;51.619444;3.2125;17.5;1;1;RGB(255,255,0);BH;0;9.5;1600
10;S7-12;51.603333;3.274444;25.6;1;1;RGB(255,255,0);BH;0;2;1600
10;S7-12;51.603333;3.274444;25.6;2;2;RGB(14,255,14);ELW;2;9;1600
11;S7-13;51.57778;3.1875;28.5;1;1;RGB(255,0,0);BTK;0;0.8;1600
11;S7-13;51.57778;3.1875;28.5;2;2;RGB(14,255,14);ELW;0.8;1;1600
12;S7-14;51.5625;3.255555;17.6;1;1;RGB(255,255,0);BH;0;2;1600
12;S7-14;51.5625;3.255555;17.6;2;2;RGB(14,255,14);BJ;2;6;1600
12;S7-14;51.5625;3.255555;17.6;3;3;RGB(255,0,0);BTK;6;8;1600
13;S7-15;51.535554;3.163889;21.9;1;1;RGB(255,255,0);BH;0;2;1600
13;S7-15;51.535554;3.163889;21.9;2;2;RGB(255,0,0);BTK;2;4;1600
13;S7-15;51.535554;3.163889;21.9;3;3;RGB(14,255,14);ELW;4;7;1600
14;S7-16;51.520832;3.234166;11.2;1;1;RGB(14,255,14);BJ;0;5;1600
14;S7-16;51.520832;3.234166;11.2;2;2;RGB(255,160,206);EE;5;10;1600
15;S7-17;51.501113;3.172222;15.5;1;1;RGB(14,255,14);BJ;0;8;1600
16;S7-18;51.573611;3.242222;22;1;1;RGB(14,255,14);ELW;0;2;1600
17;S7-19;51.502779;3.24;10;1;1;RGB(14,255,14);BJ;0;3;1600
17;S7-19;51.502779;3.24;10;2;2;RGB(14,255,14);ELW;3;4.8;1600
18;S7-96;51.665554;3.051389;28.8;1;1;RGB(255,255,0);BH;0;2.16;1600
19;S7-97;51.640834;3.294444;25.2;1;1;RGB(255,255,0);BH;0;4;1600
19;S7-97;51.640834;3.294444;25.2;2;2;RGB(255,160,206);EE;4;10;1600
20;S7-98;51.500276;3.274166;9.7;1;1;RGB(255,255,0);BH;0;4;1600
21;S7-100;51.536389;3.278889;10.8;1;1;RGB(14,255,14);BJ;0;3.45;1600
22;S7-101;51.509999;3.305556;9.3;1;1;RGB(14,255,14);BJ;0;0.8;1600
23;S7-102;51.512499;3.088612;23;1;1;RGB(255,255,0);BH;0;2.25;1600
24;S7-103;51.53028;3.022777;27.6;1;1;RGB(14,255,14);ELW;0;0.2;1600
25;S7-105;51.564168;3.137222;32;1;1;RGB(255,255,0);BH;0;4;1600
25;S7-105;51.564168;3.137222;32;2;2;RGB(14,255,14);ELW;4;4.5;1600
26;S7-106;51.550004;3.211667;21.6;1;1;RGB(255,255,0);BH;0;0.8;1600
26;S7-106;51.550004;3.211667;21.6;2;2;RGB(14,255,14);ELW;0.8;2;1600
26;S7-106;51.550004;3.211667;21.6;3;3;RGB(255,160,206);EE;2;4.65;1600
27;S7-107;51.548889;3.320556;8.9;1;1;RGB(255,255,0);BH;0;4;1600
28;S7-108;51.629999;3.254167;31.1;1;1;RGB(255,255,0);BH;0;1;1600
28;S7-108;51.629999;3.254167;31.1;2;2;RGB(14,255,14);ELW;1;5;1600
29;S7-109;51.646665;3.1925;25.4;1;1;RGB(255,255,0);BH;0;1;1600
