TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PSE-PSOE,HB,EB-B,CDS,PST,PH,PTE-UC,FE-JONS,PORE,PDP,POSI,UCE,F.N.,PNCL-PANCAL,AP,PAR,PED,CIU,BNG,AIC,UV,LA,P.A.,EA...(E87),PNV...(E87),ANEMYA,LV,C.V.,EE...(E87),E.U.,PCV,AS,CSD
Bizkaia,DERIO,,901,4,4073,2798,21,2777,31,2746,1275,425,391,11,85,6,0,9,0,1,1,0,0,1,1,70,2,0,0,1,0,0,1,1,385,685,12,2,0,495,159,1,1,0
Bizkaia,DIMA,,26,3,899,737,7,730,2,728,162,1,274,0,1,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,184,240,0,0,0,5,0,0,0,0
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,133100,84898,674,84224,642,83582,48202,13873,17552,325,3410,127,39,496,26,38,159,34,62,260,39,9163,39,11,11,13,8,16,4,14,19810,6577,107,153,94,10979,14,4,67,58
Bizkaia,DURANGO,,27,3,20228,14390,143,14247,153,14094,5838,2057,2833,232,266,40,6,26,4,12,20,10,20,30,5,1212,6,9,8,8,6,4,0,9,1818,3886,27,42,30,1433,8,0,15,12
Bizkaia,EA,,28,4,695,446,3,443,2,441,249,2,146,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,112,159,1,1,2,10,0,0,0,0
Gipuzkoa,EIBAR,,30,4,27182,17642,93,17549,179,17370,9540,4641,3398,283,221,41,5,36,3,35,18,19,9,25,14,1064,2,5,3,13,4,6,9,4,3164,2316,31,53,30,1743,133,4,12,26
Bizkaia,ELANTXOBE,,31,4,462,401,2,399,5,394,61,1,135,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,51,192,0,0,0,10,0,0,1,0
Álava,ELBURGO/BURGELU,,21,2,165,113,6,107,,107,52,4,5,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,8,75,0,0,0,6,2,0,1,0
Álava,ELCIEGO,,22,2,720,635,25,610,6,604,85,257,35,1,34,3,2,4,0,0,2,0,1,1,0,84,1,0,0,0,0,0,0,0,135,14,0,3,3,22,0,0,1,0
Gipuzkoa,ELDUAIN,,31,3,218,165,2,163,1,162,53,0,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,12,0,0,0,2,0,0,0,0
Gipuzkoa,ELGETA,,33,4,807,651,11,640,5,635,156,33,204,0,4,0,0,0,0,0,0,0,0,1,1,8,0,0,0,0,0,0,0,0,110,222,0,0,1,51,0,0,0,0
Gipuzkoa,ELGOIBAR,,32,4,9564,6823,91,6732,66,6666,2741,1096,1388,12,46,7,7,5,0,8,4,4,1,2,1,264,1,1,2,3,4,0,1,0,1363,1633,5,17,8,776,1,0,2,4
Bizkaia,ELORRIO,,32,3,5946,4584,44,4540,31,4509,1362,435,1079,5,56,24,2,3,3,8,9,4,7,1,4,107,4,0,0,3,1,1,0,0,854,1212,9,6,5,656,4,1,2,4
Álava,ELVILLAR/BILAR,,23,2,325,252,4,248,1,247,73,6,14,5,9,0,0,0,0,0,0,0,0,0,0,70,2,1,0,0,0,0,0,0,4,114,0,1,1,11,0,0,4,0
Bizkaia,ERANDIO,,902,4,18066,11612,135,11477,120,11357,6454,2636,2080,83,377,55,4,88,5,4,10,27,20,6,13,381,2,5,6,7,6,5,2,1,1220,3274,26,18,7,960,4,3,8,14
Bizkaia,EREÑO,,33,4,235,178,,178,2,176,57,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,48,0,0,3,3,0,0,0,0
Bizkaia,ERMUA,,34,3,13136,9046,66,8980,99,8881,4090,3375,1040,312,498,37,3,302,2,9,23,13,3,5,13,771,1,6,2,19,3,2,3,0,630,808,18,41,66,840,15,2,7,12
Gipuzkoa,ERRENTERIA,,67,2,31651,20819,195,20624,212,20412,10832,5861,5674,279,393,299,9,74,9,23,14,28,7,17,11,823,4,3,10,15,3,5,9,7,2958,1068,24,46,44,2615,33,3,11,33
Gipuzkoa,ERREZIL,,66,4,619,500,,500,,500,119,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,62,0,1,0,8,0,0,0,0
