TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PSE-PSOE,HB,EB-B,CDS,PST,PH,PTE-UC,FE-JONS,PORE,PDP,POSI,UCE,F.N.,PNCL-PANCAL,AP,PAR,PED,CIU,BNG,AIC,UV,LA,P.A.,EA...(E87),PNV...(E87),ANEMYA,LV,C.V.,EE...(E87),E.U.,PCV,AS,CSD
Gipuzkoa,MENDARO,,901,4,1224,928,9,919,12,907,296,104,200,5,1,2,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,251,283,0,3,1,52,0,0,0,0
Bizkaia,MENDATA,,62,4,317,264,,264,1,263,53,0,46,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,71,139,0,1,0,2,0,0,0,0
Bizkaia,MENDEXA,,63,4,292,246,4,242,10,232,46,0,118,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,35,53,0,0,1,13,1,0,0,0
Bizkaia,MEÑAKA,,64,4,346,278,,278,,278,68,0,44,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,117,105,0,1,0,0,0,0,0,0
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,259,216,3,213,2,211,43,90,6,1,2,0,0,1,0,0,2,2,0,0,0,42,0,0,0,0,0,0,0,0,1,55,0,0,0,7,0,0,1,0
Bizkaia,MORGA,,66,4,291,236,3,233,,233,55,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,175,0,0,0,0,0,0,0,0
Bizkaia,MUNDAKA,,68,4,1253,1105,5,1100,4,1096,148,1,266,3,1,0,0,0,0,1,0,0,1,1,0,17,0,0,1,0,0,0,0,0,252,519,1,4,4,24,0,0,0,0
Bizkaia,MUNGIA,,69,4,8227,5913,46,5867,38,5829,2314,463,1114,4,59,1,4,5,1,1,4,30,1,9,2,163,0,0,1,0,1,1,0,1,991,2497,0,4,1,465,0,0,5,1
Álava,MUNICIPIO CERA ARABA,,999,99,338,86,3,83,,83,252,16,1,5,6,1,0,0,1,0,1,0,0,0,2,25,0,0,1,0,0,0,0,0,7,10,0,1,0,1,0,0,0,0
Bizkaia,MUNICIPIO CERA BIZKAIA,,999,99,1894,723,2,721,6,715,1171,214,79,62,21,8,1,5,6,0,12,0,0,5,3,65,0,2,4,0,0,0,0,0,34,157,0,3,5,23,2,0,1,3
Gipuzkoa,MUNICIPIO CERA GIPUZKOA,,999,99,1519,614,1,613,1,612,905,185,68,34,21,2,2,4,0,0,4,1,2,3,1,60,0,5,1,0,0,0,0,0,77,93,0,4,9,34,0,0,2,0
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,425,342,8,334,1,333,83,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,57,143,2,3,0,8,0,0,0,0
Bizkaia,MURUETA,,908,4,188,133,,133,1,132,55,1,23,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,26,74,0,0,0,6,0,0,0,0
Bizkaia,MUSKIZ,,71,2,4717,3675,16,3659,29,3630,1042,663,642,166,40,6,2,41,0,0,3,0,0,2,0,69,0,0,0,0,1,0,1,1,639,1043,4,5,0,300,0,1,1,0
Gipuzkoa,MUTILOA,,57,3,160,92,1,91,2,89,68,0,30,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,39,12,0,0,0,5,0,0,0,0
Gipuzkoa,MUTRIKU,,56,4,3487,2840,13,2827,19,2808,647,131,811,0,15,0,2,1,1,1,0,0,1,6,0,125,0,0,0,1,0,0,0,0,364,1248,1,2,1,95,1,0,0,1
Bizkaia,MUXIKA,,67,4,1232,979,10,969,2,967,253,7,356,0,1,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,274,308,0,2,0,8,0,1,0,0
Bizkaia,NABARNIZ,,909,4,209,185,1,184,2,182,24,0,81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,74,0,0,0,2,0,0,0,0
Álava,NAVARIDAS,,41,2,185,145,,145,5,140,40,8,2,0,16,1,0,0,1,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,23,33,0,0,0,4,1,0,2,0
Gipuzkoa,OIARTZUN,,63,2,5941,4548,34,4514,25,4489,1393,234,1924,13,19,2,0,2,2,2,1,1,0,3,0,71,1,1,0,1,1,0,0,0,1423,426,0,3,7,346,1,0,3,2
Álava,OKONDO,,42,3,583,479,6,473,4,469,104,3,99,0,2,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,83,186,0,0,0,3,0,0,0,0
Gipuzkoa,OLABERRIA,,58,3,1019,762,11,751,19,732,257,155,149,0,8,0,3,2,0,0,0,0,0,0,0,72,0,0,0,0,1,0,0,3,192,84,0,0,0,63,0,0,0,0
Bizkaia,ONDARROA,,73,4,8326,6054,45,6009,27,5982,2272,72,2305,3,25,3,0,6,4,1,1,5,2,101,0,235,3,0,0,0,1,3,1,0,855,1967,1,3,6,372,3,0,4,0
Gipuzkoa,ORDIZIA,,76,3,7249,5124,35,5089,34,5055,2125,607,1304,38,56,4,1,113,1,3,4,4,5,8,1,269,1,1,0,1,1,1,0,2,1073,607,5,7,5,928,0,1,0,4
Gipuzkoa,OREXA,,60,3,73,58,,58,,58,15,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0
Gipuzkoa,ORIO,,61,4,3154,2432,11,2421,16,2405,722,228,655,4,4,1,0,7,0,0,0,1,2,1,1,35,0,0,0,0,1,1,1,0,810,266,1,3,0,383,0,0,0,0
Gipuzkoa,ORMAIZTEGI,,62,3,967,846,6,840,15,825,121,11,210,1,0,1,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,222,218,0,0,0,149,0,0,0,0
Bizkaia,OROZKO,,75,3,1618,1276,34,1242,6,1236,342,10,250,0,9,0,1,1,1,0,0,0,0,0,0,59,0,0,0,0,0,0,0,1,360,508,0,1,0,35,0,0,0,0
Bizkaia,ORTUELLA,,83,2,6741,4553,36,4517,48,4469,2188,1414,824,186,65,10,2,266,4,8,1,0,5,2,1,62,0,0,0,1,0,1,1,2,583,606,4,11,7,399,2,1,0,1
Bizkaia,OTXANDIO,,72,3,930,758,2,756,,756,172,8,249,2,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,68,314,0,0,1,102,0,0,0,0
Álava,OYÓN-OION,,43,2,1776,1285,10,1275,11,1264,491,286,156,7,55,9,0,4,0,1,6,1,3,2,0,278,0,0,0,0,0,0,0,0,83,250,1,3,4,108,1,0,5,1
Gipuzkoa,OÑATI,,59,4,8377,6288,27,6261,37,6224,2089,352,1697,3,22,0,2,7,0,5,2,3,3,0,5,275,1,1,1,2,0,3,2,2,1175,2051,5,10,6,579,7,0,0,3
Gipuzkoa,PASAIA,,64,2,14887,9084,61,9023,63,8960,5803,1854,2876,54,115,28,1,59,7,4,5,3,17,6,2,282,1,3,0,5,1,1,0,0,1817,703,29,18,12,1048,1,2,3,3
Álava,PEÑACERRADA-URIZAHARRA,,44,2,200,154,7,147,1,146,46,10,11,0,14,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,6,78,0,0,0,8,0,0,0,0
Bizkaia,PLENTZIA,,77,4,2170,1736,19,1717,11,1706,434,48,314,4,26,0,1,0,0,1,0,2,0,4,0,49,1,0,0,0,0,0,0,0,323,738,2,9,0,183,1,0,0,0
Bizkaia,PORTUGALETE,,78,2,43303,27702,299,27403,260,27143,15601,8664,3997,740,1494,335,24,579,8,14,43,18,44,63,20,1850,5,6,3,55,8,5,5,9,1977,3767,150,85,26,3067,18,5,27,32
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,328,286,2,284,1,283,42,32,8,1,58,0,0,1,0,0,1,0,0,1,0,43,0,0,0,0,0,0,0,0,1,114,4,0,0,17,0,0,0,1
Álava,SAMANIEGO,,52,2,260,201,1,200,,200,59,58,31,0,1,0,0,4,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,3,73,0,1,0,11,0,0,0,0
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,653,299,5,294,7,287,354,8,48,3,12,1,2,0,0,0,2,0,0,0,0,19,1,2,3,5,0,0,0,0,21,116,0,6,2,31,0,0,2,0
Bizkaia,SANTURTZI,,82,2,38734,24341,241,24100,286,23814,14393,7097,4829,643,821,69,26,244,6,27,61,20,23,15,20,1442,6,7,5,17,4,5,3,8,2242,3609,80,55,80,2286,20,3,19,22
Gipuzkoa,SEGURA,,70,3,1077,920,7,913,5,908,157,1,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,191,1,1,0,63,0,0,0,0
Bizkaia,SESTAO,,84,2,28932,17853,160,17693,120,17573,11079,6265,2738,400,797,75,5,517,10,28,46,15,15,23,11,1220,4,6,11,8,3,13,7,5,1237,2151,57,58,71,1724,30,5,4,14
Bizkaia,SONDIKA,,904,4,3260,2376,14,2362,30,2332,884,121,366,4,68,1,0,4,0,0,0,3,0,2,1,41,0,0,0,1,0,0,0,0,366,1197,11,2,3,138,0,0,2,1
Bizkaia,SOPELA,,85,4,4876,3431,23,3408,27,3381,1445,426,964,15,62,7,4,7,1,1,3,1,1,2,0,40,2,2,1,1,1,1,0,1,451,1037,9,9,5,316,1,0,1,9
Bizkaia,SOPUERTA,,86,2,1747,1467,14,1453,68,1385,280,157,182,32,15,2,0,2,0,1,0,6,2,13,2,43,0,0,1,0,0,0,0,0,439,351,7,8,4,116,0,0,1,1
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,4066,3202,45,3157,33,3124,864,483,768,2,21,3,0,0,1,0,2,1,1,0,1,165,0,0,0,2,0,0,0,0,538,793,1,0,1,341,0,0,0,0
Bizkaia,SUKARRIETA,,76,4,232,192,2,190,,190,40,2,35,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,65,68,0,0,0,14,0,0,0,0
Gipuzkoa,TOLOSA,,71,3,14494,9410,68,9342,114,9228,5084,952,2279,59,123,37,11,26,1,0,31,2,3,1,5,737,4,1,1,2,6,2,6,2,2503,1055,14,31,15,1296,9,0,7,7
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,439,378,6,372,35,337,61,24,41,0,9,2,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,78,145,0,0,0,19,0,0,0,0
Bizkaia,UBIDE,,88,3,140,123,1,122,1,121,17,0,63,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3,38,0,0,0,4,0,0,0,0
Bizkaia,UGAO-MIRABALLES,,65,3,3133,2359,42,2317,23,2294,774,355,575,13,104,2,0,3,0,0,6,0,2,2,1,76,0,3,0,0,0,0,0,0,354,680,14,4,1,97,1,0,1,0
Bizkaia,URDULIZ,,89,4,1820,1381,12,1369,9,1360,439,168,320,4,0,2,1,2,1,0,0,0,0,0,1,28,2,0,0,0,0,0,0,0,207,547,0,1,3,70,2,0,0,1
Bizkaia,URDUÑA/ORDUÑA,,74,3,3383,2509,38,2471,26,2445,874,86,482,1,35,1,2,2,0,2,2,0,1,4,0,256,0,0,0,1,0,0,0,0,577,773,6,3,0,206,0,0,5,0
Álava,URKABUSTAIZ,,54,2,718,533,7,526,11,515,185,52,127,0,14,1,1,1,1,0,0,0,0,0,0,78,0,0,1,0,0,0,0,0,57,141,0,5,2,32,1,0,0,1
Gipuzkoa,URNIETA,,72,1,3058,2232,21,2211,22,2189,826,495,551,9,33,4,1,41,1,1,0,2,1,2,2,69,1,1,0,1,1,1,0,0,328,521,0,4,2,112,2,0,1,2
Gipuzkoa,URRETXU,,77,3,4907,3724,26,3698,34,3664,1183,671,619,47,61,4,1,119,1,5,1,4,1,0,3,53,0,0,0,0,1,2,0,0,1348,343,0,11,3,359,4,0,2,1
Gipuzkoa,USURBIL,,73,1,4088,2947,38,2909,34,2875,1141,436,1166,5,23,6,2,10,0,0,1,3,1,0,4,85,0,1,0,2,1,0,0,0,692,291,3,6,3,127,2,1,1,3
Álava,VALDEGOVÍA/GAUBEA,,55,2,776,529,9,520,4,516,247,30,56,4,26,1,0,0,0,0,6,4,2,2,0,71,1,0,0,2,0,0,1,1,29,237,7,1,0,30,1,1,1,2
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,9897,6273,79,6194,35,6159,3624,1665,1235,125,123,7,0,222,5,4,6,7,1,14,5,114,1,3,1,1,2,3,0,1,454,1399,18,7,4,724,1,0,2,5
Gipuzkoa,VILLABONA,,75,3,3824,2892,19,2873,31,2842,932,292,904,0,6,4,0,6,0,1,1,3,1,1,0,118,0,0,1,0,0,0,1,0,665,263,3,2,4,565,0,0,1,0
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,290,248,,248,1,247,42,2,34,0,8,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,45,116,0,0,0,5,0,0,0,0
Álava,VITORIA-GASTEIZ,,59,1,144887,96393,951,95442,1144,94298,48494,23648,12377,704,9136,366,81,601,60,130,580,135,105,207,98,11054,67,44,42,81,43,29,28,35,15809,7864,223,438,261,9366,263,30,266,127
Álava,YÉCORA/IEKORA,,60,2,216,175,3,172,,172,41,17,3,0,14,2,0,0,0,0,1,0,0,0,0,53,0,0,0,0,0,0,0,1,1,72,0,2,0,2,0,1,2,1
Bizkaia,ZALDIBAR,,95,3,2408,1710,32,1678,42,1636,698,383,304,2,19,6,1,2,0,1,3,2,1,0,1,75,2,4,0,1,0,0,0,0,263,463,2,8,3,85,1,0,0,4
Gipuzkoa,ZALDIBIA,,78,3,1417,1043,4,1039,3,1036,374,45,502,1,5,0,0,6,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,279,46,0,2,0,128,0,0,4,1
Álava,ZALDUONDO,,61,2,106,89,,89,1,88,17,9,40,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,20,0,0,0,11,0,0,1,0
Bizkaia,ZALLA,,96,2,5339,3883,43,3840,29,3811,1456,476,615,10,29,3,0,8,0,2,5,0,0,6,2,54,2,0,1,0,0,1,0,1,789,1492,4,30,6,266,0,1,7,1
Álava,ZAMBRANA,,62,2,303,265,5,260,2,258,38,16,13,0,7,1,0,1,0,0,0,0,0,8,0,80,0,0,0,0,0,0,1,0,8,85,0,1,1,30,0,0,6,0
Bizkaia,ZAMUDIO,,905,4,2634,1865,34,1831,27,1804,769,155,490,3,98,4,0,0,0,0,1,3,0,0,1,28,0,1,0,0,0,0,0,0,125,746,6,6,0,135,0,0,1,1
Bizkaia,ZARATAMO,,97,3,1213,984,4,980,1,979,229,158,210,2,10,7,0,3,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,237,301,1,2,0,35,1,0,0,0
Gipuzkoa,ZARAUTZ,,79,4,11919,8969,82,8887,73,8814,2950,944,1596,12,65,9,4,108,4,3,8,2,2,7,0,530,5,1,1,1,2,1,0,1,3157,1179,6,9,8,1136,5,0,2,6
Bizkaia,ZEANURI,,24,3,1048,899,2,897,4,893,149,3,206,0,3,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,352,302,0,1,0,6,0,1,5,0
Bizkaia,ZEBERIO,,25,3,840,672,1,671,8,663,168,4,141,0,3,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,64,421,0,1,1,23,0,0,0,0
Gipuzkoa,ZEGAMA,,25,3,1178,876,8,868,8,860,302,2,342,0,2,1,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,440,32,0,0,0,32,0,0,0,2
Gipuzkoa,ZERAIN,,26,3,193,136,1,135,2,133,57,0,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,39,0,1,0,1,0,0,0,0
Gipuzkoa,ZESTOA,,27,4,2807,2205,11,2194,20,2174,602,88,694,3,0,0,0,2,0,0,0,0,2,0,0,24,1,0,0,0,0,0,0,1,721,486,2,3,4,142,1,0,0,0
Álava,ZIGOITIA,,18,2,608,478,10,468,6,462,130,35,101,0,9,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,1,0,0,125,131,1,1,0,36,0,0,0,1
Gipuzkoa,ZIZURKIL,,28,3,1974,1470,11,1459,12,1447,504,230,442,1,9,4,0,2,1,1,1,1,0,0,0,17,1,0,0,0,0,0,2,1,360,250,0,0,0,122,1,0,0,1
Álava,ZUIA,,63,2,1027,831,12,819,5,814,196,25,138,1,4,1,0,0,0,0,2,0,0,3,0,81,0,0,0,0,0,0,0,0,145,360,1,0,0,43,1,1,7,0
Gipuzkoa,ZUMAIA,,81,4,5847,4373,39,4334,30,4304,1474,697,932,20,60,4,0,7,2,2,5,2,0,1,0,108,2,0,1,0,0,0,2,0,1024,1031,2,5,2,388,2,1,3,1
Gipuzkoa,ZUMARRAGA,,80,3,8876,6262,68,6194,83,6111,2614,1594,836,184,107,12,2,228,1,3,5,2,3,1,2,143,2,1,0,1,1,2,0,1,1369,768,9,11,3,808,3,0,5,4
