TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,PH,EK-PCPE,POSI,PSE-EE/PSOE,ATTKA/PACMA,URE-EEB,UPYD,Cs,PSYV,EQUO,EB-AZ,O.E.,EH BILDU,RECORTES CERO,VOX,IRABAZI,GVG,GUK BAI,AHORA AMURRIO/ORAIN ,OMNIA,PLAZ!,ABOTSANITZ,VOX / PFYV,SUMANDO-HEMEN GAUDE,GANEMOS,I.N.D.A.Z.,BD,AHORA SOPELA-BARRIKA,DB-TU,G.I.GORLIZ,XMKB,PXL-CON LA MANOS LIM,SQ-2D,CLI,K.Z.,CMB,UDALBERRI-BILBAO,IND. ALEGRIA-DUL. 15,IND. 1 ASPARRENA 15,IND. 2 ASPARRENA 15,IND. BERANTEVILLA 15,IND. BERNEDO 15,IND. KANPEZU 15,IND. ELCIEGO 15,IND. RIBERA ALTA 15 ,IND. 1 IRUÑA OKA 15,IND. 2 IRUÑA OKA 15,IND. LAPUEBLA 15,IND. LEZA 15,IND. NAVARIDAS 15,IND. OION 15,IND. PEÑACERRADA 15,IND. RIBERA BAJA 15,IND. DONEMILIAGA 15,IND. AÑANA 15,IND. IEKORA 15,IND. ZAMBRANA 15,IND. ZIGOITIA 15,IND. ZUIA 15,IND. AIARA 15,IND. OKONDO 15,IND. URKABUSTAIZ 15,IND. VALDEGOVÍA 15,IND. BEIZAMA 15,IND. BIDANIA-GOI. 15,IND. DEBA 15,IND. EZKIO-ITSASO 15,IND. GABIRIA 15,IND. MUTILOA 15,IND. ORMAIZTEGI 15,IND. ZEGAMA 15,IND. ZERAIN 15,IND. ARRASATE 15,IND. ELGETA 15,IND. ESKORIATZA 15,IND. LEINTZ-GATZ. 15,IND. MUTRIKU 15,IND. ERRENTERIA 15,IND. HERNANI 15,IND. IRUN 15,IND. LASARTE-ORIA 15,IND. ORIO 15,IND. PASAIA 15,IND. ABALTZISKETA 15,IND. ALKIZA 15,IND. 1 ALTZAGA 15,IND. 2 ALTZAGA 15,IND. AMEZKETA 15,IND. 1 ARAMA 15,IND. 2 ARAMA 15,IND. ASTEASU 15,IND. ATAUN 15,IND. 1 BELAUNTZA 15,IND. 2 BELAUNTZA 15,IND. GAINTZA 15,IND. GAZTELU 15,IND. HERNIALDE 15,IND. IDIAZABAL 15,IND. LARRAUL 15,IND. LEABURU 15,IND. 1 OLABERRIA 15,IND. 2 OLABERRIA 15,IND. ORDIZIA 15,IND. ZALDIBIA 15,IND. ARRIGORRIAGA 15,IND. BARRIKA 15,IND. BASAURI 15,IND. OROZKO 15,IND. ETXEBARRI 15,IND. 1 GALDAKAO 15,IND. 2 GALDAKAO 15,IND. GETXO 15,IND. GORLIZ 15,IND. LEIOA 15,IND. ORTUELLA 15,IND. PORTUGALETE 15,IND. 1 SANTURTZI 15,IND. 2 SANTURTZI 15,IND. SESTAO 15,IND. PLENTZIA 15,IND. TRAPAGA 15,IND. ZARATAMO 15,IND. ABADIÑO 15,IND. AMOREBIETA 15,IND. ARTEA 15,IND. ERMUA 15,IND. GARAI 15,IND. UBIDE 15,IND. GORDEXOLA 15,IND. SOPUERTA 15,IND. AMOROTO 15,IND. BAKIO 15,IND. 1 BERMEO 15,IND. 2 BERMEO 15,IND. GATIKA 15,IND. GIZABURUAGA 15,IND. IBARRANGELU 15,IND. ISPASTER 15,IND. MURUETA 15,IND. SUKARRIETA 15,IND. ZALLA 15,IND. BUSTURIA 15,IND. BALIARRAIN 15
Álava,ARRATZUA-UBARRUNDIA,,8,2,795,512,10,502,22,480,283,198,65,,,,35,,,,,,,,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARRIETA,,10,4,463,351,5,346,3,343,112,203,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARRIGORRIAGA,,11,3,9721,6119,103,6016,121,5895,3602,2267,248,,,,670,,,,,,,,,1636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARTEA,,23,3,596,488,18,470,14,456,108,210,,,,,2,,,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,,,,,,,,,,
Bizkaia,ARTZENTALES,,8,2,608,452,27,425,9,416,156,286,,,,,6,,,,,,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ARTZINIEGA,,4,3,1416,993,32,961,23,938,423,384,118,,,,41,,,,,,,,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ASPARRENA,,9,2,1290,940,19,921,11,910,350,286,17,,,,19,,,,,,,,,249,,,,,,,,,,,,,,,,,,,,,,,,,,233,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ASTEASU,,14,3,1125,704,10,694,23,671,421,184,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ASTIGARRAGA,,903,1,4204,2674,42,2632,95,2537,1530,1113,49,,,,245,,,,,,,,,1130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ATAUN,,15,3,1280,1001,8,993,30,963,279,,,,,,0,,,,,,,,,487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ATXONDO,,91,3,1146,822,25,797,27,770,324,353,15,,,,17,,,,,,,,,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AULESTI,,70,4,546,410,9,401,8,393,136,102,,,,,,,,,,,,,,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,AYALA/AIARA,,10,3,2266,1633,21,1612,17,1595,633,648,85,,,,46,,,,,,,,,571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AZKOITIA,,17,4,8627,5979,65,5914,113,5801,2648,2901,126,,,,386,,,,,,,,,1946,,,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AZPEITIA,,18,4,11106,7311,111,7200,166,7034,3795,2984,105,,,,185,,,,,,,,,3760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,AÑANA,,49,2,143,119,7,112,,112,24,74,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BAKIO,,12,4,2043,1576,40,1536,15,1521,467,604,21,,,,10,,,,,,,,,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,,,,,,,,,,,
Gipuzkoa,BALIARRAIN,,904,3,90,75,,75,5,70,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66
Bizkaia,BALMASEDA,,90,2,6097,4394,107,4287,51,4236,1703,1868,112,,,,537,,,,,,,,,614,,,,,,,,,,,,,,,,,,,,,1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BARAKALDO,,13,2,80474,47247,686,46561,795,45766,33227,12542,4274,,,,12490,,,685,,,,,,6613,1093,361,5582,,,,,,,,,,,2126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BARRIKA,,14,4,1230,835,11,824,13,811,395,284,26,,,,23,,,,,,64,,,240,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,BARRUNDIA,,13,2,723,473,11,462,15,447,250,163,40,,,,,,,,,,,,,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BASAURI,,15,3,34046,20731,256,20475,274,20201,13315,8324,1551,186,,,3724,,,,,,,,,2648,,,838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,246,207,8,199,7,192,39,61,100,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BEASAIN,,19,3,10127,6242,113,6129,232,5897,3885,2902,207,,,,917,,,,,,,,,1871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BEDIA,,92,3,839,618,14,604,16,588,221,374,11,,,,19,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BEIZAMA,,20,4,131,93,7,86,8,78,38,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BELAUNTZA,,21,3,202,169,9,160,4,156,33,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BERANGO,,16,4,5283,3360,55,3305,65,3240,1923,1229,254,,,,268,,,,,,,,,857,,,179,,,,,,,,,,,,,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,BERANTEVILLA,,14,2,372,293,7,286,5,281,79,89,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BERASTEGI,,22,3,824,520,5,515,42,473,304,146,,,,,2,,,,,,,,,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BERGARA,,74,4,11659,7346,82,7264,102,7162,4313,3195,83,,,,379,,,,,,,,,2835,,,670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BERMEO,,17,4,13466,8629,72,8557,77,8480,4837,3064,90,,,,190,,,,,,,,,3225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1151,760,,,,,,,,,
Álava,BERNEDO,,16,2,448,248,7,241,7,234,200,112,37,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BERRIATUA,,18,4,881,584,7,577,25,552,297,214,,,,,,,,,,,,,,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BERRIZ,,19,3,3631,2357,58,2299,51,2248,1274,1172,49,,,,247,,,,,,,,,780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BERROBI,,23,3,446,275,15,260,31,229,171,,,,,,6,,,,,,,,,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,BIDANIA-GOIATZ,,24,4,392,290,1,289,6,283,102,,,,,,2,,,,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BILBAO,,20,1,275222,163276,1502,161774,2628,159146,111946,63642,19190,380,,,19361,1936,,1357,5701,,,,,22711,,,,,,,,,,599,,10568,,,,,,,,,,,,13701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,BUSTURIA,,21,4,1374,965,17,948,22,926,409,380,,,,,24,,,,,,,,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,
Álava,CAMPEZO/KANPEZU,,17,2,872,643,15,628,8,620,229,255,57,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,DEBA,,29,4,4311,3217,28,3189,73,3116,1094,667,20,,,,43,,,,,,,,,1127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,DERIO,,901,4,4738,3141,93,3048,135,2913,1597,1295,120,,,,621,,,,,,,,,877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,DIMA,,26,3,1124,920,31,889,20,869,204,390,,,,,8,,,,,,,,,471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,148052,98675,774,97901,1547,96354,49377,29029,9272,,,,24007,1451,,675,3642,,,,,20467,,,6947,,,,,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,DURANGO,,27,3,22060,13951,190,13761,252,13509,8109,5089,960,,,,1312,,,,,,,,,4306,,,,,,,,,,,,,,,,,,,,1842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,EA,,28,4,724,575,9,566,9,557,149,242,,,,,,,,,,,,,,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,EIBAR,,30,4,21675,13496,133,13363,272,13091,8179,2829,552,,,,5596,,,,,,,,,3210,,,904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ELANTXOBE,,31,4,342,273,5,268,11,257,69,160,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ELBURGO/BURGELU,,21,2,468,285,12,273,12,261,183,186,59,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ELCIEGO,,22,2,834,695,17,678,19,659,139,,105,,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ELDUAIN,,31,3,180,108,6,102,49,53,72,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ELGETA,,33,4,871,663,21,642,8,634,208,,,,,,15,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ELGOIBAR,,32,4,8858,5631,78,5553,138,5415,3227,2797,232,,,,677,,,,,,,,,1709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ELORRIO,,32,3,5771,4142,49,4093,58,4035,1629,1502,219,,,,170,,,,,,,,,1748,,,,,,,,,,,,,,,,,,,,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ELVILLAR/BILAR,,23,2,279,206,17,189,16,173,73,128,17,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ERANDIO,,902,4,19196,11427,218,11209,174,11035,7769,4334,586,,,,1743,,,,,,,107,,1741,,,408,,,,,,,,,2116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,EREÑO,,33,4,221,184,3,181,3,178,37,145,0,,,,0,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ERMUA,,34,3,12971,8128,99,8029,123,7906,4843,1145,844,,,,2530,,,,293,,,,,1227,,,735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1132,,,,,,,,,,,,,,,,,
Gipuzkoa,ERRENTERIA,,67,2,31002,18860,196,18664,330,18334,12142,2725,877,,,,5276,,,,,,,,,5938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ERREZIL,,66,4,456,314,28,286,52,234,142,,,,,,,,,,,,,,,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,619,464,9,455,10,445,155,232,56,,,,13,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ERRIGOITI,,79,4,431,362,3,359,10,349,69,155,,,,,,,,,,,,,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ESKORIATZA,,34,4,3176,2119,15,2104,29,2075,1057,867,,,,,139,,,,,,,,,640,,,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ETXEBARRI,,29,3,8305,5335,32,5303,55,5248,2970,526,78,,,,328,,,,,,,,,544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
