TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,PH,EK-PCPE,POSI,PSE-EE/PSOE,ATTKA/PACMA,URE-EEB,UPYD,Cs,PSYV,EQUO,EB-AZ,O.E.,EH BILDU,RECORTES CERO,VOX,IRABAZI,GVG,GUK BAI,AHORA AMURRIO/ORAIN ,OMNIA,PLAZ!,ABOTSANITZ,VOX / PFYV,SUMANDO-HEMEN GAUDE,GANEMOS,I.N.D.A.Z.,BD,AHORA SOPELA-BARRIKA,DB-TU,G.I.GORLIZ,XMKB,PXL-CON LA MANOS LIM,SQ-2D,CLI,K.Z.,CMB,UDALBERRI-BILBAO,IND. ALEGRIA-DUL. 15,IND. 1 ASPARRENA 15,IND. 2 ASPARRENA 15,IND. BERANTEVILLA 15,IND. BERNEDO 15,IND. KANPEZU 15,IND. ELCIEGO 15,IND. RIBERA ALTA 15 ,IND. 1 IRUÑA OKA 15,IND. 2 IRUÑA OKA 15,IND. LAPUEBLA 15,IND. LEZA 15,IND. NAVARIDAS 15,IND. OION 15,IND. PEÑACERRADA 15,IND. RIBERA BAJA 15,IND. DONEMILIAGA 15,IND. AÑANA 15,IND. IEKORA 15,IND. ZAMBRANA 15,IND. ZIGOITIA 15,IND. ZUIA 15,IND. AIARA 15,IND. OKONDO 15,IND. URKABUSTAIZ 15,IND. VALDEGOVÍA 15,IND. BEIZAMA 15,IND. BIDANIA-GOI. 15,IND. DEBA 15,IND. EZKIO-ITSASO 15,IND. GABIRIA 15,IND. MUTILOA 15,IND. ORMAIZTEGI 15,IND. ZEGAMA 15,IND. ZERAIN 15,IND. ARRASATE 15,IND. ELGETA 15,IND. ESKORIATZA 15,IND. LEINTZ-GATZ. 15,IND. MUTRIKU 15,IND. ERRENTERIA 15,IND. HERNANI 15,IND. IRUN 15,IND. LASARTE-ORIA 15,IND. ORIO 15,IND. PASAIA 15,IND. ABALTZISKETA 15,IND. ALKIZA 15,IND. 1 ALTZAGA 15,IND. 2 ALTZAGA 15,IND. AMEZKETA 15,IND. 1 ARAMA 15,IND. 2 ARAMA 15,IND. ASTEASU 15,IND. ATAUN 15,IND. 1 BELAUNTZA 15,IND. 2 BELAUNTZA 15,IND. GAINTZA 15,IND. GAZTELU 15,IND. HERNIALDE 15,IND. IDIAZABAL 15,IND. LARRAUL 15,IND. LEABURU 15,IND. 1 OLABERRIA 15,IND. 2 OLABERRIA 15,IND. ORDIZIA 15,IND. ZALDIBIA 15,IND. ARRIGORRIAGA 15,IND. BARRIKA 15,IND. BASAURI 15,IND. OROZKO 15,IND. ETXEBARRI 15,IND. 1 GALDAKAO 15,IND. 2 GALDAKAO 15,IND. GETXO 15,IND. GORLIZ 15,IND. LEIOA 15,IND. ORTUELLA 15,IND. PORTUGALETE 15,IND. 1 SANTURTZI 15,IND. 2 SANTURTZI 15,IND. SESTAO 15,IND. PLENTZIA 15,IND. TRAPAGA 15,IND. ZARATAMO 15,IND. ABADIÑO 15,IND. AMOREBIETA 15,IND. ARTEA 15,IND. ERMUA 15,IND. GARAI 15,IND. UBIDE 15,IND. GORDEXOLA 15,IND. SOPUERTA 15,IND. AMOROTO 15,IND. BAKIO 15,IND. 1 BERMEO 15,IND. 2 BERMEO 15,IND. GATIKA 15,IND. GIZABURUAGA 15,IND. IBARRANGELU 15,IND. ISPASTER 15,IND. MURUETA 15,IND. SUKARRIETA 15,IND. ZALLA 15,IND. BUSTURIA 15,IND. BALIARRAIN 15
Álava,ALEGRÍA-DULANTZI,,1,2,2020,1372,34,1338,15,1323,648,367,60,,,,114,,,,,,,,,251,,,,,,,,,,,,,,,,,,,,,,,,,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALKIZA,,6,3,264,167,,167,20,147,97,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ALONSOTEGI,,912,2,2322,1667,75,1592,57,1535,655,770,38,,,,170,,,,,,,,,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALTZAGA,,906,3,122,88,8,80,12,68,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALTZO,,7,3,302,208,6,202,33,169,94,,,,,,,,,,,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AMEZKETA,,8,3,732,464,5,459,20,439,268,,,,,,3,,,,,,,,,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AMOREBIETA-ETXANO,,3,3,14497,9557,124,9433,122,9311,4940,4036,229,,,,813,,,,,,,,,2879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1354,,,,,,,,,,,,,,,,,,,
Bizkaia,AMOROTO,,4,4,327,224,,224,2,222,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,,,,,,,,,,,,
Álava,AMURRIO,,2,3,8199,5520,137,5383,88,5295,2679,2149,282,,,,364,,,,,,,,,1488,,,,,274,738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ANDOAIN,,9,3,11628,7247,88,7159,124,7035,4381,1750,289,,,,1887,,,,,,,,,2112,,,442,,,,,,,,,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
