TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,PP,HB,EE,EA,EB-B,CDS,PST,AR,LVE,PH,ARM-ADE,PTE-UC,FE-JONS,PORE,EK-PCPE,LV
Bizkaia,ABADIÑO,,1,3,5069,3556,39,3517,18,3499,1513,946,790,230,750,159,344,99,108,12,4,22,3,18,5,3,3,3,
Gipuzkoa,ABALTZISKETA,,1,3,243,135,,135,,135,108,20,1,0,43,5,63,0,1,1,0,0,0,1,0,0,0,0,
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7460,4940,16,4924,36,4888,2520,915,1332,177,868,641,246,335,92,13,5,46,5,25,172,1,1,14,
Gipuzkoa,ADUNA,,2,3,264,210,,210,1,209,54,28,0,2,93,7,73,3,0,0,0,2,0,1,0,0,0,0,
Álava,AGURAIN/SALVATIERRA,,51,2,2748,1789,27,1762,12,1750,959,328,437,92,262,122,315,46,74,6,1,16,3,18,11,5,4,3,7
Gipuzkoa,AIA,,16,4,1407,836,3,833,6,827,571,348,6,5,232,16,215,1,1,0,0,1,0,2,0,0,0,0,
Gipuzkoa,AIZARNAZABAL,,3,4,399,239,,239,3,236,160,41,3,3,111,10,68,0,0,0,0,0,0,0,0,0,0,0,
Gipuzkoa,ALBIZTUR,,4,3,253,141,,141,3,138,112,34,0,2,40,3,57,0,0,0,0,1,0,1,0,0,0,0,
Gipuzkoa,ALEGIA,,5,3,1322,944,6,938,12,926,378,131,65,19,293,37,371,2,3,0,0,3,1,0,0,0,0,1,
Álava,ALEGRÍA-DULANTZI,,1,2,764,506,4,502,,502,258,153,142,47,43,31,24,10,31,6,1,1,0,4,1,0,1,5,2
Gipuzkoa,ALKIZA,,6,3,209,131,,131,,131,78,3,0,0,30,46,50,0,0,1,0,0,0,1,0,0,0,0,
Gipuzkoa,ALTZO,,7,3,275,175,,175,,175,100,36,0,2,92,5,39,0,1,0,0,0,0,0,0,0,0,0,
Gipuzkoa,AMEZKETA,,8,3,871,408,,408,1,407,463,77,1,16,163,31,116,0,1,0,0,0,0,1,0,0,1,0,
Bizkaia,AMOREBIETA-ETXANO,,3,3,12138,10565,79,10486,546,9940,1573,2806,1478,254,2014,524,954,1478,192,24,2,106,9,38,32,8,13,8,
Bizkaia,AMOROTO,,4,4,345,260,7,253,1,252,85,132,2,0,72,6,39,0,0,0,0,1,0,0,0,0,0,0,
Álava,AMURRIO,,2,3,7268,5205,67,5137,29,5108,2063,1219,906,505,881,360,920,67,144,10,0,17,3,39,5,3,2,4,23
Gipuzkoa,ANDOAIN,,9,3,11720,7815,48,7767,38,7729,3905,983,2051,354,1675,938,1188,202,218,13,2,30,7,31,25,0,5,7,
Gipuzkoa,ANOETA,,10,3,1360,877,,877,3,874,483,113,101,29,303,84,202,11,15,3,0,7,2,3,1,0,0,0,
Gipuzkoa,ANTZUOLA,,11,4,1637,1384,2,1382,12,1370,253,332,220,28,407,109,245,19,3,0,0,5,0,1,1,0,0,0,
Bizkaia,ARAKALDO,,5,3,85,66,2,64,,64,19,30,2,5,24,1,1,0,0,0,0,1,0,0,0,0,0,0,
Gipuzkoa,ARAMA,,12,3,131,98,,98,1,97,33,19,3,1,44,3,27,0,0,0,0,0,0,0,0,0,0,0,
Álava,ARAMAIO,,3,2,1106,795,4,791,6,785,311,203,24,6,221,19,292,4,6,3,0,0,1,2,0,1,0,0,3
Bizkaia,ARANTZAZU,,6,3,249,217,,217,2,215,32,96,7,9,80,11,12,0,0,0,0,0,0,0,0,0,0,0,
Bizkaia,AREATZA,,93,3,954,786,10,776,5,771,168,335,45,84,101,90,104,0,5,0,0,4,0,1,1,0,0,1,
Gipuzkoa,ARETXABALETA,,13,4,4561,3311,14,3297,22,3275,1250,575,563,81,891,163,833,74,51,6,1,14,4,4,10,0,2,3,
Álava,ARMIÑÓN,,6,2,124,93,5,88,1,87,31,27,14,20,3,5,3,0,13,0,0,0,0,0,0,0,0,0,2
Álava,ARRAIA-MAEZTU,,37,2,692,403,9,394,2,392,289,150,70,32,31,23,32,6,39,2,0,1,1,4,0,0,0,1,0
Bizkaia,ARRANKUDIAGA,,9,3,626,508,4,504,,504,118,250,16,7,187,14,22,2,1,0,0,3,0,2,0,0,0,0,
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,20053,13561,56,13505,60,13445,6492,2282,3175,654,3281,1060,2029,353,382,33,6,90,10,26,25,11,18,10,
Álava,ARRATZUA-UBARRUNDIA,,8,2,514,343,7,336,2,334,171,99,85,49,28,25,18,0,20,0,0,2,0,2,1,0,0,0,5
Bizkaia,ARRIETA,,10,4,387,283,3,280,1,279,104,145,1,12,62,3,52,0,3,0,0,1,0,0,0,0,0,0,
Bizkaia,ARRIGORRIAGA,,11,3,7216,4902,53,4849,22,4827,2314,1438,1077,181,990,431,278,136,134,16,1,58,8,28,28,3,9,11,
Bizkaia,ARTEA,,23,3,530,467,4,463,2,461,63,177,0,30,97,8,142,2,2,0,0,0,0,2,0,0,1,0,
Bizkaia,ARTZENTALES,,8,2,602,433,2,431,1,430,169,239,24,18,72,5,64,0,1,0,2,3,0,1,1,0,0,0,
Álava,ARTZINIEGA,,4,3,906,711,14,697,4,693,195,277,54,141,114,30,42,5,16,1,0,3,1,4,0,0,0,0,5
Álava,ASPARRENA,,9,2,1300,819,9,809,4,805,481,255,112,49,187,83,60,8,28,6,0,4,0,4,4,0,0,1,4
Gipuzkoa,ASTEASU,,14,3,936,586,3,583,4,579,350,49,45,10,247,18,203,4,0,0,0,1,0,1,0,0,0,1,
Gipuzkoa,ASTIGARRAGA,,903,1,2394,1694,7,1687,10,1677,700,295,139,22,636,82,450,13,7,0,1,6,2,5,18,0,0,1,
Gipuzkoa,ATAUN,,15,3,1481,1113,3,1110,8,1102,368,167,11,1,463,119,332,6,0,0,0,1,0,0,2,0,0,0,
Bizkaia,ATXONDO,,91,3,1141,880,10,870,4,866,261,417,86,23,227,32,46,5,12,5,2,2,0,5,2,0,1,1,
Bizkaia,AULESTI,,70,4,588,396,5,391,4,387,192,176,2,3,168,5,32,0,0,0,0,1,0,0,0,0,0,0,
Álava,AYALA/AIARA,,10,3,1719,1273,10,1269,8,1261,446,481,58,224,168,62,213,12,24,2,1,5,0,7,0,1,1,0,2
Gipuzkoa,AZKOITIA,,17,4,8287,5579,49,5530,181,5349,2708,2153,690,369,947,301,736,41,54,17,1,19,1,9,5,1,3,2,
Gipuzkoa,AZPEITIA,,18,4,10089,6745,21,6724,21,6703,3344,2216,362,272,1193,421,2127,25,34,8,1,16,2,13,4,2,3,4,
Álava,AÑANA,,49,2,176,145,,145,1,144,31,43,44,17,18,7,10,1,2,1,0,0,0,1,0,0,0,0,0
Bizkaia,BAKIO,,12,4,980,802,5,797,,797,178,472,14,16,134,33,105,2,11,0,0,4,2,3,1,0,0,0,
Gipuzkoa,BALIARRAIN,,904,3,89,63,,63,2,61,26,7,0,0,39,0,15,0,0,0,0,0,0,0,0,0,0,0,
Bizkaia,BALMASEDA,,90,2,6185,4454,40,4414,21,4393,1731,1422,1188,331,568,183,490,59,52,13,1,44,4,24,1,2,6,5,
Bizkaia,BARAKALDO,,13,2,87573,57103,618,56485,385,56100,30470,10897,17846,4660,7116,4426,3171,2895,2932,221,48,692,46,408,559,34,77,72,
Bizkaia,BARRIKA,,14,4,590,416,,416,5,411,174,211,19,20,93,22,29,5,4,0,0,5,0,2,0,0,0,1,
Álava,BARRUNDIA,,13,2,501,269,1,268,2,266,232,135,10,18,48,18,14,1,12,0,0,1,0,5,0,1,0,0,3
Bizkaia,BASAURI,,15,3,39116,25567,342,25225,140,25085,13549,5993,7331,1645,3726,2073,1158,1045,1243,98,11,273,42,199,176,28,24,20,
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,291,207,4,203,3,200,84,91,20,62,4,11,0,2,6,1,0,0,0,2,0,0,0,0,1
Gipuzkoa,BEASAIN,,19,3,9483,6521,29,6492,36,6456,2962,1199,1295,249,1348,762,1167,102,156,8,2,42,6,28,75,4,6,7,
Bizkaia,BEDIA,,92,3,902,759,,759,4,755,143,457,68,24,120,16,52,11,2,0,0,3,0,1,1,0,0,0,
Gipuzkoa,BEIZAMA,,20,4,141,101,,101,,101,40,40,0,2,42,1,16,0,0,0,0,0,0,0,0,0,0,0,
Gipuzkoa,BELAUNTZA,,21,3,206,119,,119,,119,87,17,6,3,66,7,17,0,0,1,0,1,0,0,0,0,0,1,
Bizkaia,BERANGO,,16,4,2936,2207,35,2172,7,2165,729,743,293,82,486,148,295,40,26,18,0,12,0,15,4,0,3,0,
Álava,BERANTEVILLA,,14,2,335,226,3,226,,226,109,91,17,53,17,10,8,7,14,0,0,1,4,3,0,0,0,1,0
Gipuzkoa,BERASTEGI,,22,3,739,410,7,403,4,399,329,62,4,1,122,14,186,1,5,0,0,1,0,2,0,0,0,1,
Gipuzkoa,BERGARA,,74,4,12523,8662,28,8634,33,8601,3861,1940,1135,310,2656,758,1417,156,125,12,3,39,5,10,17,1,6,11,
Bizkaia,BERMEO,,17,4,14660,9666,85,9581,37,9544,4994,2812,831,181,2205,783,2466,35,89,14,1,60,2,53,6,0,4,2,
Álava,BERNEDO,,16,2,508,242,,242,1,241,266,90,11,56,15,10,4,6,28,0,2,2,0,14,1,0,0,0,2
Bizkaia,BERRIATUA,,18,4,851,516,,516,1,515,335,242,14,7,138,13,86,3,2,1,0,5,1,1,0,0,1,1,
Bizkaia,BERRIZ,,19,3,3263,2403,13,2390,11,2379,860,805,442,113,457,189,247,44,45,6,0,11,0,10,2,3,2,3,
Gipuzkoa,BERROBI,,23,3,438,231,,231,,231,207,41,14,0,73,9,87,2,3,1,0,0,0,1,0,0,0,0,
Gipuzkoa,BIDANIA-GOIATZ,,24,4,407,292,,292,1,291,115,56,0,2,89,2,142,0,0,0,0,0,0,0,0,0,0,0,
Bizkaia,BILBAO,,20,1,306118,202228,2171,200057,1382,198675,103890,55781,40514,28518,23730,17603,12071,6290,7562,779,162,2394,173,2033,591,148,156,170,
Bizkaia,BUSTURIA,,21,4,1382,1038,2,1036,5,1031,344,429,106,19,298,15,155,5,1,1,0,1,0,1,0,0,0,0,
Álava,CAMPEZO/KANPEZU,,17,2,978,684,10,674,5,669,294,258,100,154,44,36,47,2,9,2,2,1,0,9,0,1,0,1,3
Gipuzkoa,DEBA,,29,4,3782,2638,6,2632,13,2619,1144,552,244,77,642,438,631,15,9,4,0,6,0,0,0,0,0,1,
Bizkaia,DERIO,,901,4,4137,2747,15,2732,16,2716,1390,751,715,116,353,308,285,47,54,19,1,30,1,18,14,1,2,1,
Bizkaia,DIMA,,26,3,878,746,1,745,8,737,132,280,1,38,251,10,154,0,0,0,0,1,0,2,0,0,0,0,
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,138946,89187,339,88848,613,88235,49759,11747,16739,11294,15924,11250,15581,1821,2117,137,56,695,73,441,222,43,48,47,
Bizkaia,DURANGO,,27,3,21047,14596,134,14462,55,14407,6451,4720,2361,1419,2596,1093,1210,338,353,54,7,117,22,86,12,10,4,5,
Bizkaia,EA,,28,4,719,533,1,532,3,529,186,283,5,13,120,17,86,0,3,0,0,2,0,0,0,0,0,0,
Gipuzkoa,EIBAR,,30,4,27201,17760,47,17713,136,17577,9441,3114,4970,1318,3100,1500,2378,459,474,32,5,90,12,65,16,3,10,31,
Bizkaia,ELANTXOBE,,31,4,463,390,1,389,,389,73,174,6,1,146,10,50,0,0,0,0,2,0,0,0,0,0,0,
Álava,ELBURGO/BURGELU,,21,2,171,111,2,109,,109,60,58,7,6,12,7,10,0,3,2,2,0,0,0,0,0,1,1,0
Álava,ELCIEGO,,22,2,744,589,7,582,4,578,155,36,245,107,18,25,80,20,32,0,0,2,1,9,0,0,0,0,3
Gipuzkoa,ELDUAIN,,31,3,219,164,1,163,1,162,55,30,0,2,63,4,62,0,0,0,0,1,0,0,0,0,0,0,
Gipuzkoa,ELGETA,,33,4,811,570,1,569,2,567,241,225,26,8,177,38,87,1,1,2,0,0,0,2,0,0,0,0,
Gipuzkoa,ELGOIBAR,,32,4,9602,6794,25,6769,30,6739,2808,1969,1298,315,1222,705,939,73,151,4,1,34,4,14,5,1,4,0,
Bizkaia,ELORRIO,,32,3,6012,4498,54,4444,15,4429,1514,1479,785,239,939,400,416,44,59,16,4,25,0,8,7,1,6,1,
Álava,ELVILLAR/BILAR,,23,2,327,240,4,236,,236,87,87,32,76,5,8,1,7,9,2,0,1,0,5,0,0,0,0,3
Bizkaia,ERANDIO,,902,4,18928,11826,166,11660,65,11595,7102,3516,2937,584,1746,868,794,357,411,62,14,122,12,93,46,10,9,14,
Bizkaia,EREÑO,,33,4,230,176,,176,1,175,54,63,0,5,70,1,32,1,1,0,0,0,0,2,0,0,0,0,
Bizkaia,ERMUA,,34,3,13847,8901,118,8783,58,8725,4946,943,3071,1105,901,693,386,543,620,44,11,160,10,105,99,14,12,8,
