TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,PP,HB,EE,EA,EB-B,CDS,PST,AR,LVE,PH,ARM-ADE,PTE-UC,FE-JONS,PORE,EK-PCPE,LV
Gipuzkoa,ERRENTERIA,,67,2,32244,20523,144,20379,129,20250,11721,1465,6518,971,4840,2185,2416,701,665,69,9,209,15,71,56,8,14,38,
Gipuzkoa,ERREZIL,,66,4,596,346,1,345,2,343,250,63,0,0,202,3,72,2,0,0,0,0,0,0,0,0,0,1,
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,477,330,6,324,4,320,147,98,41,64,30,18,23,4,30,0,1,2,0,6,0,0,0,1,2
Bizkaia,ERRIGOITI,,79,4,414,330,,330,,330,84,152,3,6,112,1,54,0,0,0,0,0,0,2,0,0,0,0,
Gipuzkoa,ESKORIATZA,,34,4,3010,1990,4,1986,2,1984,1020,364,387,62,492,115,473,20,59,3,0,7,0,1,0,0,0,1,
Bizkaia,ETXEBARRI,,29,3,4521,2954,29,2925,7,2918,1567,528,1120,188,329,164,239,119,118,23,1,36,4,25,14,4,5,1,
Bizkaia,ETXEBARRIA,,30,4,622,368,3,365,4,361,254,131,8,1,174,8,36,0,2,0,0,0,0,0,0,0,1,0,
Gipuzkoa,EZKIO-ITSASO,,35,3,478,343,2,341,,341,135,29,3,0,150,10,145,2,1,0,0,0,0,1,0,0,0,0,
Bizkaia,FORUA,,906,4,765,558,,558,1,557,207,207,35,16,187,9,91,2,2,1,0,0,0,6,1,0,0,0,
Bizkaia,FRUIZ,,35,4,292,189,2,187,1,186,103,121,0,1,42,4,16,1,1,0,0,0,0,0,0,0,0,0,
Gipuzkoa,GABIRIA,,38,3,355,288,,288,,288,67,31,0,0,46,34,175,0,0,0,0,0,1,1,0,0,0,0,
Gipuzkoa,GAINTZA,,37,3,111,79,,79,1,78,32,6,0,1,33,2,35,0,0,0,0,0,0,1,0,0,0,0,
Bizkaia,GALDAKAO,,36,3,20659,13913,120,13793,59,13734,6746,3759,2833,729,2685,987,1602,402,340,55,3,159,21,88,42,5,7,17,
Bizkaia,GALDAMES,,37,2,705,524,2,522,3,519,181,251,18,16,91,26,107,7,0,0,0,2,0,0,0,0,1,0,
Bizkaia,GAMIZ-FIKA,,38,4,736,526,4,522,2,520,210,277,2,3,150,17,62,1,5,0,0,0,0,2,0,1,0,0,
Bizkaia,GARAI,,39,3,207,165,,165,2,163,42,82,0,4,43,5,26,0,1,2,0,0,0,0,0,0,0,0,
Bizkaia,GATIKA,,40,4,667,518,2,516,2,514,149,226,8,15,103,16,146,0,0,0,0,0,0,0,0,0,0,0,
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,648,501,2,499,,499,147,264,10,17,115,16,70,0,1,0,0,4,0,0,0,1,0,1,
Bizkaia,GERNIKA-LUMO,,46,4,12756,9221,68,9153,42,9111,3535,3251,820,440,2384,527,1389,87,104,8,3,44,9,33,1,2,7,2,
Gipuzkoa,GETARIA,,39,4,1842,1411,6,1405,,1405,431,491,30,15,407,74,377,7,1,0,0,3,0,0,0,0,0,0,
Bizkaia,GETXO,,44,4,59373,41202,275,40927,299,40628,18171,13000,4318,7360,5088,3915,3573,890,1438,57,21,437,27,380,74,21,13,16,
Bizkaia,GIZABURUAGA,,47,4,125,82,,82,,82,43,35,1,1,37,2,6,0,0,0,0,0,0,0,0,0,0,0,
Bizkaia,GORDEXOLA,,42,2,1279,998,18,980,6,974,281,514,32,138,96,38,107,12,18,0,0,8,1,8,0,0,1,1,
Bizkaia,GORLIZ,,43,4,2149,1491,19,1472,9,1463,658,684,86,69,247,174,138,17,25,1,0,12,0,8,2,0,0,0,
Bizkaia,GÜEÑES,,45,2,4866,3990,53,3937,12,3925,876,1701,434,104,715,137,690,48,27,8,2,22,2,20,7,2,3,3,
Álava,HARANA/VALLE DE ARANA,,56,2,370,224,1,223,1,222,146,96,31,49,18,5,4,1,14,0,0,0,0,2,0,0,1,0,1
Gipuzkoa,HERNANI,,40,1,14600,9303,36,9267,43,9224,5297,884,1960,330,3318,856,1337,192,168,15,3,44,5,17,82,7,3,3,
Gipuzkoa,HERNIALDE,,41,3,219,100,,100,,100,119,19,2,2,30,8,38,0,0,0,1,0,0,0,0,0,0,0,
Gipuzkoa,HONDARRIBIA,,36,2,10215,6550,28,6522,29,6493,3665,1086,737,331,1527,801,1666,68,115,15,5,77,3,46,7,5,2,2,
Gipuzkoa,IBARRA,,42,3,3249,2130,6,2124,12,2112,1119,202,429,64,601,242,502,17,31,4,1,8,2,4,4,0,1,0,
Bizkaia,IBARRANGELU,,48,4,477,387,,387,,387,90,244,5,4,77,20,33,0,0,1,0,1,0,2,0,0,0,0,
Gipuzkoa,IDIAZABAL,,43,3,1581,1188,6,1182,7,1175,393,344,29,20,236,117,418,3,4,0,0,1,0,3,0,0,0,0,
Bizkaia,IGORRE,,94,3,2757,2076,21,2055,9,2046,681,974,106,52,368,62,429,17,8,0,0,13,0,11,5,1,0,0,
Gipuzkoa,IKAZTEGIETA,,44,3,298,196,1,195,2,193,102,42,5,1,94,6,45,0,0,0,0,0,0,0,0,0,0,0,
Gipuzkoa,IRUN,,45,2,41561,27134,230,26904,200,26704,14427,2851,8421,2665,3489,2970,3245,937,1325,109,16,279,25,199,103,12,30,28,
Gipuzkoa,IRURA,,46,3,511,317,,317,2,315,194,84,16,6,108,16,69,0,12,1,0,0,1,1,1,0,0,0,
Álava,IRURAIZ-GAUNA,,27,2,377,230,11,219,2,217,147,108,8,27,34,15,7,1,10,0,0,1,0,3,0,0,0,0,3
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,1193,840,23,817,12,805,353,108,322,150,56,55,17,23,34,1,0,11,0,16,4,0,1,2,5
Bizkaia,ISPASTER,,49,4,521,430,2,428,1,427,91,266,4,7,86,14,47,0,1,0,1,1,0,0,0,0,0,0,
Gipuzkoa,ITSASONDO,,47,3,632,414,9,405,,405,218,67,11,5,165,46,99,3,7,0,0,1,0,1,0,0,0,0,
Bizkaia,IZURTZA,,50,3,221,178,3,175,2,173,43,89,5,0,48,2,27,1,0,0,0,1,0,0,0,0,0,0,
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2761,1567,6,1561,2,1559,1194,712,209,94,216,53,222,6,24,2,0,3,0,12,2,0,0,4,
Bizkaia,KORTEZUBI,,907,4,333,281,1,280,,280,52,174,1,4,71,5,23,2,0,0,0,0,0,0,0,0,0,0,
Álava,KRIPAN,,19,2,175,133,,133,1,132,42,88,4,8,6,3,7,3,12,0,0,1,0,0,0,0,0,0,0
Álava,KUARTANGO,,20,2,313,189,1,188,2,186,124,75,11,13,44,14,6,3,17,0,0,0,1,1,0,0,1,0,0
Álava,LABASTIDA/BASTIDA,,28,2,764,528,12,516,,516,236,65,121,179,57,12,12,27,22,1,0,5,2,7,0,0,2,2,2
Álava,LAGRÁN,,30,2,180,137,2,135,,135,43,51,22,30,4,4,5,1,9,1,1,0,0,5,0,0,0,2,0
Álava,LAGUARDIA,,31,2,1224,848,10,838,5,833,376,179,175,219,64,32,67,19,45,5,1,2,0,19,1,2,0,0,3
Álava,LANCIEGO/LANTZIEGO,,32,2,534,392,4,388,1,387,142,147,108,57,18,15,1,4,25,1,0,2,0,1,0,0,0,0,8
Bizkaia,LANESTOSA,,51,2,266,206,7,199,,199,60,92,56,22,15,8,1,1,2,0,0,1,0,0,0,1,0,0,
Álava,LANTARÓN,,902,2,712,489,1,488,,488,223,159,77,119,39,26,5,16,31,0,0,3,2,6,2,0,0,1,2
Álava,LAPUEBLA DE LABARCA,,33,2,655,530,2,528,,528,125,268,87,91,12,3,53,6,6,0,0,1,0,1,0,0,0,0,0
Bizkaia,LARRABETZU,,52,4,1245,1011,5,1006,5,1001,234,543,35,25,319,25,41,2,7,0,0,2,0,2,0,0,0,0,
Gipuzkoa,LARRAUL,,48,3,132,63,,63,,63,69,16,0,0,32,2,12,0,0,0,0,0,0,1,0,0,0,0,
Gipuzkoa,LASARTE-ORIA,,902,1,13500,9063,36,9027,50,8977,4437,717,3565,434,1641,710,1097,265,350,23,0,68,3,24,57,1,5,17,
Álava,LAUDIO/LLODIO,,36,3,15997,11234,190,11076,71,11005,4763,2313,2363,1074,2282,749,1061,241,592,40,4,52,10,119,26,9,5,17,48
Bizkaia,LAUKIZ,,53,4,755,591,4,587,2,585,164,307,9,39,72,17,121,4,8,1,1,4,0,2,0,0,0,0,
Gipuzkoa,LAZKAO,,49,3,3953,2761,4,2757,20,2737,1192,555,562,81,804,238,385,56,26,1,1,8,0,2,16,2,0,0,
Gipuzkoa,LEABURU,,50,3,503,346,3,343,2,341,157,50,4,4,234,20,22,1,1,0,0,1,0,3,0,1,0,0,
Gipuzkoa,LEGAZPI,,51,3,8062,5810,28,5782,31,5751,2252,945,1020,246,1029,855,1367,57,132,9,1,27,5,5,42,1,7,3,
Gipuzkoa,LEGORRETA,,52,3,1186,893,1,892,5,887,293,249,115,14,237,166,75,3,6,3,0,7,0,1,9,0,1,1,
Álava,LEGUTIO,,58,2,1002,677,14,663,3,660,325,200,96,29,144,40,100,14,20,1,0,3,0,11,0,0,0,1,1
Gipuzkoa,LEINTZ-GATZAGA,,68,4,175,138,,138,,138,37,46,2,0,54,1,34,0,0,1,0,0,0,0,0,0,0,0,
Bizkaia,LEIOA,,54,4,17402,11552,118,11434,71,11363,5850,3400,2260,843,1621,1284,733,486,391,39,10,151,5,93,26,4,8,9,
Bizkaia,LEKEITIO,,57,4,6026,4414,16,4398,15,4383,1612,1394,85,99,1439,232,1067,16,22,3,0,22,1,1,1,0,1,0,
Bizkaia,LEMOA,,55,3,2279,1996,13,1983,18,1965,283,905,112,68,312,47,478,12,9,0,0,8,2,10,0,0,2,0,
Bizkaia,LEMOIZ,,56,4,668,497,3,494,2,492,171,245,15,12,129,39,42,0,2,1,0,3,0,4,0,0,0,0,
Álava,LEZA,,34,2,181,132,3,129,2,127,49,23,31,17,12,5,35,2,1,0,0,0,0,1,0,0,0,0,0
Bizkaia,LEZAMA,,81,4,1508,1149,6,1143,4,1139,359,660,44,51,252,40,76,7,3,0,0,5,0,0,0,1,0,0,
Gipuzkoa,LEZO,,53,2,4070,2553,25,2528,9,2519,1517,219,431,82,961,215,503,36,43,9,0,7,2,6,2,0,2,1,
Gipuzkoa,LIZARTZA,,54,3,571,465,1,464,3,461,106,38,0,0,267,4,152,0,0,0,0,0,0,0,0,0,0,0,
Bizkaia,LOIU,,903,4,1524,1109,2,1107,1,1106,415,586,28,97,157,48,149,4,22,0,0,6,0,7,0,2,0,0,
Bizkaia,MALLABIA,,58,3,870,676,8,668,8,660,194,257,68,10,234,27,45,6,7,0,0,3,0,2,1,0,0,0,
Bizkaia,MARKINA-XEMEIN,,60,4,3996,2543,16,2527,12,2515,1453,1186,95,113,681,99,278,15,19,4,0,17,0,7,0,0,0,1,
Bizkaia,MARURI-JATABE,,61,4,402,298,4,294,1,293,104,155,7,11,28,22,65,1,1,0,0,1,0,2,0,0,0,0,
Bizkaia,MAÑARIA,,59,3,415,329,,329,3,326,86,179,1,17,91,4,26,0,5,0,0,2,0,1,0,0,0,0,
Gipuzkoa,MENDARO,,901,4,1227,830,2,828,5,823,397,277,140,15,163,36,178,4,3,0,0,3,3,1,0,0,0,0,
Bizkaia,MENDATA,,62,4,322,254,1,253,1,252,68,150,0,1,50,4,46,0,0,0,0,1,0,0,0,0,0,0,
Bizkaia,MENDEXA,,63,4,309,245,,245,,245,64,112,1,5,90,5,26,0,1,0,0,4,0,0,0,0,1,0,
Bizkaia,MEÑAKA,,64,4,348,281,1,280,,280,67,108,2,10,51,10,97,0,1,0,0,1,0,0,0,0,0,0,
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,256,207,,207,,207,49,54,79,40,4,12,0,3,13,0,0,0,1,1,0,0,0,0,0
Bizkaia,MORGA,,66,4,293,220,,220,2,218,73,153,1,8,24,3,25,0,0,0,0,0,0,4,0,0,0,0,
Bizkaia,MUNDAKA,,68,4,1324,1064,4,1060,3,1057,260,512,18,27,237,50,202,1,0,0,0,6,0,4,0,0,0,0,
Bizkaia,MUNGIA,,69,4,8613,5948,20,5928,22,5906,2665,2792,499,335,997,376,708,46,63,5,1,22,5,38,11,4,3,1,
Álava,MUNICIPIO CERA ARABA,,999,99,527,189,2,187,,187,338,33,54,41,8,7,8,7,12,7,1,4,0,1,0,1,0,2,1
Bizkaia,MUNICIPIO CERA BIZKAIA,,999,99,3077,1124,3,1121,8,1113,1953,344,320,109,86,28,34,78,34,17,4,23,0,5,7,15,1,8,
Gipuzkoa,MUNICIPIO CERA GIPUZKOA,,999,99,2214,911,3,908,9,899,1303,172,275,92,83,39,84,57,36,11,3,28,1,7,2,6,1,2,
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,427,312,4,308,1,307,115,157,0,2,93,3,47,0,2,0,0,0,0,2,0,0,1,0,
Bizkaia,MURUETA,,908,4,198,146,5,141,,141,52,80,1,2,30,4,24,0,0,0,0,0,0,0,0,0,0,0,
Bizkaia,MUSKIZ,,71,2,4895,3497,16,3481,15,3466,1398,991,753,152,532,243,433,224,42,8,0,28,2,15,36,1,0,6,
Gipuzkoa,MUTILOA,,57,3,162,94,,94,1,93,68,13,0,0,37,4,38,1,0,0,0,0,0,0,0,0,0,0,
Gipuzkoa,MUTRIKU,,56,4,3624,2744,7,2737,11,2726,880,1259,140,149,768,118,260,5,10,1,1,6,0,5,0,0,2,2,
Bizkaia,MUXIKA,,67,4,1238,967,5,962,3,959,271,353,6,9,383,9,192,0,3,0,0,1,1,2,0,0,0,0,
Bizkaia,NABARNIZ,,909,4,217,175,,175,,175,42,73,0,0,89,0,13,0,0,0,0,0,0,0,0,0,0,0,
Álava,NAVARIDAS,,41,2,188,142,3,139,5,134,46,24,9,57,1,7,20,3,5,0,0,1,2,5,0,0,0,0,0
Gipuzkoa,OIARTZUN,,63,2,6253,4454,17,4437,26,4411,1799,611,245,69,1909,342,1107,43,26,16,1,21,4,6,7,1,0,3,
Álava,OKONDO,,42,3,624,452,9,443,,443,172,212,9,63,91,10,52,1,2,0,0,1,0,0,0,1,0,0,1
Gipuzkoa,OLABERRIA,,58,3,1033,714,3,711,6,705,319,116,176,45,125,73,121,8,26,1,0,9,2,2,0,1,0,0,
Bizkaia,ONDARROA,,73,4,8550,5844,35,5809,19,5790,2706,2000,228,347,2228,277,649,18,9,0,2,14,1,12,0,0,1,4,
Gipuzkoa,ORDIZIA,,76,3,7412,5160,27,5133,20,5113,2252,741,795,290,1252,972,732,112,95,2,3,28,3,12,70,1,2,3,
