TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,HB,EE,EB-B,CDS,PST,FE-JONS,POSI,UPR,PCE-EPK,UCE,AP-PDP-PL
Bizkaia,ERRIGOITI,,79,4,432,294,3,291,,291,138,173,7,99,6,0,0,0,0,1,0,0,0,5
Gipuzkoa,ESKORIATZA,,34,4,2975,2089,24,2065,7,2058,886,819,441,466,155,15,47,10,,2,1,3,4,95
Bizkaia,ETXEBARRI,,29,3,4586,3114,52,3062,13,3049,1472,670,1310,396,119,59,155,52,4,7,12,21,14,230
Bizkaia,ETXEBARRIA,,30,4,610,332,8,324,1,323,278,161,14,132,10,0,3,0,0,0,0,0,0,3
Gipuzkoa,EZKIO-ITSASO,,35,3,496,306,,306,,306,190,121,4,146,25,1,4,0,,0,0,0,0,5
Bizkaia,FRUIZ,,35,4,251,166,1,165,2,163,85,128,0,20,8,0,0,0,0,0,0,0,0,7
Gipuzkoa,GABIRIA,,38,3,394,267,3,264,,264,127,173,3,46,36,0,1,0,,0,0,0,0,5
Gipuzkoa,GAINTZA,,37,3,103,69,,69,,69,34,41,0,26,0,0,1,0,,0,0,0,1,0
Bizkaia,GALDAKAO,,36,3,19937,13986,343,13643,67,13576,5951,4444,3792,2660,1001,182,535,58,12,19,13,95,26,739
Bizkaia,GALDAMES,,37,2,711,534,13,521,3,518,177,288,57,99,37,5,7,0,1,0,3,1,0,20
Bizkaia,GAMIZ-FIKA,,38,4,736,478,2,476,,476,258,346,7,105,12,0,2,0,0,0,0,0,0,4
Bizkaia,GARAI,,39,3,195,138,,138,2,136,57,80,1,41,6,0,1,2,0,0,0,0,0,5
Bizkaia,GATIKA,,40,4,713,461,17,444,,444,252,289,11,109,16,1,1,0,0,0,0,0,0,17
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,649,502,13,489,1,488,147,318,8,115,21,0,9,0,2,0,0,0,0,15
Bizkaia,GERNIKA-LUMO,,46,4,14067,9895,225,9670,46,9624,4172,4289,1049,2534,785,53,201,22,1,10,6,17,16,641
Gipuzkoa,GETARIA,,39,4,1856,1417,4,1413,3,1410,439,769,35,426,136,1,10,3,,0,0,1,0,29
Bizkaia,GETXO,,44,4,54545,37230,619,36611,215,36396,17315,12551,5010,4964,3695,248,2118,105,25,24,19,144,21,7472
Bizkaia,GIZABURUAGA,,47,4,128,78,,78,1,77,50,35,0,37,1,0,0,0,0,0,0,0,0,3
Bizkaia,GORDEXOLA,,42,2,1316,1036,25,1011,4,1007,280,565,72,72,55,2,39,0,2,0,1,2,0,197
Bizkaia,GORLIZ,,43,4,2035,1363,30,1333,2,1331,672,659,116,218,197,4,59,3,1,2,1,1,0,70
Bizkaia,GÜEÑES,,45,2,4998,3909,180,3729,20,3709,1089,1969,566,709,180,33,70,18,1,8,5,17,4,129
Álava,HARANA/VALLE DE ARANA,,56,2,378,265,,265,1,264,113,113,31,24,12,1,27,2,,0,0,0,1,53
Gipuzkoa,HERNANI,,40,1,14658,9740,100,9640,22,9618,4918,2009,2417,3402,865,73,261,23,,6,12,139,6,405
Gipuzkoa,HERNIALDE,,41,3,220,121,,121,1,120,99,55,5,33,14,0,2,0,,0,1,1,0,9
Gipuzkoa,HONDARRIBIA,,36,2,9335,5888,42,5846,30,5816,3447,2134,806,1359,810,23,240,22,,7,11,13,6,385
Gipuzkoa,IBARRA,,42,3,3203,1971,26,1945,4,1941,1232,516,474,515,245,12,59,11,,4,4,16,3,82
Bizkaia,IBARRANGELU,,48,4,463,352,6,346,2,344,111,249,6,51,23,0,6,0,0,1,0,0,0,8
Gipuzkoa,IDIAZABAL,,43,3,1554,1160,11,1149,4,1145,394,629,38,262,141,2,31,0,,0,0,0,0,42
Bizkaia,IGORRE,,94,3,2531,1891,32,1859,3,1856,640,1020,178,484,80,2,13,0,3,3,0,2,5,66
Gipuzkoa,IKAZTEGIETA,,44,3,555,365,,365,,365,190,144,14,171,22,0,0,0,,0,0,0,0,14
Gipuzkoa,IRUN,,45,2,40392,27495,365,27130,174,26956,12897,4954,10180,3653,2769,304,1797,118,,41,80,206,68,2786
Gipuzkoa,IRURA,,46,3,499,367,4,363,,363,132,162,21,129,19,0,21,1,,0,0,0,1,9
Álava,IRURAIZ-GAUNA,,27,2,384,278,3,275,7,268,106,145,14,32,21,1,12,2,,0,0,1,0,40
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,1216,864,14,850,9,841,352,134,368,39,32,11,83,6,,0,5,5,1,157
Bizkaia,ISPASTER,,49,4,541,408,1,407,4,403,133,284,2,78,15,2,3,0,0,0,1,4,0,14
Gipuzkoa,ITSASONDO,,47,3,665,438,1,437,10,427,227,132,23,183,65,0,8,0,,0,0,0,0,16
Bizkaia,IZURTZA,,50,3,229,187,13,174,2,172,42,95,5,64,3,0,0,0,0,0,0,0,0,5
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2836,1595,17,1578,5,1573,1241,802,270,176,112,10,44,5,0,3,1,4,6,140
Álava,KRIPAN,,19,2,172,126,5,121,,121,46,86,1,4,8,1,4,0,,0,3,0,0,14
Álava,KUARTANGO,,20,2,322,186,13,173,,173,136,43,32,36,12,1,26,0,,0,0,0,0,23
Álava,LABASTIDA/BASTIDA,,28,2,800,604,3,601,3,598,196,91,182,28,23,9,45,0,,0,1,14,0,205
Álava,LAGRÁN,,30,2,200,152,4,148,,148,48,50,20,5,7,0,29,0,,3,0,0,0,34
Álava,LAGUARDIA,,31,2,1212,919,9,910,5,905,293,166,207,97,58,2,52,4,,2,4,4,1,308
