TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,HB,EE,EKA,FE-JONS,LKI-LCR,PCE-EPK,UCD,PSOE(H),ORT,UFV,EMK-OIC,IRE,P. PROVERISTA,PCTE / ELAK,UN,ULE,PTE
Bizkaia,ABADIÑO,,1,3,4124,2602,47,2542,13,2542,1522,780,502,482,87,18,7,34,112,378,17,16,45,9,39,6,,10,0,
Gipuzkoa,ABALTZISKETA,,1,3,254,89,1,88,,88,165,44,1,12,23,0,1,0,0,3,,0,0,2,2,,,0,0,
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7524,4737,70,4660,7,4660,2787,762,1176,577,709,3,2,23,923,318,22,3,49,63,2,1,,27,0,
Gipuzkoa,ADUNA,,2,3,262,211,4,206,1,206,51,121,4,54,9,6,0,0,2,4,,6,0,0,0,,,0,0,
Álava,AGURAIN/SALVATIERRA,,51,2,2465,1642,69,1565,8,1565,823,425,331,223,49,8,,16,48,348,21,18,40,18,,2,0,6,,12
Gipuzkoa,AIA,,16,4,1518,765,6,759,,759,753,478,14,114,104,4,1,1,1,34,,3,1,0,2,,,0,2,
Gipuzkoa,AIZARNAZABAL,,3,4,396,202,13,188,1,188,194,92,6,29,27,6,0,0,1,22,,0,0,2,0,,,3,0,
Gipuzkoa,ALBIZTUR,,4,3,284,124,14,109,1,109,160,51,5,12,14,8,0,0,1,14,,1,1,1,0,,,1,0,
Gipuzkoa,ALEGIA,,5,3,1265,855,30,822,3,822,410,303,88,255,68,5,0,2,8,67,,16,4,2,0,,,4,0,
Álava,ALEGRÍA-DULANTZI,,1,2,681,507,23,482,2,482,174,132,121,27,6,3,,2,12,118,9,4,18,5,,4,0,18,,3
Gipuzkoa,ALKIZA,,6,3,216,96,10,86,,86,120,29,0,31,13,1,0,0,2,7,,2,1,0,0,,,0,0,
Gipuzkoa,ALTZO,,7,3,257,139,5,134,,134,118,33,4,62,21,1,0,0,0,7,,5,0,0,1,,,0,0,
Gipuzkoa,AMEZKETA,,8,3,915,335,,335,,335,580,106,2,75,59,1,0,16,0,68,,2,1,4,0,,,1,0,
Bizkaia,AMOREBIETA-ETXANO,,3,3,10757,7352,114,7229,9,7229,3405,2654,1286,1449,223,6,3,83,741,439,23,2,127,146,2,2,,43,0,
Bizkaia,AMOROTO,,4,4,327,202,,202,,202,125,162,0,27,10,0,0,0,0,2,1,0,0,0,0,0,,0,0,
Álava,AMURRIO,,2,3,6174,4027,67,3945,15,3945,2147,1373,662,593,177,10,,21,92,753,16,23,169,16,,5,0,12,,23
Gipuzkoa,ANDOAIN,,9,3,10575,6928,153,6759,16,6759,3647,1531,1555,871,1107,116,7,44,254,893,,105,42,200,14,,,17,3,
Gipuzkoa,ANOETA,,10,3,1030,639,22,616,1,616,391,162,83,156,63,3,3,1,9,79,,49,5,1,1,,,1,0,
Gipuzkoa,ANTZUOLA,,11,4,1649,1248,5,1242,1,1242,401,391,226,272,76,6,1,67,19,133,,1,0,45,1,,,4,0,
