TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,HB,EE,EKA,FE-JONS,LKI-LCR,PCE-EPK,UCD,PSOE(H),ORT,UFV,EMK-OIC,IRE,P. PROVERISTA,PCTE / ELAK,UN,ULE,PTE
Bizkaia,ARAKALDO,,5,3,127,65,3,62,,62,62,20,4,20,5,0,0,0,2,9,0,0,0,0,0,0,,2,0,
Gipuzkoa,ARAMA,,12,3,147,102,5,97,,97,45,35,3,47,8,1,0,2,1,0,,0,0,0,0,,,0,0,
Álava,ARAMAIO,,3,2,1169,829,21,808,,808,340,481,29,201,15,4,,0,9,62,1,0,3,1,,1,0,0,,1
Bizkaia,ARANTZAZU,,6,3,224,152,,152,,152,72,64,0,63,9,2,0,0,0,3,2,0,9,0,0,0,,0,0,
Bizkaia,AREATZA,,93,3,1019,743,3,739,1,739,276,333,62,92,44,23,0,3,7,77,5,0,90,2,0,0,,1,0,
Gipuzkoa,ARETXABALETA,,13,4,4236,3165,42,3118,5,3118,1071,1173,584,696,198,14,6,7,104,261,,2,16,46,0,,,9,2,
Álava,ARMIÑÓN,,6,2,147,97,,97,,97,50,15,16,0,0,0,,0,1,39,0,0,26,0,,0,0,0,,0
Álava,ARRAIA-MAEZTU,,37,2,791,466,26,439,1,439,325,154,44,15,7,2,,0,2,181,0,1,25,0,,1,0,2,,5
Bizkaia,ARRANKUDIAGA,,9,3,658,484,3,481,,481,174,191,17,178,27,4,0,0,6,37,0,3,15,0,1,1,,1,0,
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,18794,12356,249,12080,27,12080,6438,3546,2378,2021,931,95,9,259,410,1892,,28,106,361,13,,,31,0,
Álava,ARRATZUA-UBARRUNDIA,,8,2,563,370,14,352,4,352,193,99,83,28,9,3,,0,6,80,0,2,34,1,,0,0,3,,4
Bizkaia,ARRIETA,,10,4,523,239,1,238,,238,284,144,3,34,7,0,0,0,0,9,0,0,41,0,0,0,,0,0,
Bizkaia,ARRIGORRIAGA,,11,3,7099,4431,102,4319,10,4319,2668,1142,886,1160,203,13,4,13,311,396,31,15,47,52,13,3,,30,0,
Bizkaia,ARTEA,,23,3,571,436,4,431,1,431,135,226,5,118,3,4,0,1,1,17,1,0,44,1,0,0,,10,0,
Bizkaia,ARTZENTALES,,8,2,591,333,6,327,,327,258,180,16,36,2,1,1,0,8,39,3,1,31,7,0,0,,2,0,
Álava,ARTZINIEGA,,4,3,839,570,8,561,1,561,269,193,43,38,1,0,,0,3,233,0,0,48,0,,1,0,1,,0
Álava,ASPARRENA,,9,2,1418,924,21,903,,903,494,256,130,187,80,0,,11,15,170,5,2,28,1,,0,0,6,,12
Gipuzkoa,ASTEASU,,14,3,943,469,15,452,2,452,474,179,50,136,44,7,0,0,1,16,,5,0,5,2,,,3,4,
Gipuzkoa,ATAUN,,15,3,1618,895,20,874,1,874,723,253,6,392,181,0,0,5,5,28,,0,0,0,2,,,2,0,
Bizkaia,ATXONDO,,91,3,927,558,17,533,8,533,369,258,29,130,23,7,0,1,23,49,0,0,6,3,2,1,,1,0,
Bizkaia,AULESTI,,70,4,611,321,,310,11,310,290,168,1,81,5,0,0,2,2,35,5,1,8,2,0,0,,0,0,
Álava,AYALA/AIARA,,10,3,1797,1228,25,1202,1,1202,569,515,78,136,25,5,,3,13,289,1,2,124,2,,1,0,2,,6
Gipuzkoa,AZKOITIA,,17,4,7917,5394,39,5341,14,5341,2523,2211,746,567,506,288,1,14,112,743,,17,28,71,7,,,26,4,
Gipuzkoa,AZPEITIA,,18,4,8916,5707,64,5640,3,5640,3209,2917,461,521,648,194,2,65,58,578,,10,30,51,5,,,48,52,
Álava,AÑANA,,49,2,255,142,14,128,,128,113,18,8,7,4,0,,1,1,44,0,0,43,0,,1,0,0,,1
Bizkaia,BAKIO,,12,4,882,647,1,646,,646,235,482,10,29,96,0,0,1,1,18,4,0,3,1,1,0,,0,0,
Bizkaia,BALMASEDA,,90,2,6240,4331,39,4289,3,4289,1909,1416,1206,723,39,4,2,46,93,487,11,23,86,12,13,1,,126,1,
Bizkaia,BARAKALDO,,13,2,91031,61274,1418,59714,142,59714,29757,10652,16435,8046,3509,79,90,211,5392,10673,454,436,1853,1050,188,82,,564,0,
Bizkaia,BARRIKA,,14,4,582,333,4,328,1,328,249,131,7,73,47,0,0,0,4,53,0,0,8,3,0,0,,2,0,
Álava,BARRUNDIA,,13,2,516,317,10,307,,307,199,135,19,17,9,0,,4,2,91,1,1,16,6,,0,0,5,,1
Bizkaia,BASAURI,,15,3,36583,23122,517,22570,35,22570,13461,5090,5401,3586,1475,84,36,91,1405,3905,203,168,341,443,61,34,,247,0,
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,273,194,1,192,1,192,79,48,33,2,0,3,,0,2,88,0,0,14,0,,2,0,0,,0
Gipuzkoa,BEASAIN,,19,3,8194,5386,95,5275,16,5275,2808,1758,803,778,731,53,7,57,196,677,,48,40,110,3,,,13,1,
Bizkaia,BEDIA,,92,3,945,651,13,637,1,637,294,370,44,112,7,5,2,8,37,30,0,0,16,3,0,0,,3,0,
Gipuzkoa,BEIZAMA,,20,4,151,98,4,94,,94,53,61,1,11,5,6,0,0,0,8,,0,0,1,1,,,0,0,
Gipuzkoa,BELAUNTZA,,21,3,277,125,2,123,,123,152,29,5,34,19,4,0,3,3,20,,1,0,2,1,,,2,0,
Bizkaia,BERANGO,,16,4,2672,1749,46,1700,3,1700,923,699,238,360,92,2,0,48,62,147,10,5,20,7,2,3,,5,0,
Álava,BERANTEVILLA,,14,2,378,219,5,213,1,213,159,48,18,10,7,0,,3,5,97,0,1,17,0,,3,0,1,,3
Gipuzkoa,BERASTEGI,,22,3,765,350,22,328,,328,415,108,7,118,37,12,0,0,0,31,,13,1,0,1,,,0,0,
Gipuzkoa,BERGARA,,74,4,12635,8178,148,8015,15,8015,4457,2406,902,2239,1070,61,0,114,158,840,,10,55,145,9,,,6,0,
Bizkaia,BERMEO,,17,4,13820,9662,125,9516,21,9516,4158,5294,725,1826,588,11,8,20,167,457,39,1,96,255,9,2,,18,0,
Álava,BERNEDO,,16,2,594,328,4,324,,324,266,98,21,10,4,8,,0,1,151,5,2,21,0,,0,0,1,,2
Bizkaia,BERRIZ,,19,3,3096,1981,50,1931,,1931,1115,685,285,277,141,5,0,22,96,295,14,61,18,10,9,4,,9,0,
Gipuzkoa,BERROBI,,23,3,440,237,2,235,,235,203,69,31,101,3,6,0,1,2,19,,1,0,2,0,,,0,0,
Gipuzkoa,BIDANIA-GOIATZ,,24,4,473,216,,215,1,215,257,93,2,75,22,3,0,0,2,16,,1,0,1,0,,,0,0,
Bizkaia,BILBAO,,20,1,327572,217391,5321,211578,492,211578,110181,61081,37859,26548,12073,409,360,1042,8660,41577,1812,1164,11914,2562,531,195,,3772,19,
Bizkaia,BUSTURIA,,21,4,1392,899,3,894,2,894,493,460,60,249,33,0,0,2,16,51,11,1,6,4,1,0,,0,0,
Álava,CAMPEZO/KANPEZU,,17,2,1047,766,35,731,,731,281,247,68,20,8,10,,0,7,311,1,0,56,0,,1,0,0,,2
Gipuzkoa,DEBA,,29,4,3693,2399,15,2380,4,2380,1294,867,268,440,469,41,1,7,16,211,,0,36,17,4,,,3,0,
Bizkaia,DIMA,,26,3,1050,662,3,659,,659,388,293,2,211,12,0,0,1,3,117,0,1,16,2,0,1,,0,0,
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,132006,85029,1457,83374,198,83374,46977,19763,14036,13255,12213,746,62,181,1901,16615,,529,1565,1117,142,,,1242,7,
Bizkaia,DURANGO,,27,3,19170,12804,322,12451,31,12451,6366,3789,1459,2439,729,113,33,73,645,1983,110,63,553,145,24,12,,281,0,
Bizkaia,EA,,28,4,705,454,1,450,3,450,251,329,0,75,10,1,0,0,0,16,2,0,5,6,1,0,,5,0,
Gipuzkoa,EIBAR,,30,4,28645,19336,308,18973,55,18973,9309,4348,4562,2946,1749,173,34,194,761,3451,,141,250,174,33,,,145,12,
Bizkaia,ELANTXOBE,,31,4,480,,,,,,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
Álava,ELBURGO/BURGELU,,21,2,186,124,3,121,,121,62,48,14,6,3,0,,0,0,35,0,0,9,1,,0,0,4,,1
Álava,ELCIEGO,,22,2,768,599,14,585,,585,169,75,197,8,7,0,,0,28,199,3,10,27,0,,0,0,28,,3
Gipuzkoa,ELDUAIN,,31,3,224,140,2,138,,138,84,32,2,83,7,2,0,0,0,9,,3,0,0,0,,,0,0,
Gipuzkoa,ELGETA,,33,4,898,670,28,642,,642,228,245,59,142,101,6,0,2,6,71,,0,6,3,0,,,1,0,
Gipuzkoa,ELGOIBAR,,32,4,10690,7100,77,7004,19,7004,3590,2376,1079,1029,893,51,6,95,327,983,,15,83,27,13,,,22,5,
Bizkaia,ELORRIO,,32,3,5479,4044,95,3942,7,3942,1435,1399,454,677,317,172,14,8,178,513,59,21,55,37,16,7,,15,0,
Álava,ELVILLAR/BILAR,,23,2,383,247,12,234,1,234,136,56,22,5,3,0,,0,14,115,0,0,17,1,,0,0,1,,0
Bizkaia,EREÑO,,33,4,275,132,5,127,,127,143,36,4,49,9,1,0,0,0,14,0,0,14,0,0,0,,0,0,
Bizkaia,ERMUA,,34,3,12094,8060,246,7757,57,7757,4034,863,2355,498,174,75,24,58,774,2255,97,113,185,182,25,6,,73,0,
Gipuzkoa,ERRENTERIA,,67,2,32002,21789,487,21266,36,21266,10213,3416,6018,4247,2684,191,30,76,941,2682,,245,113,485,49,,,89,0,
Gipuzkoa,ERREZIL,,66,4,687,300,2,296,2,296,387,184,1,43,44,7,0,1,3,11,,1,1,0,0,,,0,0,
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,572,328,28,298,2,298,244,97,22,13,6,3,,1,3,119,0,1,32,0,,0,0,1,,0
Bizkaia,ERRIGOITI,,79,4,491,243,,243,,243,248,123,5,82,6,0,0,0,1,15,0,0,9,1,0,1,,0,0,
Gipuzkoa,ESKORIATZA,,34,4,2894,2032,37,1990,5,1990,862,670,299,452,172,18,2,7,56,282,,3,0,19,4,,,1,5,
Bizkaia,ETXEBARRI,,29,3,4252,2702,68,2626,8,2626,1550,629,829,310,116,4,5,21,174,356,30,64,39,25,6,1,,17,0,
Bizkaia,ETXEBARRIA,,30,4,549,282,3,279,,279,267,140,10,73,14,0,0,4,1,32,3,0,0,1,1,0,,0,0,
Gipuzkoa,EZKIO-ITSASO,,35,3,496,324,,322,2,322,172,125,8,129,43,0,0,0,4,11,,0,0,2,0,,,0,0,
Bizkaia,FRUIZ,,35,4,300,162,1,160,1,160,138,129,1,20,6,0,0,1,0,3,0,0,0,0,0,0,,0,0,
Gipuzkoa,GABIRIA,,38,3,395,274,10,264,,264,121,156,2,19,72,2,1,0,0,12,,0,0,0,0,,,0,0,
Gipuzkoa,GAINTZA,,37,3,142,85,1,84,,84,57,18,2,40,9,7,0,0,0,6,,0,0,1,1,,,0,0,
Bizkaia,GALDAKAO,,36,3,17366,11705,275,11407,23,11407,5661,4009,2191,2041,515,29,16,72,566,1278,95,49,301,135,28,13,,54,15,
Bizkaia,GALDAMES,,37,2,740,443,5,438,,438,297,295,22,25,41,1,0,0,18,17,4,0,7,6,1,1,,0,0,
Bizkaia,GAMIZ-FIKA,,38,4,776,435,6,429,,429,341,310,2,86,18,0,0,0,0,11,0,0,2,0,0,0,,0,0,
Bizkaia,GARAI,,39,3,189,121,3,117,1,117,68,59,2,36,4,1,0,0,1,8,5,0,1,0,0,0,,0,0,
Bizkaia,GATIKA,,40,4,810,493,6,487,,487,317,360,2,76,8,0,0,3,5,30,1,0,2,0,0,0,,0,0,
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,635,462,1,461,,461,173,280,9,117,5,3,0,5,4,26,0,0,9,0,0,0,,3,0,
Bizkaia,GERNIKA-LUMO,,46,4,12318,7272,148,7119,5,7119,5046,3143,525,1685,322,8,5,61,134,647,43,9,342,103,11,6,,74,1,
Gipuzkoa,GETARIA,,39,4,1750,1394,21,1373,,1373,356,653,31,247,297,12,0,1,0,120,,0,5,5,0,,,2,0,
Bizkaia,GETXO,,44,4,42376,28744,348,28361,35,28361,13632,10306,2691,3792,1614,34,24,162,703,5043,133,27,3169,152,15,11,,484,1,
Bizkaia,GIZABURUAGA,,47,4,133,71,,71,,71,62,38,5,11,11,1,0,0,0,0,1,0,4,0,0,0,,0,0,
Bizkaia,GORDEXOLA,,42,2,1568,1038,20,1018,,1018,530,586,56,79,5,2,0,0,12,178,1,0,70,6,1,0,,22,0,
Bizkaia,GORLIZ,,43,4,1732,1158,20,1138,,1138,574,461,68,207,122,1,1,0,8,198,13,2,42,6,3,1,,4,1,
Bizkaia,GÜEÑES,,45,2,4883,3546,29,3508,9,3508,1337,1911,317,746,61,3,4,2,75,235,22,41,59,16,2,5,,9,0,
Álava,HARANA/VALLE DE ARANA,,56,2,430,271,6,265,,265,159,53,16,5,1,0,,0,0,151,0,0,29,0,,1,0,7,,2
Gipuzkoa,HERNANI,,40,1,20053,13451,346,13045,60,13045,6602,2441,3284,2878,1463,99,12,77,407,1739,,90,85,399,15,,,48,8,
Gipuzkoa,HERNIALDE,,41,3,215,136,1,135,,135,79,60,2,20,21,1,0,0,4,24,,1,0,0,1,,,1,0,
Gipuzkoa,HONDARRIBIA,,36,2,8005,5358,79,5269,10,5269,2647,1844,692,912,851,35,0,4,78,710,,13,37,38,10,,,40,5,
Gipuzkoa,IBARRA,,42,3,2826,1691,72,1616,3,1616,1135,390,316,317,245,37,1,2,65,155,,59,8,14,4,,,2,1,
Bizkaia,IBARRANGELU,,48,4,500,314,1,313,,313,186,238,3,53,3,0,0,0,0,11,0,0,4,1,0,0,,0,0,
Gipuzkoa,IDIAZABAL,,43,3,1531,1095,7,1087,1,1087,436,522,21,178,224,0,0,4,6,122,,0,3,4,1,,,0,2,
Bizkaia,IGORRE,,94,3,2388,1538,20,1513,5,1513,850,809,118,369,34,5,0,1,30,72,13,3,54,4,0,0,,1,0,
Gipuzkoa,IKAZTEGIETA,,44,3,589,325,12,313,,313,264,102,15,140,21,3,0,1,0,22,,7,0,2,0,,,0,0,
Gipuzkoa,IRUN,,45,2,37526,26070,525,25491,54,25491,11456,4060,7250,2778,3188,273,10,82,919,5483,,404,394,258,64,,,324,4,
Gipuzkoa,IRURA,,46,3,555,371,1,370,,370,184,138,31,114,24,3,0,1,7,36,,11,1,2,0,,,1,1,
Álava,IRURAIZ-GAUNA,,27,2,443,243,,242,1,242,200,60,25,23,17,1,,0,2,92,0,0,19,0,,2,0,0,,1
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,1169,796,10,784,2,784,373,122,193,26,20,1,,4,46,258,8,9,74,9,,0,0,5,,9
Bizkaia,ISPASTER,,49,4,548,341,3,338,,338,207,193,0,67,21,14,0,0,0,31,0,0,8,0,2,0,,2,0,
Gipuzkoa,ITSASONDO,,47,3,698,423,13,410,,410,275,96,17,149,83,2,1,9,1,47,,0,1,4,0,,,0,0,
Bizkaia,IZURTZA,,50,3,255,183,,183,,183,72,83,5,75,0,2,0,3,4,1,0,0,6,4,0,0,,0,0,
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2933,1415,19,1393,3,1393,1518,609,136,111,101,1,2,3,41,271,19,3,71,14,8,0,,3,0,
Álava,KRIPAN,,19,2,178,127,1,126,,126,51,77,3,1,1,1,,0,0,41,0,0,2,0,,0,0,0,,0
Álava,KUARTANGO,,20,2,308,185,10,173,2,173,123,35,27,15,10,0,,0,5,66,2,2,10,0,,1,0,0,,0
Álava,LABASTIDA/BASTIDA,,28,2,881,556,7,547,2,547,325,87,129,15,3,39,,2,41,145,2,4,53,2,,1,0,23,,1
Álava,LAGRÁN,,30,2,209,159,3,156,,156,50,56,9,2,3,5,,0,1,56,0,0,22,0,,0,0,2,,0
Álava,LAGUARDIA,,31,2,1219,934,18,916,,916,285,150,105,38,5,103,,3,5,406,3,3,83,1,,0,0,8,,3
Álava,LANCIEGO/LANTZIEGO,,32,2,508,407,6,401,,401,101,101,87,10,1,13,,0,4,156,1,2,24,0,,1,0,0,,1
Bizkaia,LANESTOSA,,51,2,261,178,6,171,1,171,83,49,31,12,0,0,4,0,3,52,0,0,19,0,0,0,,1,0,
Álava,LANTARÓN,,902,2,715,469,17,452,,452,246,111,57,9,4,2,,2,3,207,1,1,44,4,,0,0,6,,1
Álava,LAPUEBLA DE LABARCA,,33,2,608,501,3,498,,498,107,167,111,5,0,10,,0,18,170,3,0,13,0,,0,0,0,,1
Bizkaia,LARRABETZU,,52,4,1311,818,13,804,1,804,493,413,38,285,9,0,0,2,5,28,8,0,7,5,1,0,,3,0,
Gipuzkoa,LARRAUL,,48,3,159,93,1,92,,92,66,34,1,45,11,0,0,0,0,0,,1,0,0,0,,,0,0,
Álava,LAUDIO/LLODIO,,36,3,13339,9250,393,8805,52,8805,4089,2056,2059,1466,129,198,,97,306,1842,39,89,259,151,,16,0,45,,53
Bizkaia,LAUKIZ,,53,4,671,476,5,471,,471,195,333,12,53,12,0,0,2,1,37,1,0,19,0,1,0,,0,0,
Gipuzkoa,LAZKAO,,49,3,3514,2413,49,2360,4,2360,1101,588,454,584,253,9,0,73,91,274,,11,4,10,1,,,8,0,
Gipuzkoa,LEABURU,,50,3,566,270,8,262,,262,296,36,11,113,42,7,1,0,6,30,,14,0,0,0,,,0,2,
Gipuzkoa,LEGAZPI,,51,3,7011,5265,96,5147,22,5147,1746,1658,629,736,984,84,11,13,166,691,,26,38,89,10,,,7,5,
Gipuzkoa,LEGORRETA,,52,3,1311,913,19,890,4,890,398,234,126,180,127,9,1,1,36,80,,74,6,6,0,,,8,2,
Álava,LEGUTIO,,58,2,1070,667,18,649,,649,403,264,121,105,5,0,,3,24,78,0,2,19,13,,1,0,1,,13
Gipuzkoa,LEINTZ-GATZAGA,,68,4,188,131,1,130,,130,57,65,8,36,12,1,0,1,2,3,,0,1,0,1,,,0,0,
Bizkaia,LEIOA,,54,4,13198,8477,193,8276,8,8276,4721,2529,1694,1281,743,18,12,74,444,967,69,16,245,97,15,7,,61,4,
Bizkaia,LEKEITIO,,57,4,5296,3056,29,3027,,3027,2240,1632,78,781,226,6,1,16,17,139,5,0,72,4,6,0,,41,3,
Bizkaia,LEMOA,,55,3,2258,1583,28,1553,2,1553,675,814,108,349,40,2,2,5,63,54,6,2,83,16,1,1,,7,0,
Bizkaia,LEMOIZ,,56,4,667,413,,413,,413,254,195,12,67,91,0,0,0,3,40,1,1,1,0,2,0,,0,0,
Álava,LEZA,,34,2,170,134,1,132,1,132,36,58,22,2,2,11,,0,10,25,0,0,1,0,,0,0,1,,0
Bizkaia,LEZAMA,,81,4,1330,804,17,787,,787,526,494,18,169,22,0,0,3,18,27,3,0,15,0,2,0,,16,0,
Gipuzkoa,LEZO,,53,2,4109,2316,10,2297,9,2297,1793,712,462,470,321,10,0,0,61,164,,16,17,52,3,,,4,5,
Gipuzkoa,LIZARTZA,,54,3,575,397,6,391,,391,178,94,6,219,19,6,0,0,0,43,,3,0,1,0,,,0,0,
Bizkaia,MALLABIA,,58,3,895,481,21,460,,460,414,183,53,123,17,0,0,2,8,50,3,0,9,5,3,1,,3,0,
Bizkaia,MARKINA-XEMEIN,,60,4,3931,2257,62,2195,,2195,1674,1138,46,465,124,5,0,91,25,196,20,1,30,12,3,3,,35,1,
Bizkaia,MARURI-JATABE,,61,4,356,189,2,187,,187,167,148,6,6,17,0,0,1,0,5,2,0,2,0,0,0,,0,0,
Bizkaia,MAÑARIA,,59,3,487,316,,316,,316,171,131,11,96,4,6,1,0,0,30,4,4,21,0,2,0,,6,0,
Bizkaia,MENDATA,,62,4,349,214,2,212,,212,135,116,2,49,6,0,0,6,0,18,0,0,7,8,0,0,,0,0,
Bizkaia,MENDEXA,,63,4,261,,,,,,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
Bizkaia,MEÑAKA,,64,4,371,246,2,244,,244,125,175,1,27,21,1,0,0,0,13,0,1,5,0,0,0,,0,0,
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,298,228,13,211,4,211,70,34,30,6,0,24,,0,1,86,1,0,25,1,,2,0,0,,1
Bizkaia,MORGA,,66,4,335,158,,157,1,157,177,107,2,26,7,0,0,0,0,6,1,2,2,0,0,0,,4,0,
Bizkaia,MUNDAKA,,68,4,1240,913,3,910,,910,327,580,5,251,7,0,0,0,7,18,0,0,38,1,0,0,,3,0,
Bizkaia,MUNGIA,,69,4,7312,4455,89,4358,8,4358,2857,2513,340,554,279,8,3,4,90,342,29,0,158,10,3,0,,25,0,
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,498,274,5,269,,269,224,130,1,97,12,0,0,0,0,27,0,0,1,0,1,0,,0,0,
Bizkaia,MUSKIZ,,71,2,4622,2896,28,2863,5,2863,1726,974,524,197,290,0,1,4,460,258,14,4,67,22,6,1,,40,1,
Gipuzkoa,MUTILOA,,57,3,203,93,,92,1,92,110,61,0,14,15,1,0,0,0,1,,0,0,0,0,,,0,0,
Gipuzkoa,MUTRIKU,,56,4,4221,2692,38,2648,6,2648,1529,1317,164,568,150,65,0,16,23,272,,3,11,47,3,,,9,0,
Bizkaia,MUXIKA,,67,4,1390,736,12,724,,724,654,391,10,268,15,0,0,2,0,18,0,2,8,2,4,0,,3,1,
Álava,NAVARIDAS,,41,2,188,140,2,137,1,137,48,29,16,0,1,4,,0,3,71,0,2,11,0,,0,0,0,,0
Gipuzkoa,OIARTZUN,,63,2,5294,3427,31,3392,4,3392,1867,1172,248,1295,279,64,3,42,30,215,,1,7,17,6,,,11,2,
Álava,OKONDO,,42,3,605,393,7,386,,386,212,210,10,67,3,3,,1,4,62,0,0,25,0,,0,0,1,,0
Gipuzkoa,OLABERRIA,,58,3,980,739,4,733,2,733,241,190,127,122,50,7,0,25,10,169,,9,0,20,2,,,2,0,
Bizkaia,ONDARROA,,73,4,8519,5641,74,5562,5,5562,2878,2245,143,1751,336,26,2,245,25,285,13,4,121,31,4,1,,330,0,
Gipuzkoa,ORDIZIA,,76,3,7386,5038,123,4904,11,4904,2348,1012,498,1019,805,97,3,82,297,896,,58,34,70,3,,,30,0,
Gipuzkoa,OREXA,,60,3,84,68,,67,1,67,16,6,2,52,6,0,0,0,0,0,,1,0,0,0,,,0,0,
Gipuzkoa,ORIO,,61,4,2873,2082,14,2066,2,2066,791,723,220,456,372,18,2,3,23,227,,4,5,8,3,,,2,0,
Gipuzkoa,ORMAIZTEGI,,62,3,877,689,3,686,,686,188,338,35,139,131,1,0,0,5,35,,0,0,1,0,,,1,0,
Bizkaia,OROZKO,,75,3,1823,973,12,960,1,960,850,536,22,130,30,6,1,11,6,176,7,2,18,4,1,3,,7,0,
Bizkaia,ORTUELLA,,83,2,6571,4483,37,4439,7,4439,2088,692,1434,409,502,7,3,20,802,316,15,6,50,102,4,3,,74,0,
Bizkaia,OTXANDIO,,72,3,961,616,9,607,,607,345,249,22,200,9,10,2,1,59,34,0,0,13,0,0,0,,8,0,
Álava,OYÓN-OION,,43,2,1772,1368,34,1332,2,1332,404,126,324,83,7,13,,2,31,630,6,0,82,15,,3,5,3,,2
Gipuzkoa,OÑATI,,59,4,7976,5618,78,5531,9,5531,2358,2091,450,1264,521,42,8,81,63,863,,5,46,91,0,,,6,0,
Gipuzkoa,PASAIA,,64,2,16259,10234,240,9978,16,9978,6025,2045,2086,2453,1505,57,14,13,275,1238,,81,49,124,10,,,25,3,
Álava,PEÑACERRADA-URIZAHARRA,,44,2,212,117,4,113,,113,95,28,8,1,3,4,,0,2,49,0,0,12,3,,1,0,1,,1
Bizkaia,PLENTZIA,,77,4,2273,1592,24,1565,3,1565,681,780,76,279,162,0,2,4,19,141,12,3,63,13,2,0,,9,0,
Bizkaia,PORTUGALETE,,78,2,41590,25811,569,25204,38,25204,15779,4552,7424,2745,1649,21,24,82,2679,4285,124,86,816,364,38,13,,299,3,
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,402,267,9,255,3,255,135,29,61,12,2,1,,0,7,125,0,3,9,0,,1,0,1,,4
Álava,SAMANIEGO,,52,2,189,142,3,139,,139,47,40,43,6,0,18,,1,7,21,0,2,1,0,,0,0,0,,0
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,752,325,9,314,2,314,427,70,36,50,12,2,,1,2,92,0,5,40,3,,0,0,0,,1
