TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,U.AL.,EA,EB-B,EHB,PH,PSE-EE/PSOE,BERDEAK-LV,ICV-EHE/GORORDO,PLAZANDREOK,EH,EAJ-PNV / EA,IND. BARRUNDIA 99,IND. BERANTEVILLA 99,IND. KANPEZU 99,IND. LABASTIDA 99,IND. ARRAIA-MAEZ. 99,IND. AÑANA 99,IND. VALDEGOVIA 99,IND. IRUÑA OKA 99,IND. DEBA 99,IND. ERREZIL 99,IND. EZKIO-ITSASO 99,IND. ESKORIATZA 99,IND. LEINTZ-GATZ. 99,IND. MENDARO 99,IND. ADUNA 99,IND. ALKIZA 99,IND. AMEZKETA 99,IND. ATAUN 99,IND. HERNIALDE 99,IND. IKAZTEGIETA 99,IND. OLABERRIA 99,IND. BERROBI 99,IND. ABALTZISKETA 99,IND. IRURA 99,IND. BELAUNTZA 99,IND. AZKOITIA 99,IND. GABIRIA 99,IND. LARRAUL 99,IND. GAZTELU 99,IND. MUTILOA 99,IND. ARAMA 99,IND. BALIARRAIN 99,IND. ZERAIN 99,IND. ALTZAGA 99,IND. KARRANTZA 99,IND. SOPUERTA 99,IND. 1 BALMASEDA 99,IND. 2 BALMASEDA 99,IND. ABADIÑO 99,IND. ARAKALDO 99,IND. ARANTZAZU 99,IND. BERRIZ 99,IND. ELORRIO 99,IND. ZALDIBAR 99,IND. GARAI 99,IND. UBIDE 99,IND. ABANTO-ZIER. 99,IND. ARRIGORRIAGA 99,IND. ALONSOTEGI 99,IND. GORLIZ 99,IND. 2 PLENTZIA 99,IND. 1 PLENTZIA 99,IND. ETXEBARRI 99,IND. AMOROTO 99,IND. EREÑO 99,IND. BERRIATUA 99,IND. GIZABURUAGA 99,IND. LEMOIZ 99,IND. MURUETA 99,IND. ASPARRENA 99,IND. ALBIZTUR 99,IND. GAINTZA 99
Bizkaia,ABADIÑO,,1,3,5711,3986,22,3964,29,3935,1725,1102,257,,133,208,,,241,,,,957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1037,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ABALTZISKETA,,1,3,235,123,7,116,2,114,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7747,4883,81,4802,79,4723,2864,1131,238,,98,358,,,1417,,,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731,,,,,,,,,,,,,,,
Gipuzkoa,ADUNA,,2,3,272,218,,218,9,209,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,AGURAIN/SALVATIERRA,,51,2,3320,2232,13,2219,15,2204,1088,,159,59,,62,,,298,,,,546,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AIA,,16,4,1389,996,17,979,5,974,393,532,,,144,,,,,,,,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AIZARNAZABAL,,3,4,447,285,4,281,25,256,162,,,,,,,,,,,,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AJANGIZ,,911,4,360,322,,322,4,318,38,96,,,15,,,,,,,,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALBIZTUR,,4,3,243,115,,115,,115,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,
Gipuzkoa,ALEGIA,,5,3,1378,1000,19,981,16,965,378,,25,,,,,,16,,,,445,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
