TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,HB,U.AL.,EA,EB-B,PSE-EE/PSOE,CNPS
Bizkaia,ABADIÑO,,1,3,5461,3293,25,3268,45,3223,2168,1240,317,690,9,238,240,480,9
Gipuzkoa,ABALTZISKETA,,1,3,238,121,1,120,,120,117,24,3,43,0,50,0,0,0
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7829,4661,48,4613,65,4548,3168,1465,243,617,8,223,692,1298,2
Gipuzkoa,ADUNA,,2,3,249,170,,170,4,166,79,24,1,70,0,64,5,2,0
Álava,AGURAIN/SALVATIERRA,,51,2,2978,1731,5,1726,14,1712,1247,477,123,276,219,188,113,311,5
Gipuzkoa,AIA,,16,4,1355,757,8,749,5,744,598,373,9,199,2,155,4,2,0
Gipuzkoa,AIZARNAZABAL,,3,4,407,277,2,275,6,269,130,51,5,150,0,57,0,6,0
Bizkaia,AJANGIZ,,911,4,304,253,,253,2,251,51,108,1,108,0,32,2,0,0
Gipuzkoa,ALBIZTUR,,4,3,238,113,,113,5,108,125,42,5,24,0,37,0,0,0
Gipuzkoa,ALEGIA,,5,3,1369,871,4,867,10,857,498,183,27,303,0,284,22,38,0
Álava,ALEGRÍA-DULANTZI,,1,2,793,516,4,512,14,498,277,195,56,26,52,62,21,86,0
Gipuzkoa,ALKIZA,,6,3,220,86,,86,2,84,134,23,1,26,1,32,1,0,0
Bizkaia,ALONSOTEGI,,912,2,2539,1950,32,1918,22,1896,589,774,137,278,1,401,73,232,0
Gipuzkoa,ALTZAGA,,906,3,79,48,,48,,48,31,15,1,20,0,12,0,0,0
Gipuzkoa,ALTZO,,7,3,266,170,,170,3,167,96,54,1,91,0,21,0,0,0
Gipuzkoa,AMEZKETA,,8,3,851,407,,407,3,404,444,111,22,170,0,90,3,7,1
Bizkaia,AMOREBIETA-ETXANO,,3,3,12996,8713,73,8640,123,8517,4283,3476,515,1705,23,790,802,1198,8
Bizkaia,AMOROTO,,4,4,322,237,,237,3,234,85,154,0,53,0,24,1,2,0
Álava,AMURRIO,,2,3,7706,5071,59,5012,83,4929,2635,1496,583,705,253,940,266,676,10
Gipuzkoa,ANDOAIN,,9,3,12046,6685,31,6654,130,6524,5361,1237,585,1632,22,998,622,1412,16
Gipuzkoa,ANOETA,,10,3,1374,789,5,784,17,767,585,145,40,306,2,154,26,94,0
Gipuzkoa,ANTZUOLA,,11,4,1645,1171,9,1162,30,1132,474,339,38,387,1,157,36,173,1
Bizkaia,ARAKALDO,,5,3,97,77,,77,,77,20,41,1,25,0,8,1,1,0
Gipuzkoa,ARAMA,,12,3,131,87,,87,1,86,44,26,3,34,0,22,0,1,0
Álava,ARAMAIO,,3,2,1103,794,8,786,11,775,309,228,11,213,8,291,5,19,0
Bizkaia,ARANTZAZU,,6,3,240,196,4,192,4,188,44,91,10,67,0,18,2,0,0
Bizkaia,AREATZA,,93,3,935,721,17,704,7,697,214,367,91,119,2,52,25,40,1
Gipuzkoa,ARETXABALETA,,13,4,4950,3302,25,3277,46,3231,1648,842,171,984,9,554,162,505,4
Álava,ARMIÑÓN,,6,2,116,82,,82,4,78,34,20,32,1,19,0,3,3,0
Álava,ARRAIA-MAEZTU,,37,2,634,380,3,377,3,374,254,168,42,25,59,19,17,42,2
Bizkaia,ARRANKUDIAGA,,9,3,621,512,,512,1,511,109,309,12,160,0,19,5,5,1
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,20366,12317,88,12229,188,12041,8049,2720,949,3201,36,1849,972,2296,18
Bizkaia,ARRATZU,,914,4,327,275,1,274,3,271,52,103,1,128,0,35,0,4,0
Álava,ARRATZUA-UBARRUNDIA,,8,2,573,339,3,336,4,332,234,130,38,31,60,16,13,44,0
Bizkaia,ARRIETA,,10,4,378,268,7,261,1,260,110,175,16,36,0,28,4,1,0
Bizkaia,ARRIGORRIAGA,,11,3,8177,4936,45,4891,75,4816,3241,1904,360,877,14,239,548,868,6
Bizkaia,ARTEA,,23,3,530,433,7,426,1,425,97,198,43,105,0,74,2,3,0
Bizkaia,ARTZENTALES,,8,2,558,403,1,402,2,400,155,272,23,47,0,25,14,19,0
Álava,ARTZINIEGA,,4,3,1030,756,9,747,16,731,274,280,159,111,30,59,36,54,2
Álava,ASPARRENA,,9,2,1278,784,7,777,14,763,494,249,61,160,73,109,22,87,2
Gipuzkoa,ASTEASU,,14,3,968,494,,494,6,488,474,76,15,211,0,148,19,19,0
Gipuzkoa,ASTIGARRAGA,,903,1,2522,1520,12,1508,17,1491,1002,292,90,596,2,376,54,81,0
Gipuzkoa,ATAUN,,15,3,1421,1038,7,1031,19,1012,383,283,3,472,0,244,4,6,0
Bizkaia,ATXONDO,,91,3,1167,794,3,791,20,771,373,408,38,189,7,40,37,51,1
Bizkaia,AULESTI,,70,4,584,379,3,376,4,372,205,184,2,153,0,25,3,5,0
Álava,AYALA/AIARA,,10,3,1735,1215,16,1199,10,1189,520,540,235,124,51,145,48,43,3
Gipuzkoa,AZKOITIA,,17,4,8461,5359,53,5306,86,5220,3102,2477,417,895,5,651,215,550,10
Gipuzkoa,AZPEITIA,,18,4,10583,6485,29,6456,87,6369,4098,2329,377,1425,2,1779,126,328,3
Álava,AÑANA,,49,2,183,151,,151,1,150,32,70,24,12,17,11,2,14,0
Bizkaia,BAKIO,,12,4,1082,823,15,808,7,801,259,509,27,146,0,89,12,18,0
Gipuzkoa,BALIARRAIN,,904,3,85,58,,58,,58,27,13,0,37,0,8,0,0,0
Bizkaia,BALMASEDA,,90,2,6133,4016,29,3987,56,3931,2117,1652,435,424,11,303,169,933,4
Bizkaia,BARAKALDO,,13,2,85373,48044,272,47772,740,47032,37329,12066,7290,5033,133,2183,7054,13178,95
Bizkaia,BARRIKA,,14,4,735,492,3,489,11,478,243,268,33,91,1,41,18,25,1
Álava,BARRUNDIA,,13,2,489,254,1,253,1,252,235,104,24,31,44,27,12,9,1
Bizkaia,BASAURI,,15,3,40374,22534,103,22431,333,22098,17840,7536,2663,2727,67,916,2671,5490,28
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,294,210,3,207,7,200,84,98,42,4,34,2,2,18,0
Gipuzkoa,BEASAIN,,19,3,9922,6286,36,6250,131,6119,3636,1757,452,1312,24,1063,441,1066,4
Bizkaia,BEDIA,,92,3,869,696,,696,3,693,173,458,43,95,0,40,21,36,0
Gipuzkoa,BEIZAMA,,20,4,155,104,,104,,104,51,49,0,44,0,10,0,1,0
Gipuzkoa,BELAUNTZA,,21,3,238,152,1,151,,151,86,25,1,86,0,23,10,6,0
Bizkaia,BERANGO,,16,4,3455,2278,13,2265,27,2238,1177,913,193,467,4,261,172,225,3
