TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,U.AL.,EA,EB-B,EKA,PH,POSI,PSE-EE/PSOE,PLAZANDREOK,EAJ-PNV / EA,PKD,FEI-FE 2000,ARALAR,FRENTE.ESPAÑOL,ATTKA/PACMA,EB-IU/ IND/ARALAR,IND. ABANTO-ZIER. 03,IND. 1 AÑANA 03,IND. 2 AÑANA 03,IND. 1 OKONDO 03,IND. 2 OKONDO 03,IND. 1 VALDEGOVIA 03,IND. 2 VALDEGOVIA 03,IND. ARMIÑON 03,IND. ARRAIA-MAEZ. 03,IND. ASPARRENA 03,IND. BARRUNDIA 03,IND. BERANTEVILLA 03,IND. 1 IRUÑA OKA 03,IND. 2 IRUÑA OKA 03,IND. LABASTIDA 03,IND. 1 LAGRAN 03,IND. 2 LAGRAN 03,IND. LAPUEBLA  03,IND. LEGUTIO 03,IND. PEÑACERRADA 03,IND. RIBERA ALTA 03,IND. RIBERA BAJA 03,IND. AGURAIN 03,IND. ALONSOTEGI 03,IND. ARRIGORRIAGA 03,IND. 1 ETXEBARRI 03,IND. 2 ETXEBARRI 03,IND. GORLIZ 03,IND. LAUKIZ 03,IND. ORDUÑA 03,IND. PLENTZIA 03,IND. SESTAO 03,IND. SOPELANA 03,IND. ABADIÑO 03,IND. AMOREBIETA 03,IND. ARANTZAZU 03,IND. AREATZA 03,IND. BEDIA 03,IND. DURANGO 03,IND. GARAI 03,IND. IGORRE 03,IND. IZURTZA 03,IND. OTXANDIO 03,IND. ZALDIBAR 03,IND. AMOROTO 03,IND. AULESTI 03,IND. BERRIATUA 03,IND. BUSTURIA 03,IND. ERRIGOITI 03,IND. GATIKA 03,IND. GAUT.ARTEAGA 03,IND. GIZABURUAGA 03,IND. MUNDAKA 03,IND. MUNITIBAR 03,IND. MURUETA 03,IND. 1 BALMASEDA 03,IND. 2 BALMASEDA 03,IND. KARRANTZA 03,IND. SOPUERTA 03,IND. AZKOITIA 03,IND. DEBA 03,IND. 1 ERREZIL 03,IND. 2 ERREZIL 03,IND. EZKIO-ITSASO 03,IND. 1 GABIRIA 03,IND. 2 GABIRIA 03,IND. MUTILOA 03,IND. ORMAIZTEGI 03,IND. ZERAIN 03,IND. ZESTOA 03,IND. ESKORIATZA 03,IND. LEINTZ-GATZ. 03,IND. MENDARO 03,IND. SORALUCE 03,IND. ADUNA 03,IND. HONDARRIBIA 03,IND. IRUN 03,IND. ABALTZISKETA 03,IND. ALBIZTUR 03,IND. ALEGIA 03,IND. ALKIZA 03,IND. ALTZAGA 03,IND. 1 AMEZKETA 03,IND. 2 AMEZKETA 03,IND. ARAMA 03,IND. ATAUN 03,IND. BALIARRAIN 03,IND. 1 BELAUNTZA 03,IND. 2 BELAUNTZA 03,IND. 1 BERROBI 03,IND. 2 BERROBI 03,IND. 3 BERROBI 03,IND. GAINTZA 03,IND. 1 GAZTELU 03,IND. 2 GAZTELU 03,IND. LARRAUL 03,IND. OLABERRIA 03,IND. OREXA 03
Bizkaia,ABADIÑO,,1,3,5963,4347,743,3604,22,3582,1616,,288,,,330,,,,254,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ABALTZISKETA,,1,3,255,154,3,151,12,139,101,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,,,,,,,,,,,,,,,,,
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7960,5440,488,4952,61,4891,2520,1635,280,,242,499,,,,1286,,,,,,,,,949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ADUNA,,2,3,294,225,11,214,2,212,69,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,,,
Álava,AGURAIN/SALVATIERRA,,51,2,3335,2401,411,1990,30,1960,934,,212,16,,66,,,,251,,1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AIA,,16,4,1360,1018,212,806,8,798,342,672,8,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AIZARNAZABAL,,3,4,462,333,232,101,1,100,129,,3,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AJANGIZ,,911,4,369,326,140,186,11,175,43,123,1,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALBIZTUR,,4,3,258,159,1,158,9,149,99,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALEGIA,,5,3,1371,1010,12,998,25,973,361,,26,,,,,,,30,,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489,,,,,,,,,,,,,,,,,,
Álava,ALEGRÍA-DULANTZI,,1,2,1401,1055,124,931,22,909,346,,164,3,,119,,,,176,,447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALKIZA,,6,3,235,171,7,164,8,156,64,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,,,,,,,,,
Bizkaia,ALONSOTEGI,,912,2,2374,1912,226,1686,10,1676,462,824,97,,232,53,,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALTZAGA,,906,3,113,90,11,79,2,79,23,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,
Gipuzkoa,ALTZO,,7,3,278,211,139,72,5,67,67,,2,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AMEZKETA,,8,3,843,662,14,648,290,358,181,,3,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,227,,,,,,,,,,,,,,
Bizkaia,AMOREBIETA-ETXANO,,3,3,13968,10338,98,10240,108,10132,3630,3938,905,,908,948,,,,1299,,,,,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AMOROTO,,4,4,322,257,5,252,2,250,65,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,AMURRIO,,2,3,8137,6181,606,5575,91,5484,1956,,944,64,,177,,,,692,,3234,,,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ANDOAIN,,9,3,11952,8113,1502,6611,115,6496,3839,,727,,,526,,,,2566,,2677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ANOETA,,10,3,1427,1049,417,632,8,624,378,,54,,,,,,,57,,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
