TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PP,U.AL.,EB-B,EKA,PH,POSI,PSE-EE/PSOE,EAJ-PNV / EA,ARALAR,PUM+J,BERDEAK-PACMA,PCTV-EHAK
Bizkaia,ABADIÑO,,1,3,5935,4036,10,4026,18,4008,1899,557,4,205,1,9,6,780,1512,159,10,10,755
Gipuzkoa,ABALTZISKETA,,1,3,232,165,1,164,,164,67,2,0,7,,0,0,1,95,5,,0,54
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7916,5097,19,5078,54,5024,2819,395,2,434,0,5,15,1428,2153,65,8,7,512
Gipuzkoa,ADUNA,,2,3,296,232,,232,1,231,64,0,0,5,,0,0,3,89,21,,0,113
Álava,AGURAIN/SALVATIERRA,,51,2,3359,2216,6,2210,5,2205,1143,289,38,97,,2,3,347,960,46,,6,417
Gipuzkoa,AIA,,16,4,1389,976,,976,3,973,413,14,0,19,,0,1,13,694,35,,1,196
Gipuzkoa,AIZARNAZABAL,,3,4,484,336,,336,3,333,148,0,0,9,,1,0,7,151,21,,1,143
Bizkaia,AJANGIZ,,911,4,361,312,,312,1,311,49,0,0,4,0,0,0,2,164,13,0,0,128
Gipuzkoa,ALBIZTUR,,4,3,249,175,1,174,1,173,74,2,0,2,,0,0,3,129,9,,0,28
Gipuzkoa,ALEGIA,,5,3,1360,955,2,953,3,950,405,46,0,25,,2,0,59,473,54,,1,290
Álava,ALEGRÍA-DULANTZI,,1,2,1583,1120,3,1117,6,1111,463,177,15,67,,1,2,253,451,26,,2,117
Gipuzkoa,ALKIZA,,6,3,235,176,,176,,176,59,1,0,8,,1,1,2,117,5,,0,41
Bizkaia,ALONSOTEGI,,912,2,2375,1810,16,1794,8,1786,565,154,1,87,1,0,2,299,973,32,3,4,230
Gipuzkoa,ALTZAGA,,906,3,126,105,,105,2,103,21,0,0,2,,0,0,4,41,9,,3,44
Gipuzkoa,ALTZO,,7,3,285,216,,216,,216,69,4,1,3,,1,0,1,91,17,,2,96
Gipuzkoa,AMEZKETA,,8,3,820,574,,574,5,569,246,21,1,20,,1,0,5,276,34,,2,209
Bizkaia,AMOREBIETA-ETXANO,,3,3,13938,10132,36,10096,48,10048,3806,838,5,682,2,10,14,1715,4803,251,32,22,1674
Bizkaia,AMOROTO,,4,4,308,250,,250,3,247,58,0,0,2,0,0,0,0,175,7,0,0,63
Álava,AMURRIO,,2,3,8014,6027,27,6000,38,5962,1987,787,54,232,,12,1,961,3098,107,,23,687
Gipuzkoa,ANDOAIN,,9,3,11863,7890,21,7869,34,7835,3973,933,4,457,,10,15,2180,2568,191,,36,1441
Gipuzkoa,ANOETA,,10,3,1426,1006,4,1002,10,992,420,66,0,40,,1,0,92,397,45,,4,347
Gipuzkoa,ANTZUOLA,,11,4,1710,1324,2,1322,8,1314,386,52,0,47,,0,0,162,546,75,,2,430
Bizkaia,ARAKALDO,,5,3,80,64,,64,,64,16,7,0,1,0,0,0,1,34,2,0,0,19
Gipuzkoa,ARAMA,,12,3,136,107,,107,,107,29,4,0,2,,0,0,3,45,3,,0,50
Álava,ARAMAIO,,3,2,1239,980,5,975,1,974,259,16,2,62,,0,0,26,561,58,,0,249
Bizkaia,ARANTZAZU,,6,3,248,217,,217,3,214,31,7,0,7,0,0,0,6,133,5,0,0,56
Bizkaia,AREATZA,,93,3,826,670,5,665,6,659,156,83,0,21,1,0,1,27,362,35,3,2,124
Gipuzkoa,ARETXABALETA,,13,4,5262,3810,27,3783,13,3770,1452,266,3,193,,5,6,534,1553,288,,13,909
Álava,ARMIÑÓN,,6,2,144,107,,107,,107,37,44,7,3,,0,0,23,22,0,,0,8
Álava,ARRAIA-MAEZTU,,37,2,631,449,8,441,1,440,182,108,10,16,,0,1,61,192,9,,3,40
Bizkaia,ARRANKUDIAGA,,9,3,697,560,1,559,4,555,137,26,1,9,0,0,1,8,358,6,0,2,144
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,19313,13114,38,13076,48,13028,6199,1194,13,1006,,8,26,2599,4657,621,,44,2860
Bizkaia,ARRATZU,,914,4,307,265,,265,,265,42,2,0,6,0,0,0,2,159,5,0,0,91
Álava,ARRATZUA-UBARRUNDIA,,8,2,688,521,3,518,7,511,167,121,11,22,,1,1,85,217,10,,2,41
Bizkaia,ARRIETA,,10,4,449,328,,328,1,327,121,7,0,8,0,0,0,5,255,11,0,1,40
Bizkaia,ARRIGORRIAGA,,11,3,9808,6555,17,6538,61,6477,3253,780,0,407,4,10,14,1566,2774,120,17,22,763
Bizkaia,ARTEA,,23,3,560,485,3,482,,482,75,33,0,6,1,0,1,7,299,26,0,0,109
Bizkaia,ARTZENTALES,,8,2,586,478,3,475,3,472,108,25,0,14,0,0,0,24,356,10,0,1,42
Álava,ARTZINIEGA,,4,3,1220,944,9,935,10,925,276,186,5,33,,2,0,104,442,53,,4,96
Álava,ASPARRENA,,9,2,1334,880,7,873,3,870,454,81,10,53,,0,2,83,386,46,,1,208
Gipuzkoa,ASTEASU,,14,3,1105,737,1,736,2,734,368,21,0,33,,0,0,23,369,36,,2,250
Gipuzkoa,ASTIGARRAGA,,903,1,3263,2172,7,2165,17,2148,1091,194,0,93,,1,3,198,915,97,,4,643
Gipuzkoa,ATAUN,,15,3,1339,1111,2,1109,1,1108,228,7,0,19,,0,0,21,498,63,,0,500
Bizkaia,ATXONDO,,91,3,1183,856,9,847,7,840,327,54,0,23,1,1,0,106,410,28,1,1,215
Bizkaia,AULESTI,,70,4,574,442,4,438,2,436,132,3,0,4,0,0,0,6,205,15,0,0,203
Álava,AYALA/AIARA,,10,3,2130,1654,8,1646,14,1632,476,237,15,59,,1,1,144,975,31,,1,168
Gipuzkoa,AZKOITIA,,17,4,8592,6256,22,6234,30,6204,2336,450,6,199,,8,15,691,3420,257,,16,1142
Gipuzkoa,AZPEITIA,,18,4,11248,8411,11,8400,44,8356,2837,394,2,199,,2,9,429,4907,332,,23,2059
Álava,AÑANA,,49,2,170,142,1,141,,141,28,37,1,0,,0,0,25,64,1,,0,13
Bizkaia,BAKIO,,12,4,1731,1413,8,1405,3,1402,318,58,0,71,0,0,0,59,953,41,2,3,215
Gipuzkoa,BALIARRAIN,,904,3,85,59,,59,,59,26,0,0,2,,0,0,1,16,3,,0,37
Bizkaia,BALMASEDA,,90,2,6064,4522,39,4483,39,4444,1542,469,6,180,0,7,18,1016,2357,35,7,8,341
Bizkaia,BARAKALDO,,13,2,82507,51556,200,51356,396,50960,30951,10513,31,3329,13,57,183,18249,14338,442,107,180,3518
Bizkaia,BARRIKA,,14,4,1100,813,2,811,3,808,287,82,0,43,0,0,1,87,441,23,1,1,129
Álava,BARRUNDIA,,13,2,647,468,,468,4,464,179,69,9,29,,1,0,54,213,12,,3,74
Bizkaia,BASAURI,,15,3,38134,25050,89,24961,180,24781,13084,4143,12,1272,5,50,79,7917,8994,267,48,66,1928
