TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,HB,EE,EKA,PST,FE-JONS,EMK-MCE,LKI-LCR,PCE-EPK,UC,UCD,ORT-PTE,ESEI,AP,PSOE(H)
Bizkaia,ABADIÑO,,1,3,4230,2377,16,2355,6,2355,1853,1088,327,478,130,6,14,2,7,46,85,0,99,5,12,50,6
Gipuzkoa,ABALTZISKETA,,1,3,265,85,2,83,,83,180,38,0,8,33,0,,,2,0,0,0,0,1,0,1,
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7746,4004,28,3965,11,3965,3742,751,844,570,725,1,9,6,59,24,801,38,61,3,3,59,11
Gipuzkoa,ADUNA,,2,3,253,187,2,185,,185,66,123,1,43,8,0,,,1,0,2,0,1,4,0,2,
Álava,AGURAIN/SALVATIERRA,,51,2,2584,1411,16,1383,12,1383,1173,455,131,377,83,5,,,9,12,43,2,201,12,15,38,
Gipuzkoa,AIA,,16,4,1546,832,2,829,1,829,714,609,3,136,59,2,,,2,1,0,0,10,0,5,2,
Gipuzkoa,AIZARNAZABAL,,3,4,403,156,5,151,,151,247,76,4,43,16,0,,,0,0,0,0,1,0,3,8,
Gipuzkoa,ALBIZTUR,,4,3,268,136,,136,,136,132,84,1,18,20,0,,,0,0,1,0,5,0,1,6,
Gipuzkoa,ALEGIA,,5,3,1276,838,,838,,838,438,434,57,225,73,0,,,2,5,1,0,19,5,4,13,
Álava,ALEGRÍA-DULANTZI,,1,2,704,415,8,404,3,404,289,126,65,26,33,2,,,1,0,11,2,83,21,7,27,
Gipuzkoa,ALKIZA,,6,3,202,115,2,113,,113,87,40,0,27,42,1,,,1,0,0,0,0,0,2,0,
Gipuzkoa,ALTZO,,7,3,274,143,1,142,,142,131,50,2,66,18,0,,,0,0,0,0,3,1,0,2,
Gipuzkoa,AMEZKETA,,8,3,927,334,1,332,1,332,593,130,0,120,37,1,,,1,17,1,0,24,0,1,0,
Bizkaia,AMOREBIETA-ETXANO,,3,3,11253,7270,14,7241,15,7241,3983,3419,773,1332,300,1,8,1,182,223,687,6,160,1,21,121,6
Bizkaia,AMOROTO,,4,4,329,240,1,235,4,235,89,171,0,57,5,0,0,0,0,0,0,0,2,0,0,0,0
Álava,AMURRIO,,2,3,6534,3689,28,3650,11,3650,2845,1484,538,606,302,7,,,5,14,63,4,398,9,53,167,
Gipuzkoa,ANDOAIN,,9,3,11095,6262,44,6205,13,6205,4833,2228,929,875,1067,54,,,173,31,302,8,376,33,58,71,
Gipuzkoa,ANOETA,,10,3,1047,599,5,594,,594,448,191,53,155,97,1,,,2,0,8,0,26,44,1,16,
Gipuzkoa,ANTZUOLA,,11,4,1643,1191,5,1186,,1186,452,546,135,218,83,2,,,47,69,19,2,44,0,5,16,
Bizkaia,ARAKALDO,,5,3,128,84,1,83,,83,44,28,3,38,3,0,1,0,1,0,0,0,3,1,0,5,0
Gipuzkoa,ARAMA,,12,3,149,106,,106,,106,43,40,0,53,9,0,,,0,0,1,0,3,0,0,0,
Álava,ARAMAIO,,3,2,1141,801,6,792,3,792,340,540,9,155,47,0,,,2,2,6,0,25,0,3,3,
Bizkaia,ARANTZAZU,,6,3,215,172,,170,2,170,43,75,4,63,15,1,0,0,0,0,0,0,0,0,0,11,1
Bizkaia,AREATZA,,93,3,998,749,3,745,1,745,249,398,28,101,72,21,0,0,0,1,7,1,23,0,2,89,2
Gipuzkoa,ARETXABALETA,,13,4,4312,2795,34,2747,14,2747,1517,1306,346,537,255,5,,,54,3,99,12,80,2,17,31,
Álava,ARMIÑÓN,,6,2,149,89,,89,,89,60,20,6,11,2,0,,,0,0,0,0,44,0,0,6,
Álava,ARRAIA-MAEZTU,,37,2,786,390,4,378,8,378,396,133,14,42,26,2,,,2,5,0,0,131,0,4,19,
Bizkaia,ARRANKUDIAGA,,9,3,655,497,2,493,2,493,158,229,7,203,25,3,1,0,0,1,2,0,14,0,0,8,0
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,18786,10979,100,10814,65,10814,7807,4465,1718,1760,886,6,,,363,249,368,83,638,11,96,171,
Álava,ARRATZUA-UBARRUNDIA,,8,2,599,331,,326,5,326,268,104,69,28,31,1,,,2,0,4,1,68,0,1,17,
Bizkaia,ARRIETA,,10,4,502,270,1,268,1,268,232,174,2,46,12,0,0,0,0,0,0,0,0,0,0,34,0
Bizkaia,ARRIGORRIAGA,,11,3,6970,3987,24,3938,25,3938,2983,1612,467,1101,230,6,18,8,29,7,260,5,70,12,35,63,15
Bizkaia,ARTEA,,23,3,583,440,1,436,3,436,143,261,2,116,9,1,0,0,1,0,0,1,6,0,0,39,0
Bizkaia,ARTZENTALES,,8,2,603,329,1,327,1,317,274,243,0,35,5,0,0,0,0,1,6,0,18,0,0,9,0
Álava,ARTZINIEGA,,4,3,872,571,2,566,3,566,301,204,27,75,11,0,,,0,0,1,0,215,0,2,31,
Álava,ASPARRENA,,9,2,1465,858,14,842,2,842,607,301,36,239,99,2,,,4,0,7,5,86,3,43,17,
Gipuzkoa,ASTEASU,,14,3,936,520,1,519,,519,416,312,12,127,47,2,,,3,1,3,0,6,0,3,3,
Gipuzkoa,ATAUN,,15,3,1624,1058,11,1046,1,1046,566,439,3,403,158,0,,,3,0,3,0,13,1,16,7,
Bizkaia,ATXONDO,,91,3,907,591,4,587,,587,316,373,5,135,19,1,2,0,2,0,16,1,20,2,1,9,1
Bizkaia,AULESTI,,70,4,596,299,5,294,,294,297,164,1,99,5,0,0,0,2,1,1,0,9,0,3,8,1
Álava,AYALA/AIARA,,10,3,1831,1152,6,1144,2,1144,679,579,38,123,49,3,,,1,0,18,0,243,1,7,82,
Gipuzkoa,AZKOITIA,,17,4,8119,4990,13,4969,8,4969,3129,2539,375,487,496,117,,,89,18,119,4,426,5,154,140,
Gipuzkoa,AZPEITIA,,18,4,9199,5730,58,5663,9,5663,3469,3372,216,536,645,101,,,57,78,74,2,284,6,187,105,
Álava,AÑANA,,49,2,259,159,5,153,1,153,100,66,7,14,9,0,,,0,1,0,0,50,0,1,5,
Bizkaia,BAKIO,,12,4,907,748,10,734,4,734,159,559,9,23,127,3,0,0,1,2,0,1,3,0,2,3,1
Bizkaia,BALMASEDA,,90,2,6164,3954,29,3912,13,3912,2210,1556,1111,693,72,3,14,21,4,39,49,1,196,3,3,127,20
Bizkaia,BARAKALDO,,13,2,76089,52652,565,51849,238,49849,23437,14957,11092,7718,3567,45,317,89,737,176,4007,143,4101,194,83,2183,440
Bizkaia,BARRIKA,,14,4,581,316,,316,,316,265,183,2,65,41,0,1,1,1,0,0,1,13,1,1,6,0
Álava,BARRUNDIA,,13,2,532,322,1,320,1,320,210,189,4,20,24,0,,,0,3,0,0,67,0,1,12,
Bizkaia,BASAURI,,15,3,37879,20406,241,20095,70,20101,17473,6735,4066,3337,1825,42,107,57,344,68,1187,34,1443,59,22,691,84
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,272,188,2,185,1,185,84,82,20,14,5,2,,,1,1,0,0,55,0,0,5,
Gipuzkoa,BEASAIN,,19,3,8272,4874,24,4838,12,4838,3398,1983,493,771,717,10,,,120,45,196,2,345,8,64,84,
Bizkaia,BEDIA,,92,3,921,686,,681,5,681,235,455,23,120,11,2,1,0,1,11,26,2,4,4,0,19,2
Gipuzkoa,BEIZAMA,,20,4,151,91,,91,,91,60,63,0,16,5,0,,,0,0,0,0,3,0,4,0,
Gipuzkoa,BELAUNTZA,,21,3,270,115,4,111,,111,155,36,1,52,13,0,,,0,0,0,0,6,1,2,0,
Bizkaia,BERANGO,,16,4,2738,1704,6,1695,3,1695,1034,917,125,319,149,1,23,2,4,19,51,2,52,3,0,18,10
Álava,BERANTEVILLA,,14,2,376,204,,204,,204,172,108,5,13,6,0,,,0,0,3,0,56,1,1,11,
Gipuzkoa,BERASTEGI,,22,3,764,316,4,312,,312,448,162,1,97,40,0,,,0,0,0,0,1,7,1,3,
Gipuzkoa,BERGARA,,74,4,12561,7832,47,7770,15,7770,4729,3268,507,1855,1021,6,,,210,120,162,50,314,4,162,91,
Bizkaia,BERMEO,,17,4,12096,8497,205,7931,361,7931,3599,4354,201,1814,836,2,17,9,241,22,146,2,118,4,23,120,22
Álava,BERNEDO,,16,2,612,312,2,308,2,308,300,123,5,41,14,1,,,2,1,0,0,108,0,2,11,
Bizkaia,BERRIZ,,19,3,3034,1894,82,1803,9,1803,1140,1012,166,283,150,1,4,0,11,20,32,2,50,39,1,30,2
Gipuzkoa,BERROBI,,23,3,446,216,10,206,,206,230,101,15,54,24,1,,,0,1,0,0,9,0,0,1,
Gipuzkoa,BIDANIA-GOIATZ,,24,4,477,255,,255,,255,222,160,0,67,8,1,,,2,0,1,0,3,1,11,1,
Bizkaia,BILBAO,,20,1,337347,198703,2474,195495,734,195495,138644,77840,26797,27476,16297,214,833,856,1842,783,6397,540,17612,559,653,15532,1264
Bizkaia,BUSTURIA,,21,4,1368,886,4,881,1,881,482,545,27,255,21,0,0,0,1,0,5,1,17,0,0,8,1
Álava,CAMPEZO/KANPEZU,,17,2,1033,682,14,667,1,667,351,245,54,49,28,0,,,0,2,4,0,269,0,0,16,
Gipuzkoa,DEBA,,29,4,3689,2439,8,2429,2,2429,1250,1217,179,406,465,13,,,10,12,13,3,60,0,15,36,
Bizkaia,DIMA,,26,3,1082,753,,753,,753,329,451,0,209,26,0,0,0,0,2,0,0,25,0,1,39,0
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,136089,75299,545,74574,180,74574,60790,25467,10151,11534,11385,180,,,898,222,1372,65,8522,205,847,3726,
Bizkaia,DURANGO,,27,3,19376,11833,103,11713,17,11713,7543,5383,984,2049,764,55,53,19,110,52,592,8,695,41,49,816,43
Bizkaia,EA,,28,4,691,553,1,548,4,548,138,436,2,80,19,0,0,0,0,0,0,0,1,0,2,7,1
Gipuzkoa,EIBAR,,30,4,29076,17085,115,16927,43,16927,11991,5702,3762,2276,1799,57,,,104,184,732,72,1648,65,108,418,
Bizkaia,ELANTXOBE,,31,4,464,381,,380,1,380,83,194,2,157,17,0,0,0,0,0,2,0,2,0,2,4,0
Álava,ELBURGO/BURGELU,,21,2,188,110,,109,1,109,78,42,1,11,14,3,,,0,2,2,0,27,0,1,6,
Álava,ELCIEGO,,22,2,764,527,17,507,3,507,237,149,166,18,12,1,,,2,2,8,0,101,3,1,44,
Gipuzkoa,ELDUAIN,,31,3,225,138,,138,,138,87,74,2,52,8,1,,,0,1,0,0,0,0,0,0,
Gipuzkoa,ELGETA,,33,4,903,626,14,609,3,609,277,311,23,119,86,0,,,2,2,1,0,44,0,14,7,
Gipuzkoa,ELGOIBAR,,32,4,10895,6282,40,6214,28,6214,4613,2724,662,985,761,6,,,26,109,332,8,377,4,102,118,
Bizkaia,ELORRIO,,32,3,5784,3578,56,3501,21,3501,2206,1680,299,581,402,57,24,5,42,13,89,3,170,8,22,78,28
Álava,ELVILLAR/BILAR,,23,2,390,221,,221,,221,169,67,5,21,2,1,,,2,1,7,0,106,0,1,8,
Bizkaia,EREÑO,,33,4,270,180,2,178,,178,90,119,0,45,6,0,0,0,0,0,0,0,0,0,5,3,0
Bizkaia,ERMUA,,34,3,12446,6274,289,5952,33,5952,6172,1323,1870,457,240,41,51,4,176,32,599,8,714,48,59,259,71
Gipuzkoa,ERRENTERIA,,67,2,33139,17935,196,17699,40,17699,15204,4230,3969,3834,2311,52,,,470,154,799,56,1092,97,343,292,
Gipuzkoa,ERREZIL,,66,4,700,301,2,297,2,297,399,223,0,47,18,2,,,0,1,0,0,0,1,5,0,
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,581,310,1,309,,309,271,109,10,26,24,4,,,1,2,0,0,106,2,2,23,
Bizkaia,ERRIGOITI,,79,4,500,301,,301,,301,199,180,1,95,8,0,0,0,0,0,0,0,5,0,1,11,0
Gipuzkoa,ESKORIATZA,,34,4,2919,1949,23,1914,12,1914,970,997,171,384,185,3,,,25,10,22,5,96,4,7,5,
Bizkaia,ETXEBARRI,,29,3,4581,2190,13,2168,9,2168,2391,737,511,351,105,1,31,5,7,8,160,1,123,36,2,76,14
Bizkaia,ETXEBARRIA,,30,4,546,273,,273,,273,273,151,4,86,11,0,0,0,0,11,1,0,5,0,0,4,0
Gipuzkoa,EZKIO-ITSASO,,35,3,492,310,1,307,2,307,182,131,6,129,34,0,,,3,0,3,0,0,0,1,0,
Bizkaia,FRUIZ,,35,4,299,181,2,179,,179,118,147,0,20,11,0,0,0,0,1,0,0,0,0,0,0,0
Gipuzkoa,GABIRIA,,38,3,388,284,1,283,,283,104,195,0,31,53,0,,,0,0,0,0,3,0,1,0,
Gipuzkoa,GAINTZA,,37,3,139,77,,77,,77,62,32,2,34,5,0,,,0,0,0,0,1,3,0,0,
Bizkaia,GALDAKAO,,36,3,18199,10831,63,10727,42,10727,7368,5070,1196,1996,745,14,71,25,95,98,403,14,447,28,26,424,75
Bizkaia,GALDAMES,,37,2,727,511,1,507,3,506,216,354,26,45,35,0,0,0,3,0,17,2,4,0,0,12,8
Bizkaia,GAMIZ-FIKA,,38,4,768,472,,472,,472,296,347,1,87,27,0,0,0,0,0,0,0,7,0,2,1,0
Bizkaia,GARAI,,39,3,180,131,,130,1,130,49,80,0,30,12,1,0,0,0,0,5,0,0,0,2,0,0
Bizkaia,GATIKA,,40,4,803,533,2,551,,541,270,415,0,80,19,0,0,0,0,2,3,0,13,0,0,8,1
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,641,454,,454,,454,187,316,2,87,20,0,1,0,0,4,0,0,11,0,0,13,0
