TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,EA,EB-B,EKA,PH,POSI,PSE-EE/PSOE,BERDEAK-LV,ARALAR,ATTKA/PACMA,PUM+J,PFYV,UPYD
Bizkaia,ABADIÑO,,1,3,5857,3765,594,3171,25,3146,2092,1301,365,73,100,0,4,8,970,13,273,10,9,9,11
Gipuzkoa,ABALTZISKETA,,1,3,242,139,37,102,4,98,103,65,1,8,6,,,,0,0,18,,0,,0
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7938,5156,350,4806,64,4742,2782,2212,264,109,251,3,8,12,1628,37,145,12,9,4,48
Gipuzkoa,ADUNA,,2,3,310,193,74,119,,119,117,59,2,11,5,,,,5,0,36,,1,,0
Álava,AGURAIN/SALVATIERRA,,51,2,3642,2089,316,1773,18,1755,1553,787,214,93,55,,,2,417,7,152,,3,,25
Gipuzkoa,AIA,,16,4,1483,910,127,783,1,782,573,597,6,52,13,,,,20,2,91,,1,,0
Gipuzkoa,AIZARNAZABAL,,3,4,502,277,86,191,5,186,225,119,0,8,2,,,,10,1,45,,1,,0
Bizkaia,AJANGIZ,,911,4,370,281,95,186,1,185,89,123,1,23,2,0,0,0,11,0,24,0,1,0,0
Gipuzkoa,ALBIZTUR,,4,3,255,144,10,134,6,128,111,85,1,10,0,,,,10,0,22,,0,,0
Gipuzkoa,ALEGIA,,5,3,1356,835,209,626,4,622,521,339,26,55,19,,,,71,1,110,,1,,0
Álava,ALEGRÍA-DULANTZI,,1,2,1894,1311,66,1245,14,1231,583,421,168,94,48,,,0,379,10,66,,9,,36
Gipuzkoa,ALKIZA,,6,3,277,159,19,140,4,136,118,95,0,3,3,,,,0,0,33,,1,,1
Bizkaia,ALONSOTEGI,,912,2,2374,1752,171,1581,16,1565,622,811,110,117,36,1,0,1,404,6,60,1,1,4,13
Gipuzkoa,ALTZAGA,,906,3,120,92,31,61,,61,28,39,0,1,1,,,,7,1,11,,1,,0
Gipuzkoa,ALTZO,,7,3,300,177,61,116,2,114,123,66,1,9,0,,,,4,1,33,,0,,0
Gipuzkoa,AMEZKETA,,8,3,765,453,124,329,8,321,312,199,9,38,8,,,,6,1,60,,0,,0
Bizkaia,AMOREBIETA-ETXANO,,3,3,14093,9820,1275,8545,64,8481,4273,4314,530,334,400,1,2,11,2150,39,575,26,21,9,69
Bizkaia,AMOROTO,,4,4,324,233,32,201,1,200,91,159,0,10,1,0,0,0,0,2,28,0,0,0,0
Álava,AMURRIO,,2,3,8137,5840,484,5356,54,5302,2297,2755,531,358,179,,,5,1108,31,278,,14,,43
Gipuzkoa,ANDOAIN,,9,3,11969,7382,948,6434,62,6372,4587,2012,607,297,313,,,,2417,39,574,,29,,84
Gipuzkoa,ANOETA,,10,3,1400,891,268,623,7,616,509,282,47,46,19,,,,127,1,93,,0,,1
Gipuzkoa,ANTZUOLA,,11,4,1734,1264,363,901,7,894,470,426,22,58,28,,,,190,0,169,,0,,1
Bizkaia,ARAKALDO,,5,3,79,53,13,40,3,37,26,25,2,0,0,0,0,0,6,0,4,0,0,0,0
Gipuzkoa,ARAMA,,12,3,154,105,32,73,,73,49,39,3,7,0,,,,6,0,15,,2,,1
Álava,ARAMAIO,,3,2,1224,845,189,656,2,654,379,351,6,114,18,,,0,39,0,120,,2,,4
Bizkaia,ARANTZAZU,,6,3,253,211,40,171,2,169,42,108,7,12,3,0,0,0,9,1,29,0,0,0,0
Bizkaia,AREATZA,,93,3,843,653,87,566,4,562,190,343,54,16,10,2,1,0,55,2,72,0,1,3,3
Gipuzkoa,ARETXABALETA,,13,4,5326,3494,649,2845,15,2830,1832,1114,138,239,129,,,,657,20,521,,4,,8
Álava,ARMIÑÓN,,6,2,179,116,3,113,2,111,63,19,43,6,5,,,0,30,1,1,,1,,5
Álava,ARRAIA-MAEZTU,,37,2,608,403,35,368,,368,205,175,82,14,9,,,3,65,3,13,,2,,2
Bizkaia,ARRANKUDIAGA,,9,3,751,577,128,449,3,446,174,336,21,14,9,0,0,0,26,1,33,0,1,0,5
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,18166,11615,1921,9694,84,9610,6551,3349,786,589,606,,,,3028,48,1119,,19,,66
Bizkaia,ARRATZU,,914,4,319,255,64,191,1,190,64,158,1,8,1,0,0,0,3,0,19,0,0,0,0
Álava,ARRATZUA-UBARRUNDIA,,8,2,747,496,33,463,4,459,251,207,85,17,18,,,0,89,2,23,,1,,17
Bizkaia,ARRIETA,,10,4,446,315,27,288,1,287,131,217,2,18,6,0,0,1,12,2,27,0,0,1,1
Bizkaia,ARRIGORRIAGA,,11,3,9733,6422,479,5943,70,5873,3311,2557,547,163,248,1,5,18,1858,35,270,20,9,14,128
Bizkaia,ARTEA,,23,3,613,500,84,416,7,409,113,230,20,84,3,0,0,0,15,1,52,0,1,1,2
Bizkaia,ARTZENTALES,,8,2,600,443,36,407,4,403,157,312,14,6,10,0,0,0,32,3,25,0,0,0,1
Álava,ARTZINIEGA,,4,3,1453,1048,84,964,7,957,405,450,136,36,24,,,1,185,11,98,,4,,12
Álava,ASPARRENA,,9,2,1303,838,132,706,7,699,465,337,60,58,21,,,2,108,4,103,,2,,4
Gipuzkoa,ASTEASU,,14,3,1119,639,180,459,4,455,480,228,14,103,16,,,,24,0,70,,0,,0
Gipuzkoa,ASTIGARRAGA,,903,1,3513,1986,449,1537,22,1515,1527,643,104,107,60,,,,344,9,217,,2,,29
Gipuzkoa,ATAUN,,15,3,1350,1015,411,604,2,602,335,408,0,47,12,,,,24,2,109,,0,,0
Bizkaia,ATXONDO,,91,3,1203,821,204,617,9,608,382,376,27,10,14,0,0,0,118,0,62,0,0,1,0
Bizkaia,AULESTI,,70,4,571,405,174,231,5,226,166,192,2,5,0,0,0,1,1,1,24,0,0,0,0
Álava,AYALA/AIARA,,10,3,2219,1677,125,1552,18,1534,542,885,182,120,36,,,5,209,9,77,,1,,10
Gipuzkoa,AZKOITIA,,17,4,8735,5784,730,5054,35,5019,2951,2667,283,190,113,,,,938,19,780,,8,,21
Gipuzkoa,AZPEITIA,,18,4,11105,7463,1359,6104,38,6066,3642,3894,231,400,93,,,,581,8,835,,10,,14
Álava,AÑANA,,49,2,158,127,8,119,5,114,31,54,26,7,1,,,1,20,0,5,,0,,0
Bizkaia,BAKIO,,12,4,1862,1517,190,1327,6,1321,345,869,40,136,30,0,0,0,99,14,112,6,2,3,10
