TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,HB,EE,EKA,LKI-LCR,PCE-EPK,A.I.LL.,UCD,ESEI,PSOE(H),ORT,UFV,EMK-OIC,IRE,C.I.,PTE,IND. ALEGRIA-DUL. 79,IND. AMURRIO 79,IND. ARAMAIO 79,IND. ARTZINIEGA 79,IND. 1 ASPARRENA 79,IND. 2 ASPARRENA 79,IND. AIARA 79,IND. KUARTANGO 79,IND. ELCIEGO 79,IND. ELVILLAR 79,IND. 1 IRUÑA OKA 79,IND. 2 IRUÑA OKA 79,IND. LABASTIDA 79,IND. LAGUARDA 79,IND. LAUDIO 79,IND. MOREDA 79,IND. OKONDO 79,IND. 1 OION 79,IND. 2 OION 79,IND. RIBERA BAJA 79,IND. AÑANA 79,IND. 1 AGURAIN 79,IND. 2 AGURAIN 79,IND. VALDEGOVIA 79,IND. HARANA 79,IND. 1 VITORIA-G. 79,IND. 2 VITORIA-G. 79,IND. 1 ZALDUONDO 79,IND. 2 ZALDUONDO 79,IND. ZUIA 79,IND. ABADIÑO 79,IND. ABANTO-ZIER. 79,IND. AMOROTO 79,IND. ARAKALDO 79,IND. ARANTZAZU 79,IND. MUNITIBAR 79,IND. ARCENTALES 79,IND. AREATZA 79,IND. ARRIETA 79,IND. ARRIGORRIAGA 79,IND. ATXONDO 79,IND. AULESTI 79,IND. BALMASEDA 79,IND. BARAKALDO 79,IND. BEDIA 79,IND. BERANGO 79,IND. MUNGIA 79,IND. BERRIZ 79,IND. KARRANTZA 79,IND. ZEANURI 79,IND. EA 79,IND. ETXEBARRIA 79,IND. ELORRIO 79,IND. 1 EREÑO 79,IND. ERMUA 79,IND. GALDAKAO 79,IND. GALDAMES 79,IND. GAMIZ-FIKA 79,IND. GARAI 79,IND. GATIKA 79,IND. GAUT.ARTEAGA 79,IND. GERNIKA -LUM 79,IND. GORDEXOLA 79,IND. GIZABURUAGA 79,IND. ISPASTER 79,IND. IZURTZA 79,IND. LANESTOSA 79,IND. LARRABETZU 79,IND. LAUKIZ 79,IND. LEIOA 79,IND. LEKEITIO 79,IND. LEMOA 79,IND .LEMOIZ 79,IND. LEZAMA 79,IND. MALLABIA 79,IND. MAÑARIA 79,IND. MARKINA 79,IND. MENDEXA 79,IND. UGAO-MIRAV. 79,IND. MUSKIZ 79,IND. ORDUÑA 79,IND. OROZKO 79,IND. ORTUELLA 79,IND. OTXANDIO 79,IND. ERRIGOITI 79,IND. SOPELANA 79,IND. SOPUERTA 79,IND. TURTZIOZ 79,IND. UBIDE 79,IND. 1 ZALDIBAR.79,IND. 1 ZARATAMO 79,IND. 2 ZARATAMO 79,IND. ZEBERIO 79,IND. ABALTZISKETA 79,IND. ADUNA 79,IND. AIZARNAZABAL 79,IND. ALBIZTUR 79,IND. ALEGIA 79,IND. ALKIZA 79,IND. ALTZO 79,IND. AMEZKETA 79,IND. ANOETA 79,IND. ANTZUOLA 79,IND. ARAMA 79,IND. ARRASATE 79,IND. ASTEASU 79,IND. AZKOITIA 79,IND. BEIZAMA 79,IND. 1 BELAUNTZA 79,IND. 2 BELAUNTZA 79,IND. 1 BERASTEGI 79,IND. 2 BERASTEGI 79,IND. 1 BERROBI 79,IND. 2 BERROBI 79,IND. BIDEGOIAN  79,IND. ARRANKUDIAGA 79,IND. ELDUAIN 79,IND. 1 ELGETA 79,IND. 2 ELGETA 79,IND. 1 ELGOIBAR 79,IND. 2 ELGOIBAR 79,IND. ESKORIATZA 79,IND. EZKIO-ITSASO 79,IND. GABIRIA 79,IND. GAINTZA 79,IND. GETARIA 79,IND. HERNANI 79,IND. 1 HERNIALADE 79,IND. 2 HERNIAALDE 79,IND. HONDARRIBIA 79,IND. IDIAZABAL 79,IND. IRUN 79,IND. 1 ITSASONDO 79,IND. 2 ITSASONDO 79,IND. LARRAUL 79,IND. LAZKAO 79,IND. 1 LEABURU-G. 79,IND. 2 LEABURU-G. 79,IND. LEGORRETA 79,IND. LEZO 79,IND. LIZARTZA 79,IND. MUTILOA 79,IND. MUTRIKU 79,IND. OLABERRIA 79,IND. OÑATI 79,IND. OREXA 79,IND. OIARTZUN 79,IND. SORALUZE 79,IND. ERREZIL 79,IND. SEGURA 79,IND. URRETXU 79,IND. USURBIL 79,IND. VILLABONA 79,IND. ZALDIBIA 79,IND. ZARAUTZ 79,IND. ZEGAMA 79,IND. ZERAIN 79,IND. ZESTOA 79,IND. 2 EREÑO 79,IND. 2 ZALDIBAR 79
Bizkaia,ABADIÑO,,1,3,4124,2539,20,2490,30,2490,1585,1286,313,,,,,169,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ABALTZISKETA,,1,3,254,134,,131,3,131,120,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7524,4681,30,4647,4,4647,2843,712,893,481,932,,,843,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ADUNA,,2,3,262,225,4,219,2,219,37,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,AGURAIN/SALVATIERRA,,51,2,2465,1681,28,1650,3,1650,784,441,,,,,,42,,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AIA,,16,4,1518,764,28,695,41,695,754,695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AIZARNAZABAL,,3,4,396,270,1,268,1,268,126,73,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALBIZTUR,,4,3,284,197,3,193,1,193,87,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALEGIA,,5,3,1265,949,6,936,7,936,316,468,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ALEGRÍA-DULANTZI,,1,2,681,447,31,413,3,413,234,188,,,,,,,,,,,66,,,,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
