TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,PH,EK-PCPE,PSE-EE/PSOE,ATTKA/PACMA,UPYD,Cs,EH BILDU,VOX,PODEMOS-AHAL DUGU,IRABAZI,IKUNE,VOX / PFYV
Bizkaia,ABADIÑO,,1,3,5838,3884,63,3821,89,3732,1954,1119,230,11,,448,49,21,,1312,14,476,52,,
Gipuzkoa,ABALTZISKETA,,1,3,244,153,,153,3,150,91,62,0,,,1,,,,79,,7,1,,
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7895,4996,93,4903,100,4803,2899,2001,90,,18,598,,10,59,879,10,792,62,284,
Gipuzkoa,ADUNA,,2,3,348,245,3,242,15,227,103,50,1,,,2,,,,154,,19,1,,
Álava,AGURAIN/SALVATIERRA,,51,2,3630,2531,43,2488,37,2451,1099,1030,162,,,92,,,35,836,5,267,24,,
Gipuzkoa,AIA,,16,4,1525,1028,6,1022,15,1007,497,536,6,,,11,,,,391,,47,16,,
Gipuzkoa,AIZARNAZABAL,,3,4,539,364,3,361,2,359,175,87,0,,,4,,,,249,,19,0,,
Bizkaia,AJANGIZ,,911,4,380,305,5,300,6,294,75,88,0,,,0,1,0,0,195,,7,3,,0
Gipuzkoa,ALBIZTUR,,4,3,249,171,,171,15,156,78,88,0,,,8,,,,48,,8,4,,
Gipuzkoa,ALEGIA,,5,3,1279,809,8,801,8,793,470,277,15,,,22,,,,421,,53,5,,
Álava,ALEGRÍA-DULANTZI,,1,2,2013,1341,40,1301,29,1272,672,402,119,,,120,,,38,313,5,229,46,,
Gipuzkoa,ALKIZA,,6,3,263,169,2,167,4,163,94,68,2,,,0,,,,85,,6,2,,
Bizkaia,ALONSOTEGI,,912,2,2319,1671,50,1621,42,1579,648,769,43,,1,149,,4,19,456,2,115,15,6,
Gipuzkoa,ALTZAGA,,906,3,122,88,,88,2,86,34,26,0,,,1,,,,47,,10,2,,
Gipuzkoa,ALTZO,,7,3,300,212,5,207,8,199,88,47,0,,,1,,,,143,,8,0,,
Gipuzkoa,AMEZKETA,,8,3,729,449,,449,13,436,280,144,8,,,1,,,,249,,30,4,,
