TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,HB,EE,EA,EB-B,CDS,PH,PTE-UC,FAP,CSI,PDP,POSI,PSDV,UPR,EMK-MCE,PDP-PL,IND. ASPARRENA 87,IND. KUARTANGO 87,IND. IRUÑA OKA.87,IND. IRURAIZ-G. 87,IND. LAGUARDIA 87,IND. LAUDIO 87,IND. NAVARIDAS 87,IND. PEÑACERRADA 87,IND. RIBERA ALTA 87,IND. AÑANA 87,IND. DONEMILIAGA 87,IND. URKABUSTAIZ 87,IND. 1 VALDEGOVIA 87,IND. 2 VALDEGOVIA 87,IND. ZIERBENA 87,IND. AMOROTO 87,IND. BALMASEDA 87,IND. BERANGO 87,IND. BERRIATUA 87,IND. KARRANTZA 87,IND. DURANGO 87,IND. EREÑO 87,IND. ERMUA 87,IND. ETXEBARRI 87,IND. FORUA 87,IND. GARAI 87,IND. 1 GORDEXOLA 87,IND. 2 GORDEXOLA 87,IND. GORLIZ 87,IND. GIZABURUAGA 87,IND. ISPASTER 87,IND. MALLABIA 87,IND. MENDEXA 87,IND. ORTUELLA 87,IND. PORTUGALETE 87,IND. SOPUERTA 87,IND. TURTZIOZ 87,IND. ZALDIBAR 87,IND. ZALLA 87,IND. ZEBERIO 87,IND. ABALTZISKETA 87,IND. ADUNA 87,IND. AIZARNAZABAL 87,IND. ALBIZTUR 87,IND. ALTZO 87,IND. AMEZKETA 87,IND. ANOETA 87,IND. ANTZUOLA 87,IND. ARAMA 87,IND. ARRASATE 87,IND. BEIZAMA 87,IND. BERROBI 87,IND. DONOSTIA-SS. 87,IND. ELGETA 87,IND. ESKORIATZA 87,IND. GABIRIA 87,IND. GAINTZA 87,IND. HERNIALDE 87,IND. IRUERRIETA 87,IND. ITSASONDO 87,IND. LARRAUL 87,IND. LEGAZPI 87,IND. LEINTZ-GATZ. 87,IND. MUTILOA 87,IND. OLABERRIA 87,IND. URNIETA 87,IND. ZERAIN 87,IND. ARETXABALETA 87
Bizkaia,ABADIÑO,,1,3,4918,3495,48,3447,71,3376,1423,1030,655,798,243,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ABALTZISKETA,,1,3,240,120,6,114,,114,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7292,5342,38,5304,23,5281,1950,581,1289,1037,1329,232,178,,,232,,,,,,,,,,,,,,,,,,,,,,,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ADUNA,,2,3,266,238,3,235,5,230,28,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,AGURAIN/SALVATIERRA,,51,2,2666,2009,16,1993,18,1975,657,531,317,503,,553,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AIA,,16,4,1417,990,7,983,5,978,427,509,,278,,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AIZARNAZABAL,,3,4,403,306,2,304,5,299,97,,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALBIZTUR,,4,3,249,112,2,110,1,109,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALEGIA,,5,3,1321,961,5,956,42,914,360,,,327,37,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ALEGRÍA-DULANTZI,,1,2,727,532,8,524,9,515,195,281,124,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALKIZA,,6,3,207,128,6,122,10,112,79,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ALTZO,,7,3,281,167,7,160,12,148,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,AMEZKETA,,8,3,885,306,,306,2,304,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AMOREBIETA-ETXANO,,3,3,11663,9134,55,9079,47,9032,2529,3054,1197,2052,545,1412,545,173,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AMOROTO,,4,4,341,253,3,250,5,245,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,AMURRIO,,2,3,6939,5100,58,5042,59,4983,1839,1097,750,1152,272,1171,,,,,541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ANDOAIN,,9,3,11490,8166,69,8097,60,8037,3324,1357,1639,1712,1555,1619,95,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ANOETA,,10,3,1325,899,55,844,66,778,426,,,,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ANTZUOLA,,11,4,1607,1399,3,1396,8,1388,208,365,193,369,130,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARAKALDO,,5,3,81,67,,67,1,66,14,36,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ARAMA,,12,3,129,93,13,80,11,69,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,
Álava,ARAMAIO,,3,2,1090,828,1,827,12,815,262,230,,180,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARANTZAZU,,6,3,250,236,4,232,3,229,14,122,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,AREATZA,,93,3,947,807,40,767,17,750,140,327,,116,119,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ARETXABALETA,,13,4,4435,3524,42,3482,18,3464,911,636,375,904,171,1203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175
Álava,ARMIÑÓN,,6,2,131,81,8,73,6,67,50,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ARRAIA-MAEZTU,,37,2,699,445,17,428,6,422,254,229,63,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARRANKUDIAGA,,9,3,613,530,10,520,4,516,83,260,,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,19828,13882,166,13716,150,13566,5946,2427,3164,3373,1342,2897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,,,,,,,,,,,,,,,,,,
Álava,ARRATZUA-UBARRUNDIA,,8,2,474,314,27,287,12,275,160,174,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARRIETA,,10,4,386,286,3,283,1,282,100,191,,50,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARRIGORRIAGA,,11,3,6952,4928,72,4856,48,4808,2024,1597,977,1104,378,645,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ARTEA,,23,3,525,457,14,443,14,429,68,148,,112,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
