TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PSE-PSOE,PP,HB,EB-B,CDS,EKA,AR,LVE,PH,ARM-ADE,PTE-UC,FE-JONS,EK-PCPE,F.N.,UNA,CIU,BNG,LA,P.A.,CSD,EE...(E89),FPR,PNV...(E89),AV-MEC,BACTERIA,PED,EA...(E89),EPV,PST-PORE,PV,IDE,LB
Bizkaia,ABADIÑO,,1,3,5006,3938,22,3916,42,3874,1068,620,142,980,77,114,2,3,17,4,20,25,2,14,4,8,2,3,3,2,11,245,5,1017,8,0,0,507,16,11,,0,12
Gipuzkoa,ABALTZISKETA,,1,3,239,111,,111,,111,128,0,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,8,1,,0,55,0,0,,0,0
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7451,4181,35,4146,34,4112,3270,1008,65,851,216,59,0,3,24,2,19,213,1,12,2,1,0,2,1,0,9,576,1,750,4,0,0,264,4,7,,1,17
Gipuzkoa,ADUNA,,2,3,264,204,1,203,3,200,60,0,1,92,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,24,0,,0,76,0,0,,0,0
Álava,AGURAIN/SALVATIERRA,,51,2,2745,1695,27,1186,37,1149,1050,342,92,295,26,53,1,1,15,6,11,34,0,4,2,3,0,2,0,2,4,107,5,321,6,,0,283,3,4,0,1,8
Gipuzkoa,AIA,,16,4,1396,766,6,760,4,756,630,8,4,223,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,13,0,283,2,,0,215,1,0,,0,2
Gipuzkoa,AIZARNAZABAL,,3,4,394,244,,244,3,241,150,2,0,115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,23,0,,0,93,2,0,,0,0
Gipuzkoa,ALBIZTUR,,4,3,250,123,,123,4,119,127,0,2,29,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,4,0,28,0,,0,52,0,0,,0,1
Gipuzkoa,ALEGIA,,5,3,1297,850,8,842,10,832,447,54,10,298,1,0,0,2,1,0,1,1,0,0,0,0,0,0,2,0,1,33,1,90,1,,0,330,0,1,,0,5
Álava,ALEGRÍA-DULANTZI,,1,2,765,447,10,437,10,427,318,121,32,52,5,20,0,1,6,2,4,3,0,0,0,0,0,0,0,0,3,30,0,109,1,,1,34,2,0,0,0,1
Gipuzkoa,ALKIZA,,6,3,213,121,,121,1,120,92,0,0,32,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,44,0,2,1,,0,39,0,0,,0,0
Gipuzkoa,ALTZO,,7,3,280,159,,159,4,155,121,1,2,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,18,0,,0,44,0,0,,1,0
Gipuzkoa,AMEZKETA,,8,3,878,390,4,386,,386,488,8,13,157,2,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,2,22,0,52,0,,0,124,0,0,,1,0
Bizkaia,AMOREBIETA-ETXANO,,3,3,12075,8092,50,8042,67,7975,3983,1107,140,1930,381,152,3,3,63,8,62,56,3,23,6,1,1,2,5,8,21,535,4,2322,2,0,5,1058,13,16,,3,42
Bizkaia,AMOROTO,,4,4,349,259,2,257,3,254,90,4,0,66,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,4,1,135,0,0,0,39,0,0,,0,0
Álava,AMURRIO,,2,3,7193,4463,49,4414,44,4370,2730,670,357,887,37,85,4,3,22,5,68,11,3,8,2,1,4,0,1,1,12,244,3,1019,3,,2,882,8,7,0,1,16
Gipuzkoa,ANDOAIN,,9,3,11730,6875,30,6845,89,6756,4855,1504,163,1606,122,212,5,1,45,3,23,86,6,17,4,0,3,1,0,2,9,805,2,828,2,,0,1272,14,6,,1,14
Gipuzkoa,ANOETA,,10,3,1362,783,2,781,11,770,579,91,11,271,3,17,0,0,6,1,3,4,1,1,1,0,1,0,0,0,4,71,2,63,0,,2,206,2,2,,1,6
Gipuzkoa,ANTZUOLA,,11,4,1623,1249,9,1240,13,1227,374,202,21,393,11,1,0,0,6,1,2,4,0,1,0,0,0,0,0,0,0,84,0,270,0,,0,228,0,0,,0,3
Bizkaia,ARAKALDO,,5,3,80,51,,51,2,49,29,0,2,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,18,0,0,0,1,0,0,,0,0
Gipuzkoa,ARAMA,,12,3,132,86,,86,,86,46,1,0,42,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,12,0,,0,24,0,0,,0,1
Álava,ARAMAIO,,3,2,1099,693,,693,4,689,406,11,5,186,4,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,14,0,167,0,,0,291,1,3,0,0,2
Bizkaia,ARANTZAZU,,6,3,248,207,,207,1,206,41,4,3,82,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,94,0,0,0,12,0,0,,0,0
Bizkaia,AREATZA,,93,3,952,740,12,728,9,719,212,30,61,106,0,1,4,0,0,0,3,1,0,0,0,0,0,0,0,1,0,92,0,319,2,0,0,97,2,0,,0,0
Gipuzkoa,ARETXABALETA,,13,4,4540,3008,29,2979,41,2938,1532,410,21,869,42,38,1,4,33,4,11,5,0,5,2,3,2,1,2,2,3,168,1,484,3,,1,793,2,8,,0,20
Álava,ARMIÑÓN,,6,2,126,84,,84,3,81,42,10,27,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,23,0,,0,1,0,0,0,0,1
Álava,ARRAIA-MAEZTU,,37,2,696,321,,321,5,316,375,57,32,33,1,12,2,1,3,1,9,1,0,1,0,0,1,0,0,0,1,13,0,116,0,,0,28,0,0,0,2,2
Bizkaia,ARRANKUDIAGA,,9,3,624,468,3,465,3,462,156,12,7,184,1,6,0,0,2,0,5,0,0,0,1,0,0,0,0,0,0,10,0,202,0,0,0,30,0,0,,0,2
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,20060,12155,114,12041,127,11914,7905,2469,347,3219,254,301,15,6,93,15,23,54,8,30,8,7,9,4,4,10,54,978,7,1875,22,,7,1991,19,16,,4,65
Álava,ARRATZUA-UBARRUNDIA,,8,2,503,281,3,278,3,275,222,52,46,23,0,5,0,0,1,0,5,2,0,0,0,0,0,0,1,0,0,27,0,86,0,,0,25,0,0,0,0,2
Bizkaia,ARRIETA,,10,4,387,236,1,235,2,233,151,3,6,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,123,0,0,0,36,1,0,,0,0
