TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,EA,EB-B,EKA,PH,FE-JONS,EK-PCPE,POSI,PSE-EE/PSOE,BERDEAK-LV,AUN,DN,ARALAR,ATTKA/PACMA,UCL,PUM+J,PFYV,AES,UPYD,AMD,Cs
Bizkaia,ABADIÑO,,1,3,5875,3320,37,3283,48,3235,2555,1050,544,90,130,0,4,1,9,4,1243,17,0,1,88,6,,12,6,0,15,10,5
Gipuzkoa,ABALTZISKETA,,1,3,245,81,,81,3,78,164,46,1,7,7,0,0,0,,,5,1,,0,10,0,0,1,0,0,0,0,0
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7929,5275,59,5216,78,5138,2654,1620,456,106,304,2,5,0,12,10,2509,23,1,0,39,12,,4,8,1,18,8,0
Gipuzkoa,ADUNA,,2,3,293,72,,72,,72,221,31,0,16,9,0,0,0,,,6,0,,0,10,0,0,0,0,0,0,0,0
Álava,AGURAIN/SALVATIERRA,,51,2,3593,1936,26,1910,36,1874,1657,580,331,103,88,2,1,0,1,1,678,17,1,0,43,12,,7,,0,8,1,0
Gipuzkoa,AIA,,16,4,1444,677,2,675,21,654,767,457,6,66,19,0,0,0,,,52,2,,0,46,3,0,2,0,0,0,0,1
Gipuzkoa,AIZARNAZABAL,,3,4,495,133,2,131,4,127,362,66,0,20,6,0,1,0,,,20,0,,0,11,0,0,1,1,0,0,0,1
Bizkaia,AJANGIZ,,911,4,370,141,,141,3,138,229,97,1,21,5,0,1,0,0,0,6,0,0,0,6,0,,1,0,0,0,0,0
Gipuzkoa,ALBIZTUR,,4,3,258,127,1,126,6,120,131,81,2,12,1,0,0,0,,,16,0,,0,8,0,0,0,0,0,0,0,0
Gipuzkoa,ALEGIA,,5,3,1358,497,8,489,18,471,861,177,42,92,24,0,0,0,,,81,2,,0,48,3,0,1,0,0,1,0,0
Álava,ALEGRÍA-DULANTZI,,1,2,1838,1305,13,1292,23,1269,533,294,238,85,61,0,2,0,0,1,526,9,0,0,27,4,,2,,0,17,1,2
Gipuzkoa,ALKIZA,,6,3,273,113,,113,3,110,160,52,1,13,7,0,1,0,,,5,0,,0,28,1,0,0,1,0,1,0,0
Bizkaia,ALONSOTEGI,,912,2,2389,1710,26,1684,24,1660,679,720,173,143,77,0,0,0,1,2,489,8,1,0,21,9,,1,1,0,12,1,1
Gipuzkoa,ALTZAGA,,906,3,116,51,1,50,1,49,65,22,0,2,4,0,0,0,,,10,0,,0,10,0,0,1,0,0,0,0,0
Gipuzkoa,ALTZO,,7,3,298,101,,101,4,97,197,56,1,7,4,0,0,0,,,7,1,,0,18,0,0,1,0,0,0,2,0
Gipuzkoa,AMEZKETA,,8,3,775,218,4,214,12,202,557,96,13,34,12,0,0,0,,,17,1,,0,29,0,0,0,0,0,0,0,0
Bizkaia,AMOREBIETA-ETXANO,,3,3,14078,8695,123,8572,127,8445,5383,3572,808,373,474,1,11,0,15,20,2732,55,1,2,247,33,,31,16,2,34,18,0
Bizkaia,AMOROTO,,4,4,325,188,4,184,5,179,137,136,0,21,1,0,0,0,0,0,3,0,0,0,16,1,,0,1,0,0,0,0
Álava,AMURRIO,,2,3,8164,5500,86,5414,73,5341,2664,1999,825,421,217,4,3,0,9,6,1656,23,0,1,99,28,,15,,0,26,9,0
Gipuzkoa,ANDOAIN,,9,3,11944,6796,62,6734,132,6602,5148,1271,899,405,376,7,6,7,,,3235,58,,3,244,29,0,12,14,0,24,6,6
Gipuzkoa,ANOETA,,10,3,1401,511,2,509,15,494,890,151,60,37,17,1,0,0,,,187,4,,0,32,1,0,3,0,0,1,0,0
Gipuzkoa,ANTZUOLA,,11,4,1743,865,9,856,13,843,878,318,31,86,46,0,2,0,,,258,2,,0,95,0,1,0,0,0,2,2,0
Bizkaia,ARAKALDO,,5,3,81,46,,46,3,43,35,28,2,1,1,0,0,0,1,0,6,1,0,0,3,0,,0,0,0,0,0,0
Gipuzkoa,ARAMA,,12,3,153,52,,52,2,50,101,25,3,11,1,0,0,0,,,5,0,,0,4,0,0,1,0,0,0,0,0
