TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,EA,EB-B,EKA,PH,FE-JONS,EK-PCPE,POSI,PSE-EE/PSOE,BERDEAK-LV,AUN,DN,ARALAR,ATTKA/PACMA,UCL,PUM+J,PFYV,AES,UPYD,AMD,Cs
Álava,ARAMAIO,,3,2,1238,574,10,564,11,553,664,268,15,119,35,0,1,0,2,1,58,0,0,0,49,4,,1,,0,0,0,0
Bizkaia,ARANTZAZU,,6,3,257,153,5,148,6,142,104,98,6,13,3,0,0,0,0,0,16,0,0,0,5,0,,0,0,0,1,0,0
Bizkaia,AREATZA,,93,3,841,559,32,527,15,512,282,304,67,18,14,1,0,1,1,0,64,1,0,0,36,1,,1,0,0,3,0,0
Gipuzkoa,ARETXABALETA,,13,4,5354,2987,47,2940,45,2895,2367,721,243,371,166,0,1,2,,,987,21,,1,353,5,1,9,5,1,6,2,0
Álava,ARMIÑÓN,,6,2,172,124,,124,1,123,48,15,57,2,3,0,0,1,0,1,41,1,0,0,0,0,,0,,0,2,0,0
Álava,ARRAIA-MAEZTU,,37,2,619,425,8,417,7,410,194,141,100,20,20,0,0,1,0,3,112,3,0,0,5,1,,3,,0,0,1,0
Bizkaia,ARRANKUDIAGA,,9,3,732,425,7,418,5,413,307,286,32,17,12,0,0,0,1,0,53,2,0,0,9,0,,0,0,0,1,0,0
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,18385,10902,113,10789,188,10601,7483,2450,1122,1007,922,1,6,0,,,4311,60,,4,629,27,1,20,7,1,26,4,3
Bizkaia,ARRATZU,,914,4,309,163,4,159,2,157,146,129,1,16,2,0,0,0,0,0,2,0,0,0,7,0,,0,0,0,0,0,0
Álava,ARRATZUA-UBARRUNDIA,,8,2,743,548,9,539,9,530,195,194,135,23,12,0,1,0,2,0,138,1,0,0,16,0,,1,,0,5,1,1
Bizkaia,ARRIETA,,10,4,459,269,,269,5,264,190,196,5,18,10,0,0,0,0,0,22,2,0,0,9,1,,1,0,0,0,0,0
Bizkaia,ARRIGORRIAGA,,11,3,9748,6433,85,6348,116,6232,3315,2095,863,163,344,2,5,0,7,9,2467,41,0,2,104,32,,23,5,2,57,8,3
Bizkaia,ARTEA,,23,3,600,408,15,393,8,385,192,204,29,93,14,0,1,0,0,0,22,1,0,0,20,0,,0,0,0,0,1,0
Bizkaia,ARTZENTALES,,8,2,602,401,2,399,5,394,201,283,30,9,7,0,0,0,1,0,45,4,1,0,12,2,,0,0,0,0,0,0
Álava,ARTZINIEGA,,4,3,1400,979,27,952,10,942,421,352,206,23,26,1,0,0,1,6,249,8,1,0,46,7,,2,,0,10,4,0
Álava,ASPARRENA,,9,2,1291,721,11,710,9,701,570,227,94,53,37,0,0,0,0,2,217,7,0,2,56,3,,2,,0,1,0,0
Gipuzkoa,ASTEASU,,14,3,1126,446,3,443,10,433,680,141,23,136,27,0,0,0,,,72,2,,0,25,3,0,0,0,0,4,0,0
Gipuzkoa,ASTIGARRAGA,,903,1,3445,1580,18,1562,46,1516,1865,377,181,212,92,2,1,0,,,517,10,,0,103,5,0,4,1,0,10,1,0
Gipuzkoa,ATAUN,,15,3,1344,460,10,450,10,440,884,254,0,82,21,0,0,0,,,30,1,,0,50,1,0,1,0,0,0,0,0
Bizkaia,ATXONDO,,91,3,1214,598,12,586,16,570,616,290,48,15,20,0,0,0,1,0,176,1,0,0,18,0,,1,0,0,0,0,0
Bizkaia,AULESTI,,70,4,575,147,1,146,2,144,428,124,5,8,0,0,0,0,0,0,5,0,0,0,2,0,,0,0,0,0,0,0
Álava,AYALA/AIARA,,10,3,2188,1558,16,1542,28,1514,630,724,248,117,61,0,0,0,2,1,321,4,0,0,26,3,,2,,0,4,1,0
Gipuzkoa,AZKOITIA,,17,4,8717,5000,81,4919,85,4834,3717,2343,358,295,164,1,2,0,,,1250,35,,7,329,15,0,10,2,1,16,4,2
Gipuzkoa,AZPEITIA,,18,4,11122,5472,63,5409,121,5288,5650,2937,342,675,120,2,3,2,,,840,11,,1,319,11,0,2,14,2,4,3,0
Álava,AÑANA,,49,2,165,122,1,121,4,117,43,41,25,5,0,0,0,0,0,0,41,2,0,0,2,0,,0,,1,0,0,0
Bizkaia,BAKIO,,12,4,1840,1307,27,1280,18,1262,533,834,53,135,50,0,1,0,0,0,133,6,0,0,38,3,,3,0,1,4,0,1
Gipuzkoa,BALIARRAIN,,904,3,81,13,,13,2,11,68,8,0,0,0,0,0,0,,,2,0,,0,1,0,0,0,0,0,0,0,0
Bizkaia,BALMASEDA,,90,2,5958,4600,113,4487,43,4444,1358,1823,471,164,130,1,1,2,4,10,1761,15,0,1,23,3,,7,2,2,18,5,1
Bizkaia,BARAKALDO,,13,2,82034,56275,458,55817,808,55009,25759,9762,10980,784,2746,11,36,13,91,131,28787,293,15,15,341,213,,117,66,9,493,56,50
Bizkaia,BARRIKA,,14,4,1128,691,7,684,18,666,437,331,78,46,36,0,1,0,0,0,137,7,0,0,15,1,,1,1,0,9,2,1
Álava,BARRUNDIA,,13,2,669,399,2,397,3,394,270,154,73,20,22,1,1,0,0,1,96,3,0,0,18,0,,1,,0,2,2,0
Bizkaia,BASAURI,,15,3,36574,25209,225,24984,364,24620,11365,6265,4165,396,964,6,37,14,44,55,11908,93,1,7,311,97,,38,22,1,165,18,13
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,263,208,4,204,6,198,55,70,85,1,2,0,0,0,0,0,38,0,0,0,2,0,,0,,0,0,0,0
Gipuzkoa,BEASAIN,,19,3,10214,6285,71,6214,157,6057,3929,1836,679,529,261,6,4,2,,,2285,24,,0,367,26,0,9,4,1,20,3,1
Bizkaia,BEDIA,,92,3,791,535,4,531,8,523,256,344,44,19,17,0,0,0,0,0,85,1,0,0,9,0,,2,1,0,1,0,0
Gipuzkoa,BEIZAMA,,20,4,147,55,,55,,55,92,43,2,5,0,0,0,0,,,0,0,,0,5,0,0,0,0,0,0,0,0
Gipuzkoa,BELAUNTZA,,21,3,248,66,3,63,1,62,182,22,4,15,0,0,0,0,,,9,0,,0,9,0,0,1,0,0,0,2,0
Bizkaia,BERANGO,,16,4,5015,3317,37,3280,56,3224,1698,1158,584,129,159,0,1,0,1,1,1010,22,0,0,69,10,,7,5,1,56,8,3
Álava,BERANTEVILLA,,14,2,399,307,1,306,4,302,92,98,101,2,15,0,1,0,1,0,71,7,0,0,4,1,,0,,0,1,0,0
Gipuzkoa,BERASTEGI,,22,3,805,348,10,338,3,335,457,155,7,92,9,0,0,0,,,45,0,,0,25,1,0,1,0,0,0,0,0
Gipuzkoa,BERGARA,,74,4,12026,6477,61,6416,120,6296,5549,2272,422,530,361,3,2,2,,,1851,31,,3,773,6,1,5,15,0,12,7,0
Bizkaia,BERMEO,,17,4,13769,8398,88,8310,81,8229,5371,4502,310,1716,213,1,3,1,6,5,1225,24,2,2,170,19,,7,2,1,7,7,6
Álava,BERNEDO,,16,2,488,292,5,287,4,283,196,99,82,16,8,0,1,0,0,2,63,4,0,0,4,0,,2,,0,0,1,1
Bizkaia,BERRIATUA,,18,4,942,359,2,357,11,346,583,265,2,22,10,0,0,0,0,1,21,3,0,0,16,2,,2,1,0,1,0,0
Bizkaia,BERRIZ,,19,3,3864,2300,32,2268,46,2222,1564,824,277,73,85,0,6,1,2,3,804,13,0,2,93,8,,14,1,0,11,3,2
Gipuzkoa,BERROBI,,23,3,468,180,2,178,3,175,288,71,29,16,10,0,0,0,,,29,1,,0,14,1,0,0,0,0,2,0,2
Gipuzkoa,BIDANIA-GOIATZ,,24,4,374,141,4,137,3,134,233,56,11,37,2,1,0,0,,,13,0,,0,14,0,0,0,0,0,0,0,0
Bizkaia,BILBAO,,20,1,284269,197306,1410,195896,3568,192328,86963,53481,45977,3501,8422,60,129,74,224,308,72055,1216,28,61,2591,694,,521,190,47,2407,181,161
Bizkaia,BUSTURIA,,21,4,1475,852,7,845,17,828,623,433,60,114,30,0,0,1,2,0,160,3,0,0,16,1,,3,1,1,2,0,1
Álava,CAMPEZO/KANPEZU,,17,2,915,603,6,597,5,592,312,213,169,26,36,0,1,0,0,0,133,3,0,0,7,2,,1,,0,1,0,0
Gipuzkoa,DEBA,,29,4,4344,2487,23,2464,56,2408,1857,877,158,450,164,1,1,0,,,534,23,,0,183,2,0,5,2,0,7,0,1
Bizkaia,DERIO,,901,4,4302,3163,42,3121,41,3080,1139,1096,379,94,118,3,2,0,0,2,1275,14,0,0,27,12,,27,3,0,20,5,3
Bizkaia,DIMA,,26,3,1040,507,18,489,3,486,533,389,21,37,6,0,0,0,0,0,9,1,0,0,19,2,,0,1,0,0,1,0
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,147634,94560,689,93871,2484,91387,53074,16178,19935,6002,4267,63,58,17,,,37854,588,,24,4014,365,13,221,117,14,1474,120,63
Bizkaia,DURANGO,,27,3,21595,13872,180,13692,267,13425,7723,4932,2152,361,667,4,16,2,11,19,4260,65,1,4,709,52,,38,13,1,99,11,8
Bizkaia,EA,,28,4,784,407,6,401,6,395,377,282,10,76,7,2,0,0,0,0,11,0,0,0,5,2,,0,0,0,0,0,0
Gipuzkoa,EIBAR,,30,4,22848,15019,109,14910,232,14678,7829,3447,2002,860,704,8,6,2,,,6780,63,,7,608,32,2,23,11,4,97,16,6
Bizkaia,ELANTXOBE,,31,4,404,235,3,232,1,231,169,168,6,29,5,0,0,0,0,0,10,0,0,0,13,0,,0,0,0,0,0,0
Álava,ELBURGO/BURGELU,,21,2,410,312,3,309,4,305,98,98,85,8,8,0,0,0,0,1,85,3,0,1,9,2,,2,,0,3,0,0
Álava,ELCIEGO,,22,2,842,646,4,642,7,635,196,86,220,24,19,0,0,0,4,2,264,5,0,0,2,2,,0,,0,5,1,1
Gipuzkoa,ELDUAIN,,31,3,192,46,,46,4,42,146,25,1,13,0,0,0,0,,,3,0,,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,ELGETA,,33,4,835,450,10,440,9,431,385,195,10,30,11,0,1,0,,,67,1,,0,111,0,0,1,0,4,0,0,0
Gipuzkoa,ELGOIBAR,,32,4,9035,5759,57,5702,113,5589,3276,1967,649,424,252,0,2,1,,,1916,12,,2,291,13,1,0,36,1,12,9,1
Bizkaia,ELORRIO,,32,3,5914,3288,38,3250,67,3183,2626,1289,411,119,132,2,1,0,4,4,976,21,0,0,192,5,,7,7,1,10,1,1
Álava,ELVILLAR/BILAR,,23,2,291,235,1,234,5,229,56,74,89,4,4,0,0,0,0,0,49,1,0,0,4,0,,1,,0,3,0,0
Bizkaia,ERANDIO,,902,4,19483,12896,139,12757,209,12548,6587,4370,1712,235,497,2,9,9,22,31,5282,83,2,5,119,55,,23,6,3,63,15,5
Bizkaia,EREÑO,,33,4,224,142,5,137,1,136,82,97,1,14,4,0,0,0,0,0,7,0,0,0,10,2,,1,0,0,0,0,0
Bizkaia,ERMUA,,34,3,13441,9691,58,9633,106,9527,3750,1051,2544,149,570,2,5,0,7,2,4941,17,1,3,153,8,,6,3,0,57,4,4
Gipuzkoa,ERRENTERIA,,67,2,31641,17849,120,17729,342,17387,13792,2468,2410,779,1121,5,14,6,,,9478,141,,12,665,77,2,29,20,7,113,24,16
Gipuzkoa,ERREZIL,,66,4,495,128,3,125,,125,367,107,0,5,0,0,0,0,,,6,0,,0,7,0,0,0,0,0,0,0,0
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,593,421,9,412,4,408,172,130,123,11,15,0,0,0,0,0,110,3,0,0,5,2,,4,,0,4,0,1
Bizkaia,ERRIGOITI,,79,4,458,291,,291,4,287,167,215,12,31,7,0,0,0,1,0,11,0,0,0,6,3,,0,0,0,1,0,0
Gipuzkoa,ESKORIATZA,,34,4,3297,1855,17,1838,30,1808,1442,482,148,205,100,0,2,0,,,739,13,,0,97,4,2,2,3,1,7,1,2
Bizkaia,ETXEBARRI,,29,3,6919,4898,32,4866,64,4802,2021,935,893,140,216,0,3,0,8,10,2420,30,1,1,47,17,,17,6,1,48,5,4
Bizkaia,ETXEBARRIA,,30,4,642,280,2,278,5,273,362,222,5,11,4,0,0,0,0,0,19,0,0,0,10,0,,0,2,0,0,0,0
Gipuzkoa,EZKIO-ITSASO,,35,3,456,172,,172,6,166,284,71,6,51,9,0,0,0,,,10,0,,0,19,0,0,0,0,0,0,0,0
Bizkaia,FORUA,,906,4,796,426,4,422,10,412,370,267,25,44,18,0,0,0,0,0,43,0,0,0,11,0,,0,0,0,3,0,1
Bizkaia,FRUIZ,,35,4,348,227,1,226,4,222,121,165,9,8,9,0,0,0,1,0,18,5,0,0,6,0,,0,0,0,1,0,0
Gipuzkoa,GABIRIA,,38,3,340,192,3,189,2,187,148,54,3,91,3,0,0,0,,,5,3,,0,27,0,0,0,0,0,0,1,0
Gipuzkoa,GAINTZA,,37,3,110,44,,44,3,41,66,25,0,5,3,0,0,0,,,3,0,,0,5,0,0,0,0,0,0,0,0
Bizkaia,GALDAKAO,,36,3,24141,15691,188,15503,243,15260,8450,5320,2187,550,857,2,9,3,28,27,5589,82,3,7,319,64,,33,12,2,141,16,9
Bizkaia,GALDAMES,,37,2,723,480,8,472,8,464,243,265,25,52,19,0,0,0,1,1,85,1,0,1,12,2,,0,0,0,0,0,0
Bizkaia,GAMIZ-FIKA,,38,4,1050,638,9,629,11,618,412,394,36,80,15,0,0,0,0,1,58,0,0,1,29,2,,1,0,0,1,0,0
Bizkaia,GARAI,,39,3,259,165,5,160,6,154,94,101,10,14,1,0,1,0,0,0,16,0,0,0,8,0,,0,0,0,3,0,0
Bizkaia,GATIKA,,40,4,1241,735,9,726,12,714,506,425,41,90,23,0,0,0,1,0,97,6,0,0,24,2,,0,1,0,0,3,1
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,720,460,3,457,12,445,260,295,23,48,9,0,0,0,2,1,45,2,0,0,12,2,,0,0,0,4,2,0
Gipuzkoa,GAZTELU,,907,3,145,50,,50,,50,95,30,3,2,4,0,0,0,,,5,0,,0,5,1,0,0,0,0,0,0,0
Bizkaia,GERNIKA-LUMO,,46,4,12699,7628,94,7534,109,7425,5071,3388,602,1333,273,0,5,1,5,2,1508,28,1,1,215,16,,14,5,1,19,5,3
Gipuzkoa,GETARIA,,39,4,1989,1084,16,1068,16,1052,905,676,29,100,32,0,2,0,,,84,4,,0,116,2,0,1,1,1,1,1,2
Bizkaia,GETXO,,44,4,65117,47442,343,47099,1043,46056,17675,14323,14321,1127,1612,7,32,31,28,57,12130,311,3,13,725,186,,103,34,11,914,52,36
Bizkaia,GIZABURUAGA,,47,4,160,52,2,50,,50,108,36,1,4,3,0,0,0,0,0,1,0,0,0,5,0,,0,0,0,0,0,0
Bizkaia,GORDEXOLA,,42,2,1393,1168,27,1141,13,1128,225,627,167,58,55,0,0,0,0,2,186,3,0,0,7,5,,2,0,0,16,0,0
Bizkaia,GORLIZ,,43,4,4140,2760,36,2724,62,2662,1380,1276,294,162,150,2,1,0,4,2,609,17,0,0,97,12,,7,2,1,20,5,1
Bizkaia,GÜEÑES,,45,2,5079,3804,74,3730,59,3671,1275,1799,311,239,121,0,1,0,3,3,1045,16,0,1,74,19,,9,2,0,22,3,3
Álava,HARANA/VALLE DE ARANA,,56,2,285,188,4,184,2,182,97,93,43,1,3,0,0,0,0,2,35,3,0,0,1,1,,0,,0,0,0,0
Gipuzkoa,HERNANI,,40,1,15339,6413,66,6347,186,6161,8926,1164,826,499,417,3,3,2,,,2672,49,,1,411,26,0,21,9,1,47,6,4
Gipuzkoa,HERNIALDE,,41,3,272,99,4,95,7,88,173,48,7,7,4,0,0,1,,,11,0,,0,10,0,0,0,0,0,0,0,0
Gipuzkoa,HONDARRIBIA,,36,2,12739,8055,88,7967,217,7750,4684,2689,951,799,323,3,6,1,,,2329,61,,3,462,24,1,15,14,1,61,6,1
Gipuzkoa,IBARRA,,42,3,3509,1604,11,1593,34,1559,1905,443,142,208,62,0,0,0,,,574,6,,0,106,8,0,3,2,1,1,1,2
Bizkaia,IBARRANGELU,,48,4,520,311,6,305,3,302,209,217,4,32,8,1,0,0,0,0,21,1,0,0,18,0,,0,0,0,0,0,0
Gipuzkoa,IDIAZABAL,,43,3,1770,915,12,903,23,880,855,381,45,264,17,0,0,0,,,92,0,,0,77,1,0,0,1,0,0,2,0
Bizkaia,IGORRE,,94,3,3325,1792,30,1762,34,1728,1533,1025,90,135,47,2,0,0,3,0,312,3,0,3,89,4,,5,1,0,8,1,0
Gipuzkoa,IKAZTEGIETA,,44,3,359,128,1,127,3,124,231,68,7,8,3,3,0,0,,,22,2,,0,10,1,0,0,0,0,0,0,0
Gipuzkoa,IRUN,,45,2,47489,32031,237,31794,617,31177,15458,5029,6108,984,1333,26,26,13,,,16096,201,,16,774,100,5,77,31,9,272,45,32
Gipuzkoa,IRURA,,46,3,1020,456,2,454,28,426,564,169,33,43,14,0,0,0,,,110,2,,0,49,1,0,0,0,0,5,0,0
Álava,IRURAIZ-GAUNA,,27,2,407,265,4,261,7,254,142,102,67,5,10,0,1,0,0,0,53,0,0,1,12,1,,0,,0,1,1,0
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,2137,1544,24,1520,28,1492,593,218,444,26,52,0,1,0,5,0,668,16,1,0,19,8,,8,,0,19,3,4
Bizkaia,ISPASTER,,49,4,574,319,4,315,4,311,255,242,10,23,3,0,0,0,0,0,9,3,0,0,20,1,,0,0,0,0,0,0
Gipuzkoa,ITSASONDO,,47,3,505,162,2,160,4,156,343,67,6,16,10,0,0,0,,,34,2,,0,19,0,0,2,0,0,0,0,0
Bizkaia,IURRETA,,910,3,3182,1928,22,1906,34,1872,1254,647,352,28,66,1,0,0,4,3,700,7,0,2,40,13,,1,0,0,3,4,1
Bizkaia,IZURTZA,,50,3,224,102,2,100,3,97,122,62,4,6,6,0,0,0,0,0,14,0,0,0,4,0,,0,0,0,0,1,0
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2453,1521,15,1506,19,1487,932,876,131,34,64,0,0,1,1,0,341,6,0,0,23,0,,3,0,0,6,1,0
Bizkaia,KORTEZUBI,,907,4,346,216,,216,,216,130,160,9,25,3,0,0,0,0,0,9,0,0,0,4,5,,0,1,0,0,0,0
Álava,KRIPAN,,19,2,153,134,,134,1,133,19,91,26,1,0,1,0,0,0,0,11,0,0,0,3,0,,0,,0,0,0,0
Álava,KUARTANGO,,20,2,319,192,3,189,3,186,127,97,27,4,6,0,0,0,0,0,39,0,0,0,9,0,,1,,0,2,1,0
Álava,LABASTIDA/BASTIDA,,28,2,1137,834,17,817,17,800,303,117,278,17,83,0,2,0,1,1,257,6,0,0,23,2,,2,,0,8,1,2
Álava,LAGRÁN,,30,2,178,141,,141,3,138,37,33,59,4,1,0,1,1,0,0,32,0,0,0,4,1,,0,,0,0,1,1
Álava,LAGUARDIA,,31,2,1249,1016,14,1002,10,992,233,251,413,48,15,0,0,0,1,0,237,3,0,2,6,8,,1,,0,7,0,0
Álava,LANCIEGO/LANTZIEGO,,32,2,551,447,6,441,3,438,104,139,155,3,4,1,0,0,1,1,127,1,0,0,4,1,,0,,0,1,0,0
Bizkaia,LANESTOSA,,51,2,241,169,2,167,,167,72,78,25,1,5,1,0,0,1,0,50,1,0,0,1,1,,0,0,0,3,0,0
Álava,LANTARÓN,,902,2,820,577,7,570,6,564,243,139,194,10,27,0,1,0,1,0,167,6,0,0,9,2,,0,,0,6,2,0
Álava,LAPUEBLA DE LABARCA,,33,2,721,590,2,588,4,584,131,230,151,35,11,0,0,0,0,1,144,4,0,0,4,1,,0,,0,2,1,0
Bizkaia,LARRABETZU,,52,4,1477,758,17,741,10,731,719,500,38,16,36,0,0,0,2,0,76,3,0,0,55,0,,1,0,0,3,0,1
Gipuzkoa,LARRAUL,,48,3,169,45,1,44,1,43,124,11,0,6,5,0,0,0,,,9,0,,0,11,1,0,0,0,0,0,0,0
Gipuzkoa,LASARTE-ORIA,,902,1,14391,9286,70,9216,202,9014,5105,1264,1444,401,382,9,6,8,,,4947,71,,7,292,45,1,27,8,0,68,26,8
Álava,LAUDIO/LLODIO,,36,3,15487,9856,151,9705,171,9534,5631,3073,1815,292,326,1,3,2,9,11,3641,47,3,2,172,31,,24,,2,61,13,6
Bizkaia,LAUKIZ,,53,4,799,605,4,601,6,595,194,341,113,43,6,0,0,0,0,2,73,1,0,0,6,2,,1,1,0,6,0,0
Gipuzkoa,LAZKAO,,49,3,4095,2044,28,2016,61,1955,2051,599,185,222,75,0,1,0,,,737,12,,0,101,6,0,2,7,0,4,3,1
Gipuzkoa,LEABURU,,50,3,314,83,6,77,2,75,231,51,5,6,1,0,0,0,,,4,0,,0,7,1,0,0,0,0,0,0,0
Gipuzkoa,LEGAZPI,,51,3,7218,4540,48,4492,72,4420,2678,1184,444,540,258,3,1,2,,,1610,24,,13,301,8,1,4,11,0,10,6,0
Gipuzkoa,LEGORRETA,,52,3,1172,543,8,535,14,521,629,225,45,28,27,0,0,0,,,160,1,,0,32,1,0,1,1,0,0,0,0
Álava,LEGUTIO,,58,2,1263,698,15,683,13,670,565,198,86,99,46,0,0,0,2,6,201,5,0,1,23,1,,1,,0,1,0,0
Gipuzkoa,LEINTZ-GATZAGA,,68,4,205,83,1,82,4,78,122,55,2,7,6,0,0,0,,,2,0,,0,6,0,0,0,0,0,0,0,0
Bizkaia,LEIOA,,54,4,23357,16633,140,16493,352,16141,6724,5102,2937,301,799,1,18,8,27,31,6100,135,3,7,230,86,,67,9,0,250,15,15
Bizkaia,LEKEITIO,,57,4,6136,2959,36,2923,60,2863,3177,1739,118,529,79,0,3,0,1,3,259,3,0,1,115,2,,0,3,0,4,4,0
Bizkaia,LEMOA,,55,3,2496,1589,34,1555,14,1541,907,782,140,144,67,0,0,1,2,0,346,6,2,1,34,3,,7,2,0,4,0,0
Bizkaia,LEMOIZ,,56,4,840,522,9,513,16,497,318,363,19,30,24,0,0,0,0,0,45,4,0,0,9,2,,0,0,0,1,0,0
Álava,LEZA,,34,2,176,121,2,119,1,118,55,46,17,9,3,0,0,0,0,0,41,0,0,0,0,1,,1,,0,0,0,0
Bizkaia,LEZAMA,,81,4,1915,1245,26,1219,25,1194,670,726,94,44,64,0,1,1,0,0,217,4,0,0,32,5,,1,3,0,2,0,0
Gipuzkoa,LEZO,,53,2,4870,1719,14,1705,37,1668,3151,418,193,89,82,1,1,0,,,765,6,,0,82,9,0,4,2,0,14,1,1
Gipuzkoa,LIZARTZA,,54,3,505,88,2,86,1,85,417,43,20,6,3,0,0,0,,,3,0,,0,9,0,0,0,0,0,0,1,0
Bizkaia,LOIU,,903,4,1663,1269,25,1244,19,1225,394,749,200,36,35,0,1,0,1,0,157,3,1,0,20,1,,0,3,0,16,2,0
Bizkaia,MALLABIA,,58,3,986,453,8,445,5,440,533,218,40,17,13,0,0,0,0,0,128,4,0,0,13,1,,1,2,0,3,0,0
Bizkaia,MARKINA-XEMEIN,,60,4,3620,1718,17,1701,42,1659,1902,1122,96,104,82,0,1,0,2,2,147,6,0,0,91,1,,1,0,0,3,1,0
Bizkaia,MARURI-JATABE,,61,4,695,500,6,494,8,486,195,294,40,40,30,0,0,0,0,1,56,3,0,0,17,2,,2,0,0,1,0,0
Bizkaia,MAÑARIA,,59,3,378,212,8,204,4,200,166,143,5,14,6,0,1,0,0,0,13,2,0,0,16,0,,0,0,0,0,0,0
Gipuzkoa,MENDARO,,901,4,1446,869,5,864,15,849,577,369,44,66,25,0,0,0,,,265,6,,0,63,2,0,3,2,0,4,0,0
