TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PSE-PSOE,PP,EB-B,PH,EK-PCPE,CIU,BNG,E.U.,BERDEAK-LV,PLN-LNA,PAS,FEI,URCL,PREPAL,FEA,EH,PADE,UC-CDS,P.P.I.,COFEM-FEMEK,PNV-EA...(E99),UDR,SIEX,C.E.,URAS,AA,U.P.L.,A,TC-PNC,AUN,PREX-CREX,LV-GV,ACV,DM,DN,PAE-I
Álava,ARRATZUA-UBARRUNDIA,,8,2,642,435,7,428,7,421,207,60,131,7,0,0,0,0,3,1,0,0,0,0,0,0,62,0,0,0,0,156,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,ARRIETA,,10,4,426,334,,334,11,323,92,4,16,0,0,0,0,0,0,2,0,0,0,0,0,0,73,0,0,0,1,226,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bizkaia,ARRIGORRIAGA,,11,3,8552,5569,95,5474,110,5364,2983,1133,742,216,5,5,5,20,3,27,0,1,1,0,2,1,1093,2,4,3,16,2026,2,7,1,2,2,0,1,1,4,5,20,2,6,2,4
Bizkaia,ARTEA,,23,3,543,549,5,544,81,463,-6,5,42,1,0,0,0,0,0,3,0,0,0,0,0,0,144,0,0,0,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,ARTZENTALES,,8,2,598,504,6,498,4,494,94,11,10,0,0,0,0,0,0,0,0,0,8,0,0,0,116,0,0,0,1,346,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Álava,ARTZINIEGA,,4,3,1095,900,12,888,18,870,195,80,232,20,1,0,0,1,0,2,0,0,1,0,0,0,146,0,0,0,1,378,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0
Álava,ASPARRENA,,9,2,1351,972,24,948,27,921,379,68,117,20,0,1,1,0,0,9,1,0,0,0,0,0,233,0,0,1,1,462,0,0,0,0,0,1,0,0,0,1,2,0,0,2,1
Gipuzkoa,ASTEASU,,14,3,984,731,2,729,10,719,253,11,19,2,0,0,0,1,0,3,1,0,0,0,0,0,330,0,0,0,0,351,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Gipuzkoa,ASTIGARRAGA,,903,1,2718,1863,13,1850,30,1820,855,99,99,21,0,0,0,0,3,6,0,0,1,1,0,0,857,0,1,0,2,725,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0
Gipuzkoa,ATAUN,,15,3,1393,1142,4,1138,9,1129,251,10,3,10,0,0,0,0,1,2,1,0,0,0,0,0,600,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bizkaia,ATXONDO,,91,3,1171,876,4,872,10,862,295,75,62,3,0,0,0,0,2,2,0,0,0,0,0,0,266,0,0,0,0,444,0,0,0,1,2,0,1,0,0,1,3,0,0,0,0
Bizkaia,AULESTI,,70,4,555,392,5,387,4,383,163,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Álava,AYALA/AIARA,,10,3,1741,1349,19,1330,14,1316,392,42,336,19,0,0,0,0,0,0,2,0,0,0,0,0,188,0,0,0,1,726,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Gipuzkoa,AZKOITIA,,17,4,8588,6205,66,6139,70,6069,2383,460,614,65,1,8,4,5,12,13,1,2,8,0,0,0,1696,3,3,2,7,3128,1,1,1,2,1,0,1,1,8,2,12,2,1,0,4
Gipuzkoa,AZPEITIA,,18,4,11165,8529,64,8465,72,8393,2636,288,511,72,1,1,4,2,4,14,1,1,0,1,1,1,2843,2,0,0,9,4606,0,0,1,0,0,0,1,3,0,2,20,2,0,1,1
Álava,AÑANA,,49,2,172,156,,156,1,155,16,14,32,2,0,0,0,0,0,1,0,0,0,0,0,0,19,1,0,0,0,85,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,BAKIO,,12,4,1388,1119,13,1106,16,1090,269,26,55,14,3,0,0,2,0,7,1,0,0,0,0,0,238,0,0,0,1,740,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Gipuzkoa,BALIARRAIN,,904,3,75,60,,60,,60,15,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,44,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,BALMASEDA,,90,2,6174,4802,95,4707,104,4603,1372,1049,635,97,1,0,3,6,0,31,0,3,17,0,0,0,506,3,5,2,3,2196,0,8,0,3,1,0,4,6,7,0,9,0,0,3,5
Bizkaia,BARAKALDO,,13,2,84634,50021,358,49663,768,48895,34613,16454,11052,3401,26,45,20,69,11,234,29,12,13,7,10,7,6083,10,22,11,129,11016,6,6,9,6,10,16,2,11,15,7,119,7,5,10,5
Bizkaia,BARRIKA,,14,4,941,641,15,626,7,619,300,33,67,15,1,0,0,0,0,5,0,0,0,0,0,0,160,0,1,0,3,328,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0
Álava,BARRUNDIA,,13,2,533,313,6,307,8,299,220,17,67,10,0,1,2,0,0,4,1,0,0,0,0,0,62,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,BASAURI,,15,3,41103,25060,172,24888,432,24456,16043,7362,4776,1086,62,21,6,12,4,59,7,2,2,3,4,1,3267,3,4,4,33,7654,5,1,1,5,2,3,1,3,7,4,36,2,4,8,2
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,288,255,5,250,6,244,33,21,122,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,BEASAIN,,19,3,10093,6893,47,6846,100,6746,3200,1263,778,223,0,1,0,9,0,51,0,0,0,0,0,0,1606,0,0,1,4,2791,0,0,0,1,0,2,0,0,1,0,15,0,0,0,0
Bizkaia,BEDIA,,92,3,835,663,6,657,3,654,172,30,35,6,0,0,0,0,3,1,0,0,0,0,0,0,118,0,0,0,1,458,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Gipuzkoa,BEIZAMA,,20,4,147,128,,128,,128,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,BELAUNTZA,,21,3,281,240,2,238,3,235,41,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bizkaia,BERANGO,,16,4,3984,2690,24,2666,46,2620,1294,339,411,107,0,0,2,1,0,13,1,0,0,0,0,0,637,0,0,0,7,1100,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Álava,BERANTEVILLA,,14,2,386,314,2,312,8,304,72,18,109,15,0,0,1,1,0,4,0,0,0,0,0,0,22,0,0,2,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,BERASTEGI,,22,3,793,597,2,595,4,591,196,8,7,3,0,0,0,0,0,1,0,0,0,0,0,0,243,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,BERGARA,,74,4,12782,8854,54,8800,82,8718,3928,795,657,280,0,5,2,0,1,11,3,1,0,0,1,0,3323,0,2,0,3,3619,1,3,0,0,0,0,1,1,1,0,7,0,1,0,0
Bizkaia,BERMEO,,17,4,14563,10154,130,10024,81,9943,4409,533,436,86,4,1,0,1,6,21,0,0,2,0,2,0,2358,3,2,4,17,6428,1,3,4,0,4,2,0,2,3,1,7,1,3,4,4
Álava,BERNEDO,,16,2,511,329,1,328,5,323,182,15,132,2,0,2,0,0,0,1,0,0,0,0,0,0,33,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bizkaia,BERRIATUA,,18,4,814,494,1,493,4,489,320,8,17,2,0,1,0,0,0,0,0,1,0,0,0,0,191,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,BERRIZ,,19,3,3475,2521,24,2497,44,2453,954,397,301,70,1,1,0,1,1,12,2,0,0,0,2,0,614,0,0,1,5,1040,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0
Gipuzkoa,BERROBI,,23,3,454,253,,253,1,252,201,3,11,1,0,0,0,0,0,1,0,0,0,0,0,2,135,0,2,0,0,96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Gipuzkoa,BIDANIA-GOIATZ,,24,4,349,295,1,294,1,293,54,2,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,113,0,0,0,0,0,1,0,0,0,0
Bizkaia,BILBAO,,20,1,305680,188643,2452,186191,4027,182164,117037,36473,49364,8658,130,149,68,174,67,984,79,34,39,32,46,31,24077,31,84,52,1034,59313,41,24,51,53,42,70,25,61,65,35,576,51,49,39,63
Bizkaia,BUSTURIA,,21,4,1477,1154,4,1150,8,1142,323,85,50,9,1,0,0,0,3,1,0,0,0,0,0,0,319,0,0,0,2,664,0,0,0,0,0,0,1,0,0,0,4,0,2,0,1
Álava,CAMPEZO/KANPEZU,,17,2,922,725,17,708,14,694,197,75,203,12,0,0,1,0,0,4,1,0,0,0,0,0,95,0,0,0,2,300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Gipuzkoa,DEBA,,29,4,4249,3132,21,3111,45,3066,1117,216,190,65,2,1,0,3,1,13,0,0,0,0,0,0,883,0,0,0,3,1676,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0
Bizkaia,DERIO,,901,4,4017,2810,24,2786,37,2749,1207,735,340,75,1,0,0,0,1,4,2,0,0,0,0,0,348,0,1,1,5,1219,4,3,0,0,0,1,1,3,0,0,5,0,0,0,0
Bizkaia,DIMA,,26,3,919,823,4,819,6,813,96,2,20,3,0,0,0,1,0,0,0,0,0,0,0,0,456,0,0,0,1,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,153824,99039,471,98568,2078,96490,54785,20801,24146,3318,56,65,38,87,18,706,32,8,18,9,7,6,19841,19,13,14,175,26459,11,6,26,10,90,8,5,10,37,14,384,7,13,11,22
Bizkaia,DURANGO,,27,3,20352,13802,94,13708,198,13510,6550,1869,2430,601,4,6,1,7,5,32,3,3,1,0,2,1,2912,4,1,3,53,5533,1,3,1,0,0,4,1,4,1,2,10,0,4,3,5
Bizkaia,EA,,28,4,730,597,5,592,4,588,133,7,16,2,0,0,0,1,2,1,0,0,0,0,0,0,205,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Gipuzkoa,EIBAR,,30,4,25401,17024,116,16908,310,16598,8377,4869,2650,469,6,8,5,10,11,28,7,3,0,1,4,3,3211,4,89,4,22,5120,5,7,4,1,3,3,2,7,6,1,30,0,2,1,2
Bizkaia,ELANTXOBE,,31,4,408,338,,338,2,336,70,4,4,0,0,0,0,0,0,1,1,0,1,0,0,0,102,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Álava,ELBURGO/BURGELU,,21,2,224,144,2,142,2,140,80,13,31,2,0,0,0,0,0,2,0,0,0,0,0,0,16,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Álava,ELCIEGO,,22,2,785,665,8,657,12,645,120,214,234,17,0,1,0,1,0,1,0,0,0,0,0,0,22,0,1,0,2,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,ELDUAIN,,31,3,199,134,1,133,2,131,65,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gipuzkoa,ELGETA,,33,4,821,629,1,628,6,622,192,21,29,11,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
Gipuzkoa,ELGOIBAR,,32,4,9247,6501,58,6443,97,6346,2746,720,871,133,2,0,0,5,0,15,1,0,2,3,0,2,1557,0,0,1,3,3018,1,1,0,0,1,0,1,3,0,0,5,0,0,0,1
Bizkaia,ELORRIO,,32,3,6102,4559,26,4533,67,4466,1543,681,551,113,0,0,0,1,2,10,0,0,10,0,0,0,1269,0,0,0,23,1799,0,0,0,1,0,0,0,0,0,0,3,2,0,0,1
Álava,ELVILLAR/BILAR,,23,2,316,259,1,258,7,251,57,14,96,6,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,1,1,111,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
Bizkaia,ERANDIO,,902,4,19552,11501,96,11405,210,11195,8051,2704,1680,545,5,3,1,5,3,18,0,0,0,1,2,1,1793,4,9,4,15,4375,3,0,2,3,0,2,0,0,0,1,15,0,0,1,0
Bizkaia,EREÑO,,33,4,231,189,1,188,1,187,42,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,2,119,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bizkaia,ERMUA,,34,3,14434,9462,45,9417,143,9274,4972,3821,2763,524,0,1,0,14,1,18,0,0,1,0,1,0,878,1,0,0,4,1227,0,0,0,1,0,3,0,0,1,0,13,0,0,0,2
Gipuzkoa,ERRENTERIA,,67,2,34041,20581,151,20430,329,20101,13460,6236,2874,1007,12,12,8,14,13,57,14,1,3,5,6,0,5799,2,7,2,18,3926,9,1,2,3,1,7,3,5,4,2,34,2,7,0,5
Gipuzkoa,ERREZIL,,66,4,520,457,,457,1,456,63,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,483,373,2,371,4,367,110,28,149,9,0,1,0,0,0,3,0,0,0,0,0,1,40,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,ERRIGOITI,,79,4,432,400,7,393,5,388,32,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,1,267,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Gipuzkoa,ESKORIATZA,,34,4,3342,2272,2,2270,15,2255,1070,305,205,114,2,0,0,0,0,8,0,0,0,0,0,0,790,0,0,0,1,819,0,0,0,0,0,0,0,0,0,0,9,0,0,1,1
Bizkaia,ETXEBARRI,,29,3,5523,3430,29,3401,103,3298,2093,965,700,182,8,10,0,9,12,24,0,1,2,1,1,1,304,0,5,2,11,1007,2,1,2,1,3,1,1,3,4,0,23,0,1,4,7
Bizkaia,ETXEBARRIA,,30,4,660,560,1,559,4,555,100,2,4,1,0,0,0,0,0,1,0,0,0,1,0,0,250,0,2,0,1,292,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Gipuzkoa,EZKIO-ITSASO,,35,3,461,416,,416,6,410,45,4,8,1,0,0,1,0,0,0,0,0,0,0,0,0,208,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,FORUA,,906,4,836,706,7,699,3,696,130,15,30,6,0,0,0,0,0,0,0,1,0,0,0,0,236,0,0,0,0,403,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0
Bizkaia,FRUIZ,,35,4,288,216,,216,,216,72,5,13,3,0,0,0,0,0,0,0,0,2,0,0,0,53,0,0,0,3,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,GABIRIA,,38,3,368,304,1,303,1,302,64,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,GAINTZA,,37,3,112,73,1,72,,72,39,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,GALDAKAO,,36,3,24131,15258,107,15151,215,14936,8873,2775,2197,862,16,1,5,3,2,27,3,1,0,5,4,0,3127,2,3,3,14,5844,2,1,0,1,1,2,3,6,3,2,16,0,4,0,1
Bizkaia,GALDAMES,,37,2,708,580,10,570,4,566,128,44,29,13,0,0,0,0,0,0,0,0,0,0,0,0,111,1,0,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,GAMIZ-FIKA,,38,4,912,703,4,699,3,696,209,7,41,2,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,1,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,GARAI,,39,3,212,186,,186,4,182,26,0,5,2,0,0,0,0,0,0,0,0,0,0,1,0,51,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,GATIKA,,40,4,1024,823,3,820,14,806,201,35,50,7,0,0,0,0,0,3,0,0,0,0,0,0,252,0,0,0,0,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,655,540,4,536,3,533,115,8,31,8,0,0,0,0,0,3,0,0,0,0,0,0,114,0,0,0,1,367,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gipuzkoa,GAZTELU,,907,3,138,123,2,121,3,118,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,GERNIKA-LUMO,,46,4,13030,9698,92,9606,119,9487,3332,761,868,146,5,2,0,7,5,17,3,2,2,2,0,0,2488,2,1,0,22,5106,25,0,1,4,0,4,3,1,0,2,5,0,1,0,2
Gipuzkoa,GETARIA,,39,4,2001,1650,13,1637,28,1609,351,30,37,13,1,0,0,1,0,0,0,0,0,0,0,0,567,0,0,0,0,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,GETXO,,44,4,68833,47055,194,46861,881,45980,21778,5785,15009,1591,46,4,6,28,9,121,23,9,5,4,4,3,6014,10,8,5,145,17017,0,1,6,6,1,4,1,3,23,4,61,1,15,3,5
Bizkaia,GIZABURUAGA,,47,4,118,91,,91,1,90,27,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,GORDEXOLA,,42,2,1270,1083,23,1060,8,1052,187,60,174,31,0,10,9,4,4,3,0,0,0,2,0,7,114,0,0,0,0,633,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,GORLIZ,,43,4,3202,2363,28,2335,57,2278,839,136,255,66,3,0,0,3,0,16,0,0,0,0,0,0,438,0,1,0,12,1339,0,0,1,0,0,0,0,0,1,0,2,0,3,0,2
Bizkaia,GÜEÑES,,45,2,4973,3956,41,3915,36,3879,1017,633,291,52,0,0,1,1,0,4,1,0,0,0,0,1,612,0,0,1,1,2268,0,0,0,1,1,1,0,0,0,2,4,2,2,0,0
Álava,HARANA/VALLE DE ARANA,,56,2,328,232,1,231,2,229,96,8,99,2,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gipuzkoa,HERNANI,,40,1,15739,10404,28,10376,140,10236,5335,1526,964,369,1,11,2,5,5,29,4,1,0,1,0,0,4832,3,1,0,8,2429,3,1,0,0,3,1,3,0,1,0,24,3,0,2,4
Gipuzkoa,HERNIALDE,,41,3,237,174,2,172,7,165,63,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Gipuzkoa,HONDARRIBIA,,36,2,12203,8021,49,7972,194,7778,4182,764,1045,187,7,5,4,4,0,35,5,0,0,3,0,1,1705,0,1,1,3,3958,1,0,3,0,2,1,1,0,4,0,28,2,4,1,3
