TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PSE-PSOE,PP,EB-B,PH,EK-PCPE,CIU,BNG,E.U.,BERDEAK-LV,PLN-LNA,PAS,FEI,URCL,PREPAL,FEA,EH,PADE,UC-CDS,P.P.I.,COFEM-FEMEK,PNV-EA...(E99),UDR,SIEX,C.E.,URAS,AA,U.P.L.,A,TC-PNC,AUN,PREX-CREX,LV-GV,ACV,DM,DN,PAE-I
Bizkaia,ABADIÑO,,1,3,5683,3903,63,3840,94,3746,1780,646,540,167,0,4,2,6,1,10,8,0,8,0,2,1,963,0,3,2,7,1358,3,0,2,0,1,3,1,2,0,1,2,0,0,1,2
Gipuzkoa,ABALTZISKETA,,1,3,223,125,1,124,1,123,98,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7561,4771,63,4708,96,4612,2790,1572,392,377,1,4,0,3,0,11,4,1,0,1,0,0,783,0,0,1,12,1434,0,0,0,0,0,2,0,0,1,4,6,0,2,0,1
Gipuzkoa,ADUNA,,2,3,270,217,1,216,1,215,53,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,125,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Álava,AGURAIN/SALVATIERRA,,51,2,3268,2197,10,2187,29,2158,1071,357,341,61,1,1,0,0,0,2,2,0,0,2,0,0,470,0,0,0,3,912,2,0,1,0,0,0,0,0,0,0,2,0,0,1,0
Gipuzkoa,AIA,,16,4,1375,988,5,983,9,974,387,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,310,0,0,0,0,655,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Gipuzkoa,AIZARNAZABAL,,3,4,439,287,5,282,2,280,152,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,AJANGIZ,,911,4,355,322,1,321,1,320,33,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,1,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,ALBIZTUR,,4,3,237,114,,114,1,113,123,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,68,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
Gipuzkoa,ALEGIA,,5,3,1368,984,14,970,11,959,384,37,47,11,0,1,0,0,1,2,0,0,0,0,0,0,419,0,0,0,0,439,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Álava,ALEGRÍA-DULANTZI,,1,2,1061,783,13,770,20,750,278,136,140,13,0,0,0,1,0,3,0,0,0,0,0,0,96,0,2,0,1,352,0,0,1,1,2,0,0,0,0,0,2,0,0,0,0
Gipuzkoa,ALKIZA,,6,3,225,131,,131,1,130,94,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,56,1,0,0,0,65,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Bizkaia,ALONSOTEGI,,912,2,2481,1984,21,1963,30,1933,497,237,193,33,0,0,0,0,0,8,0,0,0,0,0,0,344,0,0,0,4,1111,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Gipuzkoa,ALTZAGA,,906,3,83,62,,62,,62,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,ALTZO,,7,3,278,229,,229,3,226,49,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,AMEZKETA,,8,3,838,586,15,571,10,561,252,7,34,11,0,0,0,0,0,3,0,0,0,0,0,0,327,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,AMOREBIETA-ETXANO,,3,3,13708,9904,107,9797,192,9605,3804,1350,955,587,1,14,3,4,7,8,12,3,0,1,3,0,2341,2,1,3,21,4257,1,0,0,0,1,4,0,4,3,10,2,0,2,3,2
Bizkaia,AMOROTO,,4,4,302,233,,233,4,229,69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Álava,AMURRIO,,2,3,8108,6073,62,6011,86,5925,2035,819,1133,144,3,3,1,6,3,28,3,0,2,2,1,1,1065,2,4,0,5,2670,0,0,4,1,0,0,1,0,0,1,17,2,2,1,1
Gipuzkoa,ANDOAIN,,9,3,12162,7734,27,7707,106,7601,4428,1892,1052,219,0,4,4,2,2,40,8,4,1,0,3,0,2233,1,3,1,4,2087,1,3,0,0,1,3,0,2,2,1,25,0,1,2,0
Gipuzkoa,ANOETA,,10,3,1366,972,5,967,5,962,394,89,76,12,0,1,0,0,1,3,0,0,0,0,1,0,416,0,1,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,ANTZUOLA,,11,4,1613,1352,4,1348,26,1322,261,190,31,8,0,0,0,0,0,1,0,0,0,0,0,0,566,0,0,0,0,523,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Bizkaia,ARAKALDO,,5,3,82,69,2,67,,67,13,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,ARAMA,,12,3,148,111,,111,,111,37,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Álava,ARAMAIO,,3,2,1158,906,7,899,8,891,252,20,15,9,0,0,0,0,0,0,0,0,0,0,0,0,293,0,0,0,0,551,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
Bizkaia,ARANTZAZU,,6,3,240,224,,224,6,218,16,6,9,4,0,0,0,0,0,1,0,0,0,0,0,0,97,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bizkaia,AREATZA,,93,3,888,717,13,704,14,690,171,12,97,7,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,1,377,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Gipuzkoa,ARETXABALETA,,13,4,5099,3695,59,3636,40,3596,1404,479,291,99,0,0,3,1,1,1,0,0,0,0,1,1,1349,0,0,1,0,1356,0,1,2,0,1,1,0,0,1,0,2,0,2,0,3
Álava,ARMIÑÓN,,6,2,138,103,,103,1,102,35,4,63,3,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Álava,ARRAIA-MAEZTU,,37,2,647,472,4,468,11,457,175,41,139,11,0,0,0,1,0,3,0,0,0,1,0,0,55,0,1,0,1,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,ARRANKUDIAGA,,9,3,657,583,5,578,4,574,74,5,24,1,1,0,0,0,0,1,0,0,0,0,0,0,218,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,20278,13575,105,13470,173,13297,6703,2366,1510,747,3,17,1,8,9,36,4,2,0,1,2,2,4448,1,3,7,15,4057,1,2,0,2,1,0,2,2,1,0,37,3,3,1,3
Bizkaia,ARRATZU,,914,4,329,295,,295,2,293,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
