TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,HB,EE,EA,EB-B,CDS,PH,PTE-UC,FAP,CSI,PDP,PSDV,A.I.T.E.,PDP-PL
Bizkaia,ABADIÑO,,1,3,4918,3470,27,3443,44,3399,1448,984,648,784,224,572,23,78,,5,81,,,,,
Gipuzkoa,ABALTZISKETA,,1,3,240,103,1,102,,102,137,16,0,26,6,52,1,,,0,1,,,,,
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7292,5278,41,5237,36,5201,2014,765,1224,1112,1238,365,188,36,,228,44,,1,,,
Gipuzkoa,ADUNA,,2,3,266,237,2,235,1,234,29,21,1,108,11,91,0,,,0,2,,,,,
Álava,AGURAIN/SALVATIERRA,,51,2,2666,1825,26,1799,17,1782,841,529,332,459,83,241,,47,,,65,,,,26,
Gipuzkoa,AIA,,16,4,1417,980,3,977,1,976,437,434,2,264,10,264,0,,,0,2,,,,,
Gipuzkoa,AIZARNAZABAL,,3,4,403,287,,287,3,284,116,14,2,129,8,126,2,,,0,3,,,,,
Gipuzkoa,ALBIZTUR,,4,3,249,108,1,107,1,106,141,25,0,20,11,50,0,,,0,0,,,,,
Gipuzkoa,ALEGIA,,5,3,1321,956,5,951,11,940,365,82,44,319,47,432,0,,,0,16,,,,,
Álava,ALEGRÍA-DULANTZI,,1,2,727,538,7,531,2,529,189,215,132,49,54,31,,18,,,28,,,,2,
Gipuzkoa,ALKIZA,,6,3,207,130,,130,3,127,77,7,0,36,56,27,1,,,0,0,,,,,
Gipuzkoa,ALTZO,,7,3,281,172,2,170,1,169,109,18,0,95,7,45,0,,,1,3,,,,,
Gipuzkoa,AMEZKETA,,8,3,885,358,5,353,2,351,527,46,0,132,27,134,1,,,0,11,,,,,
Bizkaia,AMOREBIETA-ETXANO,,3,3,11663,9122,55,9067,53,9014,2541,2819,1352,2060,559,1402,487,184,,61,90,,,,,
Bizkaia,AMOROTO,,4,4,341,253,4,249,4,245,88,122,0,76,5,41,1,0,,0,0,,0,,,
Álava,AMURRIO,,2,3,6939,5065,56,5009,46,4963,1874,1146,760,1122,317,1053,,76,,,489,,,,,
Gipuzkoa,ANDOAIN,,9,3,11490,8155,80,8075,57,8018,3335,1122,1754,1723,1285,1707,81,,,74,272,,,,,
Gipuzkoa,ANOETA,,10,3,1325,903,8,895,21,874,422,82,94,322,115,232,2,,,1,26,,,,,
Gipuzkoa,ANTZUOLA,,11,4,1607,1393,3,1390,14,1376,214,304,208,425,125,294,4,,,0,16,,,,,
Bizkaia,ARAKALDO,,5,3,81,66,,66,1,65,15,26,0,36,1,2,0,0,,0,0,,,,,
Gipuzkoa,ARAMA,,12,3,129,94,3,91,,91,35,18,3,32,3,35,0,,,0,0,,,,,
Álava,ARAMAIO,,3,2,1090,823,4,819,9,810,267,217,11,198,17,361,,1,,,4,,,,1,
Bizkaia,ARANTZAZU,,6,3,250,236,2,234,2,232,14,116,1,91,7,13,0,0,,0,4,,,,,
Bizkaia,AREATZA,,93,3,947,810,17,793,6,787,137,318,15,108,118,158,0,2,,0,68,,,,,
Gipuzkoa,ARETXABALETA,,13,4,4435,3513,32,3481,26,3455,922,614,466,904,230,1152,18,,,18,53,,,,,
Álava,ARMIÑÓN,,6,2,131,85,1,84,,84,46,41,2,5,8,3,,6,,,13,,,,6,
Álava,ARRAIA-MAEZTU,,37,2,699,450,12,438,1,437,249,241,54,31,14,80,,7,,,9,,,,1,
Bizkaia,ARRANKUDIAGA,,9,3,613,523,7,516,1,515,90,213,8,213,16,55,1,4,,0,5,,,,,
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,19828,13848,129,13719,144,13575,5980,2228,3073,3480,1278,2878,70,,,68,500,,,,,
Álava,ARRATZUA-UBARRUNDIA,,8,2,474,320,24,296,1,295,154,117,78,18,19,24,,0,,,23,,,,16,
Bizkaia,ARRIETA,,10,4,386,285,,285,1,284,101,168,0,54,2,51,0,0,,0,9,,0,,,
Bizkaia,ARRIGORRIAGA,,11,3,6952,4913,49,4864,40,4824,2039,1503,994,1099,432,562,45,60,,70,59,,,,,
Bizkaia,ARTEA,,23,3,525,457,7,450,1,449,68,162,0,109,6,144,0,1,,1,26,,,,,
Bizkaia,ARTZENTALES,,8,2,598,438,3,435,,435,160,255,3,53,3,110,0,0,,0,11,,0,,,
Álava,ARTZINIEGA,,4,3,854,701,4,697,6,691,153,331,54,114,19,33,,12,,,128,,,,,
Álava,ASPARRENA,,9,2,1270,969,15,951,21,930,301,327,93,234,159,69,,16,,,30,,,,5,
Gipuzkoa,ASTEASU,,14,3,947,655,2,653,7,646,292,50,14,281,23,273,2,,,1,2,,,,,
Gipuzkoa,ASTIGARRAGA,,903,1,2351,1817,19,1798,1,1797,534,276,110,681,99,578,1,18,,15,19,,,,,0
Gipuzkoa,ATAUN,,15,3,1491,1144,2,1142,9,1133,347,174,2,461,132,362,1,,,1,0,,,,,
Bizkaia,ATXONDO,,91,3,1100,881,4,877,1,876,219,504,35,213,27,84,0,7,,0,6,,,,,
Bizkaia,AULESTI,,70,4,588,401,3,398,4,394,187,145,0,198,5,44,1,0,,0,1,,0,,,
Álava,AYALA/AIARA,,10,3,1701,1315,19,1296,10,1286,386,490,41,153,46,290,,17,,,249,,,,,
Gipuzkoa,AZKOITIA,,17,4,8327,5776,46,5730,62,5668,2551,2341,578,1107,388,989,8,,,12,245,,,,,
Gipuzkoa,AZPEITIA,,18,4,10010,7149,51,7098,49,7049,2861,2361,320,1046,463,2631,3,,,5,220,,,,,
Álava,AÑANA,,49,2,171,140,2,138,2,136,31,67,26,18,3,7,,0,,,7,,,,8,
Bizkaia,BAKIO,,12,4,928,812,12,800,7,793,116,454,8,126,45,146,0,2,,1,11,,0,,,
Bizkaia,BALMASEDA,,90,2,6153,4853,49,4804,49,4755,1300,1473,1238,714,210,877,13,59,,5,163,,3,,,
Bizkaia,BARAKALDO,,13,2,87170,55567,544,55023,556,54467,31603,10739,15536,9122,5474,5530,837,3344,,826,2888,,171,,,
Bizkaia,BARRIKA,,14,4,603,440,3,437,10,427,163,239,6,97,46,23,1,0,,0,13,,2,,,
Álava,BARRUNDIA,,13,2,506,315,1,314,3,311,191,183,2,59,12,23,,11,,,11,,,,10,
Bizkaia,BASAURI,,15,3,38123,24681,234,24447,241,24206,13442,5683,6490,4339,2408,2280,447,1201,,317,1041,,,,,
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,280,220,1,219,1,218,60,126,17,1,13,2,,0,,,59,,,,0,
Gipuzkoa,BEASAIN,,19,3,9301,6563,62,6501,60,6441,2738,1096,1047,1470,857,1609,26,,,105,231,,,,,
Bizkaia,BEDIA,,92,3,894,787,2,785,3,782,107,485,69,105,17,91,3,5,,0,7,,,,,
Gipuzkoa,BEIZAMA,,20,4,148,104,,104,,104,44,51,0,42,1,8,0,,,0,2,,,,,
Gipuzkoa,BELAUNTZA,,21,3,220,141,2,139,,139,79,12,6,85,8,24,0,,,0,4,,,,,
Bizkaia,BERANGO,,16,4,2843,2202,16,2186,14,2172,641,847,208,467,215,380,3,21,,7,22,,2,,,
Álava,BERANTEVILLA,,14,2,329,237,2,235,5,230,92,138,10,10,4,2,,9,,,52,,,,5,
Gipuzkoa,BERASTEGI,,22,3,740,464,5,459,2,457,276,119,2,140,15,180,1,,,0,0,,,,,
Gipuzkoa,BERGARA,,74,4,12376,8886,66,8820,53,8767,3490,2057,796,3081,825,1742,29,,,35,202,,,,,
Bizkaia,BERMEO,,17,4,14489,10024,127,9897,35,9862,4465,2685,554,2402,647,3436,17,46,,5,65,,5,,,
Álava,BERNEDO,,16,2,498,251,14,237,,237,247,118,5,13,3,5,,41,,,52,,,,0,
Bizkaia,BERRIATUA,,18,4,831,495,4,491,8,483,336,212,8,131,22,105,1,0,,1,3,,0,,,
Bizkaia,BERRIZ,,19,3,3145,2515,16,2499,27,2472,630,912,402,461,291,348,3,29,,2,24,,,,,
Gipuzkoa,BERROBI,,23,3,437,239,2,237,1,236,198,30,15,69,12,107,2,,,1,0,,,,,
Gipuzkoa,BIDANIA-GOIATZ,,24,4,427,342,,342,2,340,85,68,0,95,2,175,0,,,0,0,,,,,
Bizkaia,BILBAO,,20,1,299087,190361,1880,188481,1723,186758,108726,52004,37477,28152,18482,20113,1406,9642,395,1001,17474,,363,249,,
Bizkaia,BUSTURIA,,21,4,1352,1080,10,1070,12,1058,272,471,26,314,18,220,2,4,,1,1,,1,,,
Álava,CAMPEZO/KANPEZU,,17,2,1001,757,7,750,2,748,244,287,74,58,21,108,,0,,,194,,,,6,
Gipuzkoa,DEBA,,29,4,3741,2818,20,2798,21,2777,923,529,196,676,526,792,1,,,1,56,,,,,
Bizkaia,DERIO,,901,4,4073,2733,29,2704,26,2678,1340,785,542,376,458,409,5,69,,5,28,,1,,,
Bizkaia,DIMA,,26,3,901,737,5,732,2,730,164,241,1,273,4,189,0,1,,1,20,,,,,
