TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,HB,EE,PST,PCE(M-L),CSI,PCE-EPK,AP-PDP-UL,AUZOLAN
Bizkaia,ABADIÑO,,1,3,4526,3204,13,3177,14,3177,1322,1554,694,503,157,8,2,,16,202,41
Gipuzkoa,ABALTZISKETA,,1,3,238,110,,110,,110,128,71,0,22,10,,0,,0,3,4
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7166,4852,15,4819,18,4819,2314,1505,1139,748,778,15,5,,483,126,20
Gipuzkoa,ADUNA,,2,3,252,212,2,210,,210,40,120,4,77,1,,0,,3,3,2
Álava,AGURAIN/SALVATIERRA,,51,2,2626,1689,20,1656,13,1656,937,673,364,328,110,,,34,19,89,39
Gipuzkoa,AIA,,16,4,1535,886,4,879,3,879,649,682,6,156,24,,0,,0,7,4
Gipuzkoa,AIZARNAZABAL,,3,4,388,215,2,213,,213,173,140,5,52,11,,0,,0,5,0
Gipuzkoa,ALBIZTUR,,4,3,205,149,,148,1,148,56,110,1,23,6,,0,,1,5,2
Gipuzkoa,ALEGIA,,5,3,1281,954,1,947,6,947,327,536,69,267,48,,1,,1,17,8
Álava,ALEGRÍA-DULANTZI,,1,2,713,521,5,515,1,515,192,275,113,17,46,,,7,3,47,7
Gipuzkoa,ALKIZA,,6,3,202,145,1,144,,144,57,68,0,32,44,,0,,0,0,0
Gipuzkoa,ALTZO,,7,3,273,167,,167,,167,106,78,1,78,4,,0,,0,3,3
Gipuzkoa,AMEZKETA,,8,3,881,382,2,378,2,378,499,207,4,113,26,,0,,0,12,16
Bizkaia,AMOREBIETA-ETXANO,,3,3,11218,8530,26,8477,27,8477,2688,4396,1664,1365,390,9,17,,305,214,117
Bizkaia,AMOROTO,,4,4,330,256,6,250,,250,74,176,1,64,8,0,0,,0,1,0
Álava,AMURRIO,,2,3,6607,4619,33,4552,34,4552,1988,2261,661,647,284,,,76,29,564,30
Gipuzkoa,ANDOAIN,,9,3,11282,7880,25,7833,22,7833,3402,2936,2274,1319,742,,10,,88,329,135
Gipuzkoa,ANOETA,,10,3,1153,811,7,801,3,801,342,345,183,192,45,,0,,7,19,10
Gipuzkoa,ANTZUOLA,,11,4,1657,1368,3,1363,2,1363,289,623,264,332,66,,0,,3,36,39
Bizkaia,ARAKALDO,,5,3,103,66,,66,,66,37,25,5,25,4,0,0,,0,7,0
Gipuzkoa,ARAMA,,12,3,136,104,,104,,104,32,57,1,38,6,,0,,0,1,1
Álava,ARAMAIO,,3,2,1124,820,2,815,3,815,304,573,25,172,19,,,0,3,18,5
Bizkaia,ARANTZAZU,,6,3,228,193,,192,1,192,35,112,9,46,12,1,0,,0,12,0
Bizkaia,AREATZA,,93,3,942,776,11,759,6,759,166,445,66,63,74,1,1,,2,102,5
Gipuzkoa,ARETXABALETA,,13,4,4260,3336,11,3314,11,3314,924,1733,593,678,171,,3,,30,81,25
Álava,ARMIÑÓN,,6,2,134,86,1,84,1,84,48,47,11,2,3,,,0,0,21,0
Álava,ARRAIA-MAEZTU,,37,2,674,406,6,398,2,398,268,201,53,18,29,,,17,3,74,3
Bizkaia,ARRANKUDIAGA,,9,3,674,505,7,493,5,493,169,239,6,199,19,0,0,,3,22,5
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,19255,13642,70,13532,40,13532,5613,5508,3431,2569,929,,10,,133,709,243
Álava,ARRATZUA-UBARRUNDIA,,8,2,514,326,15,309,2,309,188,150,84,24,16,,,3,0,30,2
Bizkaia,ARRIETA,,10,4,404,272,,271,1,271,132,213,1,41,3,0,0,,0,12,1
Bizkaia,ARRIGORRIAGA,,11,3,6650,4477,43,4402,32,4402,2173,1891,1064,884,322,17,5,,93,110,16
Bizkaia,ARTEA,,23,3,535,441,2,438,1,438,94,288,8,87,12,0,0,,0,43,0
Bizkaia,ARTZENTALES,,8,2,582,387,3,384,,384,195,300,18,0,9,37,0,,2,18,0
Álava,ARTZINIEGA,,4,3,854,665,2,651,12,651,189,307,68,74,12,,,0,0,189,1
Álava,ASPARRENA,,9,2,1377,875,7,863,5,863,502,446,68,179,72,,,14,12,57,15
Gipuzkoa,ASTEASU,,14,3,940,565,2,563,,563,375,318,36,165,34,,1,,1,6,2
Gipuzkoa,ATAUN,,15,3,1538,1150,9,1138,3,1138,388,525,14,467,95,,0,,0,8,29
Bizkaia,ATXONDO,,91,3,1039,798,2,792,4,792,241,530,75,138,24,1,0,,3,21,0
Bizkaia,AULESTI,,70,4,596,381,1,379,1,379,215,243,1,125,4,0,0,,0,6,0
Álava,AYALA/AIARA,,10,3,1767,1317,7,1305,5,1305,450,725,50,117,45,,,2,5,353,8
Gipuzkoa,AZKOITIA,,17,4,8287,5626,33,5576,17,5576,2661,3020,833,820,325,,1,,26,457,94
Gipuzkoa,AZPEITIA,,18,4,9402,6627,22,6577,28,6577,2775,4102,488,936,531,,5,,29,374,112
Álava,AÑANA,,49,2,174,130,1,128,1,128,44,89,9,8,2,,,0,2,18,0
Bizkaia,BAKIO,,12,4,882,755,3,749,3,749,127,605,10,76,21,0,0,,0,13,24
Bizkaia,BALMASEDA,,90,2,6015,4593,22,4546,25,4546,1422,2117,1299,542,200,10,4,,12,311,51
Bizkaia,BARAKALDO,,13,2,89277,59644,357,58973,314,58973,29633,20815,19081,7457,4621,288,111,,1679,4674,247
Bizkaia,BARRIKA,,14,4,595,376,1,373,2,373,219,244,15,58,39,1,0,,0,16,0
Álava,BARRUNDIA,,13,2,515,299,7,288,4,288,216,194,23,18,16,,,3,0,27,7
Bizkaia,BASAURI,,15,3,37404,24858,124,24641,93,24641,12546,9225,7990,3075,1926,127,41,,606,1492,159
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,280,213,1,211,1,211,67,118,15,6,21,,,0,1,50,0
Gipuzkoa,BEASAIN,,19,3,8930,6191,35,6133,23,6133,2739,2641,1236,1077,664,,14,,113,323,65
Bizkaia,BEDIA,,92,3,902,719,,713,6,713,183,492,79,98,14,0,0,,6,20,4
Gipuzkoa,BEIZAMA,,20,4,141,84,,84,,84,57,43,0,34,2,,0,,0,5,0
Gipuzkoa,BELAUNTZA,,21,3,235,123,,123,,123,112,55,7,50,6,,0,,0,5,0
Bizkaia,BERANGO,,16,4,2815,2007,10,1989,8,1989,808,1103,247,391,161,14,0,,18,43,12
Álava,BERANTEVILLA,,14,2,335,231,1,228,2,228,104,137,14,3,12,,,1,0,57,4
Gipuzkoa,BERASTEGI,,22,3,729,440,9,430,1,430,289,292,5,116,8,,0,,0,4,5
Gipuzkoa,BERGARA,,74,4,12095,8976,55,8896,25,8896,3119,4153,1064,2351,858,,2,,33,313,122
Bizkaia,BERMEO,,17,4,13857,9300,61,9217,22,9217,4557,5931,695,1821,471,33,16,,17,145,88
Álava,BERNEDO,,16,2,505,273,4,266,3,266,232,142,31,14,14,,,0,0,62,3
Bizkaia,BERRIATUA,,18,4,773,509,,507,2,507,264,369,13,85,27,0,0,,0,7,6
Bizkaia,BERRIZ,,19,3,3067,2203,9,2180,14,2180,864,1178,471,292,95,13,3,,13,84,31
Gipuzkoa,BERROBI,,23,3,414,256,6,250,,250,158,157,21,40,22,,0,,2,7,1
Gipuzkoa,BIDANIA-GOIATZ,,24,4,443,308,,307,1,307,135,212,1,85,4,,1,,0,3,1
Bizkaia,BILBAO,,20,1,300429,200333,1078,198329,926,198329,100096,82996,45528,21029,16655,731,287,,2040,27697,1366
Bizkaia,BUSTURIA,,21,4,1447,1050,14,1031,5,1031,397,693,60,230,24,2,3,,1,10,8
Álava,CAMPEZO/KANPEZU,,17,2,1039,700,1,696,3,696,339,270,104,21,52,,,11,1,235,2
Gipuzkoa,DEBA,,29,4,3665,2698,9,2681,8,2681,967,1360,226,543,397,,0,,4,99,52
Bizkaia,DERIO,,901,4,3539,2540,12,2510,18,2510,999,1215,639,289,226,11,3,,9,100,18
Bizkaia,DIMA,,26,3,932,792,,787,5,787,140,532,6,190,13,0,0,,0,39,7
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,133084,89458,486,88551,421,88551,43626,33125,19735,14934,8878,,38,,474,10139,1228
Bizkaia,DURANGO,,27,3,19322,14239,81,14099,59,14099,5083,6908,2457,2024,896,44,9,,140,1499,122
Bizkaia,EA,,28,4,688,538,,535,3,535,150,418,8,80,15,0,0,,0,11,3
Gipuzkoa,EIBAR,,30,4,28215,18710,103,18553,54,18553,9505,6897,5435,2729,1470,,21,,228,1469,304
Bizkaia,ELANTXOBE,,31,4,464,408,,408,,408,56,284,3,105,13,0,0,,0,3,0
Álava,ELBURGO/BURGELU,,21,2,170,110,4,105,1,105,60,79,4,6,5,,,2,0,6,3
Álava,ELCIEGO,,22,2,749,576,4,566,6,566,173,202,249,8,18,,,2,1,83,3
Gipuzkoa,ELDUAIN,,31,3,208,143,1,142,,142,65,105,0,34,2,,0,,0,1,0
Gipuzkoa,ELGETA,,33,4,877,619,17,601,1,601,258,356,33,138,55,,1,,0,17,1
Gipuzkoa,ELGOIBAR,,32,4,9520,6723,72,6633,18,6633,2797,3152,1322,1005,609,,2,,29,396,118
Bizkaia,ELORRIO,,32,3,5837,4535,45,4472,18,4472,1302,2343,775,629,402,33,5,,14,227,44
Álava,ELVILLAR/BILAR,,23,2,315,250,1,248,1,248,65,149,14,12,8,,,2,0,63,0
Bizkaia,ERANDIO,,902,4,17839,11771,82,11640,49,11640,6068,5464,2966,1600,795,75,21,,180,453,86
Bizkaia,EREÑO,,33,4,235,186,2,184,,184,49,122,1,50,2,0,0,,0,7,2
Bizkaia,ERMUA,,34,3,12900,8494,42,8386,66,8386,4406,1983,3808,686,445,32,20,,316,1025,71
Gipuzkoa,ERRENTERIA,,67,2,32509,22058,119,21849,90,21849,10451,5605,7696,4774,2262,,31,,243,966,272
Gipuzkoa,ERREZIL,,66,4,603,390,2,385,3,385,213,247,4,126,5,,0,,0,0,3
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,464,305,1,299,5,299,159,130,45,29,19,,,0,1,70,5
Bizkaia,ERRIGOITI,,79,4,454,353,1,352,,352,101,261,3,78,4,0,0,,0,6,0
Gipuzkoa,ESKORIATZA,,34,4,2943,2169,18,2147,4,2147,774,1128,405,381,140,,0,,4,70,19
Bizkaia,ETXEBARRI,,29,3,4379,2792,9,2779,4,2779,1587,1034,1077,287,117,28,6,,78,121,31
Bizkaia,ETXEBARRIA,,30,4,584,324,,324,,324,260,197,9,101,9,2,1,,0,2,3
Gipuzkoa,EZKIO-ITSASO,,35,3,487,366,,366,,366,121,201,7,135,21,,0,,0,1,1
Bizkaia,FRUIZ,,35,4,243,169,1,168,,168,74,135,0,20,9,0,0,,0,4,0
Gipuzkoa,GABIRIA,,38,3,387,303,2,292,9,292,84,205,3,39,39,,0,,0,3,3
