TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,U.AL.,EB-B,EKA,PH,PSE-EE/PSOE,PLAZANDREOK,EAJ-PNV / EA,ARALAR
Bizkaia,ABADIÑO,,1,3,5959,4352,705,3647,63,3584,1607,1778,578,,403,13,,607,,,205
Gipuzkoa,ABALTZISKETA,,1,3,254,151,27,124,6,118,103,,1,,10,0,,1,,89,17
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7953,5346,478,4868,100,4768,2607,,415,,664,,,1382,,2187,120
Gipuzkoa,ADUNA,,2,3,294,222,84,138,3,135,72,,2,,4,0,,2,,102,25
Álava,AGURAIN/SALVATIERRA,,51,2,3330,2393,330,2063,27,2036,937,1250,277,18,98,,,323,,,70
Gipuzkoa,AIA,,16,4,1356,1019,205,814,5,809,337,,10,,7,,,7,,756,29
Gipuzkoa,AIZARNAZABAL,,3,4,462,332,185,147,4,143,130,,2,,0,,,2,,128,11
Bizkaia,AJANGIZ,,911,4,368,324,124,200,2,198,44,,3,,3,,,1,,185,6
Gipuzkoa,ALBIZTUR,,4,3,258,168,17,151,3,148,90,,2,,3,0,,2,,134,7
Gipuzkoa,ALEGIA,,5,3,1371,999,336,663,13,650,372,,45,,29,0,,49,,444,83
Álava,ALEGRÍA-DULANTZI,,1,2,1400,1053,90,963,17,946,347,459,197,8,83,,,180,,,19
Gipuzkoa,ALKIZA,,6,3,234,171,19,152,,152,63,,3,,7,0,,0,,123,19
Bizkaia,ALONSOTEGI,,912,2,2374,1910,223,1687,26,1661,464,,148,,114,,,224,,1155,20
Gipuzkoa,ALTZAGA,,906,3,113,88,32,56,1,55,25,,0,,5,0,,0,,38,12
Gipuzkoa,ALTZO,,7,3,278,209,89,120,1,119,69,,2,,3,0,,0,,87,27
Gipuzkoa,AMEZKETA,,8,3,843,634,168,466,28,438,209,,17,,29,1,,3,,319,69
Bizkaia,AMOREBIETA-ETXANO,,3,3,13950,10313,1474,8839,113,8726,3637,5049,942,,941,20,,1330,,,444
Bizkaia,AMOROTO,,4,4,322,257,39,218,5,213,65,,0,,0,,,0,,200,13
Álava,AMURRIO,,2,3,8124,6170,520,5650,63,5587,1954,,991,65,259,,,704,,3377,191
Gipuzkoa,ANDOAIN,,9,3,11933,8107,1403,6704,73,6631,3826,,855,,497,24,,2367,,2571,317
Gipuzkoa,ANOETA,,10,3,1425,1043,293,750,8,742,382,,71,,39,3,,78,,489,62
Gipuzkoa,ANTZUOLA,,11,4,1651,1289,356,933,19,914,362,,49,,44,,,133,,574,114
Bizkaia,ARAKALDO,,5,3,94,67,18,49,1,48,27,38,1,,1,0,,4,,,4
Gipuzkoa,ARAMA,,12,3,141,101,32,69,,69,40,,3,,1,2,,2,,54,7
Álava,ARAMAIO,,3,2,1263,993,211,782,6,776,270,646,18,0,27,,,11,,,74
Bizkaia,ARANTZAZU,,6,3,255,231,61,170,1,169,24,131,6,,7,0,,7,,,18
Bizkaia,AREATZA,,93,3,843,712,133,579,14,565,131,393,95,,15,1,,26,,,35
Gipuzkoa,ARETXABALETA,,13,4,5294,3758,722,3036,30,3006,1536,,247,,243,,,424,,1593,499
Álava,ARMIÑÓN,,6,2,161,121,,121,5,116,40,19,45,9,4,,,36,,,3
Álava,ARRAIA-MAEZTU,,37,2,666,481,51,430,4,426,185,233,113,7,24,,,32,,,17
Bizkaia,ARRANKUDIAGA,,9,3,688,568,141,427,7,420,120,372,19,,7,0,,6,,,16
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,19813,13712,2720,10992,107,10885,6101,,1317,,1363,,,2364,,4933,908
Bizkaia,ARRATZU,,914,4,316,272,99,173,3,170,44,,1,,1,,,2,,155,11
Álava,ARRATZUA-UBARRUNDIA,,8,2,648,493,45,448,5,443,155,236,107,7,15,,,69,,,9
Bizkaia,ARRIETA,,10,4,466,340,41,299,2,297,126,,18,,9,,,1,,257,12
Bizkaia,ARRIGORRIAGA,,11,3,9476,6653,666,5987,116,5871,2823,3115,761,,602,8,,1203,,,182
Bizkaia,ARTEA,,23,3,570,493,112,381,6,375,77,300,39,,2,0,,1,,,33
Bizkaia,ARTZENTALES,,8,2,599,521,32,489,4,485,78,,15,,23,,,7,,429,11
Álava,ARTZINIEGA,,4,3,1164,954,77,877,7,870,210,,198,3,35,,,61,,486,87
Álava,ASPARRENA,,9,2,1378,992,162,830,10,820,386,528,106,7,35,,,68,,,76
Gipuzkoa,ASTEASU,,14,3,1073,771,263,508,2,506,302,,17,,24,0,,14,,416,35
Gipuzkoa,ASTIGARRAGA,,903,1,3150,2083,619,1464,32,1432,1067,,129,,98,,,164,4,930,107
Gipuzkoa,ATAUN,,15,3,1393,1106,467,639,6,633,287,,6,,12,0,,10,,565,40
Bizkaia,ATXONDO,,91,3,1200,877,203,674,13,661,323,472,60,,30,0,,78,,,21
Bizkaia,AULESTI,,70,4,569,452,188,264,1,263,117,,7,,4,,,2,,236,14
Álava,AYALA/AIARA,,10,3,1964,1603,124,1479,16,1463,361,,291,6,51,,,78,,996,41
Gipuzkoa,AZKOITIA,,17,4,8664,6443,1002,5441,50,5391,2221,,538,,249,,,544,,3772,288
Gipuzkoa,AZPEITIA,,18,4,11375,8498,1864,6634,65,6569,2877,,409,,180,,,358,,5324,298
Álava,AÑANA,,49,2,176,158,18,140,2,138,18,67,55,3,5,,,8,,,0
Bizkaia,BAKIO,,12,4,1604,1348,158,1190,7,1183,256,,69,,69,,,16,,984,45
Gipuzkoa,BALIARRAIN,,904,3,83,63,38,25,,25,20,,0,,0,0,,0,,22,3
Bizkaia,BALMASEDA,,90,2,6198,5078,397,4681,75,4606,1120,,425,,217,,,968,,2927,69
Bizkaia,BARAKALDO,,13,2,84015,54169,2908,51261,718,50543,29846,,11339,,5882,,,16987,,15670,665
Bizkaia,BARRIKA,,14,4,1051,775,108,667,7,660,276,,79,,44,,,53,,455,29
Álava,BARRUNDIA,,13,2,640,454,48,406,12,394,186,235,65,6,33,,,32,,,23
Bizkaia,BASAURI,,15,3,39562,26833,1636,25197,343,24854,12729,10541,4593,,2132,34,,7234,,,320
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,282,256,4,252,1,251,26,105,123,0,1,,,22,,,0
Gipuzkoa,BEASAIN,,19,3,10260,7086,982,6104,72,6032,3174,,800,,410,10,,1177,,3328,307
Bizkaia,BEDIA,,92,3,835,677,92,585,3,582,158,448,62,,21,0,,41,,,10
Gipuzkoa,BEIZAMA,,20,4,151,121,39,82,1,81,30,,0,,0,,,0,,76,5
Gipuzkoa,BELAUNTZA,,21,3,259,229,125,104,4,100,30,,4,,3,1,,6,,68,18
Bizkaia,BERANGO,,16,4,4686,3450,384,3066,27,3039,1236,,507,,251,,,480,,1722,79
Álava,BERANTEVILLA,,14,2,426,346,13,333,6,327,80,171,94,6,14,,,34,,,8
Gipuzkoa,BERASTEGI,,22,3,803,616,154,462,8,454,187,,5,,9,1,,9,,373,57
