TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,HB,EE,CDS,PST,PCE(M-L),EMK-MCE,LKI-LCR,PCE-EPK,UCE,FN,CUC,AP-PDP-PDL-UCD,SE,LC
Bizkaia,ABADIÑO,,1,3,4391,2991,48,2926,17,2926,1400,980,1028,412,127,50,14,3,,,29,0,0,1,282,,
Gipuzkoa,ABALTZISKETA,,1,3,238,112,,112,,112,126,50,9,28,20,1,0,0,0,0,0,0,1,0,3,,0
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7004,5664,68,5587,9,5587,1340,1132,2032,816,671,29,25,5,,,623,3,5,18,228,,
Gipuzkoa,ADUNA,,2,3,246,218,2,216,,216,28,120,6,77,8,1,0,0,0,0,2,0,0,0,2,,0
Álava,AGURAIN/SALVATIERRA,,51,2,2575,2055,52,1997,6,1997,520,556,662,312,114,82,37,1,,,28,8,9,7,180,1,
Gipuzkoa,AIA,,16,4,1481,977,33,944,,944,504,652,37,198,35,0,1,0,0,0,1,0,1,1,18,,0
Gipuzkoa,AIZARNAZABAL,,3,4,381,241,10,230,1,230,140,110,17,71,10,5,3,0,0,0,0,0,0,0,14,,0
Gipuzkoa,ALBIZTUR,,4,3,251,149,,148,1,148,102,106,2,16,14,2,0,0,0,0,0,0,0,0,8,,0
Gipuzkoa,ALEGIA,,5,3,1250,942,4,932,6,932,308,406,117,303,58,1,6,0,0,0,4,0,1,0,36,,0
Álava,ALEGRÍA-DULANTZI,,1,2,694,574,16,556,2,550,120,169,210,21,32,9,4,4,,,11,0,0,2,87,1,
Gipuzkoa,ALKIZA,,6,3,203,136,1,135,,135,67,37,0,42,52,2,0,0,0,0,1,0,0,0,1,,0
Gipuzkoa,ALTZO,,7,3,272,164,,164,,164,108,70,1,0,14,0,75,0,0,0,0,0,0,0,4,,0
Gipuzkoa,AMEZKETA,,8,3,876,406,5,400,1,400,470,167,16,150,34,7,2,0,0,0,1,0,0,0,23,,0
Bizkaia,AMOREBIETA-ETXANO,,3,3,10889,7862,68,7779,15,7779,3027,3038,2134,1525,391,50,5,3,,,301,0,3,4,325,,
Bizkaia,AMOROTO,,4,4,332,271,,271,,271,61,170,8,85,7,0,0,0,,,0,0,0,0,1,,
Álava,AMURRIO,,2,3,6402,5026,68,4931,27,4908,1376,1759,1287,653,387,86,31,0,,,46,2,8,7,640,2,
Gipuzkoa,ANDOAIN,,9,3,10944,8506,109,8357,40,8357,2438,2247,2889,1423,910,120,33,7,0,0,141,8,0,5,566,,8
Gipuzkoa,ANOETA,,10,3,1111,843,22,815,6,815,268,248,194,215,74,20,2,0,0,0,5,1,1,2,53,,0
Gipuzkoa,ANTZUOLA,,11,4,1630,1360,20,1338,2,1338,270,545,316,326,74,10,3,0,0,0,3,0,0,0,61,,0
Bizkaia,ARAKALDO,,5,3,106,83,1,82,,82,23,23,9,34,5,3,0,1,,,0,0,0,1,6,,
Gipuzkoa,ARAMA,,12,3,133,103,,101,2,101,30,46,5,44,6,0,0,0,0,0,0,0,0,0,0,,0
Álava,ARAMAIO,,3,2,1110,859,4,853,2,853,251,526,52,191,40,3,2,1,,,3,0,0,0,35,0,
Bizkaia,ARANTZAZU,,6,3,223,194,3,190,1,190,29,106,7,52,11,0,0,0,,,0,0,0,0,14,,
Bizkaia,AREATZA,,93,3,922,795,4,785,6,785,127,417,79,81,74,1,2,0,,,0,0,2,0,129,,
Gipuzkoa,ARETXABALETA,,13,4,4202,3414,101,3305,8,3305,788,1406,730,681,239,38,9,0,0,0,67,5,3,2,121,,4
Álava,ARMIÑÓN,,6,2,126,103,1,100,2,100,23,26,22,3,3,4,0,0,,,1,0,0,0,41,0,
Álava,ARRAIA-MAEZTU,,37,2,658,480,5,475,,475,178,205,77,24,15,32,2,1,,,2,3,2,1,110,1,
Bizkaia,ARRANKUDIAGA,,9,3,663,558,10,545,3,545,105,238,36,228,16,2,0,0,,,0,0,0,0,25,,
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,18874,14821,296,14476,49,14476,4053,5084,3978,2752,1132,297,29,10,0,1,175,10,4,31,970,,3
Álava,ARRATZUA-UBARRUNDIA,,8,2,491,379,5,365,9,365,112,115,118,28,23,9,1,4,,,1,2,0,1,61,2,
Bizkaia,ARRIETA,,10,4,408,281,6,275,,275,127,178,5,53,5,0,0,0,,,1,0,0,0,33,,
Bizkaia,ARRIGORRIAGA,,11,3,6519,5196,101,5079,16,5079,1323,1646,1696,944,335,25,26,5,,,126,3,7,0,266,,
Bizkaia,ARTEA,,23,3,518,447,,446,1,446,71,263,10,106,11,0,0,0,,,2,0,3,0,51,,
Bizkaia,ARTZENTALES,,8,2,590,431,1,429,1,429,159,263,62,46,8,4,1,0,,,1,0,1,2,41,,
Álava,ARTZINIEGA,,4,3,826,677,10,665,2,665,149,239,102,93,13,9,3,0,,,1,1,0,0,203,1,
Álava,ASPARRENA,,9,2,1353,1028,55,964,9,964,325,292,201,206,89,17,3,2,,,20,2,3,2,125,2,
Gipuzkoa,ASTEASU,,14,3,917,630,2,628,,628,287,295,83,188,33,10,0,2,0,0,5,2,2,0,8,,0
Gipuzkoa,ATAUN,,15,3,1541,1172,6,1161,5,1161,369,476,22,507,133,4,1,0,0,0,3,0,0,0,15,,0
Bizkaia,ATXONDO,,91,3,1001,821,13,798,10,798,180,429,120,159,35,5,5,0,,,5,0,2,0,38,,
Bizkaia,AULESTI,,70,4,586,389,25,364,,364,197,236,6,101,4,0,0,1,,,0,0,0,0,16,,
Álava,AYALA/AIARA,,10,3,1758,1424,17,1405,2,1405,334,626,175,144,62,26,2,0,,,4,0,1,1,363,1,
Gipuzkoa,AZKOITIA,,17,4,8181,6271,69,6182,20,6182,1910,2949,1085,964,483,63,7,15,0,0,32,2,6,4,571,,1
Gipuzkoa,AZPEITIA,,18,4,9409,7145,82,7028,35,7028,2264,3916,680,1129,731,52,11,4,0,0,23,2,9,1,468,,2
Álava,AÑANA,,49,2,164,146,2,144,,144,18,77,15,6,4,0,0,1,,,1,0,0,0,40,0,
Bizkaia,BAKIO,,12,4,879,744,7,657,80,657,135,563,14,32,35,0,0,0,,,1,0,0,0,12,,
Bizkaia,BALMASEDA,,90,2,5891,4977,69,4895,13,4895,914,1686,1783,698,156,33,15,3,,,26,3,10,0,482,,
Bizkaia,BARAKALDO,,13,2,86652,71368,1482,69555,331,69555,15284,17124,28497,8866,3934,1140,557,71,,,2465,106,110,92,6593,,
Bizkaia,BARRIKA,,14,4,569,457,8,447,2,447,112,205,37,75,48,2,2,0,,,1,0,0,0,77,,
Álava,BARRUNDIA,,13,2,499,346,10,334,2,334,153,169,36,26,35,7,5,0,,,0,0,0,0,56,0,
Bizkaia,BASAURI,,15,3,36423,28620,694,27803,123,27803,7803,8074,11109,2569,1861,428,240,21,,,810,20,42,26,2603,,
