TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,HB,EE,EKA,LKI-LCR,PCE-EPK,UCD,ORT,UFV,EMK-OIC,C.I.,PTE
Bizkaia,ABADIÑO,,1,23,4124,2540,26,2485,27,2485,1584,1236,345,463,197,,51,152,,26,,8,,7
Gipuzkoa,ABALTZISKETA,,1,23,254,13,,12,1,12,241,4,0,0,0,0,0,4,,0,,4,,
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,24,7524,4577,155,4257,165,4238,2947,810,931,575,891,,7,827,112,2,,78,,5
Gipuzkoa,ADUNA,,2,22,262,225,2,219,4,219,37,160,0,35,9,1,0,0,,13,0,1,0,
Gipuzkoa,AIA,,16,21,1518,764,5,758,1,758,754,629,2,59,42,1,0,0,22,0,,3,,
Gipuzkoa,AIZARNAZABAL,,3,21,396,270,3,265,2,265,126,102,0,58,69,2,0,2,31,1,,0,,
Gipuzkoa,ALBIZTUR,,4,23,284,197,1,190,6,190,87,124,0,32,19,7,1,4,,0,,3,,
Gipuzkoa,ALEGIA,,5,23,1265,918,6,902,10,904,347,455,9,339,60,1,2,1,,35,,2,,
Gipuzkoa,ALKIZA,,6,23,216,160,1,142,17,142,56,57,0,67,16,0,1,1,,0,,0,,
Gipuzkoa,ALTZO,,7,23,257,184,7,170,7,170,73,56,7,78,19,2,0,0,,7,,1,,
Gipuzkoa,AMEZKETA,,8,23,915,286,6,275,5,275,629,84,5,112,60,5,7,0,,1,,1,,
Bizkaia,AMOREBIETA-ETXANO,,3,23,10757,7254,51,7164,34,7164,3503,2995,950,1686,245,,308,679,,5,,295,,1
Bizkaia,AMOROTO,,4,22,327,234,1,233,,233,93,159,1,66,7,,0,0,0,,0,0,,0
Gipuzkoa,ANDOAIN,,9,23,10575,6768,105,6626,37,6626,3807,2615,1113,661,1365,85,24,276,,106,,381,,
Gipuzkoa,ANOETA,,10,23,1030,756,15,735,6,735,274,197,48,319,48,1,0,3,,118,,1,,
Gipuzkoa,ANTZUOLA,,11,24,1649,1305,8,1295,2,1295,344,552,161,262,79,,93,4,67,0,,77,,
Bizkaia,ARAKALDO,,5,23,127,92,2,90,,90,35,43,0,43,3,,0,1,,0,,0,,0
Gipuzkoa,ARAMA,,12,23,147,116,3,113,,112,31,44,0,61,5,0,1,1,,0,,0,,
Bizkaia,ARANTZAZU,,6,23,224,191,2,189,,189,33,90,0,90,9,,0,0,,0,,0,,0
Bizkaia,AREATZA,,93,23,1019,756,32,721,2,721,263,459,6,171,81,,0,2,,2,,0,,0
Gipuzkoa,ARETXABALETA,,13,24,4236,3143,18,3112,13,3112,1093,1596,380,738,65,,5,135,105,2,,86,,
Bizkaia,ARRANKUDIAGA,,9,23,658,536,4,528,4,528,122,268,4,216,35,,0,1,,1,,2,,1
Gipuzkoa,ARRASATE/MONDRAGON,,55,24,18794,11636,73,11505,58,11505,7158,4404,1634,2020,991,,403,449,926,16,,662,,
Bizkaia,ARRIETA,,10,22,523,265,2,263,,263,258,139,0,81,7,,0,0,36,,0,0,,0
Bizkaia,ARRIGORRIAGA,,11,23,7099,4498,97,4361,38,4361,2601,1764,491,1499,142,,13,400,,0,,37,,15
Bizkaia,ARTEA,,23,23,571,460,9,451,,451,111,299,1,149,1,,0,0,,0,,0,,1
Bizkaia,ARTZENTALES,,8,24,591,400,15,385,,385,191,284,4,35,3,,3,4,42,3,,7,,0
Gipuzkoa,ASTEASU,,14,23,943,634,11,620,3,620,309,329,39,209,35,0,0,2,,5,,1,,
Gipuzkoa,ATAUN,,15,23,1618,1034,2,1031,1,1031,584,334,3,513,175,2,0,1,,3,,0,,
Bizkaia,ATXONDO,,91,23,927,627,3,618,5,618,300,359,4,228,19,,2,5,,0,,1,,0
Bizkaia,AULESTI,,70,22,611,300,5,294,1,294,311,156,1,102,4,,2,0,29,,0,0,,0
Gipuzkoa,AZKOITIA,,17,21,7917,4957,40,4910,7,4910,2960,2315,449,644,379,339,9,132,500,13,,130,,
Gipuzkoa,AZPEITIA,,18,21,8916,5774,28,5740,6,5740,3142,3277,312,311,900,228,136,65,369,6,,136,,
Bizkaia,BAKIO,,12,22,882,758,4,754,,754,124,547,0,13,188,,0,0,6,,0,0,,0
Bizkaia,BALMASEDA,,90,24,6240,4441,29,4389,23,4385,1799,1680,1443,863,27,,14,42,303,0,,9,,4
Bizkaia,BARAKALDO,,13,24,91031,55031,586,54319,122,54316,36000,14441,11906,13037,2494,,150,3847,7321,224,,797,,99
Bizkaia,BARRIKA,,14,22,582,351,1,349,1,349,231,226,1,71,36,,1,8,6,,0,0,,0
Bizkaia,BASAURI,,15,23,36583,19812,377,19252,173,19252,16771,6752,5032,3642,1162,,122,1617,,62,,760,,103
Gipuzkoa,BEASAIN,,19,23,8194,5309,49,5240,20,5240,2885,2663,572,874,631,37,16,226,,50,,171,,
Bizkaia,BEDIA,,92,23,945,724,73,651,,652,221,395,25,186,6,,12,27,,0,,1,,0
Gipuzkoa,BEIZAMA,,20,21,151,137,34,103,,103,14,71,0,0,2,0,1,29,0,0,,0,,
Gipuzkoa,BELAUNTZA,,21,23,277,194,,194,,194,83,53,6,97,20,2,2,3,,1,,10,,
Bizkaia,BERANGO,,16,22,2672,1516,33,1468,15,1472,1156,976,51,194,30,,58,59,84,,2,12,,6
Gipuzkoa,BERASTEGI,,22,23,765,435,13,419,3,419,330,142,4,164,61,3,0,1,,43,,1,,
Gipuzkoa,BERGARA,,74,24,12635,8484,89,8385,10,8385,4151,3424,502,2477,812,,181,143,477,2,,367,,
Bizkaia,BERMEO,,17,22,13820,9737,125,9602,10,9625,4083,5898,268,2002,697,,11,172,175,,0,401,,1
Bizkaia,BERRIZ,,19,23,3096,2059,42,2016,,2016,1037,1070,106,244,247,,25,53,,252,,11,,8
Gipuzkoa,BERROBI,,23,23,440,237,5,232,,232,203,68,7,143,3,3,1,7,,0,,0,,
Gipuzkoa,BIDANIA-GOIATZ,,24,21,473,163,6,155,2,155,310,64,0,74,8,0,0,3,6,0,,0,,
Bizkaia,BILBAO,,20,21,327572,194707,2910,192357,496,192357,132865,74721,27305,33657,10865,,828,7510,34040,1115,,2316,,
Bizkaia,BUSTURIA,,21,22,1392,897,10,883,4,883,495,531,49,277,15,,0,5,3,,0,3,,0
Gipuzkoa,DEBA,,29,21,3693,2562,26,2525,11,2525,1131,1175,185,474,563,1,3,3,118,1,,2,,
Bizkaia,DIMA,,26,23,1050,783,14,768,,768,267,468,0,287,12,,1,0,,0,,0,,0
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,22,132006,72505,550,71756,199,71756,59501,21399,11302,14997,8471,280,140,1527,,523,2,1104,12011,
Bizkaia,DURANGO,,27,23,19170,11800,490,11267,36,11267,7370,6021,654,2670,676,,135,801,,107,,182,,21
Bizkaia,EA,,28,22,705,543,6,534,3,534,162,414,0,102,5,,0,0,9,,0,2,,2
Gipuzkoa,EIBAR,,30,24,28645,18497,146,18232,119,18232,10148,5508,4243,3384,1328,,366,1017,2145,126,,115,,
Bizkaia,ELANTXOBE,,31,22,480,397,,397,,397,83,196,0,184,5,,0,6,6,,0,0,,0
Gipuzkoa,ELDUAIN,,31,23,224,119,,119,,119,105,36,0,79,2,1,0,0,,1,,0,,
Gipuzkoa,ELGETA,,33,24,898,788,21,733,34,733,110,304,59,189,133,,3,0,39,3,,3,,
Gipuzkoa,ELGOIBAR,,32,24,10690,6942,54,6852,36,6852,3748,2579,707,1235,780,,118,346,1044,10,,33,,
Bizkaia,ELORRIO,,32,23,5479,3940,276,3643,18,3643,1539,1671,660,786,270,,18,129,,19,,81,,9
Bizkaia,EREÑO,,33,22,275,240,1,238,1,238,35,136,1,80,13,,0,0,7,,0,1,,0
Bizkaia,ERMUA,,34,23,12094,7181,136,6854,186,6854,4913,1846,2233,716,181,,98,1088,,258,,396,,38
Gipuzkoa,ERRENTERIA,,67,22,32002,18745,471,18208,66,18208,13257,4092,4583,4524,2100,31,91,1009,,241,33,601,903,
Gipuzkoa,ERREZIL,,66,21,687,249,1,248,,248,438,206,0,13,20,0,0,0,8,0,,1,,
Bizkaia,ERRIGOITI,,79,22,491,340,3,337,,337,151,182,0,142,0,,0,0,13,,0,0,,0
Gipuzkoa,ESKORIATZA,,34,24,2894,2159,27,2128,4,2128,735,993,198,520,174,,14,11,44,7,,167,,
Bizkaia,ETXEBARRI,,29,23,4252,2642,62,2559,19,2559,1610,923,562,480,6,,1,472,,98,,17,,0
Bizkaia,ETXEBARRIA,,30,22,549,267,15,252,,252,282,125,6,109,4,,5,0,3,,0,0,,0
Gipuzkoa,EZKIO-ITSASO,,35,21,496,410,1,409,,409,86,190,2,190,19,0,1,1,4,0,,2,,
Bizkaia,FRUIZ,,35,22,300,154,,152,2,152,146,135,0,14,1,,0,1,1,,0,0,,0
Gipuzkoa,GABIRIA,,38,21,395,308,,308,,308,87,180,0,15,104,0,0,0,8,1,,0,,
Gipuzkoa,GAINTZA,,37,23,142,113,,113,,113,29,56,0,49,4,3,1,0,,0,,0,,
Bizkaia,GALDAKAO,,36,23,17366,10858,170,10555,126,10555,6508,5448,1340,2601,364,,75,483,,30,,173,,41
Bizkaia,GALDAMES,,37,24,740,534,8,524,2,524,206,386,12,36,29,,4,39,14,1,,2,,1
Bizkaia,GAMIZ-FIKA,,38,22,776,467,,467,,467,309,334,0,119,8,,0,1,5,,0,0,,0
Bizkaia,GARAI,,39,23,189,138,5,125,4,125,51,71,1,42,11,,0,0,,0,,0,,0
Bizkaia,GATIKA,,40,22,810,581,,581,,581,229,419,0,107,12,,0,0,43,,0,0,,0
Bizkaia,GAUTEGIZ ARTEAGA,,41,22,635,480,,475,5,475,155,324,1,124,5,,4,2,15,,0,0,,0
Bizkaia,GERNIKA-LUMO,,46,22,12318,8428,113,8288,27,8306,3890,4380,439,2167,194,,78,135,650,,0,248,,15
Gipuzkoa,GETARIA,,39,21,1750,1574,7,1567,,1567,176,676,0,347,346,4,1,0,191,0,,2,,
Bizkaia,GETXO,,44,22,42376,28125,186,27883,56,27888,14251,11841,1712,6073,1196,,150,600,6178,,0,124,,14
Bizkaia,GIZABURUAGA,,47,22,133,71,,71,,71,62,33,1,23,8,,0,0,5,,0,1,,0
Bizkaia,GORDEXOLA,,42,24,1568,1083,7,1072,4,1072,485,757,25,87,5,,2,3,188,0,,4,,1
Bizkaia,GORLIZ,,43,22,1732,1104,14,1084,6,1084,628,613,27,177,147,,1,3,112,,0,3,,1
Bizkaia,GÜEÑES,,45,24,4883,3601,19,3568,14,3571,1282,2202,178,968,18,,3,17,85,94,,2,,4
Gipuzkoa,HERNANI,,40,22,20053,12061,209,11799,53,11799,7992,2771,2625,3631,1229,36,74,379,,73,32,470,479,
Gipuzkoa,HERNIALDE,,41,23,215,185,2,178,5,178,30,91,2,29,45,2,2,4,,1,,2,,
Gipuzkoa,HONDARRIBIA,,36,22,8005,5182,235,4937,10,4937,2823,2376,611,855,669,9,5,65,,17,17,35,278,
Gipuzkoa,IBARRA,,42,23,2826,1666,35,1630,1,1630,1160,492,223,390,261,10,1,53,,165,,35,,
Bizkaia,IBARRANGELU,,48,22,500,270,,268,2,268,230,237,0,23,2,,0,0,6,,0,0,,0
Gipuzkoa,IDIAZABAL,,43,23,1531,1193,6,1180,7,1180,338,648,5,181,334,1,4,4,,2,,1,,
Bizkaia,IGORRE,,94,23,2388,1669,13,1655,,1655,719,1002,37,598,10,,2,1,,3,,2,,0
Gipuzkoa,IKAZTEGIETA,,44,23,589,420,7,413,,413,169,177,2,196,19,1,0,0,,18,,0,,
Gipuzkoa,IRUN,,45,22,37526,22591,288,22159,144,22159,14935,6074,6482,2882,2303,193,111,840,,654,3,218,2399,
Gipuzkoa,IRURA,,46,23,555,373,11,361,1,361,182,131,19,199,8,2,0,0,,2,,0,,
Bizkaia,ISPASTER,,49,22,548,400,5,395,,395,148,268,0,77,26,,1,0,23,,0,0,,0
Gipuzkoa,ITSASONDO,,47,23,698,474,5,464,5,464,224,154,2,157,134,5,7,1,,1,,3,,
Bizkaia,IZURTZA,,50,23,255,224,2,222,,222,31,127,0,88,4,,0,0,,0,,3,,0
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,24,2933,1798,28,1736,34,1737,1135,894,46,501,43,,4,17,208,7,,6,,11
Bizkaia,LANESTOSA,,51,24,261,164,,164,,164,97,112,4,7,0,,1,2,37,1,,0,,0
Bizkaia,LARRABETZU,,52,22,1311,889,5,881,3,881,422,442,5,411,8,,3,1,10,,0,1,,0
Gipuzkoa,LARRAUL,,48,23,159,95,1,93,1,93,64,22,0,65,6,0,0,0,,0,,0,,
Bizkaia,LAUKIZ,,53,22,671,509,1,508,,508,162,353,8,105,11,,2,0,29,,0,0,,0
Gipuzkoa,LAZKAO,,49,23,3514,2548,16,2526,6,2526,966,1152,284,716,179,2,69,117,,3,,4,,
Gipuzkoa,LEABURU,,50,23,566,360,24,336,,336,206,47,1,180,42,7,1,1,,56,,1,,
Gipuzkoa,LEGAZPI,,51,24,7011,5162,64,5079,19,5079,1849,2180,338,1016,847,,16,161,331,15,,175,,
Gipuzkoa,LEGORRETA,,52,23,1311,1068,2,1065,1,1065,243,437,3,251,100,0,2,51,,215,,6,,
Gipuzkoa,LEINTZ-GATZAGA,,68,24,188,136,,136,,136,52,79,3,41,3,,3,3,2,1,,1,,
Bizkaia,LEIOA,,54,22,13198,7579,102,7451,26,7461,5619,3080,1250,1358,608,,91,443,510,,0,105,,16
Bizkaia,LEKEITIO,,57,22,5296,3718,23,3691,4,3692,1578,2307,17,983,226,,19,19,117,,0,4,,0
Bizkaia,LEMOA,,55,23,2258,1712,47,1556,108,1556,546,972,24,382,49,,1,83,,6,,37,,2
Bizkaia,LEMOIZ,,56,22,667,514,4,495,15,495,153,283,9,85,104,,1,0,12,,0,0,,1
Bizkaia,LEZAMA,,81,22,1330,924,126,788,10,788,406,657,13,72,14,,1,12,17,,0,0,,2
Gipuzkoa,LEZO,,53,22,4109,2096,23,2064,9,2064,2013,746,174,434,443,8,2,52,,115,2,83,5,
Gipuzkoa,LIZARTZA,,54,23,575,329,4,325,,325,246,68,0,238,8,8,0,0,,3,,0,,
Bizkaia,MALLABIA,,58,23,895,616,6,573,37,573,279,237,72,223,25,,2,7,,3,,4,,0
Bizkaia,MARKINA-XEMEIN,,60,22,3931,2751,244,2499,8,2508,1180,1553,13,569,40,,182,15,132,,0,2,,2
Bizkaia,MARURI-JATABE,,61,22,356,261,1,260,,259,95,188,0,16,55,,0,0,0,,0,0,,0
Bizkaia,MAÑARIA,,59,23,487,376,12,353,11,353,111,171,2,168,0,,1,2,,1,,1,,7
Bizkaia,MENDATA,,62,22,349,200,6,194,,194,149,166,2,15,0,,1,0,10,,0,0,,0
Bizkaia,MENDEXA,,63,22,261,184,,180,4,180,77,74,4,68,20,,4,0,7,,0,2,,1
Bizkaia,MEÑAKA,,64,22,371,256,,256,,256,115,187,1,14,45,,0,0,9,,0,0,,0
Bizkaia,MORGA,,66,22,335,127,1,125,1,125,208,107,0,15,0,,0,0,3,,0,0,,0
Bizkaia,MUNDAKA,,68,22,1240,1040,3,1035,2,1035,200,724,1,272,3,,0,5,30,,0,0,,0
Bizkaia,MUNGIA,,69,22,7312,4242,23,4216,3,4217,3070,2864,114,613,289,,1,94,224,,0,8,,10
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,22,498,363,,363,,364,135,189,0,172,1,,0,1,0,,0,1,,0
Bizkaia,MUSKIZ,,71,24,4622,2928,25,2896,7,2902,1694,1306,486,221,292,,2,449,125,3,,13,,5
Gipuzkoa,MUTILOA,,57,21,203,79,,79,,79,124,56,0,14,9,0,0,0,0,0,,0,,
Gipuzkoa,MUTRIKU,,56,24,4221,2887,8,2867,12,2867,1334,1594,93,770,63,,8,10,244,1,,84,,
Bizkaia,MUXIKA,,67,22,1390,979,5,973,1,973,411,627,1,320,16,,0,0,8,,0,1,,0
Gipuzkoa,OIARTZUN,,63,22,5294,3295,25,3245,25,3245,1999,1415,140,1371,194,4,35,31,,6,2,12,35,
Gipuzkoa,OLABERRIA,,58,23,980,764,22,730,12,730,216,299,134,209,52,1,11,1,,5,,18,,
Bizkaia,ONDARROA,,73,22,8519,6376,172,6197,7,6225,2143,3254,41,1862,312,,556,9,178,,0,11,,2
Gipuzkoa,ORDIZIA,,76,23,7386,5015,62,4942,11,4942,2371,1334,489,1077,1039,493,57,312,,54,,87,,
Gipuzkoa,OREXA,,60,23,84,72,,72,,72,12,2,0,62,8,0,0,0,,0,,0,,
Gipuzkoa,ORIO,,61,22,2873,2188,30,2109,49,2109,685,858,228,580,330,3,11,3,,6,0,89,1,
Gipuzkoa,ORMAIZTEGI,,62,21,877,702,1,697,4,697,175,370,26,126,161,0,0,1,12,0,,1,,
Bizkaia,OROZKO,,75,23,1823,1102,61,1038,2,1038,721,830,2,151,21,,7,1,,10,,11,,5
Bizkaia,ORTUELLA,,83,24,6571,4226,31,4187,8,4193,2345,871,1299,443,482,,15,704,168,14,,190,,7
Bizkaia,OTXANDIO,,72,23,961,709,,709,,709,252,386,0,208,6,,1,107,,0,,1,,0
Gipuzkoa,OÑATI,,59,24,7976,5900,27,5851,22,5851,2076,2850,269,1501,318,,158,11,582,10,,152,,
Gipuzkoa,PASAIA,,64,22,16259,8818,43,8759,16,8499,7441,2202,1534,2973,1167,18,18,5,,103,29,116,334,
Bizkaia,PLENTZIA,,77,22,2273,1576,10,1563,3,1564,697,1029,18,272,140,,3,8,89,,0,4,,1
Bizkaia,PORTUGALETE,,78,24,41590,21892,145,21632,113,21552,19698,5850,6153,3114,1434,,46,2602,2019,23,,292,,19
Bizkaia,SANTURTZI,,82,24,37588,21753,215,21502,34,21548,15835,5358,5023,4957,1168,,158,1883,2320,250,,409,,22
Gipuzkoa,SEGURA,,70,21,1021,800,6,791,3,791,221,500,1,166,97,0,4,0,22,1,,0,,
Bizkaia,SESTAO,,84,24,30390,17521,154,17340,26,17369,12869,3634,5733,2680,784,,68,1874,1611,250,,735,,0
Bizkaia,SOPELA,,85,22,3568,2356,10,2342,4,2347,1212,1136,230,673,56,,25,73,87,,0,64,,3
Bizkaia,SOPUERTA,,86,24,1649,1251,12,919,320,919,398,640,26,82,52,,1,75,38,1,,4,,0
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,24,4370,3189,,3189,,3189,1181,1404,424,806,229,,23,15,274,7,,7,,
Bizkaia,SUKARRIETA,,76,22,216,152,,152,,152,64,116,0,27,2,,0,2,5,,0,0,,0
Gipuzkoa,TOLOSA,,71,23,14544,8756,246,8455,55,8455,5788,3517,726,1974,1108,396,27,297,,360,,50,,
