TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,EB-B,EKA,PH,PSE-EE/PSOE,BERDEAK-LV,PLAZANDREOK,ARALAR,PUM+J,UPYD,BILDU,H1!,PLIN,PSYV
Bizkaia,ABADIÑO,,1,3,5842,3979,65,3914,107,3807,1863,1044,369,149,3,10,611,52,,143,20,,1390,,,16
Gipuzkoa,ABALTZISKETA,,1,3,246,171,,171,,171,75,70,0,0,,,1,3,,7,0,,90,0,,
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7965,5163,102,5061,117,4944,2802,2442,240,300,,,872,57,,49,18,26,926,,,14
Gipuzkoa,ADUNA,,2,3,346,276,1,275,20,255,70,53,4,4,,,2,2,,31,0,,158,1,,
Álava,AGURAIN/SALVATIERRA,,51,2,3639,2276,42,2234,38,2196,1363,872,193,33,,,130,14,,85,,,869,,,
Gipuzkoa,AIA,,16,4,1524,1064,6,1058,11,1047,460,494,6,8,,,15,7,,59,0,,450,8,,
Gipuzkoa,AIZARNAZABAL,,3,4,543,425,2,423,9,414,118,85,0,1,,,7,1,,8,0,,304,8,,
Bizkaia,AJANGIZ,,911,4,375,312,3,309,1,308,63,88,0,1,0,,1,0,,12,1,,205,,,0
Gipuzkoa,ALBIZTUR,,4,3,252,164,,164,3,161,88,67,1,0,,,8,0,,24,0,,60,1,,
Gipuzkoa,ALEGIA,,5,3,1344,905,13,892,9,883,439,203,35,12,,,44,3,,42,1,,536,7,,
Álava,ALEGRÍA-DULANTZI,,1,2,1998,1296,58,1238,35,1203,702,359,204,45,,,152,49,,32,,,362,,,
Gipuzkoa,ALKIZA,,6,3,274,193,,193,7,186,81,66,2,0,,,0,2,,15,0,,100,1,,
Bizkaia,ALONSOTEGI,,912,2,2352,1729,32,1697,34,1663,623,808,97,54,,,207,5,,24,5,5,458,,,0
Gipuzkoa,ALTZAGA,,906,3,119,95,,95,1,94,24,29,0,4,,,0,0,,6,1,,54,0,,
Gipuzkoa,ALTZO,,7,3,296,215,4,211,7,204,81,45,3,1,,,1,0,,17,0,,137,0,,
Gipuzkoa,AMEZKETA,,8,3,760,550,,550,10,540,210,132,8,7,,,2,0,,19,0,,372,0,,
Bizkaia,AMOREBIETA-ETXANO,,3,3,14076,9571,111,9460,138,9322,4505,3826,506,352,2,6,1121,74,,289,26,,3102,,,18
Bizkaia,AMOROTO,,4,4,326,241,,241,1,240,85,110,0,0,0,,0,0,,6,0,,124,,,0
Álava,AMURRIO,,2,3,8034,5579,131,5448,124,5324,2455,2009,681,77,,,557,75,,146,,,1779,,,
Gipuzkoa,ANDOAIN,,9,3,11807,7483,66,7417,153,7264,4324,1497,617,305,,,1909,76,,265,41,,2396,158,,
Gipuzkoa,ANOETA,,10,3,1407,933,3,930,20,910,474,225,54,4,,,59,9,,35,0,,520,4,,
Gipuzkoa,ANTZUOLA,,11,4,1708,1247,7,1240,16,1224,461,296,24,15,,,140,6,,77,0,,656,10,,
Bizkaia,ARAKALDO,,5,3,96,72,1,71,,71,24,31,0,0,0,0,0,0,,3,1,,36,,,0
Gipuzkoa,ARAMA,,12,3,153,112,,112,4,108,41,33,3,0,,,2,1,,4,0,,64,1,,
Álava,ARAMAIO,,3,2,1202,903,10,893,15,878,299,190,12,6,,,13,3,,49,,,605,,,
Bizkaia,ARANTZAZU,,6,3,290,260,3,257,4,253,30,121,3,1,1,0,2,2,,9,1,,113,,,0
Bizkaia,AREATZA,,93,3,876,707,19,688,12,676,169,311,49,4,0,1,33,5,,44,1,,228,,,0
Gipuzkoa,ARETXABALETA,,13,4,5328,3465,78,3387,30,3357,1863,770,108,86,,,299,16,,543,4,,1501,30,,
Álava,ARMIÑÓN,,6,2,185,142,8,134,3,131,43,38,60,3,,,7,1,,4,,,18,,,
Álava,ARRAIA-MAEZTU,,37,2,617,429,10,419,9,410,188,182,77,6,,,21,1,,4,,,119,,,
Bizkaia,ARRANKUDIAGA,,9,3,758,624,9,615,6,609,134,313,9,2,1,0,14,1,,15,0,,254,,,0
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,17853,10923,143,10780,185,10595,6930,2246,749,392,,,1916,1,,708,2,,4523,58,,
Bizkaia,ARRATZU,,914,4,327,295,2,293,2,291,32,146,0,1,0,,2,0,,16,0,,126,,,0
Álava,ARRATZUA-UBARRUNDIA,,8,2,779,547,16,531,17,514,232,170,114,9,,,65,9,,12,,,135,,,
Bizkaia,ARRIETA,,10,4,428,328,,328,4,324,100,183,3,3,0,,4,1,,17,0,,112,,,1
Bizkaia,ARRIGORRIAGA,,11,3,9725,6047,99,5948,139,5809,3678,2224,544,349,8,7,924,71,,120,24,,1520,,,18
Bizkaia,ARTEA,,23,3,596,518,5,513,7,506,78,233,16,1,0,0,15,0,,29,3,,208,,,1
Bizkaia,ARTZENTALES,,8,2,594,458,13,445,10,435,136,275,13,8,,,21,3,,13,0,1,101,,,0
Álava,ARTZINIEGA,,4,3,1431,1037,36,1001,20,981,394,415,165,9,,,68,10,,23,,,291,,,
Álava,ASPARRENA,,9,2,1308,941,17,924,19,905,367,305,75,14,,,46,8,,44,,,413,,,
Gipuzkoa,ASTEASU,,14,3,1104,794,8,786,11,775,310,136,9,7,,,16,9,,47,2,,541,8,,
Gipuzkoa,ASTIGARRAGA,,903,1,3587,2183,28,2155,59,2096,1404,444,133,35,,,153,19,5,107,6,16,998,178,2,
Gipuzkoa,ATAUN,,15,3,1307,1057,4,1053,6,1047,250,357,1,5,,,1,0,,84,0,,595,4,,
Bizkaia,ATXONDO,,91,3,1179,836,17,819,13,806,343,298,30,4,3,1,48,0,,29,2,,390,,,1
Bizkaia,AULESTI,,70,4,560,455,5,450,2,448,105,158,3,1,0,,1,0,,10,0,,275,,,0
Álava,AYALA/AIARA,,10,3,2276,1655,54,1601,56,1545,621,623,187,17,,,89,22,,39,,,568,,,
Gipuzkoa,AZKOITIA,,17,4,8683,5982,28,5954,86,5868,2701,1970,276,55,,,511,35,,397,13,,2544,67,,
Gipuzkoa,AZPEITIA,,18,4,11003,7916,56,7860,103,7757,3087,2490,220,19,,,265,23,,352,11,,4087,290,,
Álava,AÑANA,,49,2,146,113,,113,3,110,33,46,14,4,,,8,2,,5,,,31,,,
Bizkaia,BAKIO,,12,4,2018,1646,24,1622,16,1606,372,857,51,15,0,,39,7,,69,2,,566,,,0
Gipuzkoa,BALIARRAIN,,904,3,96,69,,69,,69,27,13,0,0,,,0,0,,2,0,,54,0,,
Bizkaia,BALMASEDA,,90,2,6155,4715,126,4589,88,4501,1440,2378,298,89,,,831,35,,57,16,26,766,,,5
Bizkaia,BARAKALDO,,13,2,81448,45937,800,45137,1284,43853,35511,11566,7858,2459,,,12856,601,,885,372,510,6629,,,117
Bizkaia,BARRIKA,,14,4,1197,847,11,836,16,820,350,376,54,19,0,,58,32,,30,6,,243,,,2
Álava,BARRUNDIA,,13,2,709,450,3,447,4,443,259,163,58,4,,,20,15,,14,,,169,,,
Bizkaia,BASAURI,,15,3,35112,21901,284,21617,422,21195,13211,7184,2768,815,13,14,6310,218,,506,93,,3213,,,61
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,248,206,6,200,10,190,42,66,92,1,,,19,1,,0,,,11,,,
Gipuzkoa,BEASAIN,,19,3,10113,6216,71,6145,105,6040,3897,1965,414,150,,,912,44,,339,24,,1855,337,,
Bizkaia,BEDIA,,92,3,794,607,4,603,11,592,187,325,37,4,0,0,33,0,,17,3,,173,,,0
Gipuzkoa,BEIZAMA,,20,4,145,121,1,120,1,119,24,50,1,2,,,0,2,,3,0,,60,1,,
Gipuzkoa,BELAUNTZA,,21,3,221,152,,152,2,150,69,41,4,0,,,4,2,,15,0,,82,2,,
Bizkaia,BERANGO,,16,4,5168,3379,64,3315,72,3243,1789,1193,481,138,0,,373,51,,110,24,,870,,,3
Álava,BERANTEVILLA,,14,2,392,322,6,316,15,301,70,101,112,5,,,33,12,,5,,,33,,,
Gipuzkoa,BERASTEGI,,22,3,831,577,6,571,9,562,254,146,3,2,,,14,4,,31,2,,335,25,,
Gipuzkoa,BERGARA,,74,4,11649,7663,56,7607,74,7533,3986,2191,271,156,,,699,72,,684,6,,3412,42,,
Bizkaia,BERMEO,,17,4,13598,9463,95,9368,75,9293,4135,4335,177,45,2,,332,44,,309,9,,4037,,,3
Álava,BERNEDO,,16,2,466,257,1,256,11,245,209,115,62,4,,,11,3,,3,,,47,,,
Bizkaia,BERRIATUA,,18,4,914,634,2,632,10,622,280,245,3,1,1,,9,3,,30,1,,328,,,1
Bizkaia,BERRIZ,,19,3,3763,2472,35,2437,41,2396,1291,909,179,40,1,3,323,19,,92,17,,806,,,7
Gipuzkoa,BERROBI,,23,3,460,371,4,367,14,353,89,65,19,5,,,7,5,,23,1,,222,6,,
Gipuzkoa,BIDANIA-GOIATZ,,24,4,395,309,5,304,4,300,86,104,8,1,,,2,1,,3,2,,177,2,,
Bizkaia,BILBAO,,20,1,277179,169184,1882,167302,3935,163367,107995,63604,31397,6586,119,,26475,2641,,3872,1358,2268,24799,,,248
Bizkaia,BUSTURIA,,21,4,1467,1046,11,1035,14,1021,421,412,27,7,0,,50,6,,32,2,,484,,,1
Álava,CAMPEZO/KANPEZU,,17,2,920,647,11,636,5,631,273,252,119,42,,,21,4,,7,,,186,,,
Gipuzkoa,DEBA,,29,4,4280,2988,36,2952,61,2891,1292,863,100,80,,,166,17,,266,8,,1266,125,,
Bizkaia,DERIO,,901,4,4363,2942,35,2907,67,2840,1421,1302,246,94,2,,569,31,,53,18,,523,,,2
Bizkaia,DIMA,,26,3,1086,944,12,932,5,927,142,410,9,5,0,2,7,0,,37,0,,457,,,0
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,146744,87518,987,86531,2490,84041,59226,17576,15797,2462,,,17567,1226,401,3851,508,1394,21391,1448,420,
Bizkaia,DURANGO,,27,3,21540,13814,135,13679,254,13425,7726,4773,1529,431,9,13,1821,91,,1082,64,,3590,,,22
Bizkaia,EA,,28,4,772,649,3,646,5,641,123,277,4,2,0,,4,0,,9,0,,345,,,0
Gipuzkoa,EIBAR,,30,4,22249,14248,125,14123,290,13833,8001,3071,1253,490,,,4395,107,,628,33,,3623,233,,
Bizkaia,ELANTXOBE,,31,4,376,314,,314,,314,62,163,2,2,0,,1,0,,4,0,,142,,,0
Álava,ELBURGO/BURGELU,,21,2,474,314,10,304,8,296,160,130,78,8,,,20,10,,2,,,48,,,
Álava,ELCIEGO,,22,2,823,673,20,653,33,620,150,118,187,25,,,202,12,,5,,,71,,,
Gipuzkoa,ELDUAIN,,31,3,180,126,,126,8,118,54,25,0,1,,,0,0,,0,0,,90,2,,
Gipuzkoa,ELGETA,,33,4,867,660,7,653,5,648,207,184,16,2,,,17,5,,139,2,,280,3,,
Gipuzkoa,ELGOIBAR,,32,4,8981,5821,67,5754,79,5675,3160,2115,426,110,,,769,28,,234,16,,1942,35,,
Bizkaia,ELORRIO,,32,3,5850,4167,44,4123,53,4070,1683,1458,294,103,1,2,307,17,,212,12,,1664,,,0
Álava,ELVILLAR/BILAR,,23,2,290,246,3,243,,243,44,100,69,1,,,35,0,,2,,,36,,,
Bizkaia,ERANDIO,,902,4,19217,11231,185,11046,298,10748,7986,4480,1127,363,12,,2201,176,,236,71,,2070,,,12
Bizkaia,EREÑO,,33,4,223,201,2,199,1,198,22,94,4,0,0,,1,2,,11,1,,85,,,0
Bizkaia,ERMUA,,34,3,13191,8104,98,8006,178,7828,5087,1179,1755,499,5,9,2775,171,,183,57,,1150,,,46
Gipuzkoa,ERRENTERIA,,67,2,31150,17746,212,17534,384,17150,13404,2527,1625,816,,,4832,171,52,541,124,116,6012,334,,
Gipuzkoa,ERREZIL,,66,4,464,404,,404,4,400,60,126,1,1,,,5,1,,10,0,,254,2,,
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,628,439,7,432,11,421,189,167,111,6,,,40,7,,7,,,83,,,
Bizkaia,ERRIGOITI,,79,4,471,413,4,409,2,407,58,206,11,2,0,,4,0,,19,0,,165,,,0
