TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PSE-PSOE,PP,PH,PCTE / ELAK,ATTKA/PACMA,PUM+J,Cs,I.FEM,SAIn,FAC,VOX,M.C.R.,ALTER,PIRATAS,RECORTES CERO-GV,EAJ-PNV... (E19),CXE,EH BILDU... (E19),CONTIGO,ADÑ,AxSÍ,PACT,CPE,MIEL,IZQP,PCPE-PCPC-PCPA,PODEMOS-IU,JUNTS,IGRE,VOLT,CV-EC,CEX-CREX-PREX
Bizkaia,ARTZENTALES,,8,2,614,456,10,446,7,439,158,20,3,0,0,2,0,5,0,0,0,0,0,0,0,0,255,0,108,0,0,0,1,0,0,0,2,36,5,1,0,1,0
Álava,ARTZINIEGA,,4,3,1354,999,12,987,11,976,355,106,83,0,1,7,0,21,3,0,0,7,0,0,1,0,392,0,252,0,0,0,1,0,0,0,3,90,6,1,0,2,0
Álava,ASPARRENA,,9,2,1266,909,8,901,5,896,357,85,20,0,1,4,1,8,1,0,0,3,1,0,1,0,267,0,382,0,0,0,0,0,0,0,0,91,21,0,0,10,0
Gipuzkoa,ASTEASU,,14,3,1154,694,5,689,8,681,460,35,10,0,0,4,0,1,1,0,0,3,0,0,0,0,206,0,372,0,0,0,0,0,0,0,0,46,1,0,0,2,0
Gipuzkoa,ASTIGARRAGA,,903,1,4887,3173,20,3153,26,3127,1714,387,53,2,1,40,0,59,5,1,0,14,0,1,2,16,933,1,1215,0,0,0,0,4,2,2,0,357,24,1,3,4,0
Gipuzkoa,ATAUN,,15,3,1239,993,3,990,14,976,246,22,0,0,0,3,0,2,0,0,0,0,0,0,2,1,345,0,568,0,0,0,0,0,0,0,0,25,8,0,0,0,0
Bizkaia,ATXONDO,,91,3,1086,846,4,842,5,837,240,56,10,0,1,4,0,6,0,0,1,0,0,0,1,0,370,0,341,0,0,0,0,0,0,0,0,41,6,0,0,0,0
Bizkaia,AULESTI,,70,4,531,393,2,391,3,388,138,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,274,0,0,0,0,0,0,0,0,7,2,0,0,0,0
Álava,AYALA/AIARA,,10,3,2318,1678,14,1664,32,1632,640,142,65,0,0,8,1,16,3,0,0,21,0,1,2,4,805,1,409,1,0,0,1,0,0,0,1,140,5,2,1,2,1
Gipuzkoa,AZKOITIA,,17,4,8503,5909,57,5852,35,5817,2594,588,107,1,3,30,2,46,3,0,0,40,0,1,1,5,2465,1,2081,0,0,0,2,0,1,0,25,356,43,2,4,10,0
Gipuzkoa,AZPEITIA,,18,4,11233,7872,54,7818,51,7767,3361,342,119,0,0,14,0,56,1,1,1,11,0,4,0,4,3154,5,3732,0,0,0,0,5,1,1,3,259,48,1,0,4,1
Álava,AÑANA,,49,2,132,107,,107,1,106,25,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,26,0,0,0,0,0,0,0,0,8,1,1,1,1,0
Bizkaia,BAKIO,,12,4,2072,1623,9,1614,4,1610,449,59,25,0,1,10,3,15,3,0,0,1,0,0,0,2,760,0,602,0,0,0,2,0,1,0,0,102,18,3,0,3,0
Gipuzkoa,BALIARRAIN,,904,3,90,52,,52,,52,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bizkaia,BALMASEDA,,90,2,6021,4442,68,4374,39,4335,1579,879,163,0,5,22,2,91,1,0,0,47,0,1,2,6,2045,2,636,0,0,0,1,3,0,1,2,398,18,0,0,9,1
Bizkaia,BARAKALDO,,13,2,79482,49333,218,49115,320,48795,30149,14703,2991,19,55,509,53,1344,65,10,5,703,16,96,33,123,15047,93,5073,16,5,7,27,36,5,12,108,7383,86,18,32,112,10
Bizkaia,BARRIKA,,14,4,1238,809,4,805,12,793,429,86,22,0,0,14,1,21,0,0,0,3,0,0,0,2,353,0,220,0,0,0,0,1,1,0,0,59,7,0,0,3,0
Álava,BARRUNDIA,,13,2,712,474,5,469,1,468,238,47,23,0,0,6,0,3,1,0,0,0,0,1,0,2,152,0,181,0,0,0,0,3,0,0,0,40,8,0,0,1,0
Bizkaia,BASAURI,,15,3,33153,20665,95,20570,147,20423,12488,5302,1142,24,17,199,6,434,19,2,3,183,2,6,26,17,7598,8,2592,3,3,1,11,8,3,6,15,2682,35,5,17,48,6
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,228,196,5,191,5,186,32,34,66,0,0,0,0,7,1,0,0,3,0,0,0,0,64,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Gipuzkoa,BEASAIN,,19,3,9931,6393,26,6367,61,6306,3538,1018,188,2,9,33,2,80,6,2,4,19,1,1,7,6,2551,2,1728,3,0,2,3,3,0,0,8,575,31,1,4,16,1
Bizkaia,BEDIA,,92,3,874,655,3,652,14,638,219,40,12,0,1,4,0,6,0,0,0,6,0,0,0,1,375,1,162,0,0,0,0,0,0,0,0,29,0,0,0,1,0
Gipuzkoa,BEIZAMA,,20,4,114,76,,76,,76,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,37,0,0,0,0,0,0,0,0,4,0,0,0,3,0
Gipuzkoa,BELAUNTZA,,21,3,187,133,1,132,1,131,54,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,61,0,0,0,0,0,0,0,0,11,1,0,0,0,0
Bizkaia,BERANGO,,16,4,5452,3725,24,3701,23,3678,1727,548,217,2,1,45,3,149,2,0,0,44,0,0,0,5,1432,2,777,2,0,0,1,2,0,0,2,415,12,1,1,15,0
Álava,BERANTEVILLA,,14,2,371,299,8,291,5,286,72,45,41,1,0,1,0,16,0,0,0,7,0,1,1,0,115,0,26,0,0,0,0,1,0,0,0,29,0,0,0,2,0
Gipuzkoa,BERASTEGI,,22,3,854,661,2,659,9,650,193,28,5,0,0,2,0,1,0,0,0,0,0,0,0,3,261,0,313,0,0,0,0,0,0,0,0,29,8,0,0,0,0
Gipuzkoa,BERGARA,,74,4,11520,8227,27,8200,39,8161,3293,808,120,4,9,36,3,71,8,2,0,14,0,6,2,6,2864,0,3513,1,2,2,3,2,0,1,4,633,23,1,2,21,0
Bizkaia,BERMEO,,17,4,13222,8785,99,8686,43,8643,4437,375,77,2,4,41,3,39,8,1,3,15,0,2,4,5,4795,0,2683,2,0,1,1,26,0,1,4,493,41,1,2,12,2
Álava,BERNEDO,,16,2,419,244,,244,7,237,175,25,27,0,1,4,0,5,0,0,0,1,0,0,0,0,103,0,51,0,0,0,0,0,0,0,0,17,1,0,0,2,0
Bizkaia,BERRIATUA,,18,4,865,593,3,590,8,582,272,16,1,0,0,2,0,1,2,0,0,1,0,1,0,0,248,0,280,0,0,0,0,0,0,0,0,27,3,0,0,0,0
Bizkaia,BERRIZ,,19,3,3466,2468,9,2459,14,2445,998,351,77,3,1,12,2,49,8,4,0,18,1,2,1,3,931,3,665,0,0,0,1,6,0,1,3,285,8,0,0,6,4
Gipuzkoa,BERROBI,,23,3,444,277,5,272,8,264,167,15,5,0,0,4,0,0,0,0,0,1,0,0,0,1,77,0,135,0,0,0,2,0,0,1,1,20,1,0,0,1,0
Gipuzkoa,BIDANIA-GOIATZ,,24,4,392,282,9,273,11,262,110,4,4,0,1,0,0,0,0,0,0,0,0,0,0,3,84,0,153,0,0,1,0,0,0,1,0,8,0,0,0,3,0
Bizkaia,BILBAO,,20,1,273387,168162,574,167588,1242,166346,105225,32837,14729,51,81,1583,185,6112,253,28,55,2856,24,49,104,362,62418,264,22307,31,58,23,70,174,23,57,164,19958,696,34,149,576,35
Bizkaia,BUSTURIA,,21,4,1326,954,13,941,8,933,372,63,20,0,1,3,0,5,1,1,0,1,0,1,0,0,480,0,289,0,0,0,1,0,0,0,0,60,4,0,0,3,0
Álava,CAMPEZO/KANPEZU,,17,2,821,567,5,562,10,552,254,53,32,0,0,4,2,17,0,1,0,1,0,0,0,0,238,0,161,0,0,0,1,0,0,2,1,39,0,0,0,0,0
Gipuzkoa,DEBA,,29,4,4288,3149,32,3117,31,3086,1139,270,48,0,0,12,3,31,2,0,0,13,1,0,0,7,1222,1,1165,1,0,0,0,0,0,1,2,281,21,0,1,3,1
Bizkaia,DERIO,,901,4,5151,3527,21,3506,26,3480,1624,675,129,4,0,31,5,74,0,0,0,29,2,0,4,1,1473,0,623,0,1,1,2,0,0,1,1,406,7,0,0,11,0
Bizkaia,DIMA,,26,3,1139,953,9,944,11,933,186,6,2,2,0,4,0,8,4,0,0,3,0,2,1,1,369,0,480,0,0,0,0,1,0,0,0,43,6,0,0,1,0
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,147847,95945,341,95604,671,94933,51902,20571,7649,28,78,917,88,3995,152,12,12,1557,43,50,62,267,27575,276,18753,11,22,16,53,120,13,36,196,11000,790,18,73,487,13
Bizkaia,DURANGO,,27,3,22724,15365,75,15290,121,15169,7359,2042,661,3,5,90,12,279,23,2,2,110,2,4,11,17,5767,2,4208,2,2,0,4,8,3,3,9,1770,61,3,11,48,5
Bizkaia,EA,,28,4,693,601,5,596,5,591,92,3,0,0,0,2,0,4,0,0,0,1,0,1,0,0,254,0,305,0,0,0,0,0,0,0,0,19,2,0,0,0,0
Gipuzkoa,EIBAR,,30,4,21247,14163,57,14106,110,13996,7084,4255,562,1,6,85,7,230,22,2,3,70,0,7,12,33,4043,2,3131,2,2,7,1,13,3,1,10,1375,48,3,10,39,11
Bizkaia,ELANTXOBE,,31,4,306,246,,246,2,244,60,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,127,0,106,0,0,0,0,0,0,0,0,3,2,0,0,0,0
Álava,ELBURGO/BURGELU,,21,2,470,317,1,316,2,314,153,45,33,0,0,2,0,14,2,0,0,10,0,1,0,0,125,0,53,0,0,0,0,1,0,0,0,21,3,0,0,4,0
Álava,ELCIEGO,,22,2,771,607,12,595,17,578,164,157,121,4,0,8,2,18,0,0,0,3,6,1,0,3,148,2,35,0,0,0,0,4,1,10,0,47,5,1,0,1,1
Gipuzkoa,ELDUAIN,,31,3,184,116,1,115,2,113,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,73,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Gipuzkoa,ELGETA,,33,4,859,633,2,631,6,625,226,24,6,0,0,5,0,4,1,1,0,3,0,0,0,2,226,0,310,0,0,0,0,0,0,0,0,40,1,0,0,2,0
Gipuzkoa,ELGOIBAR,,32,4,8699,5823,58,5765,35,5730,2876,843,169,1,4,39,3,98,4,2,1,15,2,2,0,2,2348,0,1694,2,1,0,1,4,1,1,5,460,18,1,3,5,1
Bizkaia,ELORRIO,,32,3,5779,4219,13,4206,34,4172,1560,404,139,0,2,17,1,61,4,2,0,11,0,1,0,0,1500,3,1672,1,0,0,0,3,1,1,1,308,31,0,0,9,0
Álava,ELVILLAR/BILAR,,23,2,262,195,,195,3,192,67,23,35,0,0,0,0,6,0,0,0,2,0,0,0,0,83,0,28,0,0,0,0,0,0,0,0,15,0,0,0,0,0
Bizkaia,ERANDIO,,902,4,18978,11786,107,11679,112,11567,7192,2681,442,3,4,113,6,206,12,8,0,93,10,0,4,25,4432,3,1918,5,5,0,5,7,0,2,9,1510,23,5,4,30,2
Bizkaia,EREÑO,,33,4,212,170,4,166,5,161,42,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,55,0,0,0,0,0,0,0,0,7,1,0,0,0,0
Bizkaia,ERMUA,,34,3,12652,8288,51,8237,95,8142,4364,2763,791,5,6,49,6,304,7,3,6,103,1,4,6,10,1711,3,1140,0,2,4,2,3,0,0,13,1155,10,3,8,21,3
Gipuzkoa,ERRENTERIA,,67,2,30690,18835,107,18728,127,18601,11855,5241,680,8,12,186,7,368,18,4,4,120,1,6,12,26,3482,7,5347,2,2,4,7,7,1,14,15,2913,60,4,11,30,2
Gipuzkoa,ERREZIL,,66,4,440,369,6,363,3,360,71,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,96,0,249,0,0,0,0,0,0,0,0,9,3,0,0,0,0
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,636,465,1,464,9,455,171,66,40,0,0,11,0,18,0,0,0,8,0,0,0,0,197,0,68,0,0,0,0,1,0,0,0,45,1,0,0,0,0
Bizkaia,ERRIGOITI,,79,4,400,341,1,340,3,337,59,5,2,0,0,4,0,3,0,0,0,3,0,0,0,0,164,0,141,0,0,0,0,0,0,0,0,14,1,0,0,0,0
Gipuzkoa,ESKORIATZA,,34,4,3176,2241,16,2225,16,2209,935,240,39,2,3,19,2,30,0,0,2,6,1,167,0,7,853,0,615,0,0,0,1,2,1,1,1,201,12,1,1,2,0
Bizkaia,ETXEBARRI,,29,3,8632,5678,57,5621,73,5548,2954,1416,258,3,13,87,7,201,13,1,3,82,0,4,3,13,1908,1,574,3,4,0,6,4,2,3,2,903,2,3,8,17,4
Bizkaia,ETXEBARRIA,,30,4,606,526,1,525,4,521,80,8,3,0,1,0,0,0,1,0,0,0,0,0,0,0,274,0,225,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Gipuzkoa,EZKIO-ITSASO,,35,3,485,362,,362,3,359,123,12,1,0,0,0,0,5,0,0,0,0,0,0,1,0,136,0,178,0,0,0,0,0,0,0,0,25,1,0,0,0,0
Bizkaia,FORUA,,906,4,753,625,6,619,5,614,128,18,7,0,0,3,0,3,0,0,0,1,0,0,0,0,341,0,210,0,0,0,0,0,0,0,0,30,0,0,1,0,0
Bizkaia,FRUIZ,,35,4,403,333,3,330,4,326,70,9,1,0,0,0,0,2,0,0,1,0,0,0,1,0,177,0,109,0,0,0,0,0,0,0,0,25,1,0,0,0,0
Gipuzkoa,GABIRIA,,38,3,384,287,2,285,,285,97,7,1,0,0,4,1,0,0,0,0,0,0,0,0,0,111,0,148,0,0,0,1,0,0,0,1,8,3,0,0,0,0
Gipuzkoa,GAINTZA,,37,3,101,79,,79,1,78,22,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36,0,37,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Bizkaia,GALDAKAO,,36,3,24067,15636,85,15551,144,15407,8431,2680,596,4,11,154,16,340,29,4,6,126,3,4,6,32,5750,8,3460,3,2,1,6,8,2,5,13,2041,51,6,7,29,4
Bizkaia,GALDAMES,,37,2,682,528,12,516,8,508,154,34,4,0,1,1,0,2,1,0,0,0,0,0,0,0,260,0,164,0,0,0,1,0,0,0,0,35,3,0,0,2,0
Bizkaia,GAMIZ-FIKA,,38,4,1158,840,1,839,3,836,318,32,11,0,1,4,1,5,1,0,0,2,0,0,1,0,439,0,277,0,0,0,0,0,0,0,2,48,10,0,0,2,0
Bizkaia,GARAI,,39,3,256,228,1,227,1,226,28,6,1,0,0,2,0,2,0,0,0,5,0,0,1,1,116,0,81,0,0,0,0,0,0,0,0,8,3,0,0,0,0
Bizkaia,GATIKA,,40,4,1309,937,26,911,16,895,372,48,10,0,1,5,0,7,0,0,0,7,1,1,0,1,461,0,274,0,0,0,1,0,0,0,1,72,5,0,0,0,0
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,688,564,6,558,5,553,124,19,7,0,0,5,0,3,0,0,0,5,0,0,0,0,325,0,167,0,0,0,1,0,0,0,1,17,3,0,0,0,0
Gipuzkoa,GAZTELU,,907,3,117,84,1,83,2,81,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,40,0,0,0,0,0,0,0,0,9,2,0,0,2,0
Bizkaia,GERNIKA-LUMO,,46,4,12771,9141,59,9082,66,9016,3630,709,190,0,4,35,1,87,8,1,0,42,1,5,7,15,4338,4,2943,4,2,2,6,7,0,7,1,531,55,1,4,5,1
Gipuzkoa,GETARIA,,39,4,2145,1724,12,1712,7,1705,421,60,7,1,0,9,0,7,0,0,0,2,0,1,0,1,723,0,799,0,0,0,0,0,0,0,1,74,15,0,1,4,0
Bizkaia,GETXO,,44,4,62225,41740,101,41639,271,41368,20485,5944,6081,11,32,332,51,2285,42,7,10,1028,4,19,11,86,15499,6,5833,3,18,7,19,23,7,19,67,3521,196,8,52,143,4
Bizkaia,GIZABURUAGA,,47,4,148,109,1,108,2,106,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,66,0,0,0,0,0,0,0,0,6,0,0,0,0,0
Bizkaia,GORDEXOLA,,42,2,1358,1063,11,1052,14,1038,295,91,56,0,0,9,0,29,1,0,1,11,0,0,0,0,596,0,155,0,0,0,0,0,0,0,0,80,6,0,0,3,0
Bizkaia,GORLIZ,,43,4,4560,3152,13,3139,25,3114,1408,286,85,0,1,36,2,61,4,0,5,23,0,0,2,9,1486,0,777,0,0,0,2,1,2,0,3,292,20,2,2,12,1
Bizkaia,GÜEÑES,,45,2,5213,3853,41,3812,31,3781,1360,514,103,0,1,27,0,37,2,0,1,14,0,1,1,2,1741,1,954,1,1,0,0,4,0,2,2,356,6,0,2,7,1
Álava,HARANA/VALLE DE ARANA,,56,2,204,155,2,153,,153,49,7,12,0,0,1,0,2,1,0,0,1,0,0,0,0,90,0,25,0,0,0,0,0,0,0,1,10,1,0,1,0,1
Gipuzkoa,HERNANI,,40,1,15780,10126,93,10033,69,9964,5654,1444,228,3,5,69,3,146,8,0,0,53,4,0,5,14,2194,5,4457,2,1,2,2,3,1,4,6,1212,81,0,0,11,1
Gipuzkoa,HERNIALDE,,41,3,237,152,4,148,7,141,85,6,3,0,0,0,0,2,0,0,0,0,0,0,0,0,57,0,59,0,0,0,0,0,0,0,0,14,0,0,0,0,0
Gipuzkoa,HONDARRIBIA,,36,2,13243,8607,81,8526,84,8442,4636,1179,308,1,7,77,5,214,6,4,1,82,0,4,10,15,3671,2,1740,5,2,0,3,3,1,1,7,930,111,2,2,47,2
Gipuzkoa,IBARRA,,42,3,3169,2053,13,2040,10,2030,1116,256,42,1,0,14,1,26,1,0,1,10,0,3,1,1,623,0,856,0,0,0,0,0,1,1,0,183,4,0,0,4,1
Bizkaia,IBARRANGELU,,48,4,541,432,3,429,7,422,109,11,2,0,2,6,0,3,0,0,1,0,0,0,0,0,197,0,163,1,0,1,0,0,0,0,0,22,12,0,0,1,0
Gipuzkoa,IDIAZABAL,,43,3,1738,1325,13,1312,16,1296,413,52,22,0,0,5,0,5,0,0,0,1,0,0,0,1,587,0,586,0,0,0,0,0,0,0,0,34,3,0,0,0,0
Bizkaia,IGORRE,,94,3,3137,2335,21,2314,22,2292,802,92,21,3,1,7,0,19,2,2,0,10,1,2,2,0,1123,0,889,0,0,0,0,2,0,0,1,99,11,2,0,3,0
Gipuzkoa,IKAZTEGIETA,,44,3,364,273,3,270,2,268,91,11,2,0,0,0,0,3,0,0,0,0,0,0,0,0,95,0,142,0,0,0,0,1,0,0,1,12,0,0,0,1,0
Gipuzkoa,IRUN,,45,2,47085,28367,262,28105,267,27838,18718,8693,1861,12,23,300,20,1132,37,7,2,530,2,15,27,57,6900,13,3615,5,4,11,19,14,7,13,17,4269,87,7,22,105,12
Gipuzkoa,IRURA,,46,3,1253,857,3,854,13,841,396,64,8,1,0,2,0,20,1,0,0,5,0,0,0,0,301,0,376,0,0,0,0,0,0,0,0,57,4,0,0,1,1
Álava,IRURAIZ-GAUNA,,27,2,433,295,,295,1,294,138,17,23,0,0,10,1,2,0,0,0,2,0,0,0,0,113,0,98,0,0,0,0,0,0,0,0,26,2,0,0,0,0
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,2486,1549,29,1520,27,1493,937,387,166,0,3,27,0,65,3,3,1,46,0,2,1,4,387,1,181,0,0,0,1,1,1,0,6,191,8,2,0,5,1
