TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PSE-PSOE,PP,PH,PCTE / ELAK,ATTKA/PACMA,PUM+J,Cs,I.FEM,SAIn,FAC,VOX,M.C.R.,ALTER,PIRATAS,RECORTES CERO-GV,EAJ-PNV... (E19),CXE,EH BILDU... (E19),CONTIGO,ADÑ,AxSÍ,PACT,CPE,MIEL,IZQP,PCPE-PCPC-PCPA,PODEMOS-IU,JUNTS,IGRE,VOLT,CV-EC,CEX-CREX-PREX
Bizkaia,ABADIÑO,,1,3,5900,4045,26,4019,51,3968,1855,643,155,3,1,38,2,98,5,0,0,35,0,0,0,6,1267,0,1278,1,1,0,2,2,2,1,1,403,10,0,1,11,2
Gipuzkoa,ABALTZISKETA,,1,3,253,177,2,175,3,172,76,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,86,0,79,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7769,5355,36,5319,47,5272,2414,996,94,2,3,51,4,75,3,1,0,46,0,69,1,7,2134,3,904,0,2,0,6,1,1,1,3,844,8,1,0,12,0
Gipuzkoa,ADUNA,,2,3,356,260,5,255,6,249,96,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,155,0,0,0,0,0,0,0,0,13,6,0,0,0,0
Álava,AGURAIN/SALVATIERRA,,51,2,3560,2379,12,2367,25,2342,1181,240,83,0,0,10,3,37,0,0,0,12,1,1,1,2,915,0,852,1,0,0,5,1,0,0,1,154,11,4,0,5,3
Gipuzkoa,AIA,,16,4,1535,1004,6,998,8,990,531,24,8,0,2,7,0,1,0,1,0,3,1,1,0,1,501,0,379,0,0,0,0,0,0,0,0,53,7,0,0,1,0
Gipuzkoa,AIZARNAZABAL,,3,4,553,415,6,409,6,403,138,9,0,0,0,4,0,0,1,0,0,0,0,0,0,0,90,0,276,0,0,1,0,0,0,0,1,21,0,0,0,0,0
Bizkaia,AJANGIZ,,911,4,388,317,1,316,3,313,71,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,114,0,181,0,0,0,0,0,0,0,0,12,0,0,0,0,0
Gipuzkoa,ALBIZTUR,,4,3,229,143,1,142,2,140,86,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,40,0,0,0,1,0,0,0,0,8,1,0,0,0,0
Gipuzkoa,ALEGIA,,5,3,1267,917,3,914,7,907,350,67,15,0,1,5,0,6,0,0,0,1,0,0,0,0,306,0,448,2,0,0,0,0,0,0,0,54,2,0,0,0,0
Álava,ALEGRÍA-DULANTZI,,1,2,2016,1326,15,1311,25,1286,690,257,73,0,3,18,1,31,4,0,1,39,0,1,2,5,396,0,264,0,0,0,0,1,1,0,2,175,7,0,1,4,0
Gipuzkoa,ALKIZA,,6,3,258,173,2,171,4,167,85,3,1,0,0,3,0,1,0,0,0,0,0,0,0,1,56,0,87,0,0,0,0,0,0,0,0,11,2,0,0,2,0
Bizkaia,ALONSOTEGI,,912,2,2328,1726,12,1714,13,1701,602,222,34,0,2,7,1,25,1,0,0,10,0,1,2,2,744,1,472,0,3,0,1,1,0,0,1,166,1,0,3,1,0
Gipuzkoa,ALTZAGA,,906,3,130,111,1,110,1,109,19,4,0,0,0,4,0,0,0,0,0,0,0,0,0,1,37,0,53,0,0,0,0,0,0,1,0,8,1,0,0,0,0
Gipuzkoa,ALTZO,,7,3,329,232,3,229,4,225,97,2,0,0,0,1,2,1,0,0,0,0,0,0,0,0,58,0,149,0,0,0,0,0,0,0,0,10,0,0,0,2,0
Gipuzkoa,AMEZKETA,,8,3,705,516,3,513,13,500,189,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,326,0,0,0,0,0,0,0,0,13,0,0,0,0,0
Bizkaia,AMOREBIETA-ETXANO,,3,3,14628,10144,61,10083,70,10013,4484,1199,202,1,1,72,5,135,7,0,1,47,4,10,2,28,4381,5,2831,0,0,1,1,10,5,3,19,1001,25,4,0,11,2
Bizkaia,AMOROTO,,4,4,323,238,1,237,2,235,85,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,116,1,110,0,0,0,0,0,0,0,0,4,0,0,0,0,1
Álava,AMURRIO,,2,3,8047,5753,57,5696,62,5634,2294,784,254,1,6,40,7,69,7,0,0,83,1,5,4,11,2220,3,1549,0,1,1,6,3,0,4,8,497,46,1,3,17,3
Gipuzkoa,ANDOAIN,,9,3,11373,7320,36,7284,72,7212,4053,1847,236,5,4,50,3,134,1,0,0,44,1,2,8,14,1702,0,2249,0,0,2,2,5,1,4,4,821,40,1,3,27,2
Gipuzkoa,ANOETA,,10,3,1530,1078,4,1074,9,1065,452,90,27,0,0,6,0,13,0,0,0,6,0,0,0,0,313,0,518,0,0,0,0,2,0,0,1,84,4,0,1,0,0
Gipuzkoa,ANTZUOLA,,11,4,1631,1216,1,1215,12,1203,415,108,16,0,0,1,1,10,3,0,0,2,0,0,0,1,356,0,609,1,0,0,0,0,0,1,0,79,13,0,0,2,0
Bizkaia,ARAKALDO,,5,3,112,88,1,87,7,80,24,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,35,0,30,0,0,0,0,0,0,0,0,7,1,0,0,0,0
Gipuzkoa,ARAMA,,12,3,149,100,,100,,100,49,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,39,0,53,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Álava,ARAMAIO,,3,2,1176,835,2,833,4,829,341,26,1,0,0,3,0,0,2,0,0,5,0,0,0,0,243,0,491,0,0,0,0,0,0,0,1,50,6,0,0,1,0
Bizkaia,ARANTZAZU,,6,3,312,267,1,266,3,263,45,5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,119,0,123,0,0,0,0,0,0,0,0,11,1,0,0,1,0
Bizkaia,AREATZA,,93,3,897,740,6,734,15,719,157,24,24,0,1,6,0,4,1,0,0,0,0,1,0,1,312,0,305,0,0,0,0,0,0,0,0,29,11,0,0,0,0
Gipuzkoa,ARETXABALETA,,13,4,5437,3824,22,3802,31,3771,1613,431,62,0,4,8,0,34,2,0,0,12,1,1,3,4,1396,0,1460,3,0,0,2,14,0,3,3,290,32,0,1,5,0
Álava,ARMIÑÓN,,6,2,176,124,2,122,3,119,52,19,17,0,0,2,0,6,1,0,0,9,0,0,0,0,29,0,11,0,0,0,0,1,0,0,0,24,0,0,0,0,0
Álava,ARRAIA-MAEZTU,,37,2,588,451,4,447,5,442,137,32,32,0,0,3,0,2,0,0,0,10,0,0,0,0,228,0,95,0,0,0,0,1,0,0,0,38,0,0,0,1,0
Bizkaia,ARRANKUDIAGA,,9,3,769,651,1,650,4,646,118,18,7,0,0,4,0,9,0,0,0,2,0,0,0,0,297,0,286,0,0,0,0,0,0,0,0,22,1,0,0,0,0
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,17370,11432,83,11349,81,11268,5938,1867,340,1,4,38,3,114,6,1,0,25,0,0,4,14,3643,2,3940,0,0,3,3,3,1,4,8,1195,38,0,3,6,2
Bizkaia,ARRATZU,,914,4,324,286,1,285,,285,38,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,150,0,119,0,0,0,0,0,0,0,0,8,3,0,0,0,0
Álava,ARRATZUA-UBARRUNDIA,,8,2,803,531,2,529,4,525,272,75,43,1,1,1,1,22,2,0,0,12,0,1,0,1,194,0,120,0,2,0,0,0,0,0,0,45,3,0,0,1,0
Bizkaia,ARRIETA,,10,4,483,364,2,362,1,361,119,9,0,0,0,2,0,2,2,0,0,0,0,0,1,0,198,0,118,0,0,0,0,0,0,0,0,25,2,0,0,2,0
Bizkaia,ARRIGORRIAGA,,11,3,9659,6277,33,6244,59,6185,3382,1064,193,3,2,77,5,139,7,0,0,36,0,0,2,5,2269,3,1548,3,1,0,2,2,1,0,7,766,28,4,2,16,0
Bizkaia,ARTEA,,23,3,579,494,6,488,2,486,85,8,10,0,0,0,1,4,0,0,0,0,0,0,0,0,236,0,196,0,0,0,0,0,0,0,0,31,0,0,0,0,0
