TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PH,PCTE / ELAK,PSE-EE/PSOE,ATTKA/PACMA,PUM+J,EB-AZ,O.E.,EH BILDU,VOX,P-LIB,LxE-EaL,PODEMOS-AHAL DUGU/EZKER ANITZA-IU,PP+Cs,L.F.F.,UCDE,EQUO BERDEAK-VERDES,RECORTES CERO-LV-M
Bizkaia,ABADIÑO,,1,3,5907,3264,30,3234,37,3197,2643,1144,1,5,339,15,3,8,,1232,45,,3,253,127,0,,20,2
Gipuzkoa,ABALTZISKETA,,1,3,257,161,,161,1,160,96,84,,,2,0,0,0,,70,0,0,0,4,0,,0,0,0
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7814,4240,66,4174,50,4124,3574,1653,4,10,611,25,9,7,,1115,57,,2,487,88,1,,52,3
Gipuzkoa,ADUNA,,2,3,358,210,,210,8,202,148,59,,,0,0,0,0,,134,0,0,0,7,0,,0,2,0
Álava,AGURAIN/SALVATIERRA,,51,2,3552,1894,12,1882,5,1877,1658,686,,,128,7,1,0,2,857,23,,1,97,61,0,,11,3
Gipuzkoa,AIA,,16,4,1515,801,3,798,12,786,714,367,,,11,4,1,2,,349,5,0,0,29,9,,0,9,0
Gipuzkoa,AIZARNAZABAL,,3,4,554,340,1,339,2,337,214,105,,,5,0,0,1,,216,0,0,0,8,0,,0,2,0
Bizkaia,AJANGIZ,,911,4,379,290,,290,,290,89,97,0,0,2,0,0,0,,183,0,,0,4,2,0,,2,0
Gipuzkoa,ALBIZTUR,,4,3,225,123,,123,1,122,102,65,,,8,1,0,1,,42,1,0,0,4,0,,0,0,0
Gipuzkoa,ALEGIA,,5,3,1283,701,2,699,6,693,582,230,,,40,2,0,0,,357,4,0,0,43,12,,0,3,2
Álava,ALEGRÍA-DULANTZI,,1,2,2029,1069,12,1057,7,1050,960,392,,,130,10,0,9,2,287,49,,7,77,53,0,,30,4
Gipuzkoa,ALKIZA,,6,3,260,157,1,156,1,155,103,58,,,3,1,0,1,,80,1,0,0,8,1,,0,2,0
Bizkaia,ALONSOTEGI,,912,2,2311,1475,23,1452,25,1427,836,649,0,3,144,8,1,0,,472,17,,0,82,37,1,,12,1
Gipuzkoa,ALTZAGA,,906,3,124,89,,89,3,86,35,29,,,2,1,0,1,,49,0,0,0,1,1,,0,2,0
Gipuzkoa,ALTZO,,7,3,337,208,1,207,7,200,129,63,,,0,1,0,0,,127,0,0,0,9,0,,0,0,0
Gipuzkoa,AMEZKETA,,8,3,722,392,,392,3,389,330,152,,,4,1,0,3,,219,1,0,0,7,1,,0,1,0
Bizkaia,AMOREBIETA-ETXANO,,3,3,14552,8572,69,8503,79,8424,5980,3728,6,9,838,41,7,6,,2835,52,,3,643,182,4,,62,8
Bizkaia,AMOROTO,,4,4,332,244,2,242,1,241,88,117,0,0,0,0,0,0,,121,0,,0,3,0,0,,0,0
Álava,AMURRIO,,2,3,7952,4910,61,4849,39,4810,3042,2034,,,464,23,12,10,3,1596,104,,3,290,193,5,,69,4
Gipuzkoa,ANDOAIN,,9,3,11356,5382,38,5344,43,5301,5974,1541,,,913,21,1,17,,2056,54,2,1,438,211,,0,41,5
Gipuzkoa,ANOETA,,10,3,1526,905,4,901,4,897,621,271,,,56,0,0,1,,492,6,0,3,36,25,,0,6,1
Gipuzkoa,ANTZUOLA,,11,4,1612,1086,8,1078,8,1070,526,370,,,74,0,0,2,,554,4,0,0,42,15,,0,9,0
Bizkaia,ARAKALDO,,5,3,117,63,1,62,,62,54,24,0,0,1,1,0,0,,27,0,,0,8,0,0,,1,0
Gipuzkoa,ARAMA,,12,3,150,97,,97,5,92,53,40,,,1,0,0,0,,49,0,0,0,1,0,,0,0,1
Álava,ARAMAIO,,3,2,1150,782,2,780,5,775,368,264,,,14,0,0,2,3,441,5,,0,36,1,0,,9,0
Bizkaia,ARANTZAZU,,6,3,309,234,1,233,3,230,75,77,1,1,4,1,0,0,,127,0,,0,19,0,0,,0,0
Bizkaia,AREATZA,,93,3,906,639,7,632,10,622,267,258,0,0,14,6,0,1,,296,4,,0,19,19,1,,3,1
Gipuzkoa,ARETXABALETA,,13,4,5455,3214,14,3200,24,3176,2241,1266,,,237,7,2,2,,1387,16,1,2,179,37,,1,37,2
Álava,ARMIÑÓN,,6,2,171,92,4,88,2,86,79,19,,,11,3,0,0,0,16,8,,0,10,15,0,,3,1
Álava,ARRAIA-MAEZTU,,37,2,590,332,4,328,2,326,258,146,,,17,1,0,1,0,109,6,,0,18,23,0,,5,0
Bizkaia,ARRANKUDIAGA,,9,3,775,530,1,529,5,524,245,219,0,3,10,0,0,2,,264,2,,0,16,7,0,,1,0
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,17254,9526,50,9476,71,9405,7728,3381,,,1095,41,4,27,,3733,68,3,1,713,237,,2,99,1
Bizkaia,ARRATZU,,914,4,330,261,3,258,3,255,69,146,0,0,1,0,0,0,,102,0,,0,4,0,0,,2,0
Álava,ARRATZUA-UBARRUNDIA,,8,2,808,446,7,439,7,432,362,200,,,35,2,0,0,0,118,7,,1,21,38,0,,10,0
Bizkaia,ARRIETA,,10,4,482,312,2,310,4,306,170,171,0,0,3,2,0,0,,115,0,,0,9,2,0,,4,0
Bizkaia,ARRIGORRIAGA,,11,3,9631,5166,51,5115,49,5066,4465,2044,3,8,633,41,7,16,,1498,56,,2,491,165,1,,92,9
Bizkaia,ARTEA,,23,3,574,439,2,437,4,433,135,211,0,0,4,3,0,0,,182,2,,0,20,10,0,,1,0
Bizkaia,ARTZENTALES,,8,2,607,356,5,351,6,345,251,187,0,5,16,1,0,0,,91,8,,0,30,5,0,,1,1
Álava,ARTZINIEGA,,4,3,1347,827,13,814,7,807,520,323,,,51,3,1,1,1,298,25,,1,50,43,0,,8,2
Álava,ASPARRENA,,9,2,1256,771,8,763,1,762,485,256,,,39,2,2,1,1,378,7,,1,53,12,0,,9,1
Gipuzkoa,ASTEASU,,14,3,1159,576,2,574,4,570,583,190,,,12,3,0,1,,328,1,0,0,22,8,,0,5,0
Gipuzkoa,ASTIGARRAGA,,903,1,5233,2633,6,2627,25,2602,2600,891,,,216,23,0,3,,1122,29,2,4,210,60,,0,38,4
Gipuzkoa,ATAUN,,15,3,1251,832,4,828,12,816,419,270,,,9,0,0,1,,518,1,0,1,11,1,,0,4,0
Bizkaia,ATXONDO,,91,3,1072,670,4,666,4,662,402,281,0,0,28,2,1,0,,312,4,,0,26,6,0,,1,1
Bizkaia,AULESTI,,70,4,522,344,,344,2,342,178,102,0,0,2,0,0,0,,230,2,,0,5,0,0,,1,0
Álava,AYALA/AIARA,,10,3,2325,1452,19,1433,16,1417,873,685,,,89,2,1,4,2,430,30,,1,87,69,2,,13,2
Gipuzkoa,AZKOITIA,,17,4,8493,4937,28,4909,28,4881,3556,2139,,,368,13,1,9,,2005,39,6,2,178,88,,0,30,3
Gipuzkoa,AZPEITIA,,18,4,11321,6749,19,6730,36,6694,4572,3016,,,221,10,1,9,,3150,24,0,2,145,93,,0,23,0
Álava,AÑANA,,49,2,131,95,,95,2,93,36,49,,,6,1,0,1,0,29,2,,0,0,5,0,,0,0
Bizkaia,BAKIO,,12,4,2056,1421,13,1408,10,1398,635,679,0,0,41,5,2,6,,553,9,,0,64,17,0,,18,4
Gipuzkoa,BALIARRAIN,,904,3,95,58,,58,,58,37,11,,,1,0,0,1,,44,0,0,0,0,0,,0,0,1
Bizkaia,BALMASEDA,,90,2,5973,3393,73,3320,34,3286,2580,1625,0,8,460,10,3,5,,722,44,,4,239,124,1,,35,6
Bizkaia,BARAKALDO,,13,2,79224,37005,334,36671,361,36310,42219,13162,27,68,8169,281,63,88,,6211,803,,25,4459,2513,20,,345,76
Bizkaia,BARRIKA,,14,4,1240,688,6,682,6,676,552,305,0,0,55,3,2,0,,211,3,,0,44,39,0,,14,0
Álava,BARRUNDIA,,13,2,711,405,3,402,1,401,306,144,,,15,2,0,0,0,185,4,,0,22,22,1,,6,0
Bizkaia,BASAURI,,15,3,33060,15985,159,15826,150,15676,17075,6462,21,29,3092,107,15,45,,2991,263,,12,1575,922,5,,121,16
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,216,129,2,127,4,123,87,60,,,19,0,0,0,0,3,6,,0,1,34,0,,0,0
Gipuzkoa,BEASAIN,,19,3,9878,5210,22,5188,46,5142,4668,2301,,,593,18,1,4,,1689,30,4,3,335,106,,0,46,12
Bizkaia,BEDIA,,92,3,858,508,3,505,9,496,350,277,0,0,19,1,0,1,,153,5,,0,29,10,0,,1,0
Gipuzkoa,BEIZAMA,,20,4,113,63,,63,1,62,50,29,,,0,0,0,0,,33,0,0,0,0,0,,0,0,0
Gipuzkoa,BELAUNTZA,,21,3,190,102,1,101,3,98,88,41,,,2,1,0,0,,48,3,0,0,2,0,,0,1,0
Bizkaia,BERANGO,,16,4,5535,3164,26,3138,46,3092,2371,1374,1,3,329,23,2,9,,780,68,,1,226,227,0,,47,2
Álava,BERANTEVILLA,,14,2,358,211,4,207,2,205,147,84,,,15,0,0,0,1,39,10,,1,12,42,0,,1,0
Gipuzkoa,BERASTEGI,,22,3,850,519,,519,11,508,331,211,,,11,1,0,0,,267,1,0,0,11,3,,0,3,0
Gipuzkoa,BERGARA,,74,4,11478,7152,32,7120,30,7090,4326,2597,,,509,11,0,18,,3333,24,1,3,401,107,,1,78,7
Bizkaia,BERMEO,,17,4,13124,7356,35,7321,44,7277,5768,4015,2,2,262,21,2,9,,2517,30,,0,311,57,3,,37,9
Álava,BERNEDO,,16,2,425,179,,179,2,177,246,74,,,13,2,0,0,0,46,7,,0,15,17,1,,1,1
Bizkaia,BERRIATUA,,18,4,852,507,1,506,3,503,345,246,1,0,7,2,0,0,,237,0,,0,7,1,0,,2,0
Bizkaia,BERRIZ,,19,3,3422,1981,22,1959,23,1936,1441,755,1,2,237,7,0,5,,649,18,,0,173,60,0,,26,3
Gipuzkoa,BERROBI,,23,3,437,206,,206,2,204,231,70,,,6,0,0,0,,115,1,0,0,3,1,,8,0,0
Gipuzkoa,BIDANIA-GOIATZ,,24,4,396,236,1,235,2,233,160,69,,,5,1,0,0,,147,1,0,0,6,3,,0,1,0
Bizkaia,BILBAO,,20,1,273004,132625,813,131812,1270,130542,140379,55614,92,146,18972,867,254,312,,23970,3425,,123,11599,12680,132,,2144,212
Bizkaia,BUSTURIA,,21,4,1322,812,5,807,6,801,510,457,0,0,31,4,0,1,,251,2,,0,34,12,0,,9,0
Álava,CAMPEZO/KANPEZU,,17,2,816,469,3,466,1,465,347,191,,,45,3,3,0,0,159,11,,0,21,25,0,,5,2
Gipuzkoa,DEBA,,29,4,4287,2722,10,2712,35,2677,1565,1170,,,164,9,2,9,,1077,19,2,1,157,42,,0,22,3
Bizkaia,DERIO,,901,4,5225,2909,28,2881,38,2843,2316,1272,3,1,436,24,9,7,,689,45,,2,213,109,1,,29,3
Bizkaia,DIMA,,26,3,1148,812,11,801,8,793,336,295,0,1,5,4,1,5,,446,0,,0,22,4,1,,9,0
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,147515,80023,344,79679,837,78842,67492,29314,,,12483,492,92,330,,19334,1751,74,50,6471,7000,,53,1276,122
Bizkaia,DURANGO,,27,3,22839,13362,81,13281,92,13189,9477,5564,4,12,1243,55,19,30,,4200,153,,7,1119,634,1,,135,13
Bizkaia,EA,,28,4,674,502,4,498,2,496,172,217,0,0,0,0,1,1,,258,4,,0,12,2,0,,1,0
Gipuzkoa,EIBAR,,30,4,21033,11324,51,11273,148,11125,9709,3662,,,2432,49,9,36,,3357,100,8,7,802,479,,0,169,15
Bizkaia,ELANTXOBE,,31,4,294,225,3,222,2,220,69,118,0,0,0,1,0,0,,98,0,,0,2,1,0,,0,0
Álava,ELBURGO/BURGELU,,21,2,478,257,2,255,3,252,221,125,,,13,4,0,3,0,50,15,,0,14,24,0,,4,0
Álava,ELCIEGO,,22,2,753,432,7,425,7,418,321,139,,,90,3,0,0,1,56,12,,0,34,80,0,,3,0
Gipuzkoa,ELDUAIN,,31,3,183,106,1,105,,105,77,44,,,0,0,0,0,,60,0,0,0,1,0,,0,0,0
Gipuzkoa,ELGETA,,33,4,858,584,3,581,4,577,274,200,,,8,3,0,1,,309,4,0,0,33,8,,0,11,0
Gipuzkoa,ELGOIBAR,,32,4,8621,4881,15,4866,31,4835,3740,2053,,,547,13,2,21,,1731,37,2,1,246,152,,0,27,3
Bizkaia,ELORRIO,,32,3,5731,3677,29,3648,27,3621,2054,1397,0,1,262,7,3,11,,1578,25,,0,207,95,1,,31,3
Álava,ELVILLAR/BILAR,,23,2,257,163,2,161,2,159,94,79,,,11,0,0,0,0,30,8,,0,10,21,0,,0,0
Bizkaia,ERANDIO,,902,4,19024,9481,95,9386,103,9283,9543,3932,6,15,1650,77,10,25,,2050,146,,7,869,396,5,,75,20
Bizkaia,EREÑO,,33,4,219,153,,153,1,152,66,73,0,0,2,1,0,0,,66,1,,0,7,1,0,,1,0
Bizkaia,ERMUA,,34,3,12624,6389,49,6340,66,6274,6235,1562,11,21,1672,44,6,16,,1333,118,,1,749,632,2,,87,20
Gipuzkoa,ERRENTERIA,,67,2,30610,14841,103,14738,139,14599,15769,3693,,,2934,86,7,45,,5236,170,8,11,1629,633,,4,124,19
Gipuzkoa,ERREZIL,,66,4,439,282,1,281,,281,157,93,,,0,0,0,0,,183,0,0,0,4,0,,0,1,0
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,635,360,3,357,3,354,275,147,,,39,2,0,1,2,75,16,,0,32,34,0,,6,0
Bizkaia,ERRIGOITI,,79,4,396,268,5,263,2,261,128,128,0,0,3,0,0,0,,120,0,,0,6,1,0,,3,0
Gipuzkoa,ESKORIATZA,,34,4,3213,1772,11,1761,12,1749,1441,741,,,128,4,1,1,,713,10,0,0,108,20,,0,21,2
Bizkaia,ETXEBARRI,,29,3,8719,4061,24,4037,39,3998,4658,1640,5,3,732,23,5,10,,713,82,,7,481,227,1,,52,17
Bizkaia,ETXEBARRIA,,30,4,589,436,1,435,6,429,153,216,0,1,4,0,0,0,,200,0,,0,6,0,0,,2,0
Gipuzkoa,EZKIO-ITSASO,,35,3,469,315,1,314,2,312,154,115,,,10,0,0,0,,167,3,0,0,13,0,,0,3,1
Bizkaia,FORUA,,906,4,735,520,1,519,5,514,215,280,0,1,12,1,0,0,,180,2,,0,22,10,0,,6,0
Bizkaia,FRUIZ,,35,4,412,279,1,278,4,274,133,143,0,0,5,1,0,1,,100,4,,0,16,2,0,,2,0
Gipuzkoa,GABIRIA,,38,3,394,255,,255,6,249,139,93,,,4,1,0,0,,143,0,0,0,5,0,,0,3,0
Gipuzkoa,GAINTZA,,37,3,99,57,,57,3,54,42,22,,,0,1,0,0,,28,0,0,0,3,0,,0,0,0
Bizkaia,GALDAKAO,,36,3,24071,12285,97,12188,79,12109,11786,4979,7,13,1460,60,14,20,,3652,184,,13,1038,507,7,,132,23
Bizkaia,GALDAMES,,37,2,694,432,8,424,5,419,262,208,0,0,22,2,0,1,,143,5,,0,28,6,0,,3,1
Bizkaia,GAMIZ-FIKA,,38,4,1155,779,11,768,9,759,376,421,0,1,20,2,2,0,,253,1,,0,40,11,0,,7,1
Bizkaia,GARAI,,39,3,256,209,1,208,4,204,47,105,2,0,4,0,0,0,,80,1,,0,4,5,0,,2,1
Bizkaia,GATIKA,,40,4,1309,831,8,823,5,818,478,469,0,0,26,3,1,1,,241,10,,0,43,19,0,,5,0
