TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,EA,EKA,PH,EAE / ANV,PSE-EE/PSOE,BERDEAK-LV,PLAZANDREOK,INNDE,EB / ARALAR
Bizkaia,ABADIÑO,,1,3,5939,3778,975,2803,95,2708,2161,1193,376,107,9,49,,644,,,,330
Gipuzkoa,ABALTZISKETA,,1,3,237,128,29,99,9,90,109,45,1,16,,,,3,,,,25
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,8231,5191,74,5117,101,5016,3040,2471,209,119,,,579,1361,,,,277
Gipuzkoa,ADUNA,,2,3,301,208,115,93,9,84,93,27,1,28,,,,2,,,,26
Álava,AGURAIN/SALVATIERRA,,51,2,3563,2123,24,2099,29,2070,1440,816,232,69,,,518,305,,,7,123
Gipuzkoa,AIA,,16,4,1481,920,230,690,6,684,561,513,6,79,,,,15,9,,,62
Gipuzkoa,AIZARNAZABAL,,3,4,494,366,242,124,4,120,128,80,2,20,,,,2,2,,,14
Bizkaia,AJANGIZ,,911,4,372,331,158,173,5,168,41,123,1,26,0,,,1,0,,,17
Gipuzkoa,ALBIZTUR,,4,3,254,145,18,127,2,125,109,83,0,17,,,,9,,,,16
Gipuzkoa,ALEGIA,,5,3,1371,825,333,492,35,457,546,227,29,87,,,,41,,,,73
Álava,ALEGRÍA-DULANTZI,,1,2,1777,1203,12,1191,26,1165,574,343,158,192,,,144,246,,,13,69
Gipuzkoa,ALKIZA,,6,3,255,165,47,118,3,115,90,68,1,15,,,,0,,,,31
Bizkaia,ALONSOTEGI,,912,2,2421,1749,23,1726,13,1713,672,810,100,193,,,252,276,,,,82
Gipuzkoa,ALTZAGA,,906,3,119,88,32,56,7,49,31,26,0,7,,,,2,,,,14
Gipuzkoa,ALTZO,,7,3,293,238,81,157,7,150,55,99,1,15,,,,1,,,,34
Gipuzkoa,AMEZKETA,,8,3,783,560,221,339,22,317,223,172,7,62,,,,6,,,,70
