TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,EA,EKA,PH,EAE / ANV,PSE-EE/PSOE,BERDEAK-LV,PLAZANDREOK,INNDE,EB / ARALAR
Bizkaia,AMOREBIETA-ETXANO,,3,3,14215,8950,1792,7158,129,7029,5265,3509,545,527,9,68,,1451,,,,920
Bizkaia,AMOROTO,,4,4,346,244,50,194,7,187,102,145,0,14,0,,,1,5,,,22
Álava,AMURRIO,,2,3,8248,5603,709,4894,126,4768,2645,1766,688,1175,,,,744,,,,395
Gipuzkoa,ANDOAIN,,9,3,11938,6900,1502,5398,92,5306,5038,1258,640,488,,,,2243,,,,677
Gipuzkoa,ANOETA,,10,3,1400,953,481,472,20,452,447,218,45,43,,,,74,,,,72
Gipuzkoa,ANTZUOLA,,11,4,1760,1287,472,815,27,788,473,344,18,72,,,,156,5,,,193
Bizkaia,ARAKALDO,,5,3,94,63,23,40,3,37,31,32,2,1,0,0,,0,,,,2
Gipuzkoa,ARAMA,,12,3,152,137,51,86,2,84,15,42,5,16,,,,2,,,,19
Álava,ARAMAIO,,3,2,1275,951,14,937,5,932,324,321,17,136,,,374,22,,,1,61
Bizkaia,ARANTZAZU,,6,3,262,218,62,156,5,151,44,108,4,18,1,2,,1,,,,17
Bizkaia,AREATZA,,93,3,854,648,147,501,8,493,206,310,59,31,1,4,,32,,,,56
Gipuzkoa,ARETXABALETA,,13,4,5422,3224,912,2312,35,2277,2198,570,133,521,,,,440,43,,,570
Álava,ARMIÑÓN,,6,2,179,134,3,131,6,125,45,46,38,1,,,10,26,,,3,1
Álava,ARRAIA-MAEZTU,,37,2,644,468,7,461,7,454,176,197,94,30,,,51,48,,,2,32
Bizkaia,ARRANKUDIAGA,,9,3,733,538,168,370,5,365,195,307,12,17,0,0,,11,,,,18
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,18784,11245,3058,8187,149,8038,7539,2060,800,1024,,,,2212,133,,,1809
Bizkaia,ARRATZU,,914,4,315,262,95,167,2,165,53,136,1,13,0,,,2,2,,,11
Álava,ARRATZUA-UBARRUNDIA,,8,2,751,517,10,507,12,495,234,233,103,11,,,47,68,,,1,32
Bizkaia,ARRIETA,,10,4,482,321,68,253,,253,161,201,5,24,0,,,3,2,,,18
Bizkaia,ARRIGORRIAGA,,11,3,9881,5713,808,4905,109,4796,4168,2260,539,252,1,27,,1215,,,,502
Bizkaia,ARTEA,,23,3,580,496,111,385,14,371,84,198,25,106,2,0,,4,,,,36
Bizkaia,ARTZENTALES,,8,2,625,480,8,472,6,466,145,310,15,7,,,87,15,,,,32
Álava,ARTZINIEGA,,4,3,1416,994,133,861,24,837,422,367,182,75,,,,103,,,,110
Álava,ASPARRENA,,9,2,1339,942,14,928,15,913,397,241,75,118,,,212,73,,,4,190
Gipuzkoa,ASTEASU,,14,3,1123,696,273,423,9,414,427,164,9,180,,,,13,,,,48
Gipuzkoa,ASTIGARRAGA,,903,1,3390,1892,691,1201,31,1170,1498,347,104,362,,,,166,,1,,190
Gipuzkoa,ATAUN,,15,3,1353,1082,498,584,19,565,271,342,3,98,,,,8,,,,114
Bizkaia,ATXONDO,,91,3,1218,873,338,535,10,525,345,360,28,13,0,1,,73,,,,50
Bizkaia,AULESTI,,70,4,585,454,236,218,5,213,131,177,1,22,0,,,2,0,,,11
Álava,AYALA/AIARA,,10,3,2200,1571,232,1339,24,1315,629,692,203,238,,,,106,,,,76
Gipuzkoa,AZKOITIA,,17,4,8836,5750,1563,4187,65,4122,3086,2360,311,383,,,,605,63,,,400
Gipuzkoa,AZPEITIA,,18,4,11139,7547,2290,5257,75,5182,3592,3124,251,893,,,,374,47,,,493
Álava,AÑANA,,49,2,167,146,1,145,1,144,21,72,27,6,,,22,16,,,0,1
Bizkaia,BAKIO,,12,4,1833,1452,258,1194,18,1176,381,762,35,198,1,,,47,19,,,114
Gipuzkoa,BALIARRAIN,,904,3,78,53,45,8,,8,25,6,0,0,,,,0,,,,2
Bizkaia,BALMASEDA,,90,2,6103,4539,101,4438,65,4373,1564,2257,283,211,,,386,1081,,,,155
Bizkaia,BARAKALDO,,13,2,83596,47249,499,46750,769,45981,36347,10470,7878,948,,,4678,18729,,,,3278
Bizkaia,BARRIKA,,14,4,1160,756,139,617,22,595,404,304,58,81,0,,,84,8,,,60
Álava,BARRUNDIA,,13,2,681,451,14,437,1,436,230,163,57,13,,,122,45,,,3,33
Bizkaia,BASAURI,,15,3,37140,21684,1821,19863,314,19549,15456,6699,2877,659,14,105,,7708,,,,1487
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,271,240,5,235,6,229,31,88,93,1,,,4,35,,,2,6
Gipuzkoa,BEASAIN,,19,3,10373,5678,1088,4590,101,4489,4695,1650,407,644,,,,1204,,,,584
Bizkaia,BEDIA,,92,3,812,613,143,470,10,460,199,369,34,6,0,0,,33,,,,18
Gipuzkoa,BEIZAMA,,20,4,152,101,44,57,,57,51,41,1,8,,,,0,2,,,5
Gipuzkoa,BELAUNTZA,,21,3,248,195,94,101,6,95,53,58,8,15,,,,3,,,,11
Bizkaia,BERANGO,,16,4,4976,3117,451,2666,61,2605,1859,1207,439,157,0,,,498,45,,,259
Álava,BERANTEVILLA,,14,2,410,304,7,297,6,291,106,143,98,3,,,12,21,,,1,13
Gipuzkoa,BERASTEGI,,22,3,794,579,168,411,13,398,215,91,5,233,,,,13,,,,56
Gipuzkoa,BERGARA,,74,4,12243,7052,2077,4975,78,4897,5191,1982,263,582,,,,760,53,,,1257
Bizkaia,BERMEO,,17,4,14146,8925,1530,7395,78,7317,5221,3761,166,2548,7,,,408,57,,,370
Álava,BERNEDO,,16,2,523,305,3,302,5,297,218,132,79,13,,,30,25,,,2,16
Bizkaia,BERRIATUA,,18,4,997,632,268,364,5,359,365,267,2,30,0,,,15,5,,,40
Bizkaia,BERRIZ,,19,3,3915,2462,644,1818,37,1781,1453,889,178,124,1,7,,389,,,,193
Gipuzkoa,BERROBI,,23,3,470,341,120,221,11,210,129,101,24,38,,,,19,,,,28
Gipuzkoa,BIDANIA-GOIATZ,,24,4,378,226,49,177,7,170,152,40,5,107,,,,5,0,,,13
Bizkaia,BILBAO,,20,1,297815,169508,13162,156346,2864,153482,128307,61151,35878,4777,135,424,,37346,1969,,,11802
Bizkaia,BUSTURIA,,21,4,1563,1106,316,790,18,772,457,436,33,187,0,,,48,3,,,65
Álava,CAMPEZO/KANPEZU,,17,2,963,689,16,673,9,664,274,267,135,54,,,103,56,,,1,48
Gipuzkoa,DEBA,,29,4,4455,3011,723,2288,64,2224,1444,652,122,788,,,,162,53,,,447
Bizkaia,DERIO,,901,4,4300,2742,256,2486,44,2442,1558,1250,201,142,7,,,673,22,,,147
Bizkaia,DIMA,,26,3,1060,874,288,586,18,568,186,475,10,35,0,4,,3,,,,41
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,148626,84852,11166,73688,2444,71244,63774,14164,16269,6901,,,,24333,,634,,8943
Bizkaia,DURANGO,,27,3,22062,13237,2296,10941,229,10712,8825,4503,1632,477,21,62,,2193,,,,1824
Bizkaia,EA,,28,4,809,610,194,416,7,409,199,267,7,107,0,,,5,0,,,23
Gipuzkoa,EIBAR,,30,4,23066,14304,1832,12472,216,12256,8762,3083,1249,1130,,,,5378,120,,,1296
Bizkaia,ELANTXOBE,,31,4,439,311,74,237,3,234,128,167,3,49,0,,,3,1,,,11
Álava,ELBURGO/BURGELU,,21,2,408,267,15,252,7,245,141,124,67,7,,,15,27,,,0,5
Álava,ELCIEGO,,22,2,854,704,8,696,18,678,150,135,159,28,,,30,285,,,14,27
Gipuzkoa,ELDUAIN,,31,3,188,113,74,39,1,38,75,21,0,11,,,,0,,,,6
Gipuzkoa,ELGETA,,33,4,840,654,191,463,9,454,186,225,11,24,,,,14,1,,,179
Gipuzkoa,ELGOIBAR,,32,4,9054,5824,1089,4735,99,4636,3230,1732,448,688,,,,1050,60,,,658
Bizkaia,ELORRIO,,32,3,6016,4139,1459,2680,59,2621,1877,1313,282,127,6,15,,501,,,,377
Álava,ELVILLAR/BILAR,,23,2,298,263,3,260,3,257,35,117,100,0,,,24,13,,,0,3
Bizkaia,ERANDIO,,902,4,19784,11208,1104,10104,198,9906,8576,4782,1129,342,10,,,2918,134,,,591
Bizkaia,EREÑO,,33,4,245,211,38,173,,173,34,131,1,22,0,,,1,5,,,13
Bizkaia,ERMUA,,34,3,13636,8095,480,7615,121,7494,5541,1151,1683,244,21,64,,3542,,,,789
Gipuzkoa,ERRENTERIA,,67,2,31948,17399,3888,13511,296,13215,14549,2291,1524,934,,,,6313,,175,,1978
Gipuzkoa,ERREZIL,,66,4,520,392,191,201,4,197,128,171,1,13,,,,3,1,,,8
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,582,449,7,442,17,425,133,171,116,12,,,67,42,,,2,15
Bizkaia,ERRIGOITI,,79,4,461,398,82,316,3,313,63,243,9,30,1,,,3,1,,,26
Gipuzkoa,ESKORIATZA,,34,4,3294,1977,671,1306,29,1277,1317,375,68,305,,,,298,20,,,211
Bizkaia,ETXEBARRI,,29,3,6785,3878,252,3626,165,3461,2907,1023,533,229,8,60,,1299,,,,309
Bizkaia,ETXEBARRIA,,30,4,708,532,210,322,7,315,176,280,2,9,0,,,4,0,,,20
Gipuzkoa,EZKIO-ITSASO,,35,3,455,367,154,213,7,206,88,73,5,77,,,,4,,,,47
Bizkaia,FORUA,,906,4,841,598,212,386,6,380,243,296,19,23,0,,,17,1,,,24
Bizkaia,FRUIZ,,35,4,358,254,64,190,11,179,104,145,8,8,0,,,6,2,,,10
Gipuzkoa,GABIRIA,,38,3,342,273,74,199,5,194,69,60,2,106,,,,5,,,,21
Gipuzkoa,GAINTZA,,37,3,113,66,6,60,11,49,47,28,0,8,,,,0,,,,13
Bizkaia,GALDAKAO,,36,3,24442,13886,1868,12018,221,11797,10556,5018,1456,667,103,45,,2897,,,,1611
Bizkaia,GALDAMES,,37,2,807,560,7,553,3,550,247,276,17,79,,,101,39,,,,38
Bizkaia,GAMIZ-FIKA,,38,4,1060,764,194,570,11,559,296,370,25,100,1,,,18,2,,,43
Bizkaia,GARAI,,39,3,259,222,39,183,11,172,37,137,5,4,2,5,,3,,,,16
Bizkaia,GATIKA,,40,4,1230,944,243,701,23,678,286,409,27,150,0,,,42,8,,,42
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,756,568,103,465,13,452,188,317,17,51,4,,,22,4,,,37
Gipuzkoa,GAZTELU,,907,3,149,127,62,65,4,61,22,43,1,4,,,,1,,,,12
Bizkaia,GERNIKA-LUMO,,46,4,13124,8971,2126,6845,107,6738,4153,3007,414,1986,7,,,681,47,,,596
Gipuzkoa,GETARIA,,39,4,2004,1483,414,1069,19,1050,521,653,21,119,,,,45,5,,,207
Bizkaia,GETXO,,44,4,67031,41989,3521,38468,825,37643,25042,13828,12399,1605,32,,,6519,867,,,2393
Bizkaia,GIZABURUAGA,,47,4,147,105,46,59,3,56,42,41,0,7,0,,,0,0,,,8
Bizkaia,GORDEXOLA,,42,2,1422,1124,10,1114,27,1087,298,604,132,88,,,84,73,,,,106
Bizkaia,GORLIZ,,43,4,4144,2697,368,2329,62,2267,1447,1245,223,205,4,,,242,65,,,283
Bizkaia,GÜEÑES,,45,2,5199,3761,69,3692,67,3625,1438,1792,207,317,,,469,603,,,,237
Álava,HARANA/VALLE DE ARANA,,56,2,299,218,2,216,3,213,81,126,51,0,,,24,8,,,0,4
Gipuzkoa,HERNANI,,40,1,15405,9075,3784,5291,183,5108,6330,1085,502,922,,,,1476,,104,,1019
Gipuzkoa,HERNIALDE,,41,3,271,184,53,131,20,111,87,51,3,22,,,,7,,,,28
Gipuzkoa,HONDARRIBIA,,36,2,12827,7505,1169,6336,218,6118,5322,2367,636,1339,,,,968,,55,,753
Gipuzkoa,IBARRA,,42,3,3530,2027,722,1305,47,1258,1503,398,112,311,,,,280,,,,157
Bizkaia,IBARRANGELU,,48,4,553,401,95,306,6,300,152,231,7,23,0,,,8,6,,,25
Gipuzkoa,IDIAZABAL,,43,3,1768,1241,362,879,32,847,527,397,33,269,,,,42,,,,106
Bizkaia,IGORRE,,94,3,3326,2467,753,1714,52,1662,859,1163,61,166,5,19,,125,,,,123
Gipuzkoa,IKAZTEGIETA,,44,3,352,271,124,147,2,145,81,108,4,12,,,,9,,,,12
Gipuzkoa,IRUN,,45,2,48056,26884,2461,24423,685,23738,21172,4705,4491,1453,,,,10500,,239,,2350
Gipuzkoa,IRURA,,46,3,968,600,195,405,120,285,368,105,14,69,,,,38,,,,59
Álava,IRURAIZ-GAUNA,,27,2,422,237,6,231,2,229,185,79,56,16,,,51,13,,,0,14
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,2061,1416,38,1378,44,1334,645,304,393,23,,,91,432,,,13,78
Bizkaia,ISPASTER,,49,4,597,465,74,391,21,370,132,292,7,31,1,,,2,8,,,29
Gipuzkoa,ITSASONDO,,47,3,498,298,153,145,13,132,200,66,2,17,,,,16,,,,31
Bizkaia,IURRETA,,910,3,3243,1963,405,1558,32,1526,1280,621,245,71,2,11,,422,,,,154
Bizkaia,IZURTZA,,50,3,229,184,74,110,3,107,45,86,4,2,1,0,,6,,,,8
Bizkaia,KARRANTZA HARANA/VALLE DE CARRANZA,,22,2,2652,1791,29,1762,21,1741,861,1062,81,45,,,230,143,,,,180
Bizkaia,KORTEZUBI,,907,4,364,313,91,222,3,219,51,160,8,30,0,,,6,1,,,14
Álava,KRIPAN,,19,2,155,127,,127,,127,28,89,20,1,,,9,8,,,0,0
Álava,KUARTANGO,,20,2,330,241,1,240,2,238,89,140,29,2,,,49,9,,,1,8
Álava,LABASTIDA/BASTIDA,,28,2,1153,891,9,882,14,868,262,238,325,16,,,78,109,,,6,96
Álava,LAGRÁN,,30,2,191,156,2,154,4,150,35,62,63,6,,,3,15,,,0,1
Álava,LAGUARDIA,,31,2,1274,1030,23,1007,13,994,244,312,450,54,,,71,81,,,4,22
Álava,LANCIEGO/LANTZIEGO,,32,2,557,431,11,420,6,414,126,162,137,9,,,21,77,,,1,7
Bizkaia,LANESTOSA,,51,2,280,205,,205,2,203,75,126,22,3,,,17,26,,,,9
Álava,LANTARÓN,,902,2,853,551,5,546,8,538,302,232,168,8,,,35,57,,,0,38
Álava,LAPUEBLA DE LABARCA,,33,2,719,593,4,589,6,583,126,286,141,54,,,18,66,,,3,15
Bizkaia,LARRABETZU,,52,4,1467,1197,451,746,11,735,270,515,28,17,1,,,23,8,,,143
Gipuzkoa,LARRAUL,,48,3,157,92,22,70,7,63,65,22,0,12,,,,5,,,,24
Gipuzkoa,LASARTE-ORIA,,902,1,14500,8969,1297,7672,187,7485,5531,1143,928,578,,,,3677,,172,,987
Álava,LAUDIO/LLODIO,,36,3,15696,9769,1913,7856,192,7664,5927,3578,1300,421,,,,1777,,,,588
Bizkaia,LAUKIZ,,53,4,793,616,83,533,14,519,177,342,73,48,0,,,41,4,,,11
Gipuzkoa,LAZKAO,,49,3,4133,2446,746,1700,66,1634,1687,753,125,208,,,,355,,,,193
Gipuzkoa,LEABURU,,50,3,325,247,168,79,3,76,78,33,3,13,,,,1,,,,26
Gipuzkoa,LEGAZPI,,51,3,7336,4684,1008,3676,80,3596,2652,1030,346,805,,,,758,,,,657
Gipuzkoa,LEGORRETA,,52,3,1179,852,313,539,11,528,327,301,32,67,,,,67,,,,61
Álava,LEGUTIO,,58,2,1288,812,4,808,4,804,476,230,55,171,,,202,84,,,0,62
Gipuzkoa,LEINTZ-GATZAGA,,68,4,206,134,67,67,4,63,72,39,1,9,,,,2,2,,,10
Bizkaia,LEIOA,,54,4,23520,13774,1207,12567,273,12294,9746,5171,2136,559,6,,,3212,157,,,1053
Bizkaia,LEKEITIO,,57,4,6307,4325,1541,2784,45,2739,1982,1682,71,711,2,,,59,18,,,196
Bizkaia,LEMOA,,55,3,2450,1708,387,1321,29,1292,742,738,90,197,5,11,,144,,,,107
Bizkaia,LEMOIZ,,56,4,830,609,138,471,13,458,221,349,13,36,0,,,16,9,,,35
Álava,LEZA,,34,2,186,147,3,144,5,139,39,62,12,18,,,19,26,,,1,1
Bizkaia,LEZAMA,,81,4,1927,1279,261,1018,19,999,648,693,57,60,1,,,84,10,,,94
Gipuzkoa,LEZO,,53,2,4859,2842,1336,1506,46,1460,2017,574,126,131,,,,397,,9,,223
Gipuzkoa,LIZARTZA,,54,3,499,349,225,124,19,105,150,59,20,15,,,,0,,,,11
Bizkaia,LOIU,,903,4,1697,1229,113,1116,14,1102,468,761,157,60,0,,,69,7,,,48
Bizkaia,MALLABIA,,58,3,1013,704,274,430,8,422,309,275,33,20,1,4,,68,,,,21
Bizkaia,MARKINA-XEMEIN,,60,4,3852,2347,657,1690,25,1665,1505,1233,47,71,2,,,62,16,,,234
Bizkaia,MARURI-JATABE,,61,4,706,540,80,460,14,446,166,290,34,53,0,,,25,6,,,38
Bizkaia,MAÑARIA,,59,3,404,294,97,197,10,187,110,156,6,4,0,0,,5,,,,16
Gipuzkoa,MENDARO,,901,4,1392,869,168,701,14,687,523,362,30,113,,,,100,8,,,74
Bizkaia,MENDATA,,62,4,331,272,26,246,8,238,59,144,7,84,0,,,0,1,,,2
Bizkaia,MENDEXA,,63,4,350,269,136,133,3,130,81,104,1,4,0,,,7,1,,,13
Bizkaia,MEÑAKA,,64,4,575,514,124,390,3,387,61,191,4,167,0,,,10,0,,,15
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,254,200,5,195,5,190,54,60,40,0,,,3,73,,,1,13
Bizkaia,MORGA,,66,4,357,264,42,222,1,221,93,192,4,8,0,,,3,3,,,11
Bizkaia,MUNDAKA,,68,4,1638,1186,234,952,16,936,452,619,10,225,0,,,27,4,,,51
Bizkaia,MUNGIA,,69,4,12056,7509,1013,6496,112,6384,4547,4004,651,466,11,,,733,61,,,458
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,348,248,83,165,1,164,100,149,2,1,0,,,0,0,,,12
Bizkaia,MURUETA,,908,4,246,194,52,142,6,136,52,99,3,16,0,,,7,4,,,7
Bizkaia,MUSKIZ,,71,2,5978,4162,59,4103,84,4019,1816,1587,190,645,,,568,862,,,,167
Gipuzkoa,MUTILOA,,57,3,177,114,41,73,7,66,63,27,0,25,,,,3,,,,11
Gipuzkoa,MUTRIKU,,56,4,4090,2652,930,1722,46,1676,1438,969,109,216,,,,109,117,,,156
Bizkaia,MUXIKA,,67,4,1189,932,286,646,26,620,257,459,15,86,1,,,20,6,,,33
Bizkaia,NABARNIZ,,909,4,205,164,86,78,,78,41,68,0,4,0,,,0,1,,,5
Álava,NAVARIDAS,,41,2,169,131,3,128,5,123,38,41,55,6,,,3,8,,,5,5
Gipuzkoa,OIARTZUN,,63,2,7867,5307,2518,2789,89,2700,2560,846,167,953,,,,241,,34,,459
Álava,OKONDO,,42,3,885,768,116,652,12,640,117,289,49,252,,,,19,,,,31
Gipuzkoa,OLABERRIA,,58,3,775,593,132,461,8,453,182,168,31,134,,,,78,,,,42
Bizkaia,ONDARROA,,73,4,7609,4808,2141,2667,60,2607,2801,1712,204,308,7,,,134,12,,,230
Gipuzkoa,ORDIZIA,,76,3,7121,4408,1115,3293,60,3233,2713,946,319,485,,,,840,,,,643
Gipuzkoa,ORENDAIN,,905,3,145,124,53,71,5,66,21,30,0,23,,,,0,,,,13
Gipuzkoa,OREXA,,60,3,91,79,69,10,3,7,12,6,0,1,,,,0,,,,0
Gipuzkoa,ORIO,,61,4,3838,2516,606,1910,44,1866,1322,882,81,222,,,,200,34,,,447
Gipuzkoa,ORMAIZTEGI,,62,3,1036,776,247,529,23,506,260,260,19,99,,,,40,,,,88
Bizkaia,OROZKO,,75,3,1901,1363,204,1159,24,1135,538,854,90,96,1,4,,33,,,,57
Bizkaia,ORTUELLA,,83,2,7350,4816,41,4775,68,4707,2534,1790,201,451,,,391,1628,,,,246
Bizkaia,OTXANDIO,,72,3,1010,792,326,466,7,459,218,323,30,30,2,1,,29,,,,44
Álava,OYÓN-OION,,43,2,2347,1553,22,1531,16,1515,794,561,410,24,,,165,300,,,5,50
Gipuzkoa,OÑATI,,59,4,8957,5451,1302,4149,71,4078,3506,1776,230,810,,,,347,39,,,876
Gipuzkoa,PASAIA,,64,2,12949,6934,2092,4842,185,4657,6015,1032,650,603,,,,1653,,66,,653
Álava,PEÑACERRADA-URIZAHARRA,,44,2,232,184,1,183,1,182,48,53,51,34,,,24,12,,,1,7
Bizkaia,PLENTZIA,,77,4,3416,2291,262,2029,33,1996,1125,1181,219,180,4,,,197,58,,,157
Bizkaia,PORTUGALETE,,78,2,42077,24889,208,24681,386,24295,17188,7144,3796,508,,,1962,8859,,,,2026
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,864,594,8,587,12,575,270,169,185,6,,,23,179,,,1,12
Álava,SAMANIEGO,,52,2,244,189,,189,5,184,55,85,23,5,,,25,40,,,0,6
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,647,341,2,339,9,330,306,145,43,14,,,80,9,,,3,36
Bizkaia,SANTURTZI,,82,2,40176,23933,223,23710,340,23370,16243,8836,2792,406,,,2439,7369,,,,1528
Gipuzkoa,SEGURA,,70,3,1060,773,247,526,17,509,287,205,9,214,,,,27,,,,54
Bizkaia,SESTAO,,84,2,25716,14296,199,14097,263,13834,11420,4397,1646,319,,,1281,5069,,,,1122
Bizkaia,SONDIKA,,904,4,3635,2493,241,2252,42,2210,1142,1404,232,141,1,,,294,14,,,124
Bizkaia,SOPELA,,85,4,9713,5925,1185,4740,113,4627,3788,1969,416,365,6,,,899,178,,,794
Bizkaia,SOPUERTA,,86,2,2166,1591,33,1558,76,1482,575,570,92,430,,,161,165,,,,64
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,3461,2252,556,1696,23,1673,1209,590,207,246,,,,446,19,,,165
Bizkaia,SUKARRIETA,,76,4,317,247,53,194,4,190,70,114,11,47,0,,,7,1,,,10
Gipuzkoa,TOLOSA,,71,3,14515,8386,2057,6329,203,6126,6129,2747,622,1009,,,,923,,,,825
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,463,420,2,418,4,414,43,267,18,8,,,30,27,,,,64
Bizkaia,UBIDE,,88,3,137,111,50,61,4,57,26,43,7,1,0,0,,1,,,,5
Bizkaia,UGAO-MIRABALLES,,65,3,3380,2168,448,1720,35,1685,1212,904,152,205,2,6,,281,,,,135
Bizkaia,URDULIZ,,89,4,2730,1788,309,1479,29,1450,942,814,119,200,0,,,200,9,,,108
Bizkaia,URDUÑA/ORDUÑA,,74,3,3490,2397,618,1779,49,1730,1093,916,194,132,13,15,,231,,,,229
Álava,URKABUSTAIZ,,54,2,882,610,5,605,10,595,272,174,52,84,,,208,53,,,3,21
Gipuzkoa,URNIETA,,72,1,4627,2934,508,2426,72,2354,1693,711,200,83,,,,845,,34,,481
Gipuzkoa,URRETXU,,77,3,5516,3675,846,2829,50,2779,1841,734,216,711,,,,796,,,,322
Gipuzkoa,USURBIL,,73,1,4641,3160,1288,1872,57,1815,1481,357,113,534,,,,321,,10,,480
Álava,VALDEGOVÍA/GAUBEA,,55,2,1019,727,24,703,13,690,292,290,199,19,,,70,86,,,2,24
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10712,6807,68,6739,102,6637,3905,2271,454,111,,,723,2664,,,,414
Gipuzkoa,VILLABONA,,75,3,4575,2591,1003,1588,73,1515,1984,636,150,158,,,,327,,,,244
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,280,234,,234,1,233,46,132,38,8,,,41,12,,,2,0
Álava,VITORIA-GASTEIZ,,59,1,184440,114928,1287,113643,1963,111680,69512,23749,32228,5002,,,9612,33434,,,,7655
Álava,YÉCORA/IEKORA,,60,2,251,213,2,211,5,206,38,83,97,0,,,3,12,,,4,7
Bizkaia,ZALDIBAR,,95,3,2375,1470,323,1147,18,1129,905,432,137,162,1,0,,320,,,,77
Gipuzkoa,ZALDIBIA,,78,3,1183,919,479,440,13,427,264,107,16,46,,,,42,,,,216
Álava,ZALDUONDO,,61,2,159,137,3,134,5,129,22,64,3,5,,,32,12,,,1,12
Bizkaia,ZALLA,,96,2,6716,4973,120,4853,78,4775,1743,2835,220,170,,,425,762,,,,363
Álava,ZAMBRANA,,62,2,324,252,1,251,3,248,72,123,79,7,,,5,15,,,14,5
Bizkaia,ZAMUDIO,,905,4,2690,1808,328,1480,34,1446,882,1005,96,63,0,,,178,6,,,98
Bizkaia,ZARATAMO,,97,3,1394,984,149,835,18,817,410,401,33,225,0,3,,104,,,,51
Gipuzkoa,ZARAUTZ,,79,4,17176,10863,1848,9015,235,8780,6313,2313,984,1959,,,,1857,125,,,1542
Bizkaia,ZEANURI,,24,3,1097,875,236,639,8,631,222,462,16,90,0,0,,19,,,,44
Bizkaia,ZEBERIO,,25,3,902,639,197,442,11,431,263,363,9,12,1,1,,16,,,,29
Gipuzkoa,ZEGAMA,,25,3,1141,880,258,622,18,604,261,87,5,457,,,,8,,,,47
Gipuzkoa,ZERAIN,,26,3,213,166,71,95,3,92,47,68,0,13,,,,0,,,,11
Gipuzkoa,ZESTOA,,27,4,2786,1952,753,1199,18,1181,834,573,15,368,,,,82,5,,,138
Bizkaia,ZIERBENA,,913,2,1139,921,9,912,10,902,218,479,43,37,,,213,87,,,,43
Álava,ZIGOITIA,,18,2,1277,868,11,857,28,829,409,237,93,128,,,192,108,,,3,68
Bizkaia,ZIORTZA - BOLIBAR,,915,4,350,282,110,172,1,171,68,163,2,3,0,,,1,0,,,2
