TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PSE-PSOE,PP,HB,EB-B,EKA,PH,ARM-ADE,FE-JONS,EK-PCPE,CIU,BNG,E.U.,POR-LIA,PLN-LNA,CNPS,PNV...(E94),PAS,EA...(E94),FEI,GV,URCL,PREX,CEC,CTC,JYB,FORO Y CDS,ADN,CPNT,PREPAL,PA-PAP,AG,GPOR-PST
Álava,ARAMAIO,,3,2,1103,656,4,652,11,641,447,11,7,145,8,0,0,0,0,1,0,0,0,0,0,0,179,0,284,0,4,0,1,0,0,0,1,0,0,0,0,0,0
Bizkaia,ARANTZAZU,,6,3,240,183,,183,4,179,57,1,11,61,4,0,0,0,0,0,0,0,0,0,0,0,86,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,AREATZA,,93,3,933,656,14,642,8,634,277,29,96,101,23,1,0,2,0,0,0,0,0,0,1,0,336,0,43,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Gipuzkoa,ARETXABALETA,,13,4,4921,2690,23,2667,37,2630,2231,444,171,822,155,0,0,4,0,2,0,0,0,0,0,0,552,1,454,0,7,0,0,13,1,0,2,1,1,0,0,0,0
Álava,ARMIÑÓN,,6,2,115,79,2,77,3,74,36,1,46,2,7,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Álava,ARRAIA-MAEZTU,,37,2,637,308,5,303,2,301,329,48,62,21,18,0,0,3,0,0,1,0,0,0,1,0,120,0,18,0,5,0,0,2,0,0,2,0,0,0,0,0,0
Bizkaia,ARRANKUDIAGA,,9,3,618,469,4,465,,465,149,5,13,135,3,0,0,0,0,0,0,0,0,0,0,0,285,0,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,20270,10614,55,10559,161,10398,9656,2040,977,2670,964,3,4,13,1,9,1,7,9,9,10,1,2058,1,1458,3,86,2,2,16,2,2,20,1,12,6,8,2,1
Bizkaia,ARRATZU,,914,4,330,267,,267,2,265,63,0,4,131,0,0,0,0,0,0,0,0,0,0,0,0,98,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Álava,ARRATZUA-UBARRUNDIA,,8,2,570,285,3,282,3,279,285,36,63,26,18,0,0,3,0,2,0,0,0,0,2,0,111,1,11,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,ARRIETA,,10,4,380,231,4,227,4,223,149,7,11,26,3,0,0,0,0,0,0,0,0,0,0,0,152,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,ARRIGORRIAGA,,11,3,8137,4446,15,4431,97,4334,3691,849,423,759,454,1,4,7,0,20,1,14,1,3,5,0,1553,5,170,0,30,2,0,9,1,0,12,3,5,1,1,0,1
Bizkaia,ARTEA,,23,3,533,400,9,391,2,389,133,5,37,94,5,0,0,4,0,0,0,1,0,0,0,0,180,0,61,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Bizkaia,ARTZENTALES,,8,2,553,384,4,380,3,377,169,19,34,43,9,0,0,1,0,0,0,0,0,1,0,0,239,0,26,1,4,0,0,0,0,0,0,0,0,0,0,0,0
Álava,ARTZINIEGA,,4,3,1022,661,9,652,8,644,361,56,170,88,27,5,0,2,0,0,1,2,1,0,0,3,232,6,23,0,9,0,0,8,0,0,0,0,2,0,3,0,6
Álava,ASPARRENA,,9,2,1287,672,8,664,14,650,615,96,101,138,33,0,2,1,0,0,0,0,1,0,0,0,202,0,63,2,3,1,1,1,0,0,2,1,1,0,0,0,1
Gipuzkoa,ASTEASU,,14,3,957,392,,392,2,390,565,12,15,186,18,0,0,0,0,0,0,0,0,0,0,0,63,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,ASTIGARRAGA,,903,1,2509,1323,10,1313,17,1296,1186,73,81,535,61,1,0,7,0,0,0,1,3,0,1,0,245,0,273,1,7,1,1,1,0,0,2,0,1,1,0,0,0
Gipuzkoa,ATAUN,,15,3,1417,887,14,873,19,854,530,5,3,436,4,0,0,0,0,1,0,0,0,0,1,0,195,0,205,0,1,0,0,1,0,0,0,0,1,0,0,0,1
Bizkaia,ATXONDO,,91,3,1156,698,7,691,13,678,458,47,35,187,24,0,0,3,0,1,0,0,0,0,1,0,353,0,19,0,2,1,0,0,0,0,2,0,1,0,0,1,1
Bizkaia,AULESTI,,70,4,585,321,3,318,1,317,264,8,4,146,2,0,0,0,0,0,0,0,0,0,0,0,150,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Álava,AYALA/AIARA,,10,3,1729,1031,12,1019,10,1009,698,41,271,96,51,0,0,1,0,2,0,0,0,0,1,0,407,0,123,0,8,0,0,1,3,0,3,0,1,0,0,0,0
Gipuzkoa,AZKOITIA,,17,4,8429,4473,26,4447,75,4372,3956,456,390,748,197,47,2,8,0,3,0,0,0,1,0,0,1956,0,523,0,16,0,2,4,6,3,6,0,4,0,0,0,0
Gipuzkoa,AZPEITIA,,18,4,10508,5372,23,5349,84,5265,5136,290,364,1146,107,10,2,6,0,7,0,0,4,2,7,0,1826,1,1452,1,15,4,1,2,1,1,2,2,11,0,1,0,0
Álava,AÑANA,,49,2,183,138,,138,3,135,45,11,28,13,6,0,0,1,1,0,0,0,0,0,0,0,63,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,BAKIO,,12,4,1070,743,18,725,5,720,327,17,24,129,16,0,2,1,0,0,0,0,0,0,0,0,442,0,80,0,8,0,0,0,0,0,1,0,0,0,0,0,0
Gipuzkoa,BALIARRAIN,,904,3,85,55,,55,,55,30,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,BALMASEDA,,90,2,6101,3722,34,3688,45,3643,2379,957,532,369,181,0,3,4,4,3,0,1,2,1,3,3,1270,11,258,1,16,2,3,6,0,0,7,1,2,1,1,0,1
Bizkaia,BARAKALDO,,13,2,84975,43347,405,43075,759,42183,41628,12655,7865,4022,6171,4,13,123,15,75,12,67,15,31,32,8,8878,7,1402,5,392,19,7,77,6,23,180,3,38,10,15,2,11
Bizkaia,BARRIKA,,14,4,736,414,,414,9,405,322,19,17,85,17,0,0,0,0,0,0,0,0,0,2,0,243,0,17,0,2,0,0,1,0,0,1,0,0,0,0,0,1
Álava,BARRUNDIA,,13,2,491,177,1,176,2,174,314,8,46,20,8,0,0,2,0,0,0,0,0,0,0,0,79,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bizkaia,BASAURI,,15,3,39979,20137,99,20038,332,19706,19842,5140,2977,2307,2472,7,7,40,4,37,4,7,12,14,19,2,5723,6,603,2,155,14,2,28,2,6,82,4,16,7,5,2,0
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,294,202,1,201,5,196,92,18,75,3,3,1,0,1,0,0,0,0,0,0,0,0,94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,BEASAIN,,19,3,9861,5216,55,5161,103,5058,4645,915,402,1155,384,0,3,10,0,1,1,7,5,1,0,2,1321,1,781,0,42,0,1,3,0,1,10,2,7,2,1,0,0
Bizkaia,BEDIA,,92,3,861,626,4,622,5,617,235,34,52,88,21,3,0,2,0,0,0,0,1,0,0,0,390,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,BEIZAMA,,20,4,155,91,1,90,,90,64,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,38,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,BELAUNTZA,,21,3,232,118,,118,,118,114,3,3,73,2,0,0,0,0,0,0,0,0,0,0,0,23,0,11,0,1,0,0,0,0,1,0,0,0,0,0,1,0
Bizkaia,BERANGO,,16,4,3437,2018,15,2003,23,1980,1419,248,188,398,169,0,2,4,0,2,0,2,0,0,0,1,734,0,211,0,8,2,0,3,0,1,3,0,2,0,0,0,2
Álava,BERANTEVILLA,,14,2,342,208,1,207,2,205,134,16,64,13,31,0,1,0,0,0,0,0,0,0,0,0,73,0,1,0,4,0,0,0,0,0,2,0,0,0,0,0,0
Gipuzkoa,BERASTEGI,,22,3,758,361,10,351,3,348,397,9,10,107,1,0,0,0,0,2,0,0,0,0,0,0,61,0,153,0,2,0,0,3,0,0,0,0,0,0,0,0,0
Gipuzkoa,BERGARA,,74,4,12726,6322,29,6293,104,6189,6404,670,414,1960,393,3,3,7,1,6,2,2,2,6,2,1,1758,3,896,0,17,1,2,15,6,0,4,0,7,2,2,1,3
Bizkaia,BERMEO,,17,4,14405,8130,63,8067,88,7979,6275,529,327,1619,207,2,6,8,1,3,3,6,145,2,9,7,2728,1,2278,1,37,3,2,15,0,6,12,1,12,2,2,2,3
Álava,BERNEDO,,16,2,499,207,1,206,,206,292,6,85,9,10,0,0,2,0,0,0,0,0,0,0,0,87,0,3,0,1,0,0,0,0,0,1,0,2,0,0,0,0
Bizkaia,BERRIATUA,,18,4,824,397,,397,1,396,427,11,5,105,3,0,0,0,0,0,0,1,0,0,0,0,221,0,44,0,4,0,0,1,0,0,0,0,0,0,0,0,1
Bizkaia,BERRIZ,,19,3,3366,1782,20,1762,20,1742,1584,273,153,312,114,0,0,3,1,0,0,0,1,1,1,0,748,0,112,0,9,0,1,4,0,2,4,0,3,0,0,0,0
Gipuzkoa,BERROBI,,23,3,487,241,2,239,6,233,246,21,14,95,9,0,0,0,0,0,0,0,0,0,0,0,43,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,BIDANIA-GOIATZ,,24,4,375,215,,215,,215,160,0,2,63,0,0,0,0,0,0,0,0,0,0,0,0,56,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,BILBAO,,20,1,308877,161638,949,160789,3017,157672,147239,28662,38937,16099,16140,69,76,448,43,203,59,153,62,87,103,54,45812,112,7467,34,1454,72,33,220,86,52,876,20,117,39,31,26,26
Bizkaia,BUSTURIA,,21,4,1399,931,4,927,10,917,468,76,33,235,26,0,0,0,0,2,0,2,0,0,0,0,412,0,124,0,6,0,0,0,0,0,0,0,1,0,0,0,0
Álava,CAMPEZO/KANPEZU,,17,2,975,502,4,498,5,493,473,80,148,38,16,0,0,0,0,0,0,0,0,0,0,0,181,0,28,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Gipuzkoa,DEBA,,29,4,4019,2169,18,2151,56,2095,1850,237,104,567,91,0,0,2,0,1,2,1,0,1,1,0,527,0,538,0,13,0,0,3,1,1,4,0,1,0,0,0,0
Bizkaia,DERIO,,901,4,3947,2280,26,2254,41,2213,1667,519,205,278,163,2,2,4,0,4,0,0,0,3,2,0,854,0,139,0,20,0,1,4,1,2,4,1,3,0,2,0,0
Bizkaia,DIMA,,26,3,893,641,,641,,641,252,6,32,277,3,0,0,0,0,0,0,0,0,0,0,0,246,0,75,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Gipuzkoa,DONOSTIA/SAN SEBASTIÁN,,69,1,146971,71966,380,71635,2052,69534,75005,12222,16117,12263,5941,34,31,179,10,47,23,53,12,26,81,18,10769,10,10256,10,533,13,10,140,50,15,407,10,94,138,10,5,7
Bizkaia,DURANGO,,27,3,18407,10351,48,10303,207,10096,8056,1360,1656,1634,698,4,6,19,2,9,8,11,9,5,6,2,3856,3,642,1,39,1,2,14,22,3,32,0,47,2,1,1,1
Bizkaia,EA,,28,4,709,502,4,498,5,493,207,7,6,133,1,0,0,0,0,1,0,0,0,2,2,0,264,0,76,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,EIBAR,,30,4,26225,13442,62,13380,182,13198,12783,3322,1908,2286,1132,18,7,23,1,28,5,9,3,12,8,2,2834,4,1420,1,84,3,2,21,7,4,31,0,17,1,1,1,3
Bizkaia,ELANTXOBE,,31,4,449,341,2,339,5,334,108,6,6,105,4,0,0,0,0,0,0,0,0,0,0,0,179,0,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Álava,ELBURGO/BURGELU,,21,2,177,92,2,90,,90,85,11,28,3,6,0,1,0,0,0,0,0,0,2,0,0,32,0,2,0,2,0,0,2,0,0,1,0,0,0,0,0,0
Álava,ELCIEGO,,22,2,779,544,10,534,2,532,235,175,168,13,53,0,0,0,0,1,0,0,0,0,0,0,75,0,40,0,2,0,0,0,0,0,5,0,0,0,0,0,0
Gipuzkoa,ELDUAIN,,31,3,222,128,,128,4,124,94,0,4,62,2,0,0,0,0,0,0,0,0,0,0,0,23,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,ELGETA,,33,4,821,472,1,471,10,461,349,26,28,135,21,0,0,2,0,0,0,0,0,0,0,0,212,0,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,ELGOIBAR,,32,4,9326,5346,30,5316,69,5247,3980,753,566,954,384,0,0,5,1,4,5,2,0,1,1,2,1908,1,608,0,21,0,1,15,0,0,4,0,10,1,0,0,0
Bizkaia,ELORRIO,,32,3,6086,3613,38,3575,52,3523,2473,582,361,805,223,0,1,7,1,1,0,0,1,5,0,0,1251,0,254,1,13,1,1,5,0,2,5,0,1,1,0,0,1
Álava,ELVILLAR/BILAR,,23,2,307,199,,199,6,193,108,18,72,12,6,0,0,0,1,0,0,0,0,0,0,0,79,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Bizkaia,ERANDIO,,902,4,19495,9610,93,9563,192,9325,9885,1951,1150,1293,994,2,2,17,0,16,7,8,3,16,5,10,3230,5,424,6,101,5,3,20,3,5,28,4,7,2,2,3,3
Bizkaia,EREÑO,,33,4,235,144,2,142,3,139,91,0,6,41,3,0,0,0,0,0,0,0,0,0,0,0,76,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bizkaia,ERMUA,,34,3,14024,7594,37,7557,122,7435,6430,2206,1854,650,1224,2,4,27,4,11,3,32,6,12,7,1,923,3,261,1,105,6,4,20,10,1,33,1,16,0,5,2,1
Gipuzkoa,ERRENTERIA,,67,2,33960,16044,84,15964,295,15665,17916,4577,1701,3983,1827,2,10,67,4,25,5,9,12,6,16,5,1597,2,1518,3,134,8,2,52,6,3,43,2,40,1,2,2,1
Gipuzkoa,ERREZIL,,66,4,543,267,,267,3,264,276,0,5,155,0,0,0,0,0,0,0,0,0,1,0,0,64,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Álava,ERRIBERAGOITIA/RIBERA ALTA,,46,2,479,266,2,264,4,260,213,31,96,15,17,1,0,0,0,0,0,0,0,0,1,1,85,0,9,0,2,0,0,0,0,0,1,0,1,0,0,0,0
Bizkaia,ERRIGOITI,,79,4,377,276,1,275,4,271,101,2,10,78,1,0,0,0,0,0,0,0,0,0,0,0,116,0,62,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Gipuzkoa,ESKORIATZA,,34,4,3141,1565,19,1546,26,1520,1576,291,105,401,64,0,0,4,0,0,0,0,1,1,1,0,277,0,368,0,3,0,1,1,0,0,1,0,0,1,0,0,0
Bizkaia,ETXEBARRI,,29,3,5045,2343,13,2330,25,2305,2702,714,340,199,290,1,5,11,1,16,0,4,3,0,0,1,487,0,190,0,14,2,0,0,9,3,7,2,2,2,2,0,0
Bizkaia,ETXEBARRIA,,30,4,632,327,,327,11,316,305,10,7,160,3,0,0,0,0,0,0,1,0,0,0,0,116,0,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Gipuzkoa,EZKIO-ITSASO,,35,3,436,236,,236,4,232,200,3,2,129,1,0,0,0,0,0,1,0,0,0,0,0,51,0,43,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,FORUA,,906,4,755,480,2,478,8,470,275,35,25,150,10,0,0,0,0,0,0,0,0,0,0,0,182,0,66,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Bizkaia,FRUIZ,,35,4,261,139,,139,1,138,122,0,6,24,1,0,0,0,0,0,0,0,0,0,0,0,104,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,GABIRIA,,38,3,363,217,1,216,4,212,146,0,5,43,0,0,0,0,0,0,0,0,0,0,0,0,33,0,130,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,GAINTZA,,37,3,109,49,,49,2,47,60,1,2,18,2,0,0,0,0,0,0,0,0,0,0,0,8,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,GALDAKAO,,36,3,23022,11593,175,11518,197,11221,11429,1807,1324,1934,1171,2,2,14,1,10,5,13,4,11,9,2,3767,1,967,0,75,3,1,26,7,3,35,4,13,2,2,1,5
Bizkaia,GALDAMES,,37,2,708,477,6,471,4,467,231,41,24,61,19,0,0,0,0,0,0,0,0,0,0,0,258,0,60,0,1,0,0,1,0,1,0,0,0,1,0,0,0
Bizkaia,GAMIZ-FIKA,,38,4,797,480,2,478,5,473,317,2,13,109,12,0,0,0,0,0,0,1,0,0,0,0,298,0,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,GARAI,,39,3,211,138,1,137,1,136,73,0,7,33,1,0,0,1,0,0,0,0,0,0,0,0,81,0,11,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Bizkaia,GATIKA,,40,4,793,516,4,512,8,504,277,11,31,96,8,0,1,0,0,0,0,0,0,0,0,0,237,0,118,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Bizkaia,GAUTEGIZ ARTEAGA,,41,4,632,443,4,439,5,434,189,9,24,85,9,0,0,0,0,0,0,0,0,0,1,0,251,0,52,0,1,0,0,0,0,0,0,0,2,0,0,0,0
Bizkaia,GERNIKA-LUMO,,46,4,12752,7468,64,7404,116,7288,5284,654,669,1663,273,1,2,5,1,11,1,3,3,4,2,3,2956,2,915,0,54,1,2,16,3,2,15,0,13,3,7,2,2
Gipuzkoa,GETARIA,,39,4,1921,1298,8,1290,25,1265,623,26,35,349,24,0,2,0,0,0,0,1,0,0,1,0,541,0,276,1,3,0,0,1,2,0,2,0,1,0,0,0,0
Bizkaia,GETXO,,44,4,64616,36729,154,36579,811,35764,27887,3355,10899,3685,2531,8,11,104,9,15,11,15,6,13,15,7,11845,6,2465,3,330,11,1,40,12,2,313,9,32,3,5,0,3
Bizkaia,GIZABURUAGA,,47,4,118,76,,76,1,75,42,0,1,29,1,0,0,0,0,0,0,0,0,0,0,0,39,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,GORDEXOLA,,42,2,1276,907,18,889,14,875,369,46,149,49,41,0,0,3,1,0,0,0,1,0,0,0,506,1,65,0,5,0,0,2,1,0,1,0,4,0,0,0,0
Bizkaia,GORLIZ,,43,4,2585,1375,13,1362,25,1337,1210,73,151,179,91,0,0,4,0,0,2,2,0,0,0,1,681,0,124,1,15,0,0,4,0,1,7,0,0,1,0,0,0
Bizkaia,GÜEÑES,,45,2,4850,3450,45,3405,49,3356,1400,407,229,454,125,0,1,5,0,3,0,0,0,0,0,0,1603,0,477,0,29,2,2,6,0,1,2,1,4,3,1,1,0
Álava,HARANA/VALLE DE ARANA,,56,2,352,186,,186,1,185,166,10,63,13,3,0,0,0,0,0,0,0,0,0,0,0,87,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,HERNANI,,40,1,15146,7368,30,7338,162,7176,7778,1311,562,2821,663,2,0,16,3,5,5,12,3,5,4,2,774,1,887,0,40,1,1,15,0,1,18,2,17,3,1,1,0
Gipuzkoa,HERNIALDE,,41,3,226,79,,79,2,77,147,5,6,26,7,0,0,0,0,0,0,0,0,0,0,0,16,0,14,0,2,0,0,0,1,0,0,0,0,0,0,0,0
Gipuzkoa,HONDARRIBIA,,36,2,11226,5124,21,5103,133,4970,6102,557,689,1162,324,1,1,19,4,3,7,1,0,2,0,2,1133,2,988,2,41,0,0,9,1,2,14,0,5,0,1,0,0
Gipuzkoa,IBARRA,,42,3,3412,1780,7,1773,47,1726,1632,309,115,582,118,3,1,6,0,2,1,0,2,1,1,1,289,0,281,0,6,0,1,0,0,0,2,1,2,0,1,0,1
Bizkaia,IBARRANGELU,,48,4,477,342,1,341,3,338,135,5,8,61,1,0,0,0,0,0,0,1,0,0,0,0,224,0,37,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Gipuzkoa,IDIAZABAL,,43,3,1615,919,4,915,30,885,696,24,49,227,19,0,0,4,0,1,0,0,0,0,0,0,256,0,301,0,0,0,0,2,0,0,0,0,2,0,0,0,0
Bizkaia,IGORRE,,94,3,2958,1962,8,1954,21,1933,996,68,89,400,38,0,0,3,0,2,0,0,0,1,0,1,1048,1,264,1,7,1,0,3,2,0,1,0,2,0,1,0,0
Gipuzkoa,IKAZTEGIETA,,44,3,303,156,,156,,156,147,2,8,82,4,0,0,0,0,0,0,0,0,0,0,0,38,0,17,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Gipuzkoa,IRUN,,45,2,43866,21427,106,21321,505,20816,22439,5857,4262,2447,2612,12,22,110,7,27,10,12,19,22,19,2,3022,26,1845,5,218,9,6,37,6,9,112,3,64,3,4,3,4
Gipuzkoa,IRURA,,46,3,555,298,4,294,4,290,257,13,13,115,12,0,0,2,0,0,1,0,0,0,1,0,91,0,41,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Álava,IRURAIZ-GAUNA,,27,2,354,176,2,174,3,171,178,9,66,25,10,0,0,3,0,0,0,0,1,0,1,0,44,0,3,0,5,1,0,0,1,0,0,0,1,0,0,0,1
Álava,IRUÑA OKA/IRUÑA DE OCA,,901,2,1281,681,2,679,11,668,600,172,227,26,80,0,0,12,1,2,1,1,3,0,1,0,112,0,18,0,8,0,0,1,0,0,3,0,0,0,0,0,0
Bizkaia,ISPASTER,,49,4,519,359,,359,2,357,160,5,13,55,5,0,0,0,0,0,0,0,0,0,0,0,249,0,25,0,3,0,0,0,0,0,0,0,1,0,0,1,0
Gipuzkoa,ITSASONDO,,47,3,530,297,6,291,4,287,233,7,10,139,12,0,0,0,0,0,0,5,0,0,0,0,75,0,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,IURRETA,,910,3,3834,2170,17,2153,16,2137,1664,467,269,435,91,0,2,2,1,1,0,0,1,2,1,0,754,0,79,0,15,1,0,4,0,1,6,0,3,0,0,2,0
