TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PSE-PSOE,PP,HB,EB-B,EKA,PH,ARM-ADE,FE-JONS,EK-PCPE,CIU,BNG,E.U.,POR-LIA,PLN-LNA,CNPS,PNV...(E94),PAS,EA...(E94),FEI,GV,URCL,PREX,CEC,CTC,JYB,FORO Y CDS,ADN,CPNT,PREPAL,PA-PAP,AG,GPOR-PST
Bizkaia,ABADIÑO,,1,3,5376,2770,14,2756,40,2716,2606,475,336,604,197,0,0,9,0,3,0,7,4,0,1,1,859,6,180,0,17,1,0,4,1,1,5,0,3,0,0,1,1
Gipuzkoa,ABALTZISKETA,,1,3,239,101,2,99,1,98,138,0,2,31,1,0,0,0,0,0,0,0,0,0,0,0,18,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7800,4240,135,4207,77,4028,3560,1219,257,471,701,2,1,14,1,11,2,4,0,2,4,0,1096,0,198,0,15,1,1,7,2,5,8,0,1,3,1,1,0
Gipuzkoa,ADUNA,,2,3,246,155,,155,5,150,91,3,2,63,5,0,0,0,0,0,0,0,2,0,0,0,21,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Álava,AGURAIN/SALVATIERRA,,51,2,2953,1405,5,1400,23,1377,1548,294,198,229,158,1,1,2,3,1,0,0,1,0,2,0,313,1,146,0,13,1,0,4,0,1,3,0,3,0,0,1,1
Gipuzkoa,AIA,,16,4,1351,633,1,632,11,621,718,5,10,149,6,0,1,0,0,0,0,0,0,0,0,0,313,0,136,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gipuzkoa,AIZARNAZABAL,,3,4,407,245,3,242,3,239,162,1,0,137,0,0,0,3,0,0,0,1,0,0,0,0,38,0,54,1,0,0,0,0,0,2,0,0,2,0,0,0,0
Bizkaia,AJANGIZ,,911,4,303,237,,237,3,234,66,0,1,107,2,0,0,0,0,0,0,0,0,0,0,0,98,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,ALBIZTUR,,4,3,237,103,2,101,4,97,134,2,6,19,3,0,0,0,0,0,0,0,0,0,1,2,23,2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,ALEGIA,,5,3,1363,756,7,749,12,737,607,47,24,230,25,0,0,0,0,2,0,0,0,0,0,1,133,0,270,0,3,0,0,0,0,1,1,0,0,0,0,0,0
Álava,ALEGRÍA-DULANTZI,,1,2,794,401,2,399,10,389,393,76,86,21,32,0,0,0,0,1,0,0,1,2,0,0,125,0,32,0,3,0,0,3,0,1,1,0,4,0,0,0,1
Gipuzkoa,ALKIZA,,6,3,220,54,,54,,54,166,3,0,16,1,0,0,0,0,0,0,0,0,0,0,0,6,0,26,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,ALONSOTEGI,,912,2,2517,1749,30,1719,26,1693,768,178,123,223,84,1,1,1,0,0,2,2,0,0,0,0,696,2,370,0,8,0,0,0,0,2,0,0,0,0,0,0,0
Gipuzkoa,ALTZAGA,,906,3,79,45,,45,,45,34,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,ALTZO,,7,3,264,151,,151,,151,113,0,1,90,0,0,0,0,0,0,0,0,0,0,0,0,39,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,AMEZKETA,,8,3,853,304,,304,4,300,549,3,16,150,1,0,0,1,0,0,0,0,0,0,0,0,63,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bizkaia,AMOREBIETA-ETXANO,,3,3,12919,7821,76,7745,104,7641,5098,1194,564,1491,730,0,6,18,2,13,1,3,7,7,1,1,2875,3,602,1,69,1,2,9,0,7,17,1,12,3,0,1,0
Bizkaia,AMOROTO,,4,4,323,210,,210,4,206,113,2,0,44,0,0,0,0,0,0,0,0,0,0,0,0,137,0,21,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Álava,AMURRIO,,2,3,7652,4193,45,4148,89,4059,3459,651,681,526,268,1,4,13,5,9,3,5,1,3,7,3,1087,4,708,2,29,6,2,10,0,1,12,1,7,2,4,3,1
Gipuzkoa,ANDOAIN,,9,3,11967,5814,43,5771,117,5654,6153,1339,620,1391,587,4,2,19,2,6,0,1,8,2,9,4,798,0,758,1,41,2,0,11,6,3,25,0,13,0,2,0,0
Gipuzkoa,ANOETA,,10,3,1365,676,1,675,14,661,689,81,51,284,37,0,0,1,0,2,0,0,0,0,0,0,80,0,118,0,4,0,1,1,0,0,0,1,0,0,0,0,0
Gipuzkoa,ANTZUOLA,,11,4,1633,1021,9,1012,25,987,612,162,38,344,32,0,0,0,0,0,0,0,0,2,0,0,282,0,120,0,0,0,1,4,0,0,0,0,2,0,0,0,0
Bizkaia,ARAKALDO,,5,3,93,76,,76,3,73,17,1,3,27,1,0,0,0,0,0,0,0,0,0,0,0,34,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,ARAMA,,12,3,132,82,,82,2,80,50,1,4,34,0,0,0,0,0,0,0,0,0,0,0,0,23,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0
