TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,EA,EB-B,EKA,AR,PH,EK-PCPE,POSI,PSE-EE/PSOE,BERDEAK-LV,PLN-LNA,UC-CDS,PKD,ES2000,FE,FEI-FE 2000,LI (LIT-CI)
Bizkaia,ABADIÑO,,1,3,5712,3319,38,3281,74,3207,2393,1199,876,151,164,2,3,7,3,11,733,25,5,5,5,8,5,3,2
Gipuzkoa,ABALTZISKETA,,1,3,222,61,,61,,61,161,24,6,26,0,0,,0,,0,5,0,0,0,,0,0,0,0
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7611,4964,72,4892,140,4752,2647,1401,755,224,498,0,3,11,6,3,1779,49,9,0,7,2,4,0,1
Gipuzkoa,ADUNA,,2,3,271,82,1,81,3,78,189,35,2,38,1,0,,0,,0,2,0,0,0,,0,0,0,0
Álava,AGURAIN/SALVATIERRA,,51,2,3298,1960,22,1938,42,1896,1338,530,542,253,93,,2,3,,1,446,10,12,0,,3,1,,0
Gipuzkoa,AIA,,16,4,1350,644,6,638,6,632,706,457,18,140,3,0,,0,,0,7,1,0,0,,6,0,0,0
Gipuzkoa,AIZARNAZABAL,,3,4,433,64,1,63,3,60,369,23,2,30,0,0,,0,,0,5,0,0,0,,0,0,0,0
Bizkaia,AJANGIZ,,911,4,352,156,,156,7,149,196,119,5,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gipuzkoa,ALBIZTUR,,4,3,240,105,2,103,6,97,135,56,7,30,3,0,,0,,1,0,0,0,0,,0,0,0,0
Gipuzkoa,ALEGIA,,5,3,1341,546,2,544,10,534,795,201,57,200,22,0,,0,,0,47,1,4,0,,1,1,0,0
Álava,ALEGRÍA-DULANTZI,,1,2,1120,788,11,777,21,756,332,230,262,62,33,,0,1,,1,159,5,2,1,,0,0,,0
Gipuzkoa,ALKIZA,,6,3,222,69,,69,1,68,153,47,2,14,3,0,,0,,0,1,1,0,0,,0,0,0,0
Bizkaia,ALONSOTEGI,,912,2,2458,1784,39,1745,44,1701,674,821,268,262,59,0,1,2,0,1,279,5,2,0,1,0,0,0,0
Gipuzkoa,ALTZAGA,,906,3,84,26,,26,1,25,58,12,0,11,1,0,,0,,0,1,0,0,0,,0,0,0,0
Gipuzkoa,ALTZO,,7,3,271,65,,65,2,63,206,49,2,10,1,0,,0,,0,0,0,0,1,,0,0,0,0
Gipuzkoa,AMEZKETA,,8,3,837,169,2,167,2,165,668,85,32,41,4,0,,0,,0,3,0,0,0,,0,0,0,0
Bizkaia,AMOREBIETA-ETXANO,,3,3,13680,8621,121,8500,141,8359,5059,3989,1320,639,605,1,2,22,9,6,1650,62,15,1,22,5,4,4,3
Bizkaia,AMOROTO,,4,4,307,176,1,175,2,173,131,160,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Álava,AMURRIO,,2,3,8123,5562,99,5463,104,5359,2561,1998,1366,725,212,,1,10,,6,970,45,15,3,,4,4,,0
Gipuzkoa,ANDOAIN,,9,3,12102,6499,51,6448,206,6242,5603,1379,1559,703,381,5,,23,,12,2064,74,19,5,,6,5,3,4
Gipuzkoa,ANOETA,,10,3,1366,512,2,510,20,490,854,208,113,68,12,1,,0,,0,86,2,0,0,,0,0,0,0
Gipuzkoa,ANTZUOLA,,11,4,1617,753,5,748,10,738,864,313,73,144,20,0,,0,,0,187,1,0,0,,0,0,0,0
Bizkaia,ARAKALDO,,5,3,84,46,1,45,,45,38,28,11,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gipuzkoa,ARAMA,,12,3,144,60,,60,1,59,84,35,6,16,1,0,,0,,0,1,0,0,0,,0,0,0,0
Álava,ARAMAIO,,3,2,1177,626,10,616,14,602,551,344,34,190,20,,0,1,,1,8,2,1,0,,0,1,,0
Bizkaia,ARANTZAZU,,6,3,243,144,5,139,4,135,99,98,10,18,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0
Bizkaia,AREATZA,,93,3,881,592,15,577,14,563,289,374,115,33,9,2,0,2,0,0,25,2,1,0,0,0,0,0,0
