TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PP,EB-B,EKA,PH,PSE-EE/PSOE,EH,EAJ-PNV / EA,PKD,TD,ASKATASUNA
Bizkaia,ABADIÑO,,1,3,5735,4575,15,4560,27,4533,1160,938,212,1,11,725,688,1936,9,12,1
Gipuzkoa,ABALTZISKETA,,1,3,220,168,1,167,2,165,52,5,5,0,0,0,43,112,,,0
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7620,5846,27,5819,47,5772,1774,705,524,1,11,1601,477,2435,7,7,4
Gipuzkoa,ADUNA,,2,3,283,252,,252,1,251,31,4,21,0,0,4,90,132,,,0
Álava,AGURAIN/SALVATIERRA,,51,2,3301,2485,12,2473,12,2461,816,419,98,,14,396,283,1250,,,1
Gipuzkoa,AIA,,16,4,1340,1106,1,1105,6,1099,234,18,10,1,2,5,208,855,,,0
Gipuzkoa,AIZARNAZABAL,,3,4,442,351,,351,1,350,91,4,3,0,0,0,146,196,,,1
Bizkaia,AJANGIZ,,911,4,353,331,,331,,331,22,4,4,0,0,1,125,197,0,0,0
Gipuzkoa,ALBIZTUR,,4,3,234,180,,180,,180,54,2,1,0,1,0,27,149,,,0
Gipuzkoa,ALEGIA,,5,3,1361,1105,,1105,1,1104,256,65,41,0,1,48,310,637,,,2
Álava,ALEGRÍA-DULANTZI,,1,2,1190,999,3,996,4,992,191,229,63,,8,180,82,430,,,0
Gipuzkoa,ALKIZA,,6,3,217,178,,178,,178,39,2,4,0,0,1,36,135,,,0
Bizkaia,ALONSOTEGI,,912,2,2396,2050,11,2039,16,2023,346,271,106,2,0,226,210,1204,0,3,1
Gipuzkoa,ALTZAGA,,906,3,88,75,,75,,75,13,0,0,0,0,0,34,41,,,0
Gipuzkoa,ALTZO,,7,3,271,212,,212,1,211,59,1,9,0,0,0,83,118,,,0
Gipuzkoa,AMEZKETA,,8,3,836,617,3,614,4,610,219,31,18,0,0,7,202,352,,,0
Bizkaia,AMOREBIETA-ETXANO,,3,3,13775,11495,73,11422,50,11372,2280,1540,651,0,22,1532,1573,5997,31,18,8
Bizkaia,AMOROTO,,4,4,305,273,,273,1,272,32,0,2,0,1,0,47,222,0,0,0
Álava,AMURRIO,,2,3,8140,6837,32,6805,40,6765,1303,1232,235,,28,869,607,3790,,,4
Gipuzkoa,ANDOAIN,,9,3,12035,9274,21,9253,73,9180,2761,1662,581,9,37,2043,1534,3309,,,5
Gipuzkoa,ANOETA,,10,3,1382,1135,1,1134,1,1133,247,145,35,1,1,95,300,555,,,1
Gipuzkoa,ANTZUOLA,,11,4,1613,1402,2,1400,9,1391,211,99,46,0,0,142,388,713,,,3
Bizkaia,ARAKALDO,,5,3,82,71,,71,,71,11,9,3,0,0,2,15,42,0,0,0
Gipuzkoa,ARAMA,,12,3,136,115,,115,,115,21,5,1,0,0,2,40,67,,,0
Álava,ARAMAIO,,3,2,1217,1075,6,1069,3,1066,142,31,33,,1,19,201,781,,,0
Bizkaia,ARANTZAZU,,6,3,251,232,,232,1,231,19,9,2,0,0,8,58,153,0,0,1
Bizkaia,AREATZA,,93,3,882,771,10,761,7,754,111,116,10,1,0,30,120,475,1,1,0
Gipuzkoa,ARETXABALETA,,13,4,5192,4291,28,4263,18,4245,901,462,196,1,15,525,843,2200,,,3
Álava,ARMIÑÓN,,6,2,140,123,,123,2,121,17,70,0,,0,14,4,33,,,0
Álava,ARRAIA-MAEZTU,,37,2,642,515,3,512,3,509,127,170,27,,3,45,40,224,,,0
Bizkaia,ARRANKUDIAGA,,9,3,670,599,6,593,,593,71,39,3,0,0,13,131,407,0,0,0
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,19928,15674,38,15636,86,15550,4254,2270,1159,10,80,2613,2787,6621,,,10
Bizkaia,ARRATZU,,914,4,327,296,,296,1,295,31,4,0,0,0,0,100,191,0,0,0
Álava,ARRATZUA-UBARRUNDIA,,8,2,647,536,,536,3,533,111,148,24,,1,69,51,240,,,0
Bizkaia,ARRIETA,,10,4,450,367,,367,,367,83,21,8,0,0,3,44,290,1,0,0
Bizkaia,ARRIGORRIAGA,,11,3,8757,6955,23,6932,41,6891,1802,1220,427,1,15,1266,681,3253,18,9,1
Bizkaia,ARTEA,,23,3,564,511,1,510,1,509,53,55,14,1,1,13,105,320,0,0,0
Bizkaia,ARTZENTALES,,8,2,594,493,2,491,2,489,101,49,14,0,1,10,52,363,0,0,0
Álava,ARTZINIEGA,,4,3,1110,979,13,966,3,963,131,235,39,,3,88,73,525,,,0
Álava,ASPARRENA,,9,2,1354,1071,5,1066,6,1060,283,161,63,,6,97,166,566,,,1
Gipuzkoa,ASTEASU,,14,3,999,764,6,758,1,757,235,44,20,0,0,15,240,436,,,2
Gipuzkoa,ASTIGARRAGA,,903,1,2960,2317,7,2310,21,2289,643,243,79,1,5,175,625,1160,,,1
Gipuzkoa,ATAUN,,15,3,1372,1185,,1185,2,1183,187,10,30,0,0,15,460,668,,,0
Bizkaia,ATXONDO,,91,3,1171,968,6,962,4,958,203,130,24,0,1,80,199,519,1,3,1
Bizkaia,AULESTI,,70,4,556,444,,444,2,442,112,20,2,0,0,3,146,271,0,0,0
Álava,AYALA/AIARA,,10,3,1786,1547,7,1540,11,1529,239,334,39,,3,62,105,985,,,1
Gipuzkoa,AZKOITIA,,17,4,8573,7171,21,7150,30,7120,1402,786,211,25,10,628,1071,4388,,,1
Gipuzkoa,AZPEITIA,,18,4,11226,9460,21,9439,25,9414,1766,614,187,11,5,392,1952,6248,,,5
Álava,AÑANA,,49,2,175,155,4,151,1,150,20,46,3,,0,12,13,75,,,1
Bizkaia,BAKIO,,12,4,1469,1342,11,1331,2,1329,127,81,42,1,3,35,145,1015,5,2,0
Gipuzkoa,BALIARRAIN,,904,3,90,68,,68,1,67,22,1,0,0,0,0,38,28,,,0
Bizkaia,BALMASEDA,,90,2,6184,5243,42,5201,48,5153,941,791,186,3,8,987,297,2865,7,8,1
Bizkaia,BARAKALDO,,13,2,83880,63680,297,63383,548,62835,20200,17413,4416,20,138,17680,3441,19356,212,138,21
Bizkaia,BARRIKA,,14,4,969,795,2,793,6,787,174,107,34,0,0,49,86,510,0,1,0
Álava,BARRUNDIA,,13,2,557,422,2,420,8,412,135,86,24,,0,30,45,227,,,0
Bizkaia,BASAURI,,15,3,40401,31421,131,31290,282,31008,8980,7379,1854,7,107,7725,1983,11836,62,44,11
Álava,BAÑOS DE EBRO/MAÑUETA,,11,2,283,258,3,255,1,254,25,118,1,,1,26,6,102,,,0
Gipuzkoa,BEASAIN,,19,3,10125,8215,35,8180,35,8145,1910,1229,394,12,26,1377,1039,4064,,,4
Bizkaia,BEDIA,,92,3,833,745,4,741,3,738,88,79,20,0,1,46,84,506,0,2,0
Gipuzkoa,BEIZAMA,,20,4,139,117,,117,,117,22,2,0,0,0,0,43,72,,,0
Gipuzkoa,BELAUNTZA,,21,3,270,226,,226,2,224,44,4,6,0,0,4,120,89,,,1
Bizkaia,BERANGO,,16,4,4236,3498,10,3488,29,3459,738,648,179,0,6,474,462,1686,2,2,0
Álava,BERANTEVILLA,,14,2,415,354,,354,2,352,61,144,15,,3,33,14,143,,,0
Gipuzkoa,BERASTEGI,,22,3,801,673,,673,1,672,128,18,14,0,1,20,157,460,,,2
Gipuzkoa,BERGARA,,74,4,12734,10367,12,10355,52,10303,2367,1021,512,2,11,949,2144,5664,,,0
Bizkaia,BERMEO,,17,4,14451,11911,42,11869,30,11839,2540,620,249,0,10,611,1457,8871,9,9,3
Álava,BERNEDO,,16,2,500,384,1,383,2,381,116,158,11,,1,30,30,149,,,2
Bizkaia,BERRIATUA,,18,4,820,659,,659,2,657,161,20,9,1,0,8,164,455,0,0,0
Bizkaia,BERRIZ,,19,3,3571,2939,7,2932,10,2922,632,481,148,1,4,428,407,1441,6,4,2
Gipuzkoa,BERROBI,,23,3,461,327,,327,3,324,134,29,7,0,0,8,95,184,,,1
Gipuzkoa,BIDANIA-GOIATZ,,24,4,347,289,,289,4,285,58,5,3,0,0,5,85,187,,,0
