TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,EE,FE-JONS,PCE-EPK,UCD,AP,P. PROVERISTA,ESB,PASD,PSP,FDI,DCV-EKA,IND.12,IND.14,IND.17,FUT,EAE / ANV,D.I.V.,TRAB.GUIPUZCOA,G.U.,A.E.T.
Bizkaia,ABADIÑO,,1,3,3534,2529,35,2485,9,2485,1005,971,443,61,,106,528,111,,87,46,36,3,16,,,,56,8,,,,13
Gipuzkoa,ABALTZISKETA,,1,3,219,102,,102,,102,117,49,0,32,,0,,,,0,,0,0,2,,,,5,0,7,2,5,
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,6538,4691,92,4590,9,4590,1847,838,1495,617,,1047,263,111,,38,31,33,24,25,,,,39,21,,,,8
Gipuzkoa,ADUNA,,2,3,215,179,1,178,,178,36,135,10,4,,2,,,,5,,0,0,1,,,,3,0,3,5,10,
Álava,AGURAIN/SALVATIERRA,,51,2,2202,1810,48,1762,,1762,392,440,391,,2,65,394,51,6,59,129,20,10,100,28,48,19,,,,,,
Gipuzkoa,AIA,,16,4,1379,920,22,898,,898,459,733,26,32,,4,,,,16,,0,1,9,,,,3,1,23,0,50,
Gipuzkoa,AIZARNAZABAL,,3,4,339,266,5,261,,261,73,185,3,3,,1,,,,8,,2,2,1,,,,0,0,8,0,48,
Gipuzkoa,ALBIZTUR,,4,3,247,144,8,134,2,134,103,64,5,15,,1,,,,5,,0,1,6,,,,3,0,13,0,21,
Gipuzkoa,ALEGIA,,5,3,1115,862,5,857,,857,253,407,144,97,,10,,,,77,,4,1,40,,,,4,0,25,11,37,
Álava,ALEGRÍA-DULANTZI,,1,2,590,515,76,439,,439,75,79,98,,1,13,158,17,1,21,18,4,1,15,5,6,2,,,,,,
Gipuzkoa,ALKIZA,,6,3,178,105,,105,,105,73,65,4,15,,0,,,,13,,0,1,0,,,,0,0,5,1,1,
Gipuzkoa,ALTZO,,7,3,227,137,1,135,1,135,90,43,2,45,,0,,,,8,,0,0,1,,,,0,2,14,7,13,
Gipuzkoa,AMEZKETA,,8,3,701,383,12,371,,371,318,130,11,55,,3,,,,41,,4,0,35,,,,14,2,12,3,61,
Bizkaia,AMOREBIETA-ETXANO,,3,3,9527,6970,177,6772,21,6772,2557,2626,1764,496,,561,421,228,,394,32,33,15,30,,,,141,16,,,,15
Bizkaia,AMOROTO,,4,4,268,192,,192,,192,76,176,0,1,,1,9,0,,1,0,0,0,4,,,,0,0,,,,0
Álava,AMURRIO,,2,3,5248,4249,66,4178,17,4104,999,1614,619,,22,114,813,305,6,123,204,35,7,123,36,74,9,,,,,,
Gipuzkoa,ANDOAIN,,9,3,8174,6921,63,6833,25,6833,1253,1910,2294,683,,239,,,,363,,89,110,253,,,,213,12,275,55,337,
Gipuzkoa,ANOETA,,10,3,810,675,8,665,2,665,135,254,136,64,,8,,,,77,,2,1,37,,,,2,4,34,14,32,
Gipuzkoa,ANTZUOLA,,11,4,1452,1169,1,1168,,1168,283,496,268,88,,33,,,,63,,6,2,27,,,,48,2,5,0,130,
Bizkaia,ARAKALDO,,5,3,105,76,7,69,,69,29,32,12,7,,1,6,2,,4,0,4,0,1,,,,0,0,,,,0
Gipuzkoa,ARAMA,,12,3,130,61,,58,3,58,69,41,2,8,,1,,,,5,,0,0,0,,,,1,0,0,0,0,
Álava,ARAMAIO,,3,2,1033,802,17,785,,785,231,573,24,,1,14,83,6,0,62,2,1,1,10,4,3,1,,,,,,
Bizkaia,ARANTZAZU,,6,3,188,154,5,149,,149,34,89,6,16,,1,10,18,,2,0,0,1,1,,,,2,2,,,,1
Bizkaia,AREATZA,,93,3,856,726,16,709,1,709,130,312,63,18,,10,58,190,,19,8,12,1,9,,,,5,2,,,,2
Gipuzkoa,ARETXABALETA,,13,4,3798,2922,50,2857,15,2857,876,1415,711,100,,74,,,,204,,21,20,73,,,,30,2,113,7,87,
Álava,ARLUCEA-MARQUÍNEZ,,5,2,147,118,2,116,,116,29,27,22,,0,3,37,4,0,1,8,6,5,3,0,0,0,,,,,,
Álava,ARMIÑÓN,,6,2,129,110,2,109,,108,19,15,4,,0,1,68,16,0,0,0,2,0,1,1,0,0,,,,,,
Álava,ARRAIA-MAEZTU,,37,2,704,578,13,565,,565,126,112,40,,3,8,337,20,0,8,9,1,4,16,1,4,2,,,,,,
Bizkaia,ARRANKUDIAGA,,9,3,574,411,12,397,2,397,163,231,36,23,,12,35,24,,15,7,3,0,2,,,,6,3,,,,0
Gipuzkoa,ARRASATE/MONDRAGON,,55,4,15773,11723,270,11384,69,11384,4050,3950,3149,615,,477,,,,1037,,106,56,607,,,,170,48,470,31,668,
Álava,ARRATZUA-UBARRUNDIA,,8,2,483,414,7,405,2,405,69,106,79,,2,5,102,33,0,20,22,6,7,15,5,3,0,,,,,,
