TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,EK-PCPE,PSE-EE/PSOE,ATTKA/PACMA,UPYD,Cs,EB-AZ,EH BILDU,VOX,P-LIB,LN,PODEMOS-IU-EQUO BERD,RECORTES CERO-GV
Bizkaia,ABADIÑO,,1,3,5838,3923,25,3898,28,3870,1915,852,419,4,525,40,0,116,2,835,2,,,1063,12
Gipuzkoa,ABALTZISKETA,,1,3,246,133,1,132,2,130,113,47,2,0,3,0,0,0,,63,,0,,15,0
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7831,5490,39,5451,44,5407,2341,1371,256,3,821,28,2,137,4,520,8,,,2254,3
Gipuzkoa,ADUNA,,2,3,346,203,,203,4,199,143,45,2,0,4,0,0,2,,95,,0,,51,0
Álava,AGURAIN/SALVATIERRA,,51,2,3603,2259,24,2235,17,2218,1344,511,204,4,242,11,2,51,,444,0,,1,745,3
Gipuzkoa,AIA,,16,4,1520,826,5,821,2,819,694,347,14,0,20,9,0,7,,216,,0,,206,0
Gipuzkoa,AIZARNAZABAL,,3,4,547,308,,308,3,305,239,69,1,1,8,1,0,1,,143,,0,,81,0
Bizkaia,AJANGIZ,,911,4,380,276,4,272,1,271,104,75,2,0,2,0,0,0,0,153,0,,,39,0
Gipuzkoa,ALBIZTUR,,4,3,252,121,,121,,121,131,57,0,0,10,1,0,0,,21,,1,,30,1
Gipuzkoa,ALEGIA,,5,3,1260,738,2,736,11,725,522,206,40,0,38,9,0,8,,269,,0,,154,1
Álava,ALEGRÍA-DULANTZI,,1,2,1979,1339,21,1318,7,1311,640,244,160,3,205,17,1,62,,145,2,,1,466,5
Gipuzkoa,ALKIZA,,6,3,259,143,,143,3,140,116,43,3,0,1,4,0,0,,53,,0,,36,0
